This file was created by CMPT_PRIOR_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for  10 prior-return portfolios.
The portfolios are constructed monthly. PRIOR_RET is from -12 to - 2.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
192701,  -3.32,  -4.62,   2.66,  -0.32,  -0.41,   0.96,   0.77,   0.36,  -0.43,  -0.24
192702,   7.42,   6.04,   6.33,   9.19,   3.80,   4.16,   2.81,   3.28,   4.20,   6.97
192703,  -3.20,  -2.99,  -3.98,  -4.76,  -0.48,  -2.40,   2.10,   0.54,   0.96,   5.47
192704,   2.26,  -2.60,  -2.44,  -1.48,   2.59,  -0.12,   1.95,  -0.58,   1.70,   5.41
192705,   3.98,   4.39,   5.95,   3.14,   6.25,   5.91,   4.64,   6.56,   8.16,   6.24
192706,  -3.43,  -3.80,  -3.22,  -2.65,  -2.26,  -1.84,  -1.92,  -1.59,  -2.37,  -1.58
192707,   4.20,   4.55,   4.25,   5.08,   8.33,   6.97,   8.53,   6.94,   6.48,  13.07
192708,  -0.55,   0.37,   1.41,   1.64,   2.40,   1.61,   2.34,   2.56,   0.41,   5.52
192709,  -0.26,   3.07,   3.31,   4.36,   4.16,   5.11,   4.69,   3.80,   5.73,   7.38
192710,  -6.03,  -3.08,  -1.87,  -3.07,  -3.24,  -3.59,  -3.25,  -5.23,  -5.24,  -6.04
192711,  13.70,   6.06,   5.26,   6.42,   6.00,   5.01,   7.12,   7.79,  10.37,   6.37
192712,   4.95,   0.29,   0.55,   4.05,   2.03,   1.12,   1.80,   1.12,   5.19,   5.00
192801,  -0.36,  -1.38,  -1.29,  -0.91,   0.23,   0.13,  -0.23,   0.34,  -1.48,  -0.87
192802,  -0.88,  -1.49,  -1.20,  -1.62,  -1.19,  -0.25,  -1.27,  -2.92,  -2.75,   0.21
192803,   7.03,   6.86,   6.53,   4.47,   4.12,   7.88,   6.35,   7.20,  20.17,  12.75
192804,   7.50,   7.57,  13.21,   6.86,   4.11,   4.49,   1.16,   2.96,   1.27,   3.73
192805,   3.83,   1.89,  -2.81,  -0.87,   1.34,   0.99,   2.75,   0.65,   3.19,   5.16
192806,  -8.13,  -8.55,  -3.82,  -3.98,  -4.04,  -3.47,  -5.62,  -5.08,  -4.32,  -3.54
192807,  -3.17,   1.28,  -0.60,   0.24,   1.23,   0.85,   0.48,  -0.01,   2.50,   2.18
192808,   7.28,   3.34,   3.80,   4.66,   6.36,   6.57,   7.33,  10.63,  11.01,   8.79
192809,   1.40,   4.95,   0.43,   1.20,   0.44,   4.22,   4.50,   4.15,   6.36,   5.50
192810,  -3.76,  -1.05,   1.98,   0.03,   0.88,   1.45,   0.73,   5.12,   1.58,   7.30
192811,   7.57,   8.06,   9.50,  11.11,  11.45,  10.62,  18.46,  10.61,   6.00,  24.36
192812,  -3.13,  -1.11,  -0.23,  -0.26,  -0.60,  -1.82,   2.04,   3.42,   0.50,   2.17
192901,   5.16,   1.81,   3.28,   5.65,   6.18,   2.85,   4.77,   8.60,   6.66,  -2.82
192902,  -4.04,   2.39,  -1.99,  -2.18,  -0.10,  -1.07,  -0.15,   0.29,   0.60,   3.60
192903,  -0.63,  -0.34,  -1.17,  -2.03,   2.34,   1.88,   0.15,  -2.32,  -2.77,   2.09
192904,  -8.28,   1.97,  -0.05,   1.32,   0.28,   2.59,   2.56,   4.27,   2.94,   0.65
192905, -10.15,  -9.55,  -3.64,  -4.10,  -1.28,  -8.54,  -3.80,  -4.05,  -5.86, -12.34
192906,  -2.18,   3.81,   4.30,   6.57,   4.96,   6.56,  11.52,  12.57,  18.48,   9.34
192907,   2.49,  -1.00,   1.23,  -0.88,   5.06,   5.42,   7.40,   4.45,   4.86,   5.40
192908,  -0.47,   1.83,   4.38,   3.13,   4.50,   6.98,  11.51,  11.88,  13.65,   8.54
192909,  -9.36, -11.13,  -6.00,  -4.17,  -3.83,  -4.73,  -2.15,  -7.75,  -5.77,  -3.43
192910, -32.99, -26.61, -26.63, -17.40,  -9.79, -15.38,  -9.19, -15.47, -16.09, -27.55
192911, -15.74, -13.58, -13.79,  -9.08,  -8.23,  -8.12,  -8.25, -10.82, -12.60, -16.38
192912,  -3.14,  -8.29,  -0.05,   2.55,   0.45,   1.05,  -5.05,   2.20,   2.28,   4.48
193001,  14.05,   7.90,   4.62,   7.64,   6.46,   7.94,   4.23,   3.79,   7.77,   3.80
193002,   2.30,   0.52,   3.03,   1.13,   4.17,   1.29,   1.44,   3.06,   2.05,   3.40
193003,  13.31,   2.90,  11.89,  11.12,   7.42,   5.71,   6.14,   6.25,   5.94,   8.43
193004,  -1.72,   6.49, -10.18,  -9.98,  -4.62,   1.48,  -3.32,  -3.58,  -0.73,  -1.38
193005,  -0.38,  -8.03,   4.71,   0.02,   1.08,  -2.65,  -4.19,  -1.18,  -0.98,  -1.03
193006, -26.34, -24.64, -16.80, -22.46, -18.07, -16.55, -13.73, -10.88, -13.79, -16.40
193007,   4.80,   5.96,   5.37,   5.31,   9.17,   5.24,   4.95,   3.20,   1.39,   6.25
193008,  -4.23,  -0.55,  -3.31,  -4.11,   1.03,   1.42,   2.27,   0.66,   0.15,   1.17
193009, -21.70, -23.06, -22.99, -16.05, -14.37, -12.10, -13.38,  -8.73,  -9.82, -12.47
193010, -18.10, -14.31, -16.34, -15.30, -10.98, -10.08,  -6.97,  -6.07,  -9.02,  -7.22
193011,   1.09,   4.61,  -4.23,  -1.35,  -4.07,  -5.01,  -3.68,  -0.86,  -3.41,  -1.73
193012, -26.13, -15.54, -17.95, -13.73, -10.91, -10.29,  -8.99,  -4.17,  -5.18,  -2.87
193101,  22.97,  17.36,   9.08,  11.31,  11.38,   3.87,   4.84,   4.49,   5.89,   5.62
193102,  24.51,  30.73,  19.28,  20.55,  18.71,  12.93,  12.47,   8.46,   7.81,   6.57
193103, -15.66, -14.97, -10.52, -10.84, -11.57,  -5.07,  -9.01,  -4.85,  -4.62,  -1.72
193104, -25.99, -17.23, -18.60, -19.12, -15.72, -11.89, -10.58,  -9.30,  -6.02,  -4.29
193105, -19.39, -19.43, -18.49, -14.20, -15.51, -14.85, -12.77, -13.42, -11.72,  -9.89
193106,  37.30,  35.64,  21.00,  23.31,  20.13,  15.28,  17.46,  11.72,  10.77,   8.27
193107, -14.86, -12.70, -10.82, -11.82,  -9.24,  -9.50,  -6.53,  -5.42,  -4.56,  -1.54
193108,   8.69,  -0.88,   5.87,  -0.05,   2.86,   0.51,  -5.18,  -0.92,   1.00,  -0.54
193109, -40.92, -39.42, -35.17, -28.10, -31.55, -29.16, -34.73, -27.17, -27.20, -23.17
193110,   1.44,   8.05,   4.67,   2.53,   6.41,   8.51,  10.81,   6.24,   9.94,  11.41
193111, -13.66, -20.03, -14.64,  -9.77, -15.13, -11.70,  -8.83,  -6.03,  -7.47,  -3.08
193112, -30.06, -24.19, -21.91, -22.68, -19.99, -14.51, -12.95,  -9.99, -10.83,  -7.08
193201,  17.03,   9.73,   2.73,   1.57,   0.71,  -3.02,  -4.36,  -3.44,  -0.77,  -0.76
193202,   9.85,  -0.95,   6.65,  -0.14,   7.10,   4.41,   5.70,   8.16,   5.73,   1.67
193203, -20.47, -23.15, -17.26, -15.11, -14.06, -12.22, -14.32,  -9.35,  -7.31,  -4.73
193204, -24.74, -20.67, -23.41, -21.83, -17.68, -22.83, -23.87, -18.93, -13.73, -10.86
193205, -36.16, -39.23, -32.84, -21.81, -25.94, -24.90, -16.04, -17.93, -18.26, -13.46
193206,   5.93,   2.52,  -0.91,  -6.96,  -4.19,   2.26,  -1.38,  -3.38,   5.99,   1.06
193207,  74.30,  79.33,  61.97,  52.32,  44.33,  44.20,  32.04,  32.44,  22.03,  14.13
193208,  93.98,  75.92,  66.38,  49.55,  60.31,  44.46,  33.74,  26.32,  23.07,  16.96
193209,  -5.54,  -5.23,  -6.25,   1.52,  -6.67,  -0.93,  -2.31,  -2.71,  -4.78,  -3.90
193210, -22.17, -16.54, -21.45, -12.72,  -9.48, -11.62, -12.79,  -9.97, -14.42,  -3.27
193211, -12.42,  -8.50,  -8.62,  -7.19,  -2.49,  -2.59,  -3.14,  -9.55,  -5.58, -20.88
193212,  -7.37,   1.08,   5.49,   2.82,   2.31,   5.64,   4.65,   5.46,   7.10,   2.49
193301,  -1.65,   1.77,   2.51,   5.29,   2.18,  -0.13,   1.38,  -1.05,   5.12,  -3.16
193302, -24.15, -19.65, -19.60, -20.42, -15.67, -14.40, -16.44, -11.15, -16.37, -16.03
193303,  -4.62,   8.24,   6.95,   8.83,   6.12,   3.38,  -2.96,   2.39,   7.09,   8.51
193304,  70.80,  51.76,  51.88,  62.16,  41.21,  47.34,  35.40,  28.18,  32.89,  28.88
193305,  46.24,  32.36,  17.39,  19.90,  17.20,  28.38,  22.33,  20.85,  20.94,  19.34
193306,  26.05,  10.40,   8.74,  13.15,  11.62,   9.24,  12.29,  17.17,  18.72,  16.98
193307,  -7.32,  -8.21, -10.99,  -9.10, -11.83, -14.12, -10.90,  -5.99, -10.54, -13.20
193308,   5.79,   5.43,  11.17,  13.30,  15.10,  17.72,  19.13,  18.37,  22.33,  17.49
193309, -21.65, -12.14,  -9.23,  -8.32,  -8.99,  -5.28, -11.68, -12.72, -12.14,  -7.26
193310,  -8.73,  -7.52,  -7.31, -10.45,  -7.98,  -8.60,  -7.29, -10.27,  -8.72,  -8.25
193311,  -1.26,   2.27,  11.93,  11.92,   8.32,   9.37,   9.93,  21.57,   9.36,   6.61
193312,   0.74,   2.83,  -1.86,   0.57,  -0.34,   0.75,   2.47,   8.06,   5.86,   1.86
193401,  22.24,  13.09,  12.19,   9.52,   8.84,  15.26,  14.52,  10.88,  10.08,  12.38
193402,  -1.95,   0.42,  -4.27,  -0.92,  -3.38,  -2.42,  -3.85,  -3.30,  -3.61,   0.04
193403,  -0.33,  -0.20,   0.43,  -0.90,  -0.42,  -0.27,   3.66,  -0.15,   1.56,   1.03
193404,   0.00,  -0.14,  -0.30,  -3.18,  -3.46,  -0.70,  -3.32,  -4.41,  -5.84,  -7.98
193405,  -5.72,  -6.44,  -5.78,  -5.20, -10.63,  -9.62,  -8.70,  -7.10, -11.64,  -8.65
193406,   1.72,   5.15,   2.63,   5.13,   1.38,   3.69,   2.50,   0.80,   2.83,   2.69
193407, -27.23, -17.50, -18.43, -14.50, -13.57,  -9.05,  -8.68,  -8.05,  -7.32,  -8.70
193408,   2.89,   2.57,   6.98,   6.32,   5.07,   5.16,   6.27,   4.86,   5.94,   8.33
193409,   1.55,  -0.26,   1.56,  -1.25,  -0.94,  -0.82,  -1.08,   1.34,   0.14,  -0.82
193410,  -6.52,  -5.11,  -5.13,  -3.68,  -2.81,  -1.10,  -0.70,  -2.47,   2.03,   3.40
193411,  12.91,  10.81,   3.79,  11.38,   7.77,   5.94,  10.58,   7.48,  10.28,  13.65
193412,  -0.33,  -3.71,  -2.14,   1.08,   1.42,  -0.15,  -1.02,   0.13,   2.83,   3.40
193501,  -6.87,  -6.04,  -7.67,  -4.80,  -4.12,  -0.74,  -2.68,  -1.68,  -1.11,  -0.62
