This file was created by CMPT_IND_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for 12 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
        NoDur  Durbl  Manuf  Enrgy  Chems  BusEq  Telcm  Utils  Shops  Hlth   Money  Other
192607   1.31  15.07   3.38  -1.30   7.76   3.08   0.83   6.89  -0.13   1.11   0.30   1.95
192608   3.70   3.09   1.91   3.13   5.10   1.93   2.17  -2.07  -0.95   3.59   4.16   3.99
192609   0.43   4.48  -0.56  -3.86   4.46  -1.26   0.89   1.65   0.02   0.52  -1.55  -0.09
192610  -1.47  -8.47  -3.44  -0.90  -4.79  -5.45  -0.11  -2.88  -2.54  -1.20  -5.22  -3.03
192611   4.92  -2.37   3.26  -0.62   5.05   4.79   1.63   3.31   5.90   4.78   1.93   1.63
192612   0.04   9.56   3.03   2.21   3.14  -2.73   0.51  -0.67   0.43  -0.68   1.64   2.55
192701  -0.90  -1.17  -0.64   1.08   0.00  -0.84   1.88  -1.99  -2.79   4.43  -2.49   1.32
192702   3.01   8.02   4.12   0.98   9.52   4.60   3.97   4.13   3.11   1.08   2.63   4.75
192703   1.86   1.34  -0.17  -6.52   5.06  -0.42   4.16  -0.06  -0.58   0.81   0.86   0.75
192704   3.20   2.93  -0.10  -5.39   2.52   6.20  -2.13   1.46   3.82   2.16   2.82   0.65
192705   7.89   4.57   5.15   4.31   4.11   7.56   3.35   8.83   2.23   3.48   9.93   5.83
192706  -2.46  -3.25  -3.40  -3.64  -2.70   1.92  -3.47  -3.96  -0.79   0.23  -1.08  -2.78
192707   4.64  12.82   9.83   2.71  16.83  13.32   3.73   4.97   9.59   9.30   6.54   5.66
192708   2.53   6.29   2.54  -0.64   1.80   6.64   0.43   3.09   6.93  -0.28   1.51  -1.57
192709   4.59   5.45   3.80   2.95   5.43   0.13   5.21   7.93   7.34   5.46   5.59   3.96
192710  -0.98  -4.53  -6.90  -2.31  -7.11  -7.20  -2.09  -4.60  -5.16   4.30   4.06  -4.41
192711   6.57   4.41  10.85   3.74   7.97  11.10   2.83   5.99  11.28   3.12   7.83   3.92
192712   1.52   7.54   3.20  -0.10  -0.36   1.37   0.09   1.95  -0.83  -0.77  10.42   0.70
192801   0.42  -3.49  -0.83  -2.02  -0.63  -0.48   0.29   5.58  -1.07   2.25   1.40  -1.43
192802  -4.47   0.56  -3.12  -0.75   0.97  -0.92  -0.30  -0.97  -1.52  -1.58  -2.93  -2.31
192803   3.72  27.30   5.93   5.03  11.95  21.75   0.71   6.35   8.29   9.90   9.22   5.35
192804  -0.60   1.35   1.80  15.01  -0.11   2.29   3.22  10.64  -0.40   2.14   8.85   3.64
192805   0.66   4.44   3.54  -5.73   2.67   1.62   6.61   1.25   3.67   8.55   2.14  -0.48
192806  -5.06  -4.25  -6.01  -4.32  -3.73  -6.26  -6.41  -3.65  -3.53  -3.57 -10.57  -4.48
