This file was created by CMPT_IND_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for 17 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
        Food   Mines  Oil    Clths  Durbl  Chems  Cnsum  Cnstr  Steel  FabPr  Machn  Cars   Trans  Utils  Rtail  Finan  Other
192607   0.26   3.40  -1.48   5.91  -1.79   8.19   1.28   2.26   3.77   8.14   3.69  16.90   1.51   6.89  -0.11   0.30   1.20
192608   2.81   0.67   3.23   0.01  -2.74   5.67   5.25   4.28   1.63  -5.88   1.98   3.37   4.18  -2.07  -0.91   4.16   3.05
192609   0.46   0.16  -4.19  -0.53  -0.12   4.66   0.63  -1.09  -0.36  -4.23  -1.37   5.24  -0.04   1.65   0.02  -1.55   0.56
192610  -3.40  -1.14  -1.09   0.13  -6.47  -4.99   0.54  -4.84  -4.15  -5.83  -3.37  -8.53  -3.24  -2.88  -2.50  -5.22  -0.90
192611   6.26   4.36  -0.70   2.07  -2.58   5.22   4.08   2.40   3.30   3.24   4.10  -2.63   1.71   3.31   5.90   1.93   1.31
192612  -1.42   0.52   2.26   1.31   3.39   3.18   1.60   2.63   3.05  -3.98   0.54  10.47   2.72  -0.67   0.42   1.64   0.48
192701  -1.19   0.35   1.59  -1.43   4.19   0.09   0.22  -2.84  -0.66  -3.10  -0.68  -1.33   0.88  -1.99  -2.78  -2.49   1.75
192702   4.46   5.37   0.44   4.00   1.11   9.75   0.86   4.57   3.14   5.72   5.00   8.68   4.74   4.13   3.11   2.63   4.22
192703   0.75   4.01  -7.55  -1.71  -2.85   5.11   4.29   2.78   0.90  -9.16  -0.07   1.47   0.35  -0.06  -0.55   0.86   2.45
192704   2.52   1.70  -5.99   4.18   2.11   2.82   3.62  -0.76  -0.62   4.39   4.93   2.89   0.44   1.46   3.84   2.82  -1.93
192705   6.13   1.47   4.40   5.87   7.16   3.98  10.35   5.90   3.09   6.04   7.32   4.52   6.83   8.83   2.23   9.93   3.39
192706  -2.80  -3.47  -3.65   0.77  -3.86  -2.82  -2.57  -5.61  -4.49   6.16   0.88  -3.20  -2.66  -3.96  -0.77  -1.08  -3.61
192707   4.74   5.69   2.80   5.36   5.77  17.61   4.76   6.69  10.04  10.21  11.80  13.43   6.16   4.97   9.63   6.54   4.50
192708   2.14   1.24  -0.94   1.05  -0.17   1.81   3.05  -0.81   3.40   2.38   3.86   6.75  -1.43   3.09   6.97   1.51   1.64
192709   5.31   3.94   3.05   3.15   2.35   5.57   4.02   4.80   3.20  -0.24   1.49   5.75   3.79   7.93   7.38   5.59   5.47
192710  -2.74  -4.40  -2.08   5.78  -5.49  -7.73   0.56  -4.90  -8.02  -1.46  -7.36  -4.46  -5.03  -4.60  -5.14   4.06  -1.65
192711   7.14   7.94   3.35   3.28  -0.65   7.87   6.01   5.81  11.85  14.94  10.06   4.49   3.98   5.99  11.37   7.83   5.19
192712   2.65   6.34   0.23   0.88  10.02  -0.49   0.16  -0.88   5.32   2.77   1.62   7.56  -0.24   1.95  -0.85  10.42  -0.23
192801   2.36  -2.97  -1.85   2.26  -1.55  -1.53  -1.42   2.45  -2.65   2.01  -1.10  -3.55  -0.94   5.58  -1.08   1.40   0.75
192802  -3.06  -5.77  -0.68  -4.13  -4.61   0.96  -5.42   0.80  -3.41   0.41  -1.43   0.90  -2.06  -0.97  -1.48  -2.93  -1.29
192803   4.46   5.90   5.06   5.63  16.37  12.66   2.46   5.61   5.65  12.04  12.26  28.44   5.44   6.35   8.29   9.22   5.40
192804   2.54  -0.12  16.33   2.05   1.28  -0.50  -4.75   2.01   1.22   0.49   2.95   1.09   3.85  10.64  -0.41   8.85   3.32
192805   1.60   0.91  -6.18  -3.80  -1.01   3.15   0.33  -1.37   5.01   7.58   1.15   4.89  -0.91   1.25   3.69   2.14   6.18
192806  -4.67  -5.19  -4.09  -9.21 -12.28  -3.96  -4.41  -4.60  -6.29  -5.89  -4.50  -3.72  -4.66  -3.65  -3.51 -10.57  -7.63
192807   0.89  -1.51   1.14  -1.97  -1.10   1.73   3.47   1.67   2.48   5.86   0.91   0.88  -0.77  -1.55   5.32   0.26  -0.92
192808   7.68   5.66   1.90   0.79   8.14   8.56   5.62   4.08   8.90  15.97   7.89   8.42   3.79   6.12  13.34   5.14   6.90
192809   1.28   1.23   5.55   1.06   4.86   3.58  -0.17   4.73   5.30  -2.35   1.38   8.14  -0.09   3.61   0.04   1.43   0.00
192810  -0.64   1.60   2.32   1.49   8.48   5.32   2.85   5.01   6.28  -1.26   1.37  -0.27  -1.58  -2.16   5.68   2.57   2.16
192811   6.45  12.16  17.25   6.01  11.94  11.53   7.23   9.18  14.18   4.83  15.73   3.00   8.98  21.64  15.05   9.91  10.88
192812  -0.11   0.74  -4.71  -3.98  -4.79   2.13  -2.61   0.73   3.35   0.78   6.54  -1.08  -0.18   1.37  -1.39   0.55  -0.42
192901   3.32   6.20  -8.18  -1.71   8.56  22.96   3.59   8.37   7.56   3.05  12.16   0.90   4.07  12.93  -4.00   8.24   9.53
192902  -2.13   6.25  -0.61  -0.66  -6.26  -0.25  -4.84  -3.75   8.50   7.09  -1.49  -0.30  -1.52  -2.19  -2.70   0.74   0.42
192903  -5.15   0.84  11.57  -6.80  -8.48  -3.95  -4.67  -6.19  -0.68   1.58  -2.76  -1.71  -2.86  -3.36  -5.23  -1.62   5.37
192904   3.64  -5.29   0.74   2.89   0.01   3.75  -1.66   3.41   1.01  10.61   3.48  -1.00   0.98   4.88   3.43   0.44   1.01
192905  -5.43 -10.17  -6.09 -11.21 -10.32  -7.64  -2.70  -7.30 -12.96  -6.67  -0.47 -16.21   0.92   4.58  -8.80  -3.23  -9.32
192906   7.70   2.21   0.71   3.41  16.38  20.01   0.49   7.53  10.34  12.51  17.36   6.52   5.99  23.32   9.36   5.69  11.44
192907   4.54   2.05  -1.04  -4.01   7.83   5.21   1.85   3.64   3.12   4.38   9.65  -3.90   7.58   9.00   0.85   8.42   7.12
192908   4.09   7.55  11.30   0.27   7.20  11.69   5.78   2.92  11.34   9.58   9.84   1.98   7.23   8.66   7.77   5.96  10.19
192909  -2.73  -4.62  -3.24  -4.24   6.51  -7.20  -6.68  -3.02  -9.24  -5.34  -6.14  -9.50  -8.25   1.22  -5.59  -6.18  -3.77
192910 -15.15 -11.71 -10.31 -16.88 -33.93 -24.98  -4.95 -16.24 -15.86 -22.01 -25.31 -28.58  -9.96 -30.13 -24.17 -29.41 -18.73
192911  -9.77 -12.21  -6.98 -13.74 -12.61 -16.97  -8.21 -10.38 -14.55 -16.55 -16.46 -19.01  -8.41 -14.95 -13.14 -14.28 -12.87
192912  -0.69  -4.28  -1.18  -2.91   2.99   6.58   1.32  -2.10  -1.05   5.04   7.42   4.60  -0.43   7.62  -6.22  -0.48  -0.24
193001   4.34   3.55  -1.04   6.92   2.80   7.88   8.00   6.70   5.20   7.84  13.28   5.44   3.30   7.07   4.48   9.67   1.47
193002  -0.20   0.29  -5.69   2.70  -8.37   1.83   3.38   0.41  -0.31  10.34   6.15   2.18   2.25   8.17  -5.56   5.91   8.70
193003   0.22   0.77  18.80   0.80  -0.64  10.60   3.86   2.20   4.90   6.48   6.73  11.68   3.77   9.62  -2.64   8.28   8.58
193004   2.65 -12.64   7.25  -6.16  -7.61  -5.25  -1.90  -5.70 -13.83  -4.42   1.85  -8.06  -7.24   3.19   2.05  -4.04  -2.08
193005   1.63   3.17  -4.30  -5.27  -9.72  -2.57   0.58  -2.01  -0.23   0.22  -3.61   3.87  -1.51  -1.65  -0.23  -5.80  -2.33
193006 -12.37  -9.74 -15.87 -16.06 -27.05 -17.93 -10.63 -19.63 -13.72 -17.30 -18.04 -22.40 -11.28 -19.16 -16.34 -22.07 -14.93
193007   2.84   1.61   5.36   3.61   2.72   5.43   3.94   7.17   2.93   8.18   2.62  12.47   2.99   3.81   2.53   4.42   2.87
193008   1.52  -9.74  -4.07  -2.65  -7.11   4.15   3.54  -3.43  -2.88  -0.02   2.80  -3.08  -0.07   0.84   4.72   0.72   0.25
193009 -10.70  -8.30 -16.21  -7.13 -20.59 -14.54  -9.30 -16.71 -12.21 -11.60 -16.28 -16.76  -9.94 -12.10 -11.23 -18.49 -11.61
