This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and BEME.

The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year. 
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
192607,   3.6703,  -0.4119,  -2.2605,   0.3530,   1.9699,   2.0534,   2.3405,   0.3878,  -1.8249,  -0.3344,   1.7232,   2.0538,  -0.1652,   2.9234,  -1.2629,   1.1576,   1.4434,   0.8678,   0.0681,   2.4678,   3.2561,   5.8453,   1.8893,   2.6589,   0.5623
192608,  -2.2074,  -8.7275,   2.1462,   0.2932,   8.3968,   2.0344,  -1.4904,   3.4992,   0.2960,   6.1675,  -1.0034,   2.2309,   1.5500,   4.0807,   7.9540,   1.1025,   3.4062,   1.7588,   1.8358,   4.8835,   0.6436,   3.9927,   1.5069,   4.9469,   7.7576
192609,  -6.4503,  -0.6785,  -6.3059,  -2.2034,   0.8649,  -3.0963,  -2.3569,   0.7071,  -3.6361,  -0.9871,  -1.4976,  -0.3883,  -2.8700,   2.5274,  -3.6215,   0.5793,  -1.2231,  -2.5319,   0.7728,   0.8730,  -1.7721,   2.8498,  -0.3144,  -0.9353,  -3.2320
192610,  -9.0140,  -3.7532,  -6.0109,   5.7170,  -2.6101,  -1.8674,  -3.2663,  -5.2391,  -8.3506,  -1.3213,  -5.5237,  -3.0615,   0.0939,  -2.4832,  -3.1373,  -3.7558,  -2.7533,  -2.2949,  -3.2255,  -5.3525,  -2.9344,  -3.2154,  -2.4406,  -5.0249,  -5.8129
192611,   3.4744,   6.6476,   1.9364,  -5.0061,   0.1319,   2.7645,  -2.6973,   2.5601,   4.4749,   2.7292,   1.8407,   4.3869,  -0.4886,   4.6613,   3.3024,   3.2601,   1.8655,   3.4836,   4.5142,   1.3632,   3.7165,   1.7684,   0.8383,   3.1171,   2.5636
192612,  13.7649,  -2.3495,  -1.4156,   3.0180,   0.8556,   2.3413,   3.3883,   0.6146,   2.1222,   5.1512,  -3.6192,   1.4352,  -2.0296,   2.1829,   1.5349,   2.5946,   1.6445,   0.9011,   2.2307,   0.1578,   0.9271,   2.3831,   1.2165,   5.7398,   1.5427
192701,   0.3412,  -8.2999,  -4.7873,   3.2267,   2.0166,   2.4352,  -4.4009,  -0.3697,  -1.0067,  11.0570,  -0.8701,  -0.4882,  -0.6624,   1.9512,   2.1016,   1.9642,   1.3734,  -0.7869,   0.0153,   7.3063,  -0.9399,   0.0190,  -0.5561,   0.0257,   4.2141
192702,   2.4884,  -0.3049,  10.2554,   3.5791,  10.1452,   1.8048,   8.6948,   7.3294,   4.2653,   7.5867,   6.1214,   5.3795,   4.1719,   5.9412,  13.1288,   4.9745,   3.8002,   2.1160,   6.4969,  11.0488,   2.9727,   4.8088,   2.8000,   4.6268,   6.2731
192703,   6.2452,  -1.7464,  -7.9453,  -2.8979,  -3.5735,  -2.6959,  -1.2823,  -2.4788,  -1.2248,  -0.5928,  -0.3860,  -4.2980,  -1.7623,  -2.3568,  -5.9028,  -2.7119,  -0.4964,  -2.0623,  -2.1741,   3.5379,   0.0523,   1.1471,  -0.6960,   0.3706,  -4.6005
192704,   5.5030,   7.8111,   3.6524,   3.5800,   6.4218,  -2.3282,  -4.9472,  -0.5266,  -0.7993,   4.4712,  -2.7480,   0.8983,  -1.5558,   1.8119,   1.6049,  -0.5471,   1.7162,  -1.4691,  -0.1278,   5.7530,   2.4458,   0.6833,  -0.3464,  -0.6745,  -3.5345
192705,   8.0784,   9.0399,   0.7127,  16.2044,  10.0697,   7.4641,   2.3643,   5.1536,   8.5348,  13.4530,   2.9590,   6.5247,   5.6522,   6.6351,  12.5426,   4.2507,   5.7235,   3.6142,   6.8208,   7.3741,   5.3583,   4.2053,   4.9209,   5.0568,   4.7762
192706,  -5.5702,  12.1487,  -7.2641,  -2.5806,  -4.5404,   2.6738,   2.0909,   4.0182,  -1.0523,  -6.6871,  -2.0764,  -4.2502,  -1.8523,  -0.2549,   1.7373,   0.5737,  -3.9428,  -4.2466,  -3.0327,   1.6697,  -0.6054,  -3.8809,  -3.2320,  -3.9348,  -6.1540
192707,  24.4089,  11.6607,   4.6663,   2.1155,   5.4903,   5.6449,   6.7654,   3.6396,   7.2037,   4.0386,   2.3404,   5.3694,   5.8555,   2.2231,   8.6321,   6.2566,   6.6876,   6.7510,   7.1358,   1.4324,  11.1352,   5.5709,   6.3590,   8.2404,  13.4463
192708,  11.7732,   3.7427,   0.4751,  -1.1478,   1.3677,   0.9771,  -2.6517,  -1.9105,   0.2021,   5.1792,   0.1829,   1.8797,   2.3546,  -2.8468,  -5.5247,   4.6085,   3.0781,   0.7457,  -2.9484,  -6.3110,   5.1577,   0.9180,  -0.0299,   0.2683,   3.9099
