This file was created by CMPT_ME_BEME_NI_ACCR_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME, BEME, NI, and AC/B.

The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year. NI (net stock issues), the change in the natural 
log of the split-adjusted shares outstanding from the fiscal year-end in t−2 to t−1. 
Ac/B (accruals) is the change in operating working capital per split-adjusted share from t−2 to t−1
divided by book equity per split-adjusted share in t−1.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
                                       Small                                                                    2                                                                     3                                                                     4                                                                   Big                                  
                                       AllBM                                                                 AllBM                                                                 AllBM                                                                 AllBM                                                                 AllBM                                 
         NI<0      NI=0      LoNI         2         3         4      HiNI      NI<0      NI=0      LoNI         2         3         4      HiNI      NI<0      NI=0      LoNI         2         3         4      HiNI      NI<0      NI=0      LoNI         2         3         4      HiNI      NI<0      NI=0      LoNI         2         3         4      HiNI    
         AllAc     AllAc     AllAc     AllAc     AllAc     AllAc     AllAc     AllAc     AllAc     AllAc     AllAc     AllAc     AllAc     AllAc     AllAc     AllAc     AllAc     AllAc     AllAc     AllAc     AllAc     AllAc     AllAc     AllAc     AllAc     AllAc     AllAc     AllAc     AllAc     AllAc     AllAc     AllAc     AllAc     AllAc     AllAc   
196307   -0.0524    0.5352   -2.4140   -2.2606   -1.3386   -0.3095    1.1539   -1.9388   -1.4960   -0.2577    1.7957    2.2893   -1.8204    0.3932   -3.0324   -0.6091    0.1280   -1.6127   -3.7777   -4.5064    2.0214   -2.2442   -0.9232   -2.1120    0.0424   -1.0634   -3.3226   -0.0046    1.4458    0.5129   -0.1769    0.4373   -0.3102    0.6385   -0.8698
196308    3.8452    2.3685    3.4904    4.2560    4.4024    1.7521    3.9409    4.3126    4.5442    8.2156   12.1218    7.0105    3.8052    2.2854    3.9131    4.2751    7.2775    5.2591    8.0492    5.3595    7.6499    5.8529    4.1104    5.3865    6.2704    5.6886    5.6533    7.6985    5.6417    4.2041    4.7742    6.3022    5.9332    4.9012    6.1636
196309   -0.9041   -1.1670   -2.4154   -0.2488   -4.7094   -0.1437   -1.5961    0.9027   -2.3500   -3.7717   -2.3382   -3.0744   -2.7704   -2.6859   -0.6835   -1.8040   -0.4247   -4.1335    0.8421   -3.6288   -4.3670   -2.3341   -1.6880   -1.2310   -3.3413   -2.3638   -3.2811   -1.4623   -2.1950   -2.5184   -1.7343    0.3145   -0.8570    0.0736   -2.0855
196310   -0.1075    0.3120   -2.7966   -1.4467    3.5135    3.4689   -0.8315   -0.7710    2.8451    9.9285    6.7113    6.4953    4.9167    0.7275    1.9344    1.1008    2.1518    8.1604   -2.2351    2.1213    2.2032    1.3673    1.0769    3.5788    1.8492    2.1751   -0.9778   -0.1088    0.1720    1.3491    2.6445    6.3045    6.0503    3.0567    1.3907
196311   -0.4693   -2.1693   -3.9654   -2.4608   -5.4538   -0.9498   -4.0102    0.7346   -1.2400   -1.1132    0.1985   -1.9386   -0.4038   -3.1978   -0.9680   -1.1129   -0.7748   -1.5025   -3.3886   -3.4948   -2.2645    0.0062   -0.0509   -1.4971    0.0713    0.4336    0.2372    0.0757   -1.0882   -0.8303    0.4822   -3.5122   -1.4094    3.1159   -1.0102
196312   -2.4094   -0.4032   -4.3512    1.0116   -0.5081   -0.8559   -2.6086   -0.0464   -0.3359   -3.2430   -0.7981    0.8673   -0.1533    1.1202    3.1379    0.5746    1.0452    2.8977   -1.2513   -0.2198    3.9500    2.0010    2.7485    1.1363    2.4871   -1.1687    1.1385    0.4117    3.0788    3.3994    2.9577    1.0130    3.8229    1.9620    1.8040
196401    3.6698    3.9983    5.1265    5.3482    3.0919    2.8406    4.9575    1.0164    4.2701    1.1320    4.3034   -0.4680   -1.2515    3.0139    2.4281    3.9424    5.8555    1.7959   -0.3493   -3.6635    3.3506    2.0596    3.2128    0.6235    0.5272    1.0149    0.9401    0.7304    2.9558    2.0164    4.5046    2.3393    2.7979    3.4147   -1.0019
196402    0.2839    3.4720    0.1818    1.0486    0.0450    3.0111    1.9917    1.2846    4.4437   -0.8542    2.2901    4.4343    1.8667    0.2125    2.3206    4.4945    2.5108    0.1188    3.4364    1.1672   -1.5501    3.1828    1.8781    2.7073    5.2873    4.3695    2.9526    1.2087    2.2385    2.5270    2.0201    1.2054    2.3814    0.2021    1.0465
196403    2.4681    4.4159    4.0114    2.7873    3.1669    2.4296   -0.0906    6.1575    4.8860    5.3885   10.1028    0.9318    3.8625    0.9674    5.4614    4.1320    7.1414    6.4885    3.1264    1.4926   -1.3968    4.3112    2.9340    5.6356    2.2129    2.3471    0.8650    2.6598    2.0641    2.4769    1.3701    0.9131    2.8690   -0.1079    0.7000
196404   -0.7685    0.6247   -0.8011   -0.9471   -3.2174   -0.1100   -0.9076   -0.6082   -0.9098    4.8624   -4.3432    1.3254   -0.7440    0.4259   -0.0751   -2.3491   -0.6009   -0.0907   -3.7087   -0.7237   -1.7221   -1.2216    4.2732   -0.4376   -1.0060   -2.6129   -2.4505    1.4393    1.1392    0.3411    0.5274    2.0081   -2.1540    1.6970    0.6987
