This file was created by CMPT_IND_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for  5 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
        Cnsmr  Manuf  HiTec  Hlth   Other
192607   5.43   2.73   1.83   1.77   2.16
192608   2.76   2.33   2.41   4.25   4.38
192609   2.16  -0.44   1.06   0.69   0.29
192610  -3.90  -2.42  -2.26  -0.57  -2.85
192611   3.70   2.50   3.07   5.42   2.11
192612   3.62   2.76   1.03   0.11   3.40
192701  -1.19   0.15   0.46   5.05   1.51
192702   5.28   4.00   4.19   1.71   5.06
192703   1.64  -1.43   3.65   1.01   1.27
192704   3.52  -1.13   1.35   2.74   0.86
192705   6.09   5.67   5.28   4.12   6.43
192706  -1.95  -3.03   0.51   0.54  -2.11
192707   8.69   7.51   7.59   9.84   6.09
192708   5.23   1.97   2.94   0.28  -1.06
192709   5.89   4.90   3.93   5.65   4.60
192710  -3.00  -4.70  -4.54   5.13  -3.79
192711   7.74   7.70   6.52   3.68   4.50
192712   3.60   2.20   1.28  -0.46   1.98
192801  -1.21   0.18  -0.03   2.69  -0.99
192802  -1.53  -1.11  -0.38  -1.38  -2.00
192803  13.86   6.96  10.32  10.54   6.09
192804   0.43   7.69   2.70   2.35   4.22
192805   3.50   0.10   4.36   9.27   0.00
192806  -4.05  -4.35  -5.12  -3.15  -4.27
192807   2.20   1.03  -0.29   2.39  -0.36
192808   8.99   6.28   7.23  14.57   4.75
192809   3.66   4.44   0.42  -1.14   0.98
192810   1.69   2.39   2.38   0.05  -0.42
192811   7.80  16.03  13.46   5.05  10.02
192812  -1.01   0.51   3.78  -0.41   0.45
192901   0.68   6.04  11.70   3.43   5.59
192902  -1.51   1.35  -0.90   0.05   0.02
192903  -3.62   1.09   4.41  -1.50  -2.16
192904   1.10   2.44   2.48   1.48   0.44
192905  -9.68  -5.66  -3.68  -7.84   0.03
192906   7.03  12.44  15.73   4.52   5.73
192907   0.38   4.56  10.97   2.59   6.61
192908   4.94   9.73  11.92   3.09   7.82
192909  -5.72  -3.94  -5.10  -7.02  -6.44
192910 -20.45 -20.47 -22.65 -18.02 -11.87
192911 -12.19 -12.35 -14.84  -7.90  -9.57
192912   0.12   2.35   6.10   1.11  -0.51
193001   5.54   5.04   6.32   2.55   4.92
193002   0.47   2.23   7.45   3.15   3.32
193003   3.86  10.15   8.41   5.99   4.83
193004  -1.72  -1.07  -0.84  -1.27  -6.41
193005   1.85  -2.14  -2.40  -1.49  -0.95
193006 -15.66 -16.95 -14.85 -13.34 -11.74
193007   5.40   4.64   2.78   6.52   3.46
193008   1.56  -0.43   2.00   7.71  -0.36
193009 -11.51 -13.57 -12.35  -8.70 -10.56
193010  -7.46  -9.06 -10.87  -4.37  -8.43
193011   2.04  -3.75  -3.27  -3.23  -5.17
193012  -5.83  -7.80  -7.09  -6.79  -8.81
193101   6.47   4.50   4.99   8.23  11.83
193102  11.35  12.07  13.43   7.81   5.52
193103  -2.64  -7.06  -5.64   1.80  -9.41
193104  -5.90 -12.30  -8.48  -3.62  -9.88
193105 -10.64 -13.86 -10.76 -10.26 -17.44
193106  11.01  15.12  13.99   9.69  16.34
193107  -2.84  -7.23  -7.25   2.61  -9.91
193108  -0.32   1.32   2.02   0.39  -3.90
193109 -28.58 -30.86 -26.78 -29.45 -26.50
193110   9.99   9.38   7.02  11.26   1.88
193111  -5.42  -7.29  -9.77  -2.79 -19.20
193112 -10.69 -15.53 -10.06  -4.10 -16.48
193201  -0.41  -2.19  -6.74  -2.66   6.71
193202   4.33   6.96   9.78   2.05  -0.19
193203 -10.33  -9.70 -11.41  -6.41 -15.99
193204 -15.89 -18.19 -16.23 -19.77 -22.36
193205 -22.68 -17.82 -16.06 -34.08 -30.03
193206  -0.75   1.25  -5.41  11.05  -2.01
193207  28.44  35.86  24.40  29.18  55.78
193208  28.96  37.21  33.84  35.87  58.75
