This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and BEME.

The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year. 
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
192607,   1.2005,   0.7353,  -0.1953,   5.4620,   1.7294,   1.3500
192608,   0.4819,   1.1918,   5.2663,   2.3581,   2.3151,   6.1852
192609,  -3.7839,  -0.6824,  -0.5923,   0.9787,  -0.5871,  -1.1063
192610,  -3.7092,  -4.5998,  -2.1424,  -3.8299,  -2.5707,  -4.1649
192611,   2.9839,   3.3022,   1.8785,   2.2894,   2.4368,   3.2964
192612,   1.7716,   0.9162,   3.1380,   2.2593,   1.7823,   1.3344
192701,  -1.1910,  -0.6015,   3.7167,  -0.5245,  -0.2152,   4.3266
192702,   3.7617,   6.0342,   6.4068,   4.5196,   3.1619,   8.5120
192703,  -2.2752,  -1.7433,  -3.2852,   0.8146,  -0.5078,  -2.8737
192704,  -1.5443,   0.6207,   3.3376,   2.7809,  -0.9287,  -0.6338
192705,   5.3208,   3.0856,  13.1355,   4.8652,   4.7321,   7.3479
192706,  -2.4331,   0.5598,  -4.1601,  -1.4750,  -3.7334,  -2.5056
192707,   4.1088,   4.9988,   3.8393,   9.0159,   6.4088,   7.0981
192708,   2.1672,  -2.4574,   0.7997,   3.5778,   0.7213,  -2.3013
192709,   1.6923,   1.5669,   0.1535,   4.8694,   3.8671,   5.6960
192710,  -0.3161,  -2.3726,  -6.1864,  -3.8724,  -4.4440,  -6.7686
192711,  10.1901,   7.8057,  10.1433,   6.4128,   6.2464,   6.2759
192712,   4.8432,   1.9486,   2.2247,   1.9474,   1.3292,   2.8857
192801,   3.0523,   2.5275,   3.4065,  -0.6508,  -0.6017,  -2.4696
192802,  -4.9019,  -1.8852,  -4.1929,  -0.9780,  -1.6435,  -3.0202
192803,   6.8690,   8.0680,   9.2575,  11.7314,   5.6561,   7.6386
192804,   4.0013,  10.4751,   9.7824,   2.7373,   5.8209,   4.2486
192805,   7.4024,   1.7479,   2.4936,   2.2035,  -0.5433,   0.3388
192806,  -9.0610,  -8.7644,  -6.9685,  -4.1761,  -4.5766,  -5.9599
192807,  -0.7459,  -0.6530,  -0.9629,   1.1751,  -0.0781,   0.6947
192808,   6.0479,   4.7083,   3.5883,   8.3815,   4.9223,   6.5898
192809,   5.3709,   4.0456,   5.9828,   2.6912,   1.4321,   4.3672
192810,   6.5622,   2.8918,   1.5911,   1.1951,   1.2779,   1.7164
