This file was created by CMPT_ME_BEME_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for the intersections of  2
ME portfolios and  3 D/P portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  D/P is the total dividends paid from July of t-1 to June of t per dollar of equity in June of t.
Firms with negative or zero
D/P are not included in any portfolio.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Average Returns -- Monthly
               Small                 Big         
          Low     2    High    Low     2    High 
192707   4.61   5.35   4.40   7.53   8.16   5.80
192708  -0.64  -0.08   0.05   3.07   1.66   1.41
192709   1.22   3.57  -0.49   4.37   4.63   2.99
192710  -2.32  -0.31  -2.37  -5.08  -3.76  -3.19
192711  10.68   6.28   7.79   6.45   5.69   8.09
192712   4.91   4.18   3.45   1.08   1.58   4.39
192801   6.23   1.42   3.27  -0.97  -0.34  -3.12
192802  -4.25  -2.25  -2.57  -2.60  -1.04  -0.82
192803  10.07   5.19   5.93   8.09   9.30   5.17
192804  11.57   2.78   6.05   3.39   2.92   5.19
192805   3.01   3.22   4.69   0.66   1.39   2.72
192806  -7.58  -6.15  -8.42  -4.31  -4.35  -5.24
192807   2.00   0.80  -2.22   1.26   0.63  -0.48
192808   4.43   7.30   2.21   9.40   5.55   6.01
192809   1.68   2.69   3.93   1.78   2.65   2.24
192810   9.06   2.07   1.27   2.33   1.30  -0.45
192811   7.53  10.93   5.68  16.78   8.74   9.36
192812  -0.62   1.08  -0.54   0.91  -0.55   2.05
192901   6.32   0.48   0.76   4.16   6.04   4.97
192902  -1.95  -1.23   4.10  -1.57  -0.10   0.61
192903  -3.61  -5.29  -5.56  -1.07  -0.28  -2.02
192904   1.92   2.28  -0.30   3.04   1.49  -1.92
192905  -9.36  -8.55  -9.85  -3.11  -6.26  -8.31
192906   6.15   9.52   5.55  13.87   8.83   4.96
192907   2.58   1.75  -0.16   5.36   4.19   1.82
192908  -2.26   2.60  -0.01  11.33   8.48   3.04
192909  -2.85  -5.37  -3.30  -3.70  -6.14  -5.79
192910 -22.76 -19.51 -15.39 -24.96 -13.13 -13.74
192911 -17.58 -10.09  -9.39 -14.56 -11.55  -2.96
192912   1.31  -1.36  -4.58   3.84  -0.17  -5.19
193001   3.83   7.29   6.03   6.16   3.84   3.32
193002  -0.19   0.76   2.21   3.06   1.66   1.43
193003   7.71   5.82   6.51   7.94   5.87   2.93
193004  -4.38  -2.71  -4.01   0.96  -4.52 -11.32
193005  -1.11  -3.51  -2.07  -2.26  -0.27   1.17
193006 -19.14 -15.77 -14.40 -18.16 -12.73 -14.08
193007   5.23   2.56   4.59   3.48   4.80   3.85
193008  -0.15  -3.17  -4.31   1.56  -1.36  -6.38
193009 -10.52 -13.60 -17.18 -11.71 -12.37 -16.14
193010  -6.72 -10.52  -8.57  -8.15  -9.19 -11.63
193011  -5.35  -2.83   0.02  -3.01  -2.79  -0.42
193012  -8.30 -11.80 -15.28  -6.76  -7.87 -13.38
193101   2.97   8.88  12.80   4.21   7.83   6.27
193102   7.30  10.29  16.19   9.29   8.87  15.31
193103  -6.68  -5.00  -7.91  -6.17  -7.43  -6.93
193104 -11.23 -13.91 -16.93  -8.62  -9.21 -18.45
193105  -5.57 -10.41 -11.75 -12.87 -14.81 -16.77
193106   2.72   8.62  12.53  12.21  13.84  18.39
193107  -5.55  -7.67  -8.17  -5.70  -7.35 -12.01
193108  -4.68  -0.79  -1.29  -0.09  -1.54   2.46
193109 -30.44 -28.43 -33.61 -28.50 -28.31 -35.39
193110   5.36  10.59   9.03   8.63   4.71  11.32
193111  -3.98 -10.57  -5.48  -7.43 -12.99  -9.92
193112 -15.76 -15.59 -19.46 -11.89 -16.89 -20.90
193201  -0.13   1.70   8.48  -3.11  -0.25   0.76
193202   1.76   3.95  -4.74   6.05   2.84   1.87
193203  -9.54 -10.92 -11.49  -9.79 -14.91 -12.27
193204 -15.81 -15.90 -19.03 -17.37 -19.65 -18.75
193205 -15.80 -21.60 -21.55 -19.48 -23.98 -22.08
193206   6.41   1.19   4.43  -3.72   0.05   2.82
193207  26.25  31.05  42.12  24.14  35.98  55.08
193208  50.29  50.40  54.37  27.31  35.77  52.16
193209 -11.16  -5.15  -6.21  -3.55  -4.03  -0.04
193210 -17.20 -17.30 -19.82  -8.29 -13.69 -21.67
193211  -7.15  -6.88  -6.85  -5.17  -6.70  -7.27
193212  -3.83  -3.28  -5.57   2.38   5.58   4.85
193301  -1.36   4.96   8.54  -0.69   1.19   8.09
193302 -15.31 -19.41 -16.53 -12.96 -16.50 -20.42
193303  11.49   1.83   9.82  -1.99   4.04   8.89
193304  42.55  40.24  51.96  27.07  43.88  49.68
193305  58.58  45.28  49.05  15.98  17.96  26.46
193306  21.01  17.85  16.63   9.28  12.43  17.71
193307 -13.51  -7.95  -8.73 -10.57  -7.99  -6.68
193308  14.32   7.29   7.79  17.30  11.05   3.88
193309 -10.24  -7.59  -6.37 -11.79  -7.90  -8.59
193310 -14.68  -5.90  -7.38  -7.11  -5.92  -7.02
193311   7.63   4.08   2.68  18.01   7.51   3.55
193312   6.55   6.64   2.66   6.86  -0.65  -2.90
193401  23.78  22.83  13.41  10.25   9.57   7.92
193402  -2.51  -4.73   2.82  -3.37  -3.60  -0.26
193403   2.92   6.54   3.93  -0.66  -0.25  -0.68
193404  -1.98   0.87   1.20  -3.28  -0.99   0.51
193405  -9.53  -6.46  -4.74  -9.30  -4.97  -3.92
193406   1.65   3.60   4.20   2.10   2.72   1.34
193407 -18.46 -19.79 -11.79 -10.95  -7.63  -6.64
193408   7.28  14.14   3.66   6.18   4.61   1.70
193409   2.24   1.38  -2.34  -2.22   0.06  -0.35
193410   5.04   0.51  -1.96  -2.91   0.00  -1.26
193411  10.90   8.33   7.61   9.02   9.00   2.93
193412   1.76   5.56  -3.20   1.99   0.36  -3.39
193501  -4.85  -2.41  -0.83  -3.53  -2.89  -1.84
193502   0.12   0.93  -4.44  -2.26  -0.72  -0.86
193503  -2.44  -5.36  -6.69  -4.06  -4.07  -2.49
193504   4.20   7.04   5.43  12.05   6.82   7.67
193505   1.63   4.39  -0.43   3.22   1.93   4.68
193506   8.38   2.62   5.26   5.10   5.03   5.44
193507   5.22   9.97   2.39   6.22   6.73   5.28
193508   2.05   0.58   4.16   2.11   1.14   1.47
193509   3.86   5.55  -0.61   3.64   1.79   0.85
193510   8.93   8.23   5.58   6.55   6.98   4.57
193511   8.41   7.21   3.26   2.54   1.66   6.97
193512  11.59   1.08   8.57   3.70   3.86   0.90
193601   3.11   2.81   2.75   6.35   5.83   5.51
193602   7.56   2.58   0.45   1.68   0.56   2.34
193603   2.10   2.95   1.29   0.47   2.74  -3.47
193604 -12.35  -8.88  -9.14  -7.22  -7.76  -5.91
193605   5.53   5.43   1.18   4.49   3.39   5.81
193606   1.77  -0.49   2.78   2.64   3.41   1.62
193607  10.62   5.67   5.51   8.38   5.23   3.71
193608   0.04   1.23   0.23   1.23  -0.39  -0.29
193609   3.16   5.71   0.65  -0.42   1.05  -0.04
193610   4.95   3.31   7.91  10.60   5.86   4.56
193611   6.94   6.51   6.96   2.63   2.12   0.84
193612   4.63   0.35  -3.88   1.46  -1.68  -3.98
193701   4.69   4.75   4.99   3.56   0.70   2.40
193702   0.52   2.95  -0.99   1.98  -0.57  -1.98
193703  -3.46   0.66  -1.54   1.08  -2.70  -3.80
193704  -8.41  -9.96  -7.58  -7.60  -5.48  -6.35
193705  -1.67  -0.56  -0.78  -0.24  -1.13  -1.27
193706  -9.35  -8.21  -4.27  -2.79  -5.07  -4.79
193707   6.28   8.91   7.32   8.03   7.68  11.13
193708  -6.88  -2.95  -3.00  -5.78  -4.84  -4.06
193709 -20.76 -19.93 -16.87 -15.51  -9.66 -12.17
193710 -11.95 -10.38  -9.41 -10.27  -7.40 -10.15
193711 -11.47 -12.44 -13.05  -9.44  -7.50 -13.01
193712 -12.10 -10.69 -12.67  -1.52  -4.95 -11.64
193801   2.42   4.51   5.02  -1.68   0.05   7.07
193802   9.33   5.78   4.63   7.29   3.27   4.01
193803 -31.08 -25.73 -26.08 -25.72 -20.88 -24.34
193804  22.83  14.93  18.37  13.65  14.04  13.77
193805  -9.16  -4.79  -5.92  -5.68  -1.70  -4.80
193806  29.25  24.00  23.73  27.04  16.56  25.80
193807  16.13  11.73  13.50   6.10   6.63  10.12
193808  -7.57  -2.71  -5.75  -3.04  -1.96  -4.64
193809  -3.92  -3.25  -1.97   1.40   0.40  -1.24
193810  15.46  13.64  10.39   7.42   5.38  12.07
193811  -5.18  -3.81  -3.16  -1.81  -2.18  -2.45
193812   4.63   3.67   1.02   4.44   2.67   2.29
193901  -7.90  -9.19  -7.55  -7.29  -3.98  -7.44
193902   4.57   5.26   6.00   1.43   3.51   5.74
193903 -22.50 -15.98 -14.47 -12.45 -10.06 -13.76
193904  -1.45  -1.06  -0.45  -1.64   0.36  -0.37
193905   9.04  10.81   8.65   6.05   5.75   7.77
193906  -9.12  -6.79  -4.78  -6.24  -4.76  -6.29
193907  14.44  10.82  12.53   9.45   8.49   8.83
193908 -11.40  -9.57  -9.72  -6.13  -6.12  -7.69
193909  24.64  26.00  14.84  17.28   9.52  11.36
193910   0.68   1.16   5.84  -1.51   0.77   0.27
193911  -4.98  -6.20  -3.29  -4.63  -2.11  -4.05
193912   1.95   2.96   0.46   2.62   2.23   1.29
