This file was created by CMPT_ME_BEME_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for the intersections of  2
ME portfolios and  3 E/P portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  E/P is is earnings before extraordinary at the last fiscal year end of the prior calendar 
year divided by ME at the end of December of the prior year.  Firms with negative or zero
E/P are not included in any portfolio.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Average Returns -- Monthly
               Small                 Big         
          Low     2    High    Low     2    High 
195107   5.03   6.29   5.80   6.41   8.63   5.98
195108   5.74   6.02   5.12   3.86   5.71   6.74
195109   0.91   1.71   1.10  -0.24  -0.20   1.69
195110  -2.71  -0.46  -1.86  -4.14  -1.13  -2.28
195111   1.17   1.73   0.92   0.19   0.66   1.32
195112   1.64   1.89   1.43   4.05   4.98   2.58
195201   1.46   1.18   0.64   0.54   2.63   0.16
195202  -5.00  -2.33  -0.45  -2.94  -3.97  -1.46
195203   0.61   1.11   2.35   3.05   5.91   7.19
195204  -5.20  -4.94  -4.77  -4.47  -6.71  -4.68
195205   1.07   3.30   2.00   3.38   3.77   3.29
195206   2.65   3.31   2.50   3.67   4.90   5.96
195207   0.70   0.78   1.39   0.68   1.34   2.00
195208   0.54   0.14   0.15  -0.01  -1.00  -1.24
195209  -1.65  -0.62  -1.00  -1.17  -2.39  -2.43
195210  -1.91  -2.06  -1.16  -0.79   0.22  -0.32
195211   5.53   5.35   6.34   7.32   4.89   8.72
195212   2.95   1.80   2.17   1.82   4.13   2.82
195301   2.60   2.57   4.49  -0.10  -1.21   0.53
195302   2.32   0.73   2.04  -0.56   0.08  -0.79
195303  -0.88  -1.89  -0.82   0.04  -2.26  -2.95
195304  -2.36  -1.74  -0.34  -2.31  -2.98  -1.89
195305   0.23   1.59   1.00   0.89   0.76  -0.25
195306  -2.54  -3.61  -4.16  -1.49  -1.18  -2.52
195307   0.19   1.44   2.21   2.53   3.38   1.47
195308  -4.29  -3.76  -5.39  -2.35  -4.91  -7.34
195309  -1.15  -1.66   0.14   1.65   0.07  -0.55
195310   1.94   3.41   4.68   3.76   5.79   7.22
195311   0.36   2.44   0.92   3.76   2.47   2.57
195312   0.58  -1.59  -0.99   0.58   0.60   0.60
195401   6.66   6.42   5.93   3.02   6.53   7.87
195402   0.91   1.70   1.53   1.30   2.31   1.88
195403   2.85   1.10   2.89   3.81   4.15   5.49
195404   3.80  -0.20   2.45   4.39   5.28   5.96
195405   1.64   4.07   5.68   2.23   3.05   4.74
195406   0.25   2.73   2.33   2.89  -0.20   0.50
195407   6.73   5.25   8.92   2.99   6.21   8.03
195408  -1.94  -0.71  -0.65  -2.80  -2.04  -3.31
195409   5.53   4.56   4.61   4.65   9.53   8.66
195410   0.70  -1.82  -0.42  -2.70  -1.48   0.12
195411   9.06   8.76  10.90   9.65   8.04  12.82
195412  14.08   6.65  11.85   2.85   5.31  10.37
195501   2.45   1.51   1.59  -0.20   1.21   2.04
195502   5.37   3.71   7.02   3.91   1.60   3.50
195503  -0.18   0.16   0.14  -0.24  -0.40   0.57
195504  -1.00   2.76   0.92   4.38   3.04   2.49
195505  -0.81   0.31   0.28   2.33   0.46   0.17
195506   1.75   1.41   5.35   5.48   7.96  12.23
195507   2.82   0.96   1.03  -0.23   2.88   8.48
195508   1.73  -0.39   1.12   1.16  -0.07  -0.83
195509   1.26   1.11  -0.81  -1.11  -1.47   4.43
195510  -2.43  -0.77   0.00  -2.86  -1.82  -3.23
195511   6.32   4.93   3.88   6.63   6.80   8.72
195512   4.04   2.83   1.98   2.27   2.16   0.58
195601  -3.23  -1.10  -2.26  -3.30  -1.52  -4.24
195602   3.10   1.53   3.04   4.13   4.22   4.25
195603   4.98   4.68   3.81   6.74   8.64   5.62
195604   4.14  -0.29   1.73  -0.36   1.10   1.62
195605  -5.05  -4.76  -3.49  -4.66  -4.57  -6.35
195606   3.11   1.75   2.19   4.01   2.77   5.61
195607   3.15   3.42   4.46   4.38   5.26   9.02
195608  -0.23  -0.24   0.39  -3.59  -3.10  -0.44
195609  -2.51  -2.04  -3.19  -6.29  -4.50  -2.28
195610   0.88   1.07   1.81   0.69   0.33   2.14
195611   7.92  -0.26   2.03  -0.71   0.73   2.75
195612   9.05   3.51   3.43   3.21   4.13   4.67
195701  -1.14   0.05   1.13  -3.09  -3.85  -7.64
195702  -5.07  -2.09  -2.94  -0.86  -1.59  -4.48
195703   0.95   1.80   2.81   2.45   2.29   2.11
195704   3.85   2.81   4.33   4.52   5.36   3.97
195705   1.64   1.48   1.26   3.79   4.73   1.83
195706   1.36  -1.45   0.46   0.00  -1.00   0.38
195707  -1.64  -0.40   1.07   1.43   0.75  -0.15
195708  -5.86  -2.90  -5.08  -4.82  -4.15  -5.37
195709  -5.18  -3.50  -4.47  -6.10  -4.72  -4.11
195710  -9.93  -5.38  -6.29  -3.47  -3.18  -5.17
195711   6.01   1.45   1.95   2.75   2.81   1.38
195712  -5.39  -2.68  -4.32  -3.02  -3.12  -5.85
195801  14.90   8.76  11.20   3.13   5.48   8.15
195802  -1.41  -0.03  -0.24  -1.73  -0.42  -0.44
195803   4.43   3.60   4.32   3.08   3.65   4.99
195804   5.01   3.22   1.98   2.56   4.29   2.73
195805   6.13   3.47   3.32   1.80   2.76   2.51
195806   2.10   3.34   3.75   2.86   2.98   2.50
195807   4.88   6.24   6.46   4.17   3.61   8.27
195808   5.01   2.57   4.01   1.72   1.58   3.29
195809   7.76   7.62   6.27   4.18   5.63   7.44
195810   2.78   2.14   5.02   2.23   2.83   4.48
195811   6.35   4.32   4.56   3.07   2.88   3.28
195812   2.44   4.62   3.31   6.68   3.96   6.21
195901   2.20   5.52   6.30   0.00   1.26   1.48
195902   4.90   3.84   4.31   2.40  -1.46   1.74
195903   5.15   2.23   2.16   1.13   0.05  -0.50
195904  -2.05   5.65   4.17   4.54   3.71   4.47
195905   2.09  -0.38   0.33   2.40   1.78   4.23
195906   1.34   1.30   2.18  -0.66  -0.06   2.60
195907   3.13   3.00   3.83   4.39   2.26   3.81
195908  -3.39  -0.86  -0.58  -1.84   0.03  -1.80
195909  -4.67  -4.44  -4.10  -4.93  -4.01  -2.47
195910   2.59   2.24   1.63   1.19   1.52   2.93
195911   1.99   2.30   2.35   3.43   0.44   0.79
195912   3.74   5.10   1.32   3.44   2.49   1.45
196001  -7.79  -5.10  -3.57  -8.86  -4.90  -5.97
196002   1.42   1.53   1.57   1.11   3.22  -0.43
196003  -4.91  -0.21  -1.92  -1.11  -0.95  -1.07
196004  -2.90  -0.82  -0.70  -1.77  -1.08  -1.15
196005   4.25   4.21   2.78   4.66   2.64   0.84
196006   1.87   1.58   2.84   1.54   3.16   3.73
196007  -4.41  -3.66  -1.26  -4.26  -0.16  -0.51
196008   3.14   3.02   3.29   2.17   4.11   4.09
196009  -7.65  -6.81  -5.69  -7.54  -4.02  -4.06
196010  -6.22  -4.32  -2.91  -1.40   0.64   0.34
196011   8.58   4.91   4.86   5.64   4.01   4.60
196012   7.47   3.87   3.28   4.02   5.99   4.28
196101   7.35   6.16  10.36   4.43   7.17   9.30
196102   8.99   5.73   8.40   3.72   2.79   3.61
196103  11.61   4.43   5.06   1.83   3.76   3.22
196104   1.67   1.10   0.90  -0.29   1.03   2.71
196105   4.95   3.82   7.05   3.60   1.11   4.08
196106  -6.17  -4.30  -5.29  -2.27  -2.82  -2.74
196107   2.61   0.46   1.18   2.74   3.80   3.60
196108   0.02  -0.11   2.32   2.82   3.01   0.96
196109  -5.41  -3.37  -2.60  -1.26  -2.54  -0.68
196110   0.88   1.74   2.01   2.26   3.82   2.98
196111   8.05   5.56   4.99   4.21   4.25   7.04
196112  -1.43   0.40  -0.37  -0.27  -0.55   3.36
196201  -3.05  -0.71  -0.28  -5.82  -2.52  -0.06
196202  -0.08   0.79   1.84   1.93   2.75   1.25
196203  -0.42   0.09  -0.84  -0.48  -0.05  -0.74
196204  -8.40  -7.88  -6.20  -7.11  -5.39  -4.99
196205 -12.11  -9.80  -9.40  -9.91  -7.29  -4.96
196206  -9.52  -8.96  -5.58  -9.99  -6.94  -4.98
196207   9.07   5.60   5.41   8.85   4.95   4.04
196208   3.99   2.56   3.70   2.58   1.97   1.96
196209  -8.69  -6.36  -6.05  -6.21  -3.40  -3.38
196210  -5.54  -3.68  -1.44   1.24   0.51  -0.40
196211  16.19  13.36  12.60  11.46   9.53  11.07
196212  -3.27  -1.30  -0.33   0.89   2.56   2.25
196301   7.48   8.14   8.27   4.66   5.30   4.38
196302  -2.45  -1.66  -1.06  -2.91  -2.11  -1.23
196303   0.98   0.50   2.56   2.36   4.36   5.29
196304   4.19   3.19   3.39   4.90   3.99   6.02
196305   4.40   3.33   2.84   1.63   2.78   0.99
196306  -2.02  -1.95  -1.62  -2.71  -1.55  -0.30
196307  -1.15  -0.44  -0.51  -0.32   0.26   1.04
196308   5.70   4.97   4.67   5.39   4.74   6.18
196309  -1.92  -0.58  -1.87  -0.37  -2.15  -1.50
196310   1.82   1.44   2.08   3.86   0.29   6.98
196311  -2.83  -0.56  -1.08   1.03  -0.90  -4.16
196312   0.31   1.29   0.23   2.36   2.67   1.53
196401   2.06   2.83   3.31   3.17   2.43   2.08
196402   1.52   2.61   2.27   1.36   1.63   3.07
196403   3.34   3.53   5.06   0.93   2.48   2.15
