This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and INV.

The portfolios are constructed at the end of June.  INV is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
196307,  -0.9948,  -0.5733,  -0.0806,  -1.2470,   0.5767,   0.1385
196308,   4.6372,   4.4594,   5.5129,   6.1655,   4.7846,   6.0871
196309,  -1.0598,  -2.1548,  -2.1856,  -1.1655,  -1.3828,  -0.5186
196310,   2.0296,   1.0125,   1.5935,   2.1101,   1.8512,   7.0302
196311,  -0.7547,  -1.1463,  -2.4334,   0.1598,   0.1683,  -2.6006
196312,  -0.0896,   0.1965,   1.1302,   2.3276,   2.5514,   1.7010
196401,   4.2223,   2.9301,   1.4255,   2.7895,   2.7931,   2.5836
196402,   2.4672,   2.9371,   1.5451,   2.5652,   1.4302,   1.7831
196403,   5.8664,   3.2725,   2.4117,   4.1085,   0.8608,   1.7042
196404,  -0.9606,  -0.1700,  -1.5789,  -1.7484,   1.1728,   1.0256
196405,   2.6493,   0.5955,  -0.0474,   0.9815,   1.0041,   3.2032
196406,   2.1103,   1.9743,   1.0952,   0.3656,   2.2911,   1.0938
196407,   2.8255,   2.8312,   1.9547,   3.2268,   2.2007,   0.4136
196408,  -1.3950,  -0.1049,  -0.6187,  -0.3516,  -1.1057,  -1.8405
196409,   3.7909,   3.0992,   2.6096,   3.6136,   2.5282,   3.6396
196410,   2.0604,   1.6560,   1.4278,   0.3310,   1.0960,   0.0015
196411,  -0.7030,  -0.4482,   0.4764,   1.2028,   0.3373,   0.3370
196412,  -2.0047,   0.0588,   0.0955,  -0.6911,   0.9166,   0.4711
196501,   7.1148,   5.8170,   6.4228,   4.9256,   2.6397,   5.3880
196502,   4.0632,   3.4427,   4.3345,   0.7368,   0.0049,   1.8456
196503,   1.6942,   1.2469,   0.1707,  -1.0584,  -1.4308,  -0.9986
196504,   3.7009,   5.0619,   5.3918,   2.3008,   3.1278,   5.2050
196505,   0.5780,  -0.0969,  -0.1833,   0.4500,  -0.3890,  -0.1981
196506,  -9.2423,  -8.4090, -10.0558,  -5.7807,  -3.9511,  -5.7956
196507,   3.3655,   2.6210,   3.0868,   1.5616,   1.3241,   1.8810
196508,   6.2438,   4.5577,   6.0054,   2.2642,   2.5108,   4.0122
196509,   4.5080,   3.6062,   3.7489,   4.0280,   3.0268,   3.1437
196510,   6.4845,   6.3161,   7.2919,   2.4760,   2.4637,   3.1796
196511,   7.4924,   4.3872,   6.1013,  -0.8588,  -1.0865,   2.3234
196512,   2.8678,   4.1354,   4.5551,   1.2703,   1.1575,   0.4906
196601,   6.6074,   6.1187,   5.6439,  -0.0018,   0.3231,   1.1093
196602,   4.8028,   2.6158,   3.7811,  -3.2016,  -1.5898,   0.6979
196603,  -1.4978,  -3.0183,  -1.7997,  -1.3294,  -2.8732,  -1.0156
196604,   6.7723,   3.0874,   6.6650,   1.6236,   1.5981,   3.5419
196605, -11.7781,  -9.4789,  -9.9724,  -5.1839,  -4.8977,  -3.9426
196606,   0.9505,   0.0141,   0.2046,  -0.2351,  -1.6249,  -1.0878
196607,  -1.7576,  -1.3742,  -2.2579,  -0.1364,  -0.6789,  -3.1821
196608, -10.2680,  -9.6047, -10.7380,  -6.7964,  -7.1432,  -7.8735
196609,  -1.3659,  -1.6486,  -2.1386,   0.4196,   0.5197,  -3.8046
196610,  -0.7106,  -0.3750,  -3.8001,   6.8774,   5.4618,   1.4015
196611,   2.2846,   3.6746,   7.4233,  -1.5411,   0.7556,   6.3774
196612,   1.3138,   1.2361,   3.6965,   0.9356,   0.6542,  -1.1870
196701,  16.5922,  16.0299,  18.8092,   6.1937,   7.2328,   9.9261
196702,   4.1953,   2.8067,   3.3163,  -1.0424,   1.0836,   1.7221
196703,   5.8439,   6.6293,   6.6695,   3.9600,   3.5455,   6.1621
196704,   3.8920,   4.2582,   5.4112,   1.2585,   4.1627,   7.2417
196705,  -1.2772,  -1.7720,  -1.6919,  -2.2302,  -4.8893,  -5.0344
196706,   7.2318,   8.4786,  10.2178,   1.3440,   1.4608,   3.1289
196707,   9.9617,   8.0229,   7.1240,   6.6507,   3.8045,   4.0486
196708,   0.9417,   0.9017,  -1.4461,  -0.6700,  -0.6745,  -1.0937
196709,   4.9155,   4.9028,   5.9738,   3.1514,   2.8416,   3.9903
196710,  -3.5671,  -0.8302,  -3.9565,  -4.9366,  -3.0848,   0.5606
196711,  -1.2559,   1.1803,   1.1675,  -0.6442,   0.8399,   1.5129
196712,   8.8651,   7.1254,   9.2544,   3.0876,   2.4821,   2.6353
196801,   3.9883,   1.4837,  -2.3884,  -1.1605,  -3.5218,  -7.6904
196802,  -4.6310,  -5.3306,  -7.3590,  -1.7701,  -2.8146,  -4.0176
196803,  -0.8014,  -0.7137,  -1.9058,  -1.0993,   0.7887,   2.2984
196804,  14.1857,  13.1998,  17.1388,   6.7458,   7.9146,  11.1113
196805,   8.7105,   9.1262,   9.1000,   0.5658,   0.8463,   3.8202
196806,   2.4366,   1.0249,  -0.4000,   2.0748,   1.5467,  -0.4481
196807,  -1.0865,  -3.0787,  -5.5333,  -1.5641,  -0.6884,  -4.3366
196808,   4.5856,   3.0510,   3.9136,   1.8232,   1.1146,   1.7013
196809,   6.6646,   6.9401,   7.8381,   6.4102,   3.2659,   3.4026
196810,   0.6464,   1.3822,  -0.1323,   3.1656,   1.6729,  -1.6709
196811,   7.3172,   7.7453,   8.2561,   2.6859,   6.1346,   6.7843
196812,   0.4586,  -0.9334,  -0.5669,  -2.6263,  -4.1061,  -4.9104
196901,  -0.7747,  -0.3222,  -2.0988,  -0.9693,   0.3248,  -2.4572
196902,  -8.9861,  -7.5788, -10.0227,  -4.1073,  -4.6147,  -4.6660
196903,   2.5919,   2.9709,   3.2594,   2.9550,   3.6804,   3.1243
196904,   1.7615,   2.1585,  -0.2711,   0.7173,   2.6633,   2.6328
196905,   1.2069,  -0.1230,  -0.7024,   0.0235,   1.3229,  -1.0503
196906, -11.7609, -10.8892, -12.2120,  -7.1475,  -6.2984,  -3.5900
196907,  -7.9598,  -9.1358, -11.4785,  -5.6836,  -6.1247,  -6.1134
196908,   4.0122,   4.2177,   8.2572,   3.0224,   5.1093,   6.9357
196909,  -1.6779,  -0.8455,  -1.6444,  -2.9013,  -2.9498,  -1.2822
196910,   7.7876,   8.0351,  10.9790,   4.7507,   5.2014,   5.6269
196911,  -4.8007,  -5.2784,  -6.1122,  -2.5106,  -3.8575,  -1.8482
196912,  -6.6082,  -4.3423,  -4.9522,  -3.3530,  -0.5614,  -0.9253
197001,  -3.0431,  -3.0267,  -7.3255,  -5.7498,  -8.1034,  -9.3068
197002,   5.2496,   2.9441,   3.0877,   8.0160,   5.9119,   4.0648
197003,  -0.0529,  -1.7953,  -5.0400,   2.0342,  -0.2890,  -1.8386
