This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and INV.

The portfolios are constructed at the end of June.  INV is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
               Small                 Big         
        LoINV     2   HiINV  LoINV     2   HiINV 
196307  -1.1690  -0.6930  -0.2105  -1.3458   0.4188   0.0607
196308   4.3166   4.1269   5.2904   5.5347   4.3007   5.6743
196309  -1.3045  -2.4194  -2.4127  -1.3097  -1.5059  -0.5830
196310   1.8576   0.8702   1.4843   2.0283   1.6736   6.9301
196311  -1.1469  -1.4997  -2.6577  -0.6973  -0.3249  -3.4912
196312  -0.4094  -0.1684   0.8465   2.1727   2.3985   1.6296
196401   4.0833   2.7906   1.3237   2.7151   2.6761   2.5043
196402   2.1726   2.6521   1.3141   2.0117   0.9526   1.3475
196403   5.5753   2.9405   2.1669   3.8971   0.7050   1.6347
196404  -1.1149  -0.2882  -1.6675  -1.8210   1.0674   0.9585
196405   2.3655   0.3138  -0.2885   0.4366   0.5238   2.6275
196406   1.8333   1.6477   0.8131   0.1592   2.1441   1.0250
196407   2.6998   2.7291   1.8178   3.0850   2.1351   0.2881
196408  -1.6873  -0.4824  -0.7835  -0.8820  -1.6147  -2.0998
196409   3.5779   2.7812   2.3446   3.4593   2.3876   3.5290
196410   1.9376   1.5557   1.2855   0.1905   1.0152  -0.1427
196411  -1.0281  -0.8916   0.2544   0.4825  -0.3602   0.0252
196412  -2.2861  -0.3250  -0.2190  -0.8496   0.7746   0.3468
196501   7.0064   5.7318   6.2771   4.7944   2.5796   5.2532
196502   3.7792   3.0677   4.1947   0.2344  -0.4980   1.5753
196503   1.4654   0.8760  -0.0915  -1.2191  -1.5871  -1.1066
196504   3.5648   4.9684   5.2505   2.1886   3.0675   5.0818
196505   0.3193  -0.4597  -0.3360  -0.0847  -0.9777  -0.4627
196506  -9.4491  -8.7345 -10.3028  -5.9478  -4.1064  -5.8955
196507   3.2741   2.4679   2.9643   1.4586   1.2443   1.8154
196508   5.9085   4.1048   5.7464   1.7741   1.9432   3.6484
196509   4.2431   3.3403   3.5272   3.8019   2.9210   3.0323
196510   6.3802   6.1765   7.1553   2.3417   2.3590   3.1176
196511   7.1624   3.9110   5.8432  -1.4423  -1.8664   1.8901
196512   2.5741   3.8932   4.3320   1.0707   1.0601   0.4100
196601   6.5334   5.9960   5.5550  -0.1354   0.2486   1.0441
196602   4.5785   2.2998   3.6045  -3.6261  -2.1552   0.3623
196603  -1.8021  -3.3164  -2.0101  -1.5954  -3.0065  -1.1312
196604   6.6959   2.9699   6.5627   1.4935   1.4960   3.4803
196605 -12.0013  -9.8918 -10.1659  -5.6713  -5.5564  -4.2907
196606   0.7314  -0.2101  -0.0019  -0.4840  -1.7417  -1.1942
196607  -1.8317  -1.5117  -2.3612  -0.2978  -0.7442  -3.2859
196608 -10.7593 -10.0913 -11.0032  -7.5312  -7.7541  -8.1552
196609  -1.7050  -1.9167  -2.3582   0.2291   0.4085  -3.9995
196610  -0.8173  -0.5258  -3.9497   6.6928   5.3975   1.2728
196611   1.6784   3.1213   7.0891  -2.4521  -0.0500   6.0101
196612   0.9424   0.9231   3.4640   0.7604   0.5519  -1.3815
196701  16.4843  15.8296  18.6895   5.9701   7.1075   9.8075
196702   3.7997   2.4440   3.0920  -1.7294   0.5531   1.4749
196703   5.5123   6.3452   6.4561   3.7718   3.4285   5.9459
196704   3.7855   4.1425   5.3215   1.1026   4.1061   7.1474
196705  -1.6388  -2.1525  -1.8957  -2.9715  -5.4575  -5.2929
196706   6.9544   8.2559  10.0358   1.1767   1.3602   2.9675
196707   9.8127   7.8731   7.0611   6.4685   3.7381   4.0268
196708   0.5885   0.5523  -1.6297  -1.4254  -1.1773  -1.4188
196709   4.6820   4.7000   5.8187   3.0485   2.6856   3.9168
196710  -3.7190  -0.9835  -4.0278  -5.1403  -3.2033   0.5271
196711  -1.6117   0.8422   0.9739  -1.6158   0.3000   1.1896
196712   8.6236   6.8877   9.0935   2.9821   2.3296   2.5619
196801   3.8395   1.3510  -2.4587  -1.4385  -3.6509  -7.7912
196802  -4.9498  -5.6321  -7.5146  -2.4610  -3.3416  -4.2828
196803  -1.0029  -0.9141  -2.0695  -1.2176   0.6581   2.2189
196804  14.0127  13.0275  17.0663   6.4576   7.7744  11.0878
196805   8.4209   8.8543   8.9409  -0.1895   0.3598   3.5033
196806   2.2549   0.8519  -0.5373   1.9549   1.3822  -0.5269
196807  -1.2108  -3.2191  -5.5995  -1.7251  -0.8329  -4.3887
196808   4.2773   2.7583   3.7669   1.0732   0.6014   1.3829
196809   6.4527   6.7902   7.7597   6.3233   3.1075   3.3384
196810   0.5250   1.2296  -0.2094   2.9606   1.5263  -1.8385
196811   7.0497   7.4661   8.1398   1.7995   5.6298   6.5680
196812   0.2231  -1.0889  -0.6614  -2.7286  -4.2665  -5.0097
196901  -0.8895  -0.4552  -2.1540  -1.1463   0.2147  -2.4962
196902  -9.2172  -7.8172 -10.1285  -4.7823  -5.1445  -4.9796
196903   2.3641   2.8120   3.1557   2.8518   3.5153   3.0263
