This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and OP.

The portfolios are constructed at the end of June.  OP is operating profits (sales - cost
of goods sold - selling, general and administrative expenses - interest expense) divided by book
at the last fiscal year end of the prior calendar year.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

Please be aware that some of the value-weight averages of operating profitability for
deciles 1 and 10 are extreme. These are driven by extraordinary values of OP for
individual firms. We have spot checked the accounting data that produce the
extraordinary values and all the numbers we examined accurately reflect the
data in the firm’s accounting statements.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
               Small                 Big         
        Lo OP     2   Hi OP  Lo OP     2   Hi OP 
196307  -0.8167  -0.5347  -0.4746  -0.8589   0.3816   0.1119
196308   4.8133   4.2508   5.3243   5.5091   4.9791   5.7889
196309  -1.0017  -1.2107  -2.7688  -1.6868  -0.8015  -1.4496
196310   1.3756   1.8925   1.5992   0.8887   1.4846   6.1620
196311  -1.2486  -1.1323  -2.2513  -1.4645   0.2942  -1.3537
196312  -0.1170   0.8817   0.4394   2.4494   2.4511   2.0426
196401   2.9095   2.8166   2.8927   2.1995   2.8791   2.6477
196402   2.8281   1.2619   2.9991   2.1956   1.3266   2.1431
196403   5.1076   3.4402   2.5317   3.2723   1.1000   1.8187
196404  -1.2569  -0.8065  -1.3733   2.2635   0.9878  -0.3198
196405   1.9284   0.4399   1.3544   1.9813   1.1603   2.0405
196406   1.3958   1.6919   1.9186   1.8599   2.5309   0.5010
196407   2.8400   2.7918   2.4640   1.8459   1.5972   2.5023
196408  -0.8116  -0.7895  -0.4836  -1.0358  -1.0881  -1.2435
196409   3.1159   2.5957   3.3049   4.4287   2.3004   3.2753
196410   1.3193   2.0776   2.4417   1.7257   1.1796   0.0201
196411  -0.8486   0.0170   0.8022   0.8145   0.4520   0.3700
196412  -0.5122  -0.6544  -0.3209  -1.0500   0.4569   1.0214
196501   6.3710   6.0279   7.1674   4.4544   1.8890   5.3419
196502   3.5835   4.1367   4.0553   0.6372   0.0458   0.9560
196503   1.0533   0.8866   0.7146  -1.0591  -1.2958  -1.3228
196504   4.9514   4.5328   4.0343   2.9325   2.7350   4.3617
196505  -0.4341   0.1257   0.3523   0.8373  -0.0197  -0.6991
196506  -9.6369  -8.9346  -9.6475  -5.6030  -3.7916  -5.3551
196507   2.8447   3.9482   2.0510   3.6614   0.7846   1.6381
196508   4.9222   4.5937   6.4583   1.7094   1.9982   4.2957
196509   4.9232   4.3286   3.2747   3.9661   2.5034   3.9667
196510   6.7577   5.7010   6.9180   2.2630   1.1768   4.5505
196511   6.6572   3.9485   4.6604   0.6640  -1.0001   0.5458
196512   5.0710   3.5493   3.6634   1.7340   1.0821   0.5795
196601   7.7339   5.3409   4.1580   3.2378  -0.9995   1.1450
196602   4.8987   2.5166   3.0366  -1.9952  -1.9287  -0.4409
196603  -2.6615  -1.4929  -2.3653  -3.2616  -2.5963  -0.9581
196604   5.7094   4.5957   6.0531   1.8339   2.0772   2.3009
196605 -11.3889  -9.5330  -9.3864  -6.0534  -4.1641  -4.7278
196606  -0.2406   1.1407   0.2449  -1.2833  -0.8003  -1.6426
196607  -1.8403  -0.9918  -2.2120  -0.7624  -1.2046  -1.3000
196608 -10.6685  -9.8249 -10.1276  -7.6478  -6.1345  -8.0860
196609  -1.8449  -1.6872  -1.6005   1.9431  -0.3227  -1.6105
196610  -0.8247  -0.3208  -2.8176   7.4710   6.6277   2.1767
196611   3.0894   3.2093   7.5482   0.7264  -1.3650   4.6078
196612   1.3940   2.2490   2.8522  -0.0290   0.8370  -0.1218
196701  17.6913  14.8127  18.4528   7.9865   6.5748   8.4638
196702   3.3480   2.7399   4.0739  -0.7559  -0.1921   2.3909
196703   5.9958   6.5597   6.4456   3.5815   3.7607   4.9257
196704   4.0176   3.9424   5.3754   2.9962   2.4932   6.4957
196705  -0.9103  -1.3653  -1.9708  -2.8929  -4.0034  -5.3267
196706   9.6793   7.5224   8.7668   2.2037   1.7003   1.8413
196707   9.1530   7.4919   7.6974   2.6633   5.0613   5.1456
196708  -0.6280   0.4577   0.4031  -0.6923  -0.7947  -0.8824
196709   6.2168   4.7443   5.9215   3.6750   1.7580   4.4052
196710  -2.0029  -2.2125  -3.0396  -3.3578  -4.0345  -0.7108
196711  -0.4826   0.2391   1.6005   0.0438   1.3017   0.5452
196712  10.0360   6.6951   8.7878   2.2914   3.4285   2.2503
196801   2.8397  -0.1438  -0.4210  -0.9186  -3.1466  -6.8213
196802  -5.9682  -5.0502  -6.2806  -2.9766  -2.7371  -2.9394
196803  -0.3040  -1.8786  -0.8480  -0.3669  -0.7442   2.5144
196804  16.0317  11.6796  16.9725   6.2398   7.3012  10.8723
196805   9.5900   8.2532   8.9588   1.1213   0.8323   2.5365
196806   0.4612   1.2551   0.7190   2.4263   2.2526  -0.4860
196807  -2.3842  -3.0136  -4.7770  -0.6784  -0.2635  -4.2832
196808   4.1550   3.0522   4.2617   2.3849   1.3524   1.0703
196809   8.3375   5.6523   7.4370   6.2793   3.7073   3.1205
196810   0.3336   1.1058   0.7359   2.2473   1.8391  -0.7562
196811   7.7323   7.7873   7.8879   5.1110   5.4764   5.8793
196812   1.5508  -1.2483  -0.8243  -3.5411  -3.7297  -4.7309
