This file was created by CMPT_ME_PRIOR_RETS_DAILY using the 202006 CRSP database.
It contains value- weighted returns for the intersections of  2 ME portfolios
and  3 prior return portfolios.

The portfolios are constructed daily.  ME is market cap at the end of the
previous day.  PRIOR_RET is from -1250 to -251.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Daily
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
19300320,   0.02,   0.18,   0.38,   0.53,   0.31,   0.83
19300321,  -0.21,   0.25,   1.62,   1.21,   0.77,   0.31
19300322,  -0.58,  -0.04,   0.22,  -0.84,  -0.85,  -0.98
19300324,   1.75,   1.09,   0.36,   0.95,   0.98,   0.80
19300325,   0.20,   0.49,   0.12,  -0.33,   0.27,  -0.12
19300326,   0.70,  -0.14,  -0.09,   0.30,   0.74,   1.12
19300327,  -0.80,  -0.28,   0.10,  -0.29,  -0.47,   0.16
19300328,   0.13,   0.82,   1.19,   0.77,   0.83,   1.00
19300329,   1.32,   0.62,   0.26,   0.06,   0.92,   0.68
19300331,   1.05,   1.13,   0.11,   0.91,   0.30,  -0.06
19300401,   1.13,   1.23,  -0.08,   0.97,   0.85,   0.81
19300402,  -0.75,  -0.68,  -0.25,  -0.58,  -1.13,  -0.89
19300403,  -0.23,  -0.02,  -0.85,   0.35,   0.26,   0.36
19300404,   0.34,   1.06,   0.85,   0.18,   0.87,   1.35
19300405,  -0.36,  -0.22,  -0.28,   0.47,   0.79,   0.48
19300407,   0.64,  -0.24,   1.77,   0.82,   0.13,  -0.38
19300408,  -0.79,  -0.52,  -1.38,  -0.04,  -0.73,  -0.38
19300409,   0.59,   1.17,  -0.06,   1.03,   0.95,   1.51
19300410,   0.17,  -0.62,   0.18,   0.08,  -0.27,   0.19
19300411,  -0.19,   0.05,   0.29,  -0.12,  -0.29,  -0.34
19300412,   0.22,   0.09,   0.28,  -1.23,  -0.08,   0.08
19300414,   0.54,   0.10,   1.17,  -0.19,  -0.21,  -0.38
19300415,  -0.38,  -0.33,   0.06,   0.16,  -0.27,   0.24
19300416,  -0.69,  -1.01,  -1.16,  -0.90,  -1.05,  -0.67
19300417,   0.13,   0.32,  -0.39,   0.16,   0.42,   0.70
19300421,  -0.85,  -0.82,  -1.34,  -0.83,  -1.15,  -1.91
19300422,  -0.06,  -0.40,  -1.16,   0.48,   0.61,   0.67
19300423,   0.37,  -0.16,   0.16,   0.93,   1.00,  -0.28
19300424,   0.25,  -1.25,  -1.70,  -1.09,  -0.67,  -0.78
19300425,  -0.21,  -1.76,  -0.90,  -0.88,  -0.23,  -0.25
19300426,  -0.62,  -0.41,  -0.44,   0.73,  -0.07,   0.10
19300428,  -2.36,  -2.08,  -2.10,  -1.45,  -1.90,  -2.40
19300429,  -2.22,  -0.96,  -2.58,  -0.08,   0.04,  -0.66
19300430,   1.36,   0.57,   1.04,   0.02,   0.67,   0.66
19300501,  -1.22,  -1.46,  -1.28,  -0.73,  -2.06,  -1.95
19300502,  -2.54,  -2.00,  -2.15,  -2.71,  -1.54,  -2.88
19300503,  -3.72,  -3.09,  -2.44,  -2.53,  -2.07,  -3.83
19300505,  -3.39,  -3.25,  -5.48,  -1.61,   0.06,   0.23
19300506,   4.44,   5.08,   6.26,   3.43,   2.81,   3.07
19300507,   1.53,  -0.50,  -0.66,  -0.89,  -0.84,  -1.21
19300508,  -0.28,   0.36,   1.30,  -0.78,  -0.07,   0.64
19300509,   0.18,   0.81,   2.00,   0.92,   0.82,   1.19
19300510,   0.84,   1.35,   1.16,   1.30,   0.64,   1.91
19300512,   0.68,   0.88,   0.71,   0.89,  -0.06,   0.05
19300513,   1.43,  -0.33,   1.14,   1.18,   0.84,   1.37
19300514,   0.30,   1.37,   1.79,   0.70,   0.36,   0.59
19300515,  -0.99,  -0.65,  -2.42,  -1.25,  -1.27,  -1.44
19300516,   0.64,  -0.31,   0.37,   0.71,   0.32,   0.54
19300517,   0.33,   0.25,   1.06,  -0.18,   0.08,   0.05
19300519,  -1.66,  -1.04,  -2.15,  -1.51,  -1.20,  -2.41
19300520,  -0.44,  -1.15,  -0.73,   0.08,  -0.04,   0.57
19300521,  -0.03,  -0.07,   0.04,  -0.85,  -0.24,  -0.37
19300522,  -0.31,  -0.38,  -0.37,   0.61,   0.19,   0.33
19300523,   0.46,   1.17,   1.05,   0.80,   0.76,   1.08
19300524,   0.61,   0.36,  -0.17,   0.45,   0.55,   0.84
19300526,   0.52,   0.26,   0.99,  -0.44,   0.08,   0.10
19300527,  -0.93,  -0.68,  -0.15,   0.43,  -0.13,   0.23
19300528,  -0.62,  -0.01,   0.06,   0.36,   0.33,   0.44
19300529,   1.53,   0.48,   1.31,   0.48,   0.16,   0.66
19300602,  -0.99,  -0.23,   1.09,   0.47,   0.02,  -0.36
19300603,  -0.25,  -1.34,  -1.51,  -0.55,  -0.48,  -1.00
19300604,   0.49,  -0.12,  -0.36,   1.04,   0.22,   0.48
19300605,  -1.29,  -1.01,  -2.47,  -2.43,  -1.01,  -1.68
19300606,  -1.10,  -1.12,  -1.15,  -1.42,  -1.12,  -1.69
19300607,  -2.22,  -1.28,  -2.90,  -2.02,  -1.30,  -2.15
19300609,  -4.53,  -2.91,  -3.51,  -3.71,  -2.28,  -3.04
19300610,   0.49,   0.41,   0.19,   2.52,   1.63,   2.77
19300611,  -2.77,  -1.63,  -2.78,  -2.75,  -2.53,  -3.80
19300612,  -1.23,  -1.50,  -0.22,  -0.35,  -0.25,  -0.48
19300613,   0.70,   0.35,   0.84,   0.47,   0.45,   0.86
19300614,  -0.78,  -0.11,  -1.98,  -0.58,  -1.15,  -2.28
