This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 INV portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
                     Small                                 2                                  3                                  4                                Big
          Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High
199007   3.71   1.79  -1.47   0.49   2.05   1.75   0.50  -2.63  -0.77   2.30   5.13   1.57  -0.99   0.88   5.29   5.28   1.56   3.64  -0.87   6.50   4.89   5.90   6.37   4.64   3.64
199008   1.48  -2.74  -1.48  -1.66  -2.26   0.85   0.61  -2.71  -2.65   2.95 -12.69 -10.88  -5.14  -9.02  -4.19  -4.36  -4.46  -5.98  -9.06  -3.27  -7.12  -5.36  -5.90 -10.09  -8.41
199009  -3.62  -2.51  -4.07  -4.38  -7.10  -2.18  -2.88  -8.32  -2.13  -3.08  -3.04  -6.15  -2.22 -10.20  -4.81  -7.36  -4.22  -9.26  -6.76  -2.46  -3.83  -6.31 -10.20 -11.25 -11.47
199010 -10.96  -7.17  -8.54  -6.93 -10.16  -7.71  -2.35  -9.08  -4.31  -9.53  -2.26  -4.44  -6.11   2.19 -10.14  -3.21  -3.74  -1.19  -6.24  -9.82  -5.70  -2.95   1.58   1.76   0.10
199011  -2.83  -4.45  -1.55  -5.73  -3.68  -4.44  -0.73  -2.63  -0.27  -6.29  -5.92  -2.95  -4.24  -3.91  -5.38  -4.79  -2.60  -2.31 -10.69  -3.61  -3.99  -1.26  -2.55  -0.40  -1.29
199012  -4.64  -1.90  -3.27  -1.75  -3.20  -0.76  -1.76  -0.25  -1.43  -4.91  -3.12  -6.92  -2.32  -1.53  -4.72  -0.03   0.65   0.43  -0.26  -3.96  -2.74  -1.32   1.90   0.23   0.01
199101  -0.45   0.99   2.85   1.13   0.34   4.39   2.69   0.07   2.86   7.56   2.78   5.37   2.22   3.34   1.37   6.53   3.80   4.07   3.65   3.04   5.48   4.51   7.04   8.96   5.82
199102   3.13   4.42   4.32   6.20   2.46   9.33   9.53  -0.65   6.04   2.88  14.51   9.05   7.29   9.73  12.71  12.66   5.95  10.87  14.64   6.10   9.14   8.55   7.66  11.78   8.61
199103   3.67   3.89   1.59   1.82  -0.60   3.27   3.62   0.54   4.90  -2.65   4.02   3.66  -2.09  -0.32  -0.17   2.82  -0.37   3.05   0.26   2.88   4.61   1.24   3.58   2.81   4.41
199104   6.12   4.31   4.38   6.72   3.91   5.98   4.13   0.20  10.19   7.61  -1.19   4.03  -0.72  -1.81   3.96   3.10   3.46   9.16   1.78   3.13   5.84   5.71  -0.68   2.42   0.86
199105  -0.13  -0.97  -7.04  -5.31  -2.50   4.36  -2.87   4.90  -4.65  -0.63   0.44  -4.17  -4.73  -1.28  -4.36  -2.38  -2.64   0.28   0.06  -3.36  -4.04   0.46   1.19   2.15  -2.73
199106   1.97   1.03   1.15  -1.26   4.24   3.26   1.21   0.75   0.33  -1.29  -7.10  -1.07   0.99   0.34  -1.09  -1.40   0.05   0.30   3.80   0.68   2.44   1.40   0.04  -2.61  -1.20
199107   9.43   8.82   4.48   7.26   7.66   6.83   6.21  12.40   6.94   6.39   0.37   7.95   7.59   3.38   4.93   4.73   5.29   3.35   7.59   2.52   7.35   4.95  11.56   5.86   3.22
