This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 OP portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
                     Small                                 2                                  3                                  4                                Big
          Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High
199007   2.60   1.94   1.47   0.48   4.73   1.13  -1.63   1.20  -1.75   4.00   1.75   1.88   6.07   1.79   2.87   3.02   2.92   2.01   4.11   4.70   3.00   3.47   8.03   4.96   5.99
199008  -2.26   0.12  -0.43   4.06   0.13   5.04   4.30  -1.78  -1.19  -3.80 -10.27 -14.58  -5.55  -2.77  -2.73  -4.39  -6.98  -4.34  -7.20  -3.94  -9.16  -6.31  -2.79  -7.56  -8.65
199009  -7.11  -2.89  -2.71  -2.31  -1.74  -0.07  -7.10  -1.79  -4.67  -4.28  -1.93 -10.14  -5.82  -4.70   0.07  -4.05  -1.56  -7.04  -9.18  -4.55 -11.11 -12.54  -5.50  -9.12  -7.88
199010 -11.06  -5.83  -7.29 -15.46  -6.78  -7.16  -9.61  -7.99  -6.46  -3.59  -3.51  -5.65  -4.43  -9.74  -7.04  -8.19  -3.20  -8.99  -5.11  -3.69   1.39   1.01  -3.45  -4.97   1.93
199011  -3.92  -3.57  -2.48  -2.37  -3.35  -4.00  -9.31  -1.90  -2.13   0.70  -3.36  -3.27  -4.40  -7.17  -2.24  -9.98   1.73  -5.48  -1.77  -9.85  -4.79  -0.94  -1.91  -2.25   0.02
199012  -2.73  -3.11  -3.53  -3.82  -3.83   0.34  -2.77  -2.46  -1.33  -3.52  -3.78  -3.50  -0.34  -5.26  -4.13  -3.02  -0.97   0.44  -1.04  -1.50  -0.77  -0.21  -2.95  -1.68   3.07
199101  -1.07   1.14   0.73   1.64   2.30   6.87  -3.90   1.20   4.05   4.30   5.90   4.02   3.36  -2.20   4.73   0.44   7.39   5.40   4.09   1.31   5.94   7.60   4.98   6.73   6.73
199102   2.18   6.58   1.81   1.82  11.13   2.81   3.95   6.92   6.21  13.54  10.92  14.77   8.62   7.38   8.30  10.79   9.05  11.71   7.14   7.82   9.57  10.44   7.12   8.10   9.11
199103   5.22  -0.41   1.89   1.78   1.69   4.60   0.01   1.20   6.17  -0.46   3.60  -2.37  -0.04   2.30   2.43   0.66   0.47   2.25   3.25   2.40   4.01   7.07   5.19   1.28   0.86
199104   6.65   5.17   3.72   1.95   9.02   7.16   3.74   8.20   7.01   5.01   0.65   1.76   2.59   4.91   4.16   3.26   3.97   6.21   5.89   3.36  -0.75   1.37   4.81   6.68   0.32
199105  -0.90   0.76  -2.46  -5.49  -2.63   5.96  -3.29   2.75  -0.37  -2.88  -2.33  -2.81  -2.96  -0.70  -4.79  -3.14   0.18  -4.61   1.76  -2.66   0.30   0.84   0.51  -4.59   2.32
199106   3.70  -1.90   0.90   0.29   1.77   4.71  -2.29   1.71   0.83  -0.85  -4.23  -3.88  -1.67   0.66   0.22   1.53   0.06  -2.78  -1.60   5.94  -0.85  -1.02   1.13   1.66  -1.45
199107   7.18   4.04   3.03   7.52   5.40   8.15   5.18   5.14   5.72   4.81   2.56   4.11   5.35   3.90   4.00   4.31   7.41   2.97   5.56   3.84   6.77  11.10   8.50   3.87   5.24
199108  -1.68   0.67  -0.14  -1.95   1.07   0.48  -2.04  -1.40  -1.53  -1.78  -2.93  -0.71  -1.72   2.86  -0.67  -1.20  -1.15  -1.50  -3.70  -3.78  -1.46  -2.13  -2.51  -1.55   0.23
199109   4.84   4.12   5.50   6.12   1.86   1.12  -2.82   6.04   1.76   3.88   2.55   0.85   1.08   0.17   3.03   2.07   2.20   0.28   2.36  -1.26   0.08   0.15   1.34   0.26   2.55
199110   9.81   4.30   3.31   7.48   5.28   5.58   6.79   1.90   3.06   2.73   5.27   0.44   3.29   2.02   7.63   3.23   4.78   1.85   3.62   1.27   2.83   2.28   4.74   3.71   5.80
199111   1.64   3.83   1.86   2.64   3.67   2.55   0.23   4.02  -2.04   2.06   1.51   5.40   1.88   4.74   2.05   0.56   0.62   2.34  -0.79   4.69  -1.33   1.62   0.47  -1.65  -2.43
199112  -2.04  -0.86  -1.74  -0.71  -0.48  -1.45  -2.48   0.17   2.37   0.15  -1.62   0.88  -0.21   0.48   0.20   2.68   0.45   3.11   1.10   1.90   1.62   2.89   3.18   0.62   0.87
199201   4.02   0.60  -1.87   1.01   4.02   0.38  -0.13   0.45   2.74   3.34   4.56   2.52   1.09   0.09   5.00   2.46  -0.21   2.02  -0.47   1.36  -0.16   6.52   3.07  -0.43  -0.34
199202   3.33   6.16   6.09   4.85   3.66   2.81   2.97   0.09   2.89   3.40  -2.16   0.55   4.09   0.03   1.45  -1.62   2.70  -0.80   5.01   1.74  -0.73   5.42   2.80  -0.33   2.10
199203   1.30   4.99   0.46  -2.30   1.39  -4.78  -4.16  -1.18   0.58  -2.04  -0.85  -0.89   1.45   0.40   1.33   0.20   0.92  -0.05   0.72   2.06  -1.34  -1.48  -0.76   1.18   0.34
199204  -2.30   2.79   0.60  -1.00   0.87  -1.58   1.95   5.01   4.68   3.50   0.53   5.13   6.47   6.16   2.82   1.92   2.80   4.60   4.51   2.80   3.67   8.58   7.15   4.09   5.69
199205   5.97   6.38   5.30   7.33   4.05   6.29   8.31   1.73   5.57   2.52   9.80  14.06   9.23   6.21   4.63   7.57  13.20   9.08   4.65   6.51   4.66  18.00   9.33   3.35   4.02
199206  -2.76   0.07  -2.02   0.34   0.85  -0.84   1.25  -0.51  -0.66  -0.06  -1.58   1.53   0.30  -2.06  -1.10   1.44   0.79  -1.15  -4.06   2.88  -0.91  -0.32  -1.40  -2.22  -3.66
199207   0.13   1.32   0.52   1.88   0.87  -2.72  -3.86  -3.72  -6.21  -0.70  -3.40  -2.60  -5.48   0.61  -1.02  -5.03  -5.21  -2.29  -0.64  -2.42  -5.64  -3.37  -7.14  -0.38  -2.88
199208  -6.34  -2.45  -2.93  -3.20  -4.27  -6.97  -6.82  -5.42  -5.86  -6.07  -6.80  -5.47  -4.44  -3.96  -5.63  -6.39  -7.87  -6.03  -3.83  -8.23  -7.62  -4.12  -6.67  -5.79  -5.59
199209  -1.38  -1.56  -0.59  -1.02  -0.11  -0.49  -0.19  -0.08  -3.74  -3.06  -1.37  -0.26  -4.42  -2.08   3.48  -0.81  -0.07  -3.52  -2.73   0.10  -4.52  -0.89  -2.58  -1.67  -4.07
