This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 BE/ME portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
199007   ,3.02   ,1.38   ,1.87   ,6.26   ,4.58   ,4.49
199008  ,-6.64  ,-4.08  ,-2.08  ,-7.67  ,-5.88  ,-8.77
199009  ,-5.36  ,-4.79  ,-3.90  ,-8.81  ,-6.91 ,-10.41
199010  ,-6.43  ,-4.89  ,-7.27   ,1.56  ,-4.03  ,-0.57
199011  ,-2.55  ,-4.37  ,-4.02  ,-1.94  ,-2.17  ,-2.00
199012  ,-4.12  ,-3.46  ,-2.42   ,2.06  ,-1.22  ,-1.69
199101   ,3.12   ,3.70   ,2.09   ,5.01   ,5.52   ,8.71
199102   ,9.65   ,9.41   ,5.21   ,9.62   ,7.80  ,10.87
199103  ,-0.61   ,1.92   ,3.23   ,2.05   ,4.12   ,1.81
199104   ,3.24   ,6.01   ,3.00   ,1.70   ,4.45   ,1.71
199105  ,-1.36  ,-1.63  ,-0.78  ,-0.22  ,-1.16   ,2.09
199106   ,0.02   ,0.32   ,0.11  ,-0.71   ,0.97  ,-1.37
199107   ,3.89   ,4.13   ,8.53   ,4.55   ,6.64   ,8.68
199108  ,-3.68  ,-0.70  ,-0.70  ,-0.17  ,-2.33  ,-0.33
199109   ,0.81   ,1.91   ,4.13   ,1.04   ,1.18   ,1.33
199110   ,2.97   ,4.93   ,6.12   ,4.71   ,3.88   ,4.13
199111   ,2.96   ,0.71   ,3.54   ,0.39  ,-1.34   ,0.82
199112  ,-0.08   ,0.09  ,-1.50   ,2.09   ,2.05   ,1.58
199201   ,3.21   ,1.38   ,1.16   ,0.56   ,1.42   ,3.87
199202   ,1.91   ,3.32   ,2.52   ,1.92   ,0.45   ,5.64
199203   ,0.58  ,-0.54   ,0.52   ,1.42  ,-0.85  ,-0.86
199204   ,0.71   ,3.89   ,0.54   ,6.43   ,5.35   ,6.15
199205   ,6.87   ,5.31   ,6.63   ,5.74   ,6.76  ,14.81
199206  ,-1.63  ,-0.25  ,-1.04  ,-0.07  ,-2.00  ,-0.50
199207  ,-1.16  ,-0.47  ,-2.83  ,-2.75  ,-3.93  ,-2.21
199208  ,-6.74  ,-5.28  ,-5.62  ,-5.87  ,-6.61  ,-4.49
199209  ,-1.57  ,-2.25   ,0.05  ,-2.88  ,-3.47   ,0.35
199210   ,1.15   ,0.01   ,1.37   ,2.96   ,1.35   ,7.17
199211  ,-0.76   ,1.00   ,0.33  ,-0.46  ,-3.14  ,-2.72
199212   ,2.32   ,2.54   ,0.79   ,4.13   ,0.93  ,-3.84
199301   ,1.55   ,1.50   ,2.12   ,1.20   ,0.21   ,2.82
199302   ,6.91   ,7.26   ,7.08   ,7.22   ,8.75   ,9.70
199303   ,6.44   ,6.00   ,6.20   ,3.57   ,2.56   ,1.23
199304  ,10.99   ,6.79  ,10.20   ,3.85   ,5.70   ,7.25
199305   ,9.01   ,6.42   ,7.77   ,3.73   ,4.74   ,6.55
199306  ,-2.06  ,-2.68   ,3.13  ,-2.62  ,-3.16  ,-3.15
199307   ,4.64   ,4.49   ,1.38   ,2.51   ,2.62   ,2.06
199308   ,4.98   ,4.88   ,6.33   ,6.85   ,6.26   ,7.21
199309  ,-2.13  ,-2.47  ,-2.42   ,0.17   ,0.21   ,1.51
199310  ,12.06  ,10.65  ,12.23  ,15.57  ,15.81  ,18.83
199311  ,-1.20  ,-0.53   ,1.27  ,-3.90  ,-1.11  ,-2.69
199312  ,13.27  ,16.27  ,17.43  ,16.90  ,21.32  ,27.20
199401   ,3.25   ,4.17   ,6.08  ,-0.91   ,2.55   ,0.57
199402  ,-1.75  ,-1.05  ,-0.46  ,-7.22  ,-6.79  ,-6.99
199403 ,-10.45  ,-7.61  ,-9.60 ,-10.59  ,-8.33 ,-10.69
199404  ,-0.06   ,1.61   ,2.10   ,4.96   ,0.78   ,2.67
199405  ,-0.61   ,1.35   ,1.22   ,5.09   ,5.43   ,4.35
199406  ,-3.29  ,-4.63  ,-3.57  ,-4.93  ,-6.20  ,-8.10
199407  ,-0.14   ,2.01   ,1.51   ,4.08   ,6.32   ,5.75
199408   ,0.68   ,1.28   ,1.92   ,4.16   ,5.39   ,2.45
199409  ,-1.14  ,-2.05  ,-0.88  ,-1.63  ,-2.88  ,-2.21
199410  ,-2.34  ,-1.57  ,-0.14   ,1.35   ,2.18   ,0.84
199411  ,-8.77  ,-7.05  ,-5.78  ,-7.91  ,-7.91  ,-9.24
199412  ,-2.98  ,-3.08  ,-1.74  ,-2.08   ,0.35  ,-1.43
199501 ,-10.20  ,-8.53  ,-7.19  ,-6.33  ,-8.56  ,-5.66
199502   ,0.01   ,0.71   ,0.96   ,4.81   ,7.36   ,8.61
199503  ,-2.44  ,-1.39  ,-1.29   ,3.13  ,-0.14   ,0.96
199504   ,0.26   ,0.92   ,0.80   ,0.74   ,2.75   ,0.24
199505   ,1.45   ,0.47   ,0.97   ,6.71   ,4.10   ,4.42
199506   ,0.58  ,-0.23  ,-0.21  ,-3.39  ,-1.36  ,-1.63
199507   ,9.28   ,7.22   ,7.57   ,5.70   ,5.66   ,2.86
199508   ,5.69   ,5.05  ,-0.34  ,-1.26  ,-1.05  ,-2.51
199509  ,-0.46   ,1.69   ,2.79   ,0.57   ,2.73   ,4.24
199510  ,-2.82  ,-2.72  ,-1.43   ,0.41  ,-0.22  ,-0.67
199511   ,0.42   ,1.78   ,0.86   ,1.26   ,0.68   ,2.23
199512   ,1.05   ,1.70   ,1.37   ,3.51   ,3.74   ,3.30
199601   ,8.45   ,5.63   ,8.05   ,6.54   ,8.72  ,13.05
199602   ,2.71   ,1.83   ,2.89   ,1.71   ,0.25  ,-1.15
199603  ,-0.02  ,-0.40  ,-0.85  ,-0.69  ,-0.86  ,-0.30
199604   ,2.75   ,3.53   ,2.68   ,1.80   ,2.56   ,1.26
199605   ,3.14   ,2.57   ,0.91   ,1.32   ,0.66   ,1.30
199606  ,-2.23  ,-2.00  ,-1.07  ,-2.99  ,-1.31  ,-0.63
199607  ,-6.65  ,-5.00  ,-3.27  ,-5.36  ,-5.03  ,-3.92
199608   ,7.63   ,4.99   ,2.11   ,3.18   ,5.30   ,4.67
199609   ,2.47   ,2.04   ,2.56   ,1.51   ,3.97   ,3.14
199610   ,4.93   ,3.46   ,4.72   ,2.52   ,2.94   ,1.73
