This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 BE/ME portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Daily
,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
19900702   ,0.34   ,0.25   ,0.72   ,0.29   ,0.18   ,1.08
19900703   ,0.11   ,0.38   ,0.63   ,0.88   ,1.24   ,0.93
19900704   ,1.25   ,0.73   ,1.19   ,1.46   ,1.77   ,0.93
19900705  ,-0.26  ,-0.40  ,-0.41   ,0.40   ,0.47  ,-0.16
19900706  ,-0.67   ,0.24  ,-0.24  ,-0.21  ,-0.16   ,0.20
19900709   ,1.09   ,1.00   ,1.04   ,1.45   ,2.32   ,1.42
19900710   ,0.32  ,-0.47   ,0.76   ,0.15   ,0.29   ,0.51
19900711  ,-0.01  ,-0.02  ,-0.69   ,0.79   ,0.08   ,0.11
19900712  ,-0.04   ,0.24   ,0.26   ,0.92   ,0.73   ,0.30
19900713  ,-0.95  ,-1.59  ,-1.72  ,-0.21  ,-1.69  ,-0.02
19900716   ,1.49   ,1.02   ,0.54   ,0.48   ,0.47   ,0.51
19900717   ,0.98   ,0.97   ,1.01   ,0.58   ,1.27   ,0.94
19900718  ,-1.81  ,-1.80  ,-2.06  ,-0.63  ,-1.38  ,-0.31
19900719   ,0.41   ,0.20   ,0.14  ,-0.24   ,0.11   ,0.32
19900720   ,0.40   ,0.29   ,1.09  ,-0.02   ,0.28   ,0.17
19900723   ,0.13  ,-0.70  ,-0.21   ,0.34  ,-0.19  ,-0.21
19900724  ,-0.78   ,0.25  ,-0.43  ,-0.61  ,-0.61  ,-1.28
19900725   ,0.23  ,-0.04   ,0.27   ,0.54  ,-0.05   ,0.25
19900726  ,-0.14  ,-0.20  ,-0.58  ,-0.25  ,-0.54  ,-1.01
19900727   ,0.37   ,0.76   ,0.56   ,0.20  ,-0.07   ,0.31
19900730  ,-0.90   ,0.07   ,0.04  ,-0.67  ,-0.59  ,-0.75
19900731   ,1.49   ,0.10   ,0.24   ,0.46   ,0.59   ,0.21
19900801   ,0.26   ,0.15   ,0.07   ,0.79   ,0.77   ,0.60
19900802  ,-0.20  ,-0.47  ,-0.87  ,-0.72   ,0.03  ,-0.97
19900803  ,-0.41   ,0.03  ,-0.39  ,-2.21  ,-1.55  ,-1.20
19900806  ,-2.52  ,-1.07  ,-0.57  ,-4.96  ,-3.37  ,-5.62
19900807  ,-0.04  ,-0.93   ,0.18  ,-0.50  ,-0.56  ,-0.23
19900808   ,1.16   ,0.64   ,0.90   ,2.00   ,1.43   ,0.95
19900809  ,-0.12   ,0.19  ,-0.25  ,-0.19  ,-0.11  ,-1.26
19900810  ,-0.06  ,-0.85  ,-0.50  ,-0.39  ,-0.31  ,-0.34
19900813   ,0.30  ,-0.07   ,0.85  ,-0.54  ,-1.54  ,-1.20
19900814  ,-2.13   ,1.22   ,0.13   ,1.39   ,1.01   ,1.00
19900815   ,1.15   ,0.66   ,1.21   ,1.27   ,1.15   ,2.40
19900816  ,-1.18  ,-0.15  ,-0.18  ,-0.15  ,-0.45  ,-0.04
19900817   ,0.67  ,-0.69   ,0.32  ,-0.56  ,-1.16  ,-1.31
19900820  ,-0.53  ,-0.27  ,-0.21  ,-1.42  ,-1.06  ,-1.59
19900821  ,-0.78   ,0.46   ,0.30   ,0.32   ,0.68   ,0.44
19900822  ,-1.32  ,-0.48  ,-0.26  ,-2.31  ,-1.40  ,-2.43
