This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
199007   2.81   0.26   2.07   4.75   5.92   3.66
199008  -2.26  -5.59  -2.67  -7.66  -5.95  -8.60
199009  -3.01  -6.21  -5.89  -5.34  -8.47 -10.80
199010  -7.58  -5.00  -6.63  -4.48  -0.61   0.03
199011  -3.73  -4.10  -4.57  -1.80  -2.10  -2.07
199012  -4.06  -2.45  -2.67  -1.75   0.34  -0.16
199101   2.31   3.39   1.06   4.89   6.76   6.25
199102   8.23   6.46   7.37   9.94   7.71  11.95
199103   4.49   0.85  -0.49   1.72   2.62   3.98
199104   4.05   2.78   4.90   5.22   2.82   1.04
199105   0.99  -0.86  -3.26  -1.82   0.44   0.60
199106   0.41   0.52   0.09   1.14   0.08  -1.51
199107   7.79   7.85   4.61   6.82   7.45   4.05
199108   0.09  -1.40  -0.76  -0.07  -1.28  -1.45
199109   4.69   3.15   5.19   2.49   0.32   1.64
199110   8.19   4.98  10.03   4.26   4.05   4.89
199111   1.86   0.03   4.07  -3.34   1.37   0.00
199112  -1.16  -1.25  -2.08  -0.13   2.79   2.45
199201   1.73   0.52   3.63   0.84   1.81   2.40
199202   3.08   2.10   2.23   2.36   2.89   1.44
199203  -0.05  -2.15  -1.05  -0.93   0.62   0.09
199204   0.07   1.85  -1.81   4.04   6.93   6.35
199205   5.74   4.06   2.96   8.08   8.75   6.79
199206  -1.40  -2.39  -1.44  -1.29  -0.88  -0.44
199207   0.10  -2.78  -1.80  -2.39  -1.31  -6.06
199208  -6.49  -6.09  -4.40  -6.87  -5.44  -5.68
199209  -1.17  -0.36  -1.25  -3.73  -2.25  -1.11
199210  -1.04   1.53   0.86  -1.94   3.16   7.66
199211  -0.04   1.64   2.33   0.32  -1.16  -5.11
199212   3.31   2.29   0.89   4.46   1.66  -2.90
199301   1.23   1.17   2.43  -1.26   1.83   2.24
199302   7.25   9.92   6.70   7.55   7.53  10.34
199303   7.27   6.33   4.29   3.08   2.30   2.54
199304   9.67   7.41   6.67   3.58   4.90   7.49
199305   6.23  13.14   5.92   2.92   4.21   7.19
199306  -0.25   1.93   1.97  -2.59  -2.31  -4.19
199307   6.83   1.79   3.57   7.15   2.28  -1.32
199308   6.19   4.62   6.82   3.58   7.79   6.96
199309  -2.55  -2.35  -3.22  -3.76   1.13   3.02
199310   9.74  10.05  14.46  13.14  15.64  20.69
199311  -0.59  -0.16   0.61  -2.64  -2.70  -1.31
199312  15.96  16.67  16.82  14.56  21.28  26.95
199401   9.02   3.89   1.92   8.20  -0.43  -0.96
199402   0.93  -0.86  -1.57  -4.86  -7.30  -7.75
199403  -9.71  -9.24  -8.71  -8.28 -10.26  -9.68
199404   2.55   1.67   0.00   2.40   4.10  -0.87
199405   1.89   0.54   0.00   4.70   5.16   4.89
199406  -2.67  -4.86  -4.28  -4.99  -5.38  -9.52
199407   2.30   1.69   0.33   4.14   5.50   7.09
199408   1.21   2.17   0.86   3.04   5.16   3.92
199409  -0.97  -0.67  -1.66  -2.55  -3.26  -0.16
199410   0.14  -1.28  -1.50   1.21   2.12   0.98
199411  -4.76  -5.73  -9.89  -5.43  -7.33 -13.12
199412  -0.91  -3.27  -2.94  -0.82   0.53  -3.71
199501  -6.12  -7.00 -10.12  -2.58  -8.58  -9.40
199502   0.14   0.78   1.17   2.73   7.20  11.93
199503  -0.81  -0.70  -2.83   0.74   1.14   1.62
199504   2.28   0.80  -0.53   4.78   1.86  -3.39
199505  -0.79   0.80   2.28   0.11   5.74  10.01
199506  -1.37  -0.64   1.96  -1.53  -2.61  -2.03
199507   6.89   7.48   8.43   7.84   3.22   4.37
199508   4.47   2.21   2.30   0.33  -2.07  -2.99
199509   1.92   1.49   1.55   0.66   1.25   6.31
199510  -3.33  -1.65  -2.03  -0.45  -0.17   0.66
199511   2.15   1.09   0.44   1.67   0.64   2.00
199512   2.46   2.03   0.01   3.30   3.30   3.94
199601   6.86   6.11   9.18   4.85   8.18  15.00
199602   3.05   2.27   2.35   1.76   1.35  -2.30
199603   0.93  -0.65  -1.17  -0.22  -0.48  -1.20
199604   4.71   3.11   2.03   3.19   1.38   1.22
199605   3.22  -0.01   2.66   0.86   0.05   3.05
199606  -2.31  -2.01  -1.24  -2.37  -1.63  -1.26
199607  -5.27  -4.32  -5.29  -4.13  -5.01  -5.76
199608   2.91   5.18   4.77   4.87   4.16   3.79
199609   1.90   2.07   2.67   3.42   3.73   0.36
199610   3.75   4.14   4.40   2.80   2.73   1.83
199611   6.88   6.20   7.94  10.06   6.54   4.28
199612   0.14  -0.09  -1.33   0.30  -0.33   0.35
199701   1.14  -0.62  -0.50  -3.86  -1.55  -0.69
199702   4.58   4.18   5.11   0.89   1.11   0.17
199703  -2.30  -2.48  -2.66  -4.68  -3.51  -6.79
199704   0.49   0.03  -1.12   0.83   1.83  -3.60
199705   4.69   4.04   4.37   8.95   7.33   7.65
199706  -0.80   0.61  -0.68  -0.11   5.37   0.97
199707   3.87   1.76   5.68  -0.45   2.03   3.29
199708   1.93   0.62  -0.64  -5.32 -10.26  -9.57
199709  -2.21  -4.10  -2.23   5.02   5.65   3.41
199710 -24.19 -21.02 -25.57 -18.77 -21.07 -26.09
199711  -6.17  -6.73  -5.68  -1.49   0.76  -3.13
199712  -5.25  -6.33  -8.57  -0.49   0.40  -1.60
199801 -11.90 -10.94 -14.67  -2.65  -7.75 -13.77
199802  13.03  14.36  15.57   7.18  12.29  17.78
199803  -1.16  -0.74  -2.82  -1.15  -1.70  -1.23
199804  -3.25  -3.14  -4.23  -2.66  -5.87  -7.45
199805  -9.31  -9.54 -11.22  -8.75 -10.76 -12.84
199806  -7.47  -9.72 -11.91   0.27  -6.03  -8.45
