This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  INV is percentage difference in Total Assets at the last fiscal year end of the prior calendar
year from the previous fiscal year as of 6 months before formation.  Firms with negative
INV are included in any portfolio.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



    Average Value Weighted Returns -- Daily
                 Small                 Big
            Low     2    High    Low     2    High
19900702   1.04   0.51   0.18   0.10   0.72   0.33
19900703   0.92  -0.14   0.00   1.14   0.95   1.10
19900704   1.31   1.20   0.71   1.45   1.50   1.38
19900705  -0.09  -0.46  -0.92   0.10   0.32   0.39
19900706  -0.39  -0.04   0.12  -0.20   0.07  -0.29
19900709   0.85   1.26   1.32   1.61   1.95   1.69
19900710   0.58  -0.05   0.00   0.38   0.09   0.59
19900711  -0.60  -0.03  -0.27  -0.13   0.56   0.23
19900712   0.19   0.20   0.37   1.14   0.79   0.04
19900713  -1.86  -1.57  -1.03  -1.06  -0.72  -0.70
19900716   0.90   0.14   1.21   1.05   0.32   0.29
19900717   1.21   0.49   0.94   1.21   0.96   0.82
19900718  -1.99  -1.82  -2.02  -1.40  -0.73  -0.64
19900719   0.07   0.12   0.30   0.08   0.15  -0.19
19900720   0.91   0.58   0.68   0.42   0.17   0.02
19900723  -0.56  -0.20  -0.11   0.02   0.09  -0.45
19900724  -0.17  -0.32  -0.30  -0.73  -0.82  -0.78
19900725  -0.19  -0.07   1.03  -0.13   0.18   0.52
19900726  -0.57  -0.14  -0.43  -0.49  -0.56  -0.65
19900727   0.78   0.54   0.48   0.41   0.10  -0.05
19900730   0.01  -0.14  -0.41  -0.61  -0.69  -0.54
19900731   0.52   0.35   0.19   0.41   0.41   0.48
19900801   0.21   0.24   0.00   0.61   0.76   0.83
19900802  -0.85  -1.40   0.55  -0.38  -0.41  -0.65
19900803  -0.26  -0.10  -0.10  -0.94  -1.87  -1.91
19900806  -0.14  -1.38  -2.00  -3.39  -4.25  -5.63
19900807   0.11  -0.53  -0.10  -0.49  -0.36  -0.51
19900808   0.89   0.67   0.68   1.18   1.65   1.40
19900809  -0.16  -0.16   0.91   0.14  -0.61  -0.61
19900810  -0.66  -0.93   0.53  -0.86  -0.21  -0.23
19900813   0.86  -0.09   0.53  -1.17  -1.13  -0.90
19900814  -0.94   0.77   0.93   0.91   1.17   1.27
19900815   1.21   1.09   0.41   0.60   1.83   1.65
19900816  -0.14  -0.47  -0.43  -0.16  -0.29  -0.33
19900817   0.63  -0.02  -0.26  -0.97  -1.15  -0.71
19900820   0.06  -0.32  -0.60  -1.04  -1.24  -1.68
19900821   0.18   0.11  -0.15   0.28   0.75   0.29
19900822  -0.55  -0.75  -0.40  -2.04  -1.46  -2.88
19900823   0.43  -0.82  -0.64  -2.54  -1.39  -2.01
19900824  -1.69  -0.77  -1.33  -1.29  -0.71  -0.27
19900827   0.80   0.95   1.37   1.77   1.24   1.09
19900828  -0.88  -0.15  -0.61   1.02   2.28   2.64
19900829   0.54  -0.08   0.34   0.34  -0.93  -1.09
19900830  -1.84  -1.77  -1.78   0.36   0.07   1.01
19900831  -0.20   0.35  -0.47   0.44   0.36   0.54
19900903  -0.11  -0.70  -0.11   0.09  -0.42  -0.21
19900904   0.53   0.04   0.19  -0.46  -0.72  -0.68
19900905   0.49   0.43   0.73   0.62  -0.12  -0.22
19900906  -0.28  -0.16  -0.67  -0.17  -0.18   0.06
19900907  -0.82  -1.33  -0.74  -1.10  -0.48  -0.74
19900910  -0.49  -0.17  -0.56   0.69   1.25   1.04
