This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP/BE portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  OP/BE is operating profitability at the last fiscal year end of the prior calendar
year divided by BE as of 6 months before formation.  Firms with negative
OP are included in any portfolio.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



    Average Value Weighted Returns -- Daily
                 Small                 Big
            Low     2    High    Low     2    High
19900702   0.95   0.18   0.53   0.65   0.47   0.32
19900703   0.67   0.12   0.37   0.77   1.23   0.94
19900704   1.26   0.78   1.24   0.92   1.68   1.48
19900705  -0.49  -0.18  -0.43  -0.21   0.56   0.23
19900706  -0.52   0.05   0.14  -0.25   0.02  -0.06
19900709   0.69   1.65   0.96   1.21   2.27   1.57
19900710  -0.03   0.51   0.51   0.56   0.42   0.05
19900711  -0.71  -0.06  -0.14   0.21   0.48   0.16
19900712   0.29   0.50  -0.16   0.32   0.56   1.05
19900713  -1.86  -1.39  -1.24  -0.30  -1.30  -0.44
19900716   0.71   1.05   0.66   0.35   0.50   0.56
19900717   1.45   0.46   1.01   0.73   1.08   0.96
19900718  -2.04  -1.75  -1.89  -0.40  -1.12  -0.83
19900719   0.05   0.23   0.41   0.31  -0.06   0.05
19900720   0.89   0.56   0.70   0.21   0.11   0.16
19900723  -0.16  -0.52  -0.26   0.26  -0.14  -0.03
19900724  -0.08  -0.65  -0.04  -1.12  -0.86  -0.52
19900725   0.06   0.16   0.22   0.18   0.28   0.22
19900726  -0.40  -0.26  -0.67  -0.87  -0.47  -0.56
19900727   0.70   0.55   0.65   0.27  -0.09   0.30
19900730  -0.01  -0.44   0.04  -0.66  -0.64  -0.66
19900731  -0.02   1.10   0.39   0.29   0.53   0.44
19900801  -0.08   0.10   0.31   0.70   0.88   0.59
19900802  -0.16  -0.92  -1.01  -1.03  -0.12  -0.62
19900803  -0.50   0.17  -0.26  -0.94  -1.85  -1.85
19900806  -0.97  -1.31  -0.72  -5.60  -4.12  -4.33
19900807   0.13  -0.36  -0.45  -0.32  -0.57  -0.39
19900808   1.06   0.65   0.60   0.82   1.61   1.68
19900809  -0.26   0.44   0.24  -0.73  -0.23  -0.51
19900810  -0.14  -0.63  -0.53  -0.31  -0.33  -0.36
19900813   0.88   0.23   0.20  -1.45  -1.24  -0.84
19900814   0.57  -0.95   0.58   1.31   1.16   0.99
19900815   1.18   1.15   0.55   1.73   1.71   1.17
19900816  -0.54  -0.49   0.02   0.16  -0.43  -0.22
19900817   0.39  -0.04  -0.01  -0.98  -0.88  -1.11
19900820  -0.13  -0.37  -0.26  -1.83  -1.33  -1.07
19900821  -0.17   0.55   0.19  -0.34   0.53   0.86
19900822  -0.72  -0.58  -0.27  -2.89  -1.52  -2.04
19900823  -0.48  -0.11   0.07  -3.18  -1.62  -1.56
19900824  -1.61  -1.11  -1.37   0.51  -1.12  -0.76
19900827   1.24   0.85   0.89   1.12   1.29   1.52
19900828  -0.69  -0.27  -0.36   2.82   2.03   1.79
19900829   0.64  -0.21   0.37  -0.87  -0.86  -0.39
19900830  -1.72  -1.57  -1.83   1.49   0.60  -0.40
19900831  -0.68   0.25   0.28   0.69   0.29   0.40
19900903  -0.30  -0.55   0.11  -0.15  -0.20  -0.36
19900904   0.68   0.01  -0.14  -0.48  -0.78  -0.55
19900905   0.34   0.55   1.01  -0.24  -0.02   0.18
19900906  -0.23  -0.65  -0.05  -0.18   0.04  -0.28
19900907  -0.76  -1.09  -1.11  -0.59  -0.77  -0.70
19900910  -0.90  -0.24  -0.03   0.87   1.34   0.92
19900911   0.24   0.30   0.61  -0.04   0.26   0.37
19900912   0.89   0.22   0.42   0.81   1.05   0.87
19900913   0.63   0.21   0.61  -0.65  -0.60  -0.20
19900914  -0.78  -0.34  -0.27  -0.81  -1.50  -0.80
19900917   0.05   0.55   0.35  -0.27  -0.51  -0.22
19900918  -0.56  -0.34  -0.29  -0.78  -0.50  -0.41
19900919  -0.31  -0.19  -0.80  -1.10  -1.26  -0.74
