This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 prior return portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed daily.  ME is market cap at the end of the
previous day.  Prior return is from -250 to -20.

Missing data are indicated by -99.99.



    Average Value Weighted Returns -- Daily
                 Small                 Big
            Low     2    High    Low     2    High
19901101  -1.08  -0.91  -0.20  -3.51  -1.90  -1.25
19901102  -0.93  -1.36  -1.25  -1.78  -1.72  -0.53
19901105   0.60   0.88   0.28   2.58   2.13   0.64
19901106   0.54   0.79   0.48   0.14   0.79   0.47
19901107  -1.02  -0.86  -0.72  -0.05   0.24  -0.31
19901108  -0.03  -0.14  -0.02  -0.11   0.24   0.13
19901109  -0.55  -0.36   0.14  -1.15  -1.02   0.10
19901112   0.20  -0.35   0.30   0.26   0.58   1.03
19901113  -0.62  -0.30  -0.26   0.52   0.69   1.20
19901114  -0.72  -0.54   0.02  -1.51  -0.56   0.39
19901115  -0.05  -0.33   0.17  -0.19  -0.22   0.21
19901116   0.05   0.53  -0.06  -0.48  -0.28  -0.19
19901119   0.14  -0.61  -0.30   0.96   0.38   0.33
19901120   0.96   0.05   0.35   1.32   1.30   0.42
19901121  -0.06  -0.30  -0.44   0.06   0.22   0.04
19901122   0.79   0.39   0.77   0.15   0.22   0.45
19901123  -0.19  -0.50  -0.54   0.60  -0.17  -0.98
19901126  -0.68   0.32  -0.07  -1.72  -0.56  -0.19
19901127  -0.77   0.43   0.01  -1.06  -0.19   0.34
19901128  -0.15  -0.28  -0.12  -0.16   0.23  -0.08
19901129  -0.11   0.29   0.03  -1.66  -0.24   0.07
19901130  -1.47   0.05   0.26  -2.08  -1.07  -1.32
19901203   0.84   0.36   0.49   1.25   0.93   1.21
19901204   1.17  -0.43   0.18  -0.57  -0.56  -0.22
19901205  -0.18  -0.01  -0.95  -0.04  -0.56   0.47
19901206   0.36   1.07   0.14   0.59   1.15   1.35
19901207   0.72   2.12   0.53   1.69   2.42   1.37
19901210  -1.56  -1.17  -0.45  -1.31  -1.09  -0.72
19901211  -1.31  -0.80  -0.75  -0.63  -0.48  -0.38
19901212   0.84   0.22   0.31  -0.31  -0.01   0.30
19901213  -3.26  -0.51  -0.49  -1.33  -0.86  -0.39
19901214  -0.35   0.61   0.51  -0.13   0.38  -0.02
19901217  -1.07  -0.71  -0.69  -2.15  -1.45  -2.00
19901218  -1.47  -0.04  -0.57   0.12  -0.23  -0.26
19901219  -0.28  -0.50  -0.17   0.12   0.09   0.85
19901220   0.25   0.24  -0.10  -0.96  -0.16   0.06
19901221   0.45  -0.89  -0.56  -0.82  -0.86  -0.36
19901224   1.32  -0.07   0.30   0.72  -0.02  -0.17
19901225   0.00   0.00   0.00   0.00   0.00   0.00
19901226  -0.27   0.28  -0.02  -0.10  -0.20  -0.05
19901227   0.38  -1.38  -0.74   0.61   0.10   0.04
19901228  -0.42   1.42   0.21   0.41   0.65  -0.30
19901231   0.29  -1.44   0.66   0.25   0.24  -0.50
19910101   0.00   0.00   0.00   0.00   0.00   0.00
19910102   0.44  -0.25   0.72   0.42   0.21   0.36
