This file was created using the 202006 Bloomberg database.

Missing data are indicated by -99.99.



,WML
199011    ,2.77
199012    ,2.51
199101    ,1.28
199102   ,-2.88
199103    ,2.64
199104   ,-0.37
199105    ,5.10
199106   ,-0.17
199107   ,-0.46
199108    ,2.94
199109    ,1.55
199110    ,0.20
199111   ,-1.77
199112    ,2.68
199201    ,1.15
199202    ,3.33
199203    ,0.59
199204    ,1.81
199205    ,4.42
199206    ,3.26
199207    ,1.38
199208    ,4.41
199209    ,0.76
199210    ,8.95
199211   ,-1.83
199212   ,-6.76
199301    ,2.73
199302   ,-0.74
199303    ,0.25
199304    ,3.88
199305    ,4.18
199306    ,0.71
199307    ,2.25
199308   ,-1.34
199309   ,-2.67
199310    ,1.36
199311   ,-2.59
199312    ,5.10
199401   ,-3.29
199402   ,-1.46
199403   ,-2.82
199404   ,-0.18
199405    ,1.37
199406    ,1.34
199407    ,1.74
199408    ,2.29
199409    ,1.42
199410   ,-0.02
199411    ,0.46
199412    ,1.85
199501    ,3.66
199502   ,-7.48
199503    ,0.43
199504    ,3.83
199505   ,-0.45
199506   ,-0.05
199507   ,-0.19
199508   ,-0.21
199509    ,1.36
199510   ,-1.75
199511    ,4.19
199512    ,0.16
199601    ,1.13
199602   ,-0.67
199603    ,1.86
199604    ,1.11
199605    ,3.91
199606    ,0.03
199607   ,-0.45
199608    ,3.89
199609    ,3.21
199610    ,3.41
199611    ,2.60
199612    ,0.37
199701   ,-2.29
199702    ,1.86
199703    ,1.85
199704    ,6.02
199705    ,3.04
199706    ,1.85
199707    ,6.15
199708    ,3.29
199709   ,-0.69
199710   ,-4.04
199711   ,-0.12
199712    ,4.71
199801    ,9.92
199802  ,-21.62
199803    ,1.05
199804    ,3.28
199805   ,10.20
199806   ,10.88
199807    ,7.27
199808    ,3.40
199809   ,-4.72
199810  ,-36.77
199811   ,-6.45
199812    ,3.59
199901    ,8.28
199902   ,-0.28
199903    ,0.59
199904  ,-15.35
199905   ,-2.69
199906    ,5.07
199907   ,-7.09
199908    ,1.97
199909   ,-3.35
199910    ,3.65
199911    ,4.22
199912    ,8.56
200001    ,2.00
200002    ,4.18
200003    ,1.23
200004  ,-14.18
200005   ,-5.39
200006    ,1.06
200007   ,-3.38
200008   ,-0.51
200009    ,0.42
200010   ,-3.63
200011   ,-2.48
200012    ,1.14
200101   ,-0.27
200102    ,3.55
200103    ,6.52
200104   ,-3.33
200105    ,2.19
200106    ,4.17
200107    ,3.99
200108    ,7.90
200109    ,5.16
200110    ,2.78
200111   ,-5.49
200112   ,-1.38
200201   ,-0.08
200202    ,6.83
200203    ,0.46
200204    ,1.50
200205    ,5.89
200206    ,5.63
200207    ,0.87
200208    ,4.59
200209    ,3.71
200210   ,-0.42
200211   ,-1.76
200212    ,5.00
200301    ,3.08
200302    ,5.47
200303    ,3.59
200304    ,2.04
200305   ,-1.48
200306    ,3.64
200307   ,-2.49
200308   ,-4.57
200309   ,-0.33
200310    ,1.17
200311   ,-0.19
200312    ,1.88
200401    ,0.73
200402    ,1.48
200403    ,0.01
200404   ,-3.99
200405    ,0.99
200406    ,0.40
200407    ,1.62
200408    ,2.45
200409    ,3.15
200410    ,3.70
200411    ,4.16
200412    ,1.45
200501    ,0.71
200502    ,2.19
200503    ,0.17
200504   ,-1.69
200505   ,-0.67
200506    ,3.30
200507   ,-0.71
200508    ,3.72
200509    ,1.92
200510   ,-1.26
200511    ,0.83
200512    ,1.09
200601    ,6.56
200602    ,1.42
200603    ,4.94
200604    ,2.63
200605    ,0.27
200606   ,-0.04
200607    ,0.43
200608    ,1.57
200609   ,-1.26
200610    ,2.39
200611    ,2.92
200612    ,1.71
200701    ,0.96
200702    ,0.69
200703    ,2.88
200704    ,2.53
200705    ,1.17
200706    ,1.15
200707    ,2.31
200708   ,-4.25
200709    ,5.90
200710    ,3.43
200711   ,-1.50
200712   ,-3.27
200801   ,-5.11
200802    ,6.90
200803   ,-1.75
200804    ,3.77
200805    ,5.16
200806    ,6.94
200807   ,-4.37
200808    ,2.29
200809   ,-3.19
200810    ,3.40
200811    ,4.44
200812   ,-9.50
200901    ,2.15
200902    ,0.10
200903  ,-10.56
200904  ,-14.15
200905  ,-18.08
200906    ,0.40
200907   ,-2.52
200908   ,-4.50
200909   ,-0.24
200910    ,1.25
200911    ,1.32
200912    ,0.67
201001   ,-2.71
201002    ,1.01
201003    ,1.68
201004    ,0.43
201005   ,-3.98
201006   ,-1.93
201007    ,0.56
201008    ,3.43
201009   ,-1.29
201010    ,1.33
201011    ,5.13
201012    ,0.30
201101    ,0.42
201102    ,1.23
201103    ,0.36
201104    ,2.13
201105    ,4.09
201106    ,0.13
201107    ,4.37
201108    ,0.95
201109   ,-3.54
201110   ,-1.08
201111    ,5.37
201112   ,-0.09
201201   ,-5.37
201202   ,-4.20
201203    ,5.36
201204    ,1.94
201205    ,4.78
201206    ,3.95
201207    ,3.92
201208    ,2.06
201209   ,-1.18
201210   ,-0.13
201211    ,5.04
201212   ,-1.15
201301    ,1.79
201302    ,3.52
201303    ,6.54
201304    ,8.00
201305   ,-1.03
201306    ,3.53
201307    ,0.81
201308    ,0.90
201309    ,1.54
201310    ,1.89
201311    ,5.21
201312    ,3.41
201401    ,1.15
201402    ,1.90
201403   ,-2.12
201404   ,-2.89
201405    ,1.42
201406    ,0.99
201407   ,-0.24
201408   ,-1.94
201409   ,-0.50
201410    ,2.39
201411    ,4.95
201412    ,4.54
201501    ,5.03
201502    ,0.47
201503    ,6.45
201504    ,5.60
201505    ,5.84
201506    ,3.77
201507   ,-5.44
201508   ,-0.11
201509    ,4.55
201510   ,-3.37
201511    ,4.04
201512    ,2.60
201601   ,-0.67
201602   ,-1.29
201603   ,-4.04
201604   ,-0.63
201605    ,3.41
201606    ,3.58
201607    ,3.42
201608   ,-2.01
201609   ,-1.13
201610   ,-1.58
201611   ,-4.41
201612   ,-0.68
201701    ,2.98
201702   ,-1.93
201703    ,1.88
201704    ,0.56
201705    ,0.12
201706    ,0.85
201707    ,1.29
201708    ,1.59
201709    ,1.59
201710    ,2.28
201711    ,1.20
201712    ,0.05
201801    ,0.97
201802    ,1.92
201803    ,0.94
201804    ,1.74
201805    ,0.97
201806   ,-1.43
201807   ,-0.92
201808    ,0.33
201809   ,-0.19
201810   ,-1.84
201811   ,-3.27
201812    ,1.01
201901   ,-0.47
201902   ,-0.63
201903    ,3.79
201904   ,-0.30
201905    ,5.99
201906    ,3.25
201907   ,-0.17
201908    ,2.36
201909   ,-1.37
201910    ,1.47
201911   ,-0.75
201912    ,1.90
202001    ,3.72
202002   ,-3.18
202003   ,-2.80
202004    ,4.89
202005    ,0.40
202006    ,3.08



 Annual Factors: January-December
,WML
1991   ,15.11
1992   ,22.88
1993   ,21.55
1994    ,1.49
1995    ,4.12
1996   ,24.36
1997   ,14.59
1998   ,-3.37
1999    ,6.53
2000  ,-16.60
2001   ,26.71
2002   ,31.45
2003   ,20.28
2004   ,18.37
2005    ,9.68
2006   ,31.26
2007   ,13.80
2008    ,3.63
2009  ,-75.01
2010    ,4.09
2011   ,10.79
2012   ,19.91
2013   ,37.85
2014    ,9.18
2015   ,27.70
2016   ,-6.33
2017   ,14.24
2018   ,-0.28
2019   ,17.02
