
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197501  17.22  15.79  19.71  14.35  20.66  15.40  23.17  16.20  20.28  27.07
197502   6.20   6.10   7.37   6.46   6.40   7.46   5.87   4.14   7.59  -3.13
197503  -2.15  -0.89  -3.21  -1.94  -2.30   0.19  -0.68  -0.06  -2.78   4.36
197504   5.90   2.07  10.47   2.32   9.49   1.55   9.65   2.37  10.06   2.27
197505  -0.80   0.17   0.89   0.56   0.13   3.78  -1.92  -3.92   0.80  -3.37
197506  -3.77  -3.92  -5.58  -2.33  -4.72  -3.77  -5.29  -2.28  -4.95 -18.54
197507  -5.82  -8.92  -3.28  -7.73  -4.11  -8.52  -3.94  -9.12  -3.23   6.37
197508  -1.69  -1.69  -1.83  -1.95  -1.78  -1.66  -2.09  -1.97  -1.32  27.20
197509 -10.75 -10.08 -12.53  -9.40 -12.74  -8.38 -12.32  -8.73 -13.37 -99.99
197510   1.99  -3.55   3.77  -2.77   4.34  -2.68   5.83   0.69   4.94 -99.99
197511   3.90   9.81   1.94   6.73   2.67   8.60   3.81   7.53   1.75 -99.99
197512  -0.38  -0.27   0.74   0.21   0.58  -1.80  -0.41  -1.56   0.47 -99.99
197601   8.81   9.57  11.66  10.14  11.18   7.78   2.31   5.54  14.39   8.50
197602  -2.29  -2.66  -3.73  -0.92  -3.42  -1.45   1.83  -1.97  -3.63  -5.96
197603  -2.16  -2.47  -2.33  -5.40  -1.69  -6.20  -2.48  -2.64  -1.19  -3.38
197604  -2.05  -3.54  -2.28  -0.63  -2.56  -2.88   0.66  -1.07  -1.71  -2.02
197605  -6.79  -4.51  -7.31  -6.53  -6.52  -6.32  -8.43  -5.89  -7.71  -9.99
197606  -0.10  -0.72   0.80   0.21   1.11  -0.33  -0.97  -2.58   1.71   3.29
197607   1.15  -0.42   1.63   0.93   1.01   0.44   0.73   1.21   1.72   1.02
197608  -2.90  -2.35  -4.77  -2.93  -4.90  -1.02  -0.50  -0.80  -5.92  -2.96
197609  -0.37   0.13  -0.62  -3.54   0.40  -5.73   1.24   0.00  -1.04  -0.34
197610  -3.49  -3.63  -4.84  -5.12  -4.60  -8.31  -1.43  -1.52  -4.61  -5.72
197611   6.46   4.39   7.10   6.93   7.71   4.81   8.20   7.71   6.14   5.50
197612   3.59   3.77   2.51   3.47   3.28   4.03   5.46   4.12   3.62  -1.42
197701  -2.75  -3.33  -2.21  -3.11  -3.41  -0.84  -4.48  -2.30  -3.91 -15.34
197702   2.35   1.21   3.27   4.81   0.87   1.92   6.51   0.06   7.07   5.58
197703  -3.36  -4.44  -4.39  -4.19  -2.36   0.29  -4.50  -2.35  -4.24 -11.62
197704   2.28   2.53   1.04   0.17   5.14   3.84  -1.31   3.86  -1.13  -1.03
