
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197701  -3.61  -2.62  -4.43  -3.66  -2.82  -3.22  -5.03  -3.02  -5.39  -3.71
197702  -0.73   0.41  -1.96   1.24  -2.36   0.12  -0.87   1.11   0.43  -2.29
197703   0.10   1.19  -0.54   0.83   2.23   0.22   0.41  -0.13  -0.24   1.05
197704  -2.20   0.01  -3.85  -0.25  -3.52   1.01  -5.13  -0.21  -2.31   2.29
197705  -2.30  -1.60  -2.40   0.17  -5.63   1.40  -3.48   1.41  -3.10  -2.09
197706   4.32   3.60   4.13   5.23   1.72   3.46   3.09   5.16   3.27   8.93
197707  -0.79  -0.23  -1.04  -0.29  -3.70   0.60  -1.74   0.17  -0.60   1.41
197708  -4.22  -4.45  -4.95  -3.18  -5.02  -3.31  -4.70  -2.74  -3.83  -3.41
197709  -0.21  -1.81   0.07   0.83  -3.55   0.11  -1.11   1.11  -0.52   2.11
197710  -6.88  -5.24  -7.95  -6.24  -8.39  -5.61  -7.91  -5.67  -5.40  -7.70
197711   5.87   4.78   6.72   5.32   2.11   5.20   6.22   5.87   6.34  16.58
197712   5.57   5.28   5.99   3.56   4.77   2.64   5.73   2.55   7.77   9.50
197801  -7.79  -4.68  -9.08  -6.23  -8.04  -6.19  -9.48  -4.69  -9.57  -8.28
197802  -0.39  -0.12  -1.45   1.79  -2.22   1.11  -0.91   0.06  -2.16   0.75
197803   3.86   4.75   3.39   3.80   3.41   3.67   3.95   2.07   2.75   7.58
197804   1.25   4.62  -1.32   3.74  -0.45   4.99  -1.61   3.11  -0.60   0.42
197805   4.22   5.64   2.39   4.54   3.41   4.20   2.90   4.89   1.64   3.39
197806  -0.74  -3.03   0.62  -0.17   0.37  -1.21  -0.26  -1.46   1.72   0.35
197807   5.66   6.60   6.44   5.86   5.58   6.92   6.78   3.41   7.90   7.98
197808   1.80   4.02   0.92   3.02   0.27   3.80   0.29   1.96   1.07   7.51
197809   2.08   2.44   2.51   1.39   1.66   2.79   3.62   0.61   2.92   6.83
197810  -3.97  -2.51  -7.13  -2.39  -5.35  -3.63  -7.00  -0.81  -7.96 -11.04
197811   5.63   4.51   9.66   4.79   8.14   5.45  10.37   2.15  11.99   7.46
197812   2.21   2.64   2.13   1.77   0.88   3.03   2.15   0.51   1.95  10.59
197901   1.66   3.08   1.24   0.24   2.48  -0.34   1.16   1.41   1.96   0.08
197902   2.99   1.28   4.65   0.64   3.80   0.99   4.88   1.12   4.47  13.68
197903   9.80   8.17  11.12   7.14  10.76   7.65  11.15   5.60  12.77  19.94
197904   2.80   4.53   3.56   5.01   1.91   5.16   2.57   4.33   2.84   5.76
