observation_date,BAA_AAA
1919-01-01,1.77
1919-02-01,1.85
1919-03-01,1.76
1919-04-01,1.79
1919-05-01,1.7
1919-06-01,1.64
1919-07-01,1.62
1919-08-01,1.57
1919-09-01,1.67
1919-10-01,1.8
1919-11-01,1.88
1919-12-01,2.04
1920-01-01,2.03
1920-02-01,2.08
1920-03-01,2.05
1920-04-01,2.13
1920-05-01,2.14
1920-06-01,2.01
1920-07-01,2.18
1920-08-01,2.09
1920-09-01,1.92
1920-10-01,1.94
1920-11-01,2.13
1920-12-01,2.3
1921-01-01,2.36
1921-02-01,2.34
1921-03-01,2.47
1921-04-01,2.47
1921-05-01,2.41
1921-06-01,2.38
1921-07-01,2.36
1921-08-01,2.52
1921-09-01,2.41
1921-10-01,2.5
1921-11-01,2.28
1921-12-01,2.11
1922-01-01,2.36
1922-02-01,2.26
1922-03-01,2.22
1922-04-01,1.99
1922-05-01,1.76
1922-06-01,1.89
1922-07-01,1.89
1922-08-01,1.89
1922-09-01,1.82
1922-10-01,1.81
1922-11-01,1.89
1922-12-01,1.94
1923-01-01,1.94
1923-02-01,1.9
1923-03-01,1.96
1923-04-01,1.95
1923-05-01,2.01
1923-06-01,2.06
1923-07-01,2.2
1923-08-01,2.3
1923-09-01,2.26
1923-10-01,2.35
1923-11-01,2.31
1923-12-01,2.29
1924-01-01,2.15
1924-02-01,2.05
1924-03-01,1.98
1924-04-01,1.95
1924-05-01,1.93
1924-06-01,1.83
1924-07-01,1.72
1924-08-01,1.74
1924-09-01,1.78
1924-10-01,1.7
1924-11-01,1.6
1924-12-01,1.51
1925-01-01,1.49
1925-02-01,1.41
1925-03-01,1.45
1925-04-01,1.54
1925-05-01,1.47
1925-06-01,1.35
1925-07-01,1.33
1925-08-01,1.34
1925-09-01,1.33
1925-10-01,1.32
1925-11-01,1.33
1925-12-01,1.3
1926-01-01,1.27
1926-02-01,1.25
1926-03-01,1.26
1926-04-01,1.24
1926-05-01,1.15
1926-06-01,1.08
1926-07-01,1.08
1926-08-01,1.09
1926-09-01,1.07
1926-10-01,1.1
1926-11-01,1.09
1926-12-01,1
1927-01-01,0.95
1927-02-01,0.92
1927-03-01,0.92
1927-04-01,0.9
1927-05-01,0.93
1927-06-01,0.97
1927-07-01,0.95
1927-08-01,0.920000000000001
1927-09-01,0.88
1927-10-01,0.87
1927-11-01,0.859999999999999
1927-12-01,0.86
1928-01-01,0.89
1928-02-01,0.87
1928-03-01,0.86
1928-04-01,0.87
1928-05-01,0.93
1928-06-01,0.98
1928-07-01,0.97
1928-08-01,0.970000000000001
1928-09-01,0.98
1928-10-01,0.97
1928-11-01,0.97
1928-12-01,0.989999999999999
1929-01-01,1.01
1929-02-01,1
1929-03-01,1.09
1929-04-01,1.11
1929-05-01,1.1
1929-06-01,1.17
1929-07-01,1.18
1929-08-01,1.25
1929-09-01,1.32
1929-10-01,1.34
1929-11-01,1.27
1929-12-01,1.28
1930-01-01,1.26
1930-02-01,1.2
1930-03-01,1.11
1930-04-01,1.1
1930-05-01,1.12
1930-06-01,1.21
1930-07-01,1.25
1930-08-01,1.26
1930-09-01,1.23
1930-10-01,1.52
1930-11-01,1.78
1930-12-01,2.19
1931-01-01,1.99
1931-02-01,1.95
1931-03-01,2.05
1931-04-01,2.32
1931-05-01,2.78
1931-06-01,3
1931-07-01,2.72
1931-08-01,3.07
1931-09-01,3.52
1931-10-01,4.05
1931-11-01,3.99
1931-12-01,5.1
1932-01-01,3.93
1932-02-01,3.64
1932-03-01,3.85
1932-04-01,5.29
1932-05-01,5.64
1932-06-01,5.59
1932-07-01,5.53
1932-08-01,3.31
1932-09-01,2.91
1932-10-01,3.23
1932-11-01,3.61
1932-12-01,3.83
1933-01-01,3.57
1933-02-01,3.89
1933-03-01,4.23
1933-04-01,4.34
1933-05-01,3.11
1933-06-01,2.61
1933-07-01,2.26
1933-08-01,2.47
1933-09-01,2.91
1933-10-01,3.15
1933-11-01,3.44
1933-12-01,3.25
1934-01-01,2.66
1934-02-01,2.07
1934-03-01,2.13
1934-04-01,1.94
1934-05-01,2.04
1934-06-01,2.13
