This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 4 BE/ME portfolios and 4 OP portfolios in Developed.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of 6 months before formation. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoBM LoOP,ME1 BM1 OP2,ME1 BM1 OP3,ME1 BM1 HiOP,ME1 BM2 LoOP,ME1 BM2 OP2,ME1 BM2 OP3,ME1 BM2 HiOP,ME1 BM3 LoOP,ME1 BM3 OP2,ME1 BM3 OP3,ME1 BM3 HiOP,ME1 BM4 LoOP,ME1 BM4 OP2,ME1 BM4 OP3,SMALL HiBM HiOP,BIG LoBM LoOP,ME2 BM1 OP2,ME2 BM1 OP3,ME2 BM1 HiOP,ME2 BM2 LoOP,ME2 BM2 OP2,ME2 BM2 OP3,ME2 BM2 HiOP,ME2 BM3 LoOP,ME2 BM3 OP2,ME2 BM3 OP3,ME2 BM3 HiOP,ME2 BM4 LoOP,ME2 BM4 OP2,ME2 BM4 OP3,BIG HiBM HiOP
199007     ,1.01     ,1.96     ,2.35     ,1.88     ,1.17     ,2.16     ,1.25     ,3.20     ,2.02     ,1.84     ,1.93     ,3.33     ,2.65     ,1.94     ,3.82     ,4.90     ,0.86     ,3.07    ,-0.56     ,1.75     ,1.40     ,0.76     ,2.69    ,-0.84     ,2.49     ,1.45     ,4.50    ,-0.29     ,1.63     ,2.62     ,1.18    ,-0.79
199008   ,-11.96   ,-10.49   ,-11.97   ,-11.13   ,-13.23   ,-10.80   ,-10.32   ,-12.28   ,-11.73   ,-10.46   ,-11.47   ,-13.28   ,-12.10   ,-11.46   ,-12.13   ,-14.09   ,-10.42   ,-11.58   ,-10.09    ,-8.95   ,-10.33   ,-11.24    ,-9.29    ,-9.37    ,-9.89   ,-10.24    ,-7.88   ,-10.46    ,-9.67   ,-12.06   ,-10.06   ,-11.05
199009   ,-12.16    ,-8.90   ,-10.52    ,-9.53   ,-11.42    ,-8.96    ,-9.24   ,-11.02   ,-12.08    ,-9.50   ,-10.76   ,-10.46   ,-11.40   ,-10.31   ,-11.32   ,-17.15   ,-13.99   ,-15.75   ,-12.36    ,-9.33   ,-11.52   ,-11.34   ,-11.63   ,-11.33    ,-9.98    ,-9.89    ,-8.53   ,-14.81   ,-12.85   ,-12.77   ,-11.98   ,-13.22
199010     ,3.83     ,3.56     ,2.28     ,1.81     ,4.93     ,3.40     ,0.60     ,5.26     ,3.78     ,2.57     ,5.24     ,5.11     ,4.04     ,5.27     ,9.56    ,12.11    ,13.00    ,18.19    ,12.92     ,8.04     ,9.99     ,9.67     ,8.87    ,20.52     ,6.44     ,8.90     ,6.13    ,16.75     ,9.27     ,9.40    ,11.11    ,11.24
199011    ,-5.24    ,-1.68     ,1.43    ,-0.49    ,-6.16    ,-2.21     ,0.50    ,-1.87    ,-5.86    ,-1.32    ,-1.28    ,-4.81    ,-2.41    ,-4.73    ,-8.16    ,-6.29   ,-10.81    ,-6.97    ,-2.87     ,0.75    ,-2.89    ,-3.48    ,-2.08    ,-4.82    ,-3.36    ,-0.19    ,-2.36    ,-6.94    ,-1.77    ,-4.47    ,-6.39    ,-9.86
199012     ,0.79    ,-0.08     ,2.49     ,1.81    ,-0.27    ,-0.72     ,0.91     ,0.54     ,1.47     ,0.95     ,0.65     ,0.17    ,-0.31     ,0.43    ,-0.71    ,-2.23     ,0.41     ,4.28     ,3.05     ,2.20     ,2.57     ,1.14     ,2.67     ,3.64     ,0.75     ,0.53     ,0.03     ,4.05    ,-0.37     ,0.29    ,-0.02     ,1.20
199101    ,-1.20     ,0.47     ,3.58     ,2.07    ,-0.72     ,0.08     ,2.49     ,2.21     ,0.25     ,1.05     ,1.25     ,0.03     ,0.03    ,-0.57    ,-0.42     ,2.97     ,0.89     ,4.23     ,3.91     ,3.80     ,1.64     ,2.97     ,2.70     ,3.99     ,0.51     ,4.12     ,0.34     ,2.58     ,4.03     ,4.29     ,4.45     ,2.67
199102    ,17.46    ,11.86    ,11.81    ,10.42    ,11.68    ,10.56    ,11.29    ,12.29    ,13.34    ,11.52    ,12.12    ,13.40    ,12.37    ,13.04    ,14.63    ,16.34    ,13.36     ,8.29     ,8.58     ,9.39    ,10.61    ,11.21     ,7.94     ,6.40    ,12.06     ,8.04     ,8.94    ,11.48    ,10.68    ,10.65     ,9.12    ,14.17
199103     ,0.88    ,-3.53     ,2.70     ,1.66     ,0.25    ,-0.15     ,0.03     ,0.11    ,-1.99     ,0.16     ,1.26     ,0.45    ,-1.17     ,0.15    ,-0.41    ,-1.16    ,-4.78    ,-5.87    ,-3.33     ,1.43    ,-2.41    ,-3.53    ,-1.37    ,-2.63    ,-2.69    ,-4.12    ,-2.72    ,-4.68    ,-2.52    ,-3.15    ,-3.59    ,-4.76
199104    ,-0.10     ,0.22     ,1.03     ,1.02    ,-0.04     ,0.53     ,0.19     ,2.31    ,-0.02     ,2.36     ,0.67     ,1.33     ,0.84     ,2.61     ,2.21     ,5.60     ,0.75     ,2.71     ,1.09    ,-0.03    ,-0.04     ,1.54     ,2.01     ,1.05     ,0.61    ,-0.47     ,1.43     ,2.66     ,0.60     ,0.10     ,1.75     ,1.61
