This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Developed.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  INV is percentage difference in Total Assets at the last fiscal year end of the prior calendar
year from the previous fiscal year as of 6 months before formation.  Firms with negative
INV are included in any portfolio.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



    Average Value Weighted Returns -- Daily
                 Small                 Big
            Low     2    High    Low     2    High
19900702   0.58   0.63   0.62   0.72   0.79   0.69
19900703   0.22   0.20   0.29   0.26   0.21   0.13
19900704   0.44   0.46   0.39   0.61   0.68   0.63
19900705  -0.41  -0.42  -0.52  -0.73  -0.87  -0.71
19900706   0.09   0.05   0.00   0.05   0.34   0.20
19900709   0.28   0.43   0.37   0.00   0.25   0.42
19900710   0.13   0.32   0.17   0.07   0.01   0.27
19900711  -0.10  -0.12  -0.05   0.57   0.40   0.33
19900712   0.44   0.49   0.54   0.57   0.68   0.56
19900713   0.52   0.22   0.16   0.92   0.64   0.98
19900716   0.22   0.22   0.24   0.41   0.64   0.81
19900717   0.17   0.22  -0.02  -0.12   0.20  -0.01
19900718  -0.07  -0.15  -0.19   0.00  -0.25  -0.27
19900719  -0.20  -0.17  -0.12  -0.06  -0.12  -0.49
19900720  -0.03  -0.13  -0.21  -0.73  -0.94  -0.93
19900723  -0.74  -0.71  -1.06  -0.83  -1.08  -1.16
19900724  -0.20  -0.26  -0.23  -0.12  -0.49  -0.83
19900725   0.17   0.15   0.28  -0.09   0.12   0.12
19900726  -0.17  -0.13   0.02  -0.72  -0.76  -0.59
19900727  -0.17   0.00  -0.11  -0.39  -0.81  -0.90
19900730  -0.21  -0.17  -0.26   0.24   0.09  -0.05
19900731   0.91   0.68   0.56   1.68   1.29   1.31
19900801  -0.35  -0.38  -0.36  -0.28  -0.52  -0.57
19900802  -1.09  -1.29  -1.34  -1.03  -1.99  -2.27
19900803  -1.34  -1.30  -1.64  -1.76  -1.58  -1.83
19900806  -2.48  -2.40  -2.96  -2.80  -3.21  -3.78
19900807  -0.92  -0.95  -0.50  -0.58  -0.48  -0.81
19900808  -0.05   0.02   0.26   0.52   0.67   1.31
19900809   0.24   0.13   0.43  -0.32  -0.04  -0.09
19900810  -0.34  -0.36  -0.55  -0.49  -0.79  -0.73
19900813  -0.76  -0.70  -0.71  -1.03  -0.82  -1.35
19900814   0.24   0.40   0.49   0.97   0.78   1.10
19900815   1.15   0.84   0.56   1.85   1.99   2.80
19900816  -0.62  -0.49  -0.82  -1.36  -1.52  -1.75
19900817  -0.92  -1.00  -1.37  -0.93  -1.38  -1.67
19900820  -1.13  -1.28  -1.20  -0.59  -0.44  -0.81
19900821  -1.43  -1.30  -1.85  -1.55  -1.35  -1.61
19900822  -1.25  -1.23  -1.03  -1.31  -1.70  -1.61
19900823  -2.72  -2.25  -2.79  -4.10  -3.60  -3.34
19900824  -0.83  -0.70  -0.02   0.76   0.77   1.44
19900827   2.13   1.98   2.28   3.36   3.46   3.92
19900828   1.34   1.08   1.18   0.96   1.28   1.42
19900829   0.11   0.09  -0.20  -0.12  -0.44  -0.64
19900830  -0.12  -0.27  -0.40   0.09  -0.10   0.58
19900831   0.09   0.20  -0.30   0.41   0.67   0.18
19900903  -0.44  -0.56  -0.51  -0.76  -0.80  -0.74
