This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP portfolios in Developed.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
199007   1.44   2.51   3.37   1.97   1.97   0.44
199008 -11.19 -11.34 -11.67 -10.39  -9.91  -9.61
199009 -10.10 -10.23 -10.75 -12.19 -11.46 -11.14
199010   2.50   4.17   4.58   9.80   9.56  13.64
199011  -3.42  -1.90  -1.45  -4.15  -2.98  -3.49
199012   0.46   0.53   0.85   0.52   1.52   2.89
199101   0.72   1.47   1.30   2.24   3.10   3.54
199102  12.64  11.64  11.31  11.50   8.91   8.82
199103   0.15   0.22   0.00  -3.21  -3.14  -1.56
199104   1.17   0.66   1.45   0.53   1.25   0.92
199105   0.77   0.42   1.01   1.17   1.57   1.11
199106  -4.90  -4.28  -4.16  -7.03  -5.43  -6.01
199107   2.11   2.05   3.49   2.86   3.97   5.22
199108  -1.47  -0.31   0.70  -1.30  -1.25  -0.21
199109   3.50   3.71   4.37   3.57   3.75   2.58
199110   2.66   1.07   0.71   2.64   1.30   1.82
199111  -5.16  -3.54  -3.64  -5.36  -5.04  -4.20
199112   4.86   4.59   5.00   5.32   6.56   8.41
199201   3.06   0.98   2.15  -2.63  -1.40  -2.79
199202   0.57   0.12   1.78  -1.96  -1.19  -2.48
199203  -4.43  -3.62  -4.25  -6.15  -5.03  -4.88
199204  -2.86  -0.32   0.53  -1.92   1.29   1.19
199205   4.92   4.81   3.86   5.42   4.12   3.90
199206  -3.47  -2.87  -2.33  -3.77  -3.19  -3.62
199207  -2.27  -2.26  -2.71  -0.85  -0.36   0.70
199208  -0.81   0.75   0.89   3.56   2.86   2.49
199209  -1.68  -0.96  -1.18  -1.04  -1.18  -1.11
199210  -2.72  -3.17  -3.29  -3.05  -2.95  -2.39
199211   2.49   1.65   1.99   2.18   1.74   2.28
199212   1.94   2.13   2.64  -0.16   1.32   0.88
199301   2.25   2.40   2.32   1.71   0.60  -0.85
199302   1.35   1.52   0.87   2.88   2.90   1.04
199303   7.27   7.33   7.82   7.71   6.87   6.54
199304   5.86   4.78   5.59   6.66   4.99   2.57
199305   7.88   6.88   6.46   3.59   2.93   2.26
199306  -2.18  -2.98  -2.72  -0.53  -1.81  -2.79
199307   1.01   1.33   1.68   3.55   3.16   1.54
199308   5.49   5.53   6.12   5.11   4.25   4.53
199309  -0.44   0.22   0.41  -2.59  -1.88  -1.91
199310   1.23   0.66   1.04   0.56   1.35   1.91
199311  -4.99  -4.41  -4.05  -6.97  -7.13  -4.67
199312   4.85   5.16   4.48   4.47   5.19   3.16
199401   9.12   7.50   7.85  10.16   6.92   6.85
199402  -0.18   0.73   0.79  -1.44  -0.95  -1.09
199403  -3.16  -2.19  -2.62  -3.32  -3.46  -3.83
199404   2.63   3.01   2.19   2.95   2.68   2.46
199405  -0.67  -0.91  -1.47   1.25   0.10  -0.20
199406  -0.32   0.32  -0.33  -0.10   0.56   0.57
199407   0.55   1.38   1.59   0.73   1.78   1.47
199408   1.99   2.40   2.83   1.79   1.88   3.71
199409  -0.91  -0.74  -0.61  -2.61  -3.02  -2.32
199410   0.58   0.89   0.95   2.43   3.00   2.64
199411  -5.24  -4.58  -5.17  -5.49  -4.79  -4.28
199412   0.70   1.54   0.75   1.58   1.05   1.22
199501  -1.57  -2.24  -0.72  -2.92  -1.85  -1.41
199502   1.55   1.53   1.35  -0.33   1.57   1.10
199503   2.44   2.96   2.72   3.92   4.84   5.61
199504   2.22   2.12   1.43   4.37   2.82   3.11
199505   0.24   0.18   1.01  -0.79   1.17   0.32
199506   2.54   1.98   1.99  -1.97  -0.10   1.79
199507   5.22   4.61   5.60   6.23   4.73   4.09
199508   1.38  -0.07  -0.11  -2.54  -1.95  -0.60
199509   1.02   0.34   1.80   1.02   2.05   3.15
199510  -3.46  -2.93  -2.84  -2.43  -1.87  -0.42
199511   3.29   1.44   0.48   4.67   3.16   2.50
199512   3.36   2.73   2.11   3.50   2.90   1.94
199601   2.18   0.50   1.86   0.63   1.04   2.53
199602   1.51   2.31   3.09  -0.05   1.13   1.11
199603   1.80   1.84   2.16   1.90   2.43   0.58
199604   6.69   5.76   5.74   3.23   2.38   2.91
199605   2.93   1.82   2.85  -1.02   0.48   1.04
199606  -3.54  -1.30  -1.26  -1.11   0.26   0.60
199607  -6.82  -4.95  -4.22  -4.97  -3.35  -3.91
199608   2.94   1.99   2.37   0.48   1.63   1.23
199609   1.36   0.96   1.12   3.29   3.55   4.56
199610  -1.02  -0.01   0.65  -1.85   1.18  -0.23
199611   2.26   2.02   1.78   3.66   4.77   6.39
199612  -0.47  -0.27  -0.39  -3.69  -1.03  -0.88
199701   1.33  -0.23  -0.24  -3.21   0.46   2.45
199702  -0.25  -0.35  -0.43   1.37   0.64   0.62
199703  -4.04  -2.37  -2.21  -3.05  -1.54  -2.70
199704  -2.46  -1.08  -1.21   0.54   2.13   4.55
199705   8.93   9.01   8.40   9.08   6.92   7.16
199706   3.01   3.60   2.90   5.16   4.54   4.27
199707   0.22  -0.20   0.56   2.22   5.83   4.73
199708   0.25  -1.20  -0.11  -4.79  -5.96  -5.95
199709   3.75   3.25   3.66   4.54   6.75   5.13
199710  -4.68  -3.81  -3.92  -7.37  -5.43  -4.15
199711  -5.43  -3.87  -3.95  -1.58   0.88   2.81
199712  -2.30  -1.67  -2.00   0.57   1.43   1.01
199801   1.91   1.91   2.15   3.66   0.76   3.37
199802   7.29   6.43   7.44   8.60   7.22   5.85
199803   4.36   3.49   4.53   3.33   4.46   4.18
199804   0.87   1.88   2.20   1.45   0.98   1.09
199805  -2.58  -1.81  -0.46  -2.31  -0.85  -1.14
199806  -1.47  -2.18  -1.90   1.62   0.53   3.35
