This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 prior return portfolios in Developed.

The portfolios are constructed daily.  ME is market cap at the end of the
previous day.  Prior return is from -250 to -20.

Missing data are indicated by -99.99.



    Average Value Weighted Returns -- Daily
                 Small                 Big
            Low     2    High    Low     2    High
19901101  -1.13  -1.16  -0.53  -2.38  -1.56  -0.75
19901102   0.07  -0.09   0.15   0.87   1.48   1.00
19901105   1.35   1.41   1.39   2.07   1.39   1.33
19901106  -0.33  -0.44  -0.49  -0.94  -0.98  -0.93
19901107  -1.11  -1.01  -1.08  -2.24  -1.62  -1.33
19901108  -1.19  -1.63  -1.35  -2.40  -1.17  -0.89
19901109  -0.19  -0.72  -0.53   0.03   0.44   0.69
19901112   1.12   0.64   0.58   1.33   1.28   0.78
19901113   0.85   1.00   0.81   2.35   1.16   0.60
19901114   0.68   0.66   0.48   0.16   0.12   0.12
19901115  -0.49  -0.51  -0.27  -1.39  -0.68  -0.63
19901116  -0.75  -0.51   0.38  -1.05  -0.50   0.06
19901119   0.42   0.29   0.27   1.56   1.10   0.95
19901120  -0.71  -0.46  -0.49  -0.93  -0.79  -0.85
19901121  -0.35  -0.45  -0.50  -0.44  -0.40  -0.24
19901122   0.66   0.40   0.09   2.12   1.02   0.60
19901123   0.10  -0.12  -0.35  -0.04  -0.01   0.00
19901126  -0.40  -0.33  -0.47   0.21  -0.58  -0.34
19901127   0.39   0.03   0.30   0.02   0.19   0.26
19901128  -0.60  -1.14  -1.20  -1.92  -1.60  -1.17
19901129  -1.32  -1.88  -2.20  -2.48  -2.04  -1.43
19901130  -0.20  -0.60  -1.14  -0.18   0.07   0.54
19901203   0.51   0.05  -0.01   0.79   0.25   0.09
19901204  -0.13  -0.45  -0.54  -1.23  -0.59  -0.50
19901205   0.84  -0.09  -0.38   1.82   0.73   0.18
19901206   1.34   1.46   1.16   3.04   1.68   0.82
19901207   1.70   2.10   2.41   3.58   2.26   1.28
19901210   0.36   0.72   0.58   0.25   0.09   0.20
19901211  -0.31  -0.05  -0.01   0.14  -0.26  -0.34
19901212   0.50   0.63   0.28   0.96   0.58   0.47
19901213   0.27   0.56   0.47   1.38   0.81  -0.01
19901214  -0.78  -0.43  -0.51  -1.16  -0.72  -0.75
19901217  -1.11  -0.94  -0.62  -1.66  -1.07  -0.70
19901218  -0.10   0.01  -0.03   0.73   0.84   0.64
19901219   0.32   0.15   0.26   0.65   0.61   0.08
19901220  -0.94  -1.17  -0.99  -1.64  -1.73  -1.01
19901221  -1.12  -1.22  -0.94  -1.39  -1.23  -0.41
19901224  -0.33  -0.44  -0.45  -0.54  -0.54  -0.43
19901225  -0.46  -0.66  -0.67  -1.18  -1.02  -0.46
19901226  -0.02  -0.16  -0.28   0.32   0.36   0.22
19901227  -0.13   0.09  -0.18  -0.11  -0.08  -0.04
19901228   0.44   0.66   0.79   0.78   0.64   0.41
19901231   0.41   0.10   0.09  -0.12  -0.14   0.08
19910101   0.12   0.16   0.18   0.24   0.22   0.11
19910102   0.36  -0.07  -0.01  -0.06  -0.17  -0.46
19910103   0.10   0.09  -0.07   0.42   0.17  -0.44
19910104  -0.45  -0.59  -0.98  -0.62  -0.39  -0.62
19910107  -1.76  -1.61  -1.78  -2.27  -2.14  -1.98
19910108  -1.45  -1.14  -1.16  -1.57  -1.49  -1.04
19910109   0.05   0.46   0.24   0.75   0.92   0.24
19910110  -0.53  -0.77  -0.55  -0.24   0.27   0.41
19910111   0.22   0.25   0.02   0.37   0.51   0.38
19910114  -1.39  -1.38  -1.31  -1.10  -1.00  -0.98
19910115  -0.33  -0.38  -0.39  -0.17  -0.28  -0.14
19910116  -0.89  -1.14  -0.82  -1.64  -1.26  -0.73
19910117   3.36   3.30   3.42   6.21   5.20   4.83
19910118   0.60   0.67   0.51   1.03   1.17   0.99
19910121  -0.37  -0.14   0.20  -0.43  -0.67  -0.42
19910122  -0.18  -0.30  -0.42  -0.50  -0.33  -0.35
19910123  -0.56  -0.44  -0.38  -0.94  -0.44  -0.32
19910124   1.00   0.48   0.35   1.33   1.26   1.21
19910125   0.88   0.56   0.42   0.68   0.82   0.64
19910128   0.54   0.33   0.52   0.39   0.01   0.08
19910129   0.53   0.48   0.77   0.28   0.08   0.09
19910130   1.28   0.89   1.06   1.03   0.57   0.58
19910131   1.32   1.05   1.11   0.85   0.78   0.46
19910201   0.57   0.22   0.39  -0.10  -0.23  -0.14
19910204   2.27   1.41   1.25   1.66   1.09   0.95
19910205   2.52   1.86   1.76   2.17   1.96   1.69
19910206   2.41   1.57   1.52   1.84   1.80   1.42
19910207   0.89   0.39  -0.22   0.64   0.58   0.37
19910208   1.33   0.71   0.37   0.98   0.73   0.60
19910211   1.23   0.90   1.23   1.72   1.39   1.40
19910212   1.00   0.89   0.60   0.90   0.85   0.24
19910213   1.40   0.87   0.64   1.17   0.48   0.36
19910214   0.89   0.36  -0.12  -0.16  -0.26  -0.52
19910215   0.55   0.33   0.53   0.52   0.22   0.31
19910218   2.13   1.37   0.84   1.73   1.42   1.32
19910219   0.21  -0.05   0.06  -0.07  -0.26  -0.54
19910220  -0.70  -0.42  -0.68  -1.02  -0.92  -0.92
19910221   0.33   0.45   0.42   0.01  -0.03   0.05
19910222  -0.16  -0.05   0.19  -0.18  -0.28  -0.48
19910225   0.20   0.35   0.03   0.76   0.63   0.85
19910226   0.02   0.03  -0.37  -0.73  -0.66  -0.87
19910227   0.46   0.26   0.30   0.61   0.54   0.23
19910228   1.21   0.70   0.68   0.60   0.31   0.19
19910301  -0.35  -0.55  -0.09  -0.66  -0.90  -1.01
19910304   0.40   0.54   0.86  -0.02  -0.29  -0.54
19910305   0.97   0.96   1.31   1.20   0.83   1.16
19910306   0.57   0.63   0.46   0.88   0.72   0.65
19910307   0.09   0.03   0.43  -0.16  -0.19   0.04
19910308   0.34  -0.05   0.03  -0.12  -0.22   0.25
19910311  -0.06  -0.43  -0.84  -0.77  -0.97  -0.83
19910312   0.25   0.25  -0.28   0.10   0.67   0.38
19910313   0.00   0.05   0.30  -0.10  -0.23  -0.13
19910314   0.41   0.25   0.18   0.31   0.49   0.76
19910315  -0.26  -0.07  -0.32  -0.11   0.13   0.32
19910318  -0.29  -0.45  -0.36  -0.73  -0.58  -0.12
19910319  -0.75  -0.79  -0.90  -1.19  -1.02  -1.15
19910320  -0.63  -0.42   0.41  -1.58  -1.06  -0.51
19910321   0.37   0.51   0.61   0.32   0.41   0.51
19910322  -0.01  -0.11  -0.02  -0.20   0.41  -0.07
19910325  -0.70  -0.80  -0.25  -0.71  -0.61  -0.67
19910326   0.10   0.22   1.32   0.31   0.24   0.81
19910327   0.03  -0.24   0.54  -0.31  -0.49  -0.39
19910328   0.17   0.28   0.53  -0.27  -0.28  -0.35
19910329   0.42   0.48   0.49   0.72   0.39   0.27
19910401   0.16   0.29   0.25  -0.51  -0.41  -0.34
19910402   0.84   1.02   1.32   1.63   1.95   2.06
19910403   0.99   1.11   1.34   1.34   1.21   1.02
19910404   0.74   0.75   0.65   0.49   0.74   0.65
19910405  -0.08   0.03  -0.22  -0.58  -0.51  -0.48
19910408  -0.10  -0.01  -0.01  -0.16  -0.15  -0.20
19910409   0.33   0.63   0.40  -0.02  -0.11   0.07
19910410  -0.45  -0.45  -0.45  -0.70  -0.78  -0.68
19910411   0.59   0.48   0.87   0.64   0.53   1.06
19910412   0.33   0.46   0.70   0.51   0.51   0.35
19910415   0.54   0.70   0.57   0.91   1.02   1.06
19910416   0.42   0.26   0.62   0.58   0.59   0.60
19910417   0.39   0.00   0.63   0.42   0.08   0.17
19910418  -0.27  -0.36  -0.72  -0.61  -0.83  -1.27
19910419  -0.91  -1.40  -1.30  -1.73  -1.56  -1.78
19910422  -1.57  -1.47  -1.50  -1.76  -1.60  -1.50
19910423   0.41   0.39   0.44   0.94   1.03   0.74
19910424   0.08   0.05  -0.03  -0.09  -0.21  -0.34
19910425  -0.35  -0.21  -0.29  -0.55  -0.81  -0.87
19910426  -0.39  -0.27  -0.36  -0.02  -0.09  -0.05
19910429  -0.32  -0.36  -0.62  -0.58  -0.33  -0.21
19910430   0.29   0.50   0.19   0.86   1.00   0.64
19910501   0.45   0.60   0.83   1.18   0.95   1.15
19910502   0.38   0.32   1.01   0.05  -0.08   0.21
19910503  -0.21  -0.25  -0.10  -0.24  -0.38  -0.47
19910506  -0.03   0.04   0.32  -0.03   0.03   0.12
19910507   0.43   0.52   0.46  -0.29   0.06   0.39
19910508  -0.27  -0.24   0.05  -0.19  -0.49  -0.46
19910509   0.08   0.27   0.39   0.27   0.02   0.49
19910510   0.17   0.15  -0.30  -0.24  -0.19  -0.50
19910513  -0.26  -0.13  -0.47  -0.38  -0.47  -0.42
19910514  -0.26  -0.09  -0.39  -0.29  -0.10  -0.24
19910515  -0.75  -0.66  -1.40  -0.55  -0.33  -0.52
19910516   0.00  -0.09   0.15   0.09   0.08   0.49
19910517  -0.58  -0.54  -0.45  -0.35  -0.49  -0.90
19910520  -0.33  -0.21  -0.18  -0.36  -0.06   0.04
