This file was created using the 202006 Bloomberg database.

Missing data are indicated by -99.99.



,WML
199011    ,0.08
199012   ,-2.64
199101   ,-1.69
199102   ,-7.45
199103    ,1.95
199104   ,-0.02
199105    ,0.97
199106    ,1.11
199107    ,3.45
199108    ,3.43
199109    ,1.63
199110    ,2.46
199111    ,0.96
199112    ,3.21
199201    ,0.40
199202    ,1.18
199203    ,0.70
199204   ,-0.01
199205    ,0.02
199206    ,2.87
199207    ,0.97
199208   ,-3.60
199209    ,2.59
199210    ,1.47
199211    ,0.85
199212    ,1.56
199301    ,2.53
199302    ,0.96
199303    ,0.42
199304   ,-0.20
199305    ,0.55
199306    ,2.75
199307    ,2.20
199308    ,0.35
199309    ,0.46
199310   ,-0.28
199311   ,-4.81
199312    ,1.80
199401    ,1.98
199402    ,0.84
199403   ,-1.56
199404   ,-0.57
199405   ,-0.70
199406    ,0.08
199407   ,-0.72
199408    ,0.51
199409    ,1.12
199410    ,1.09
199411   ,-0.54
199412    ,1.65
199501   ,-1.19
199502    ,0.44
199503   ,-0.48
199504    ,1.15
199505    ,0.36
199506    ,2.77
199507    ,0.78
199508   ,-0.35
199509    ,3.04
199510    ,2.46
199511    ,0.27
199512   ,-0.86
199601   ,-0.60
199602    ,0.80
199603    ,0.24
199604    ,0.08
199605    ,1.72
199606   ,-0.06
199607   ,-2.49
199608    ,1.74
199609    ,2.08
199610    ,2.57
199611   ,-0.09
199612    ,0.74
199701    ,2.55
199702   ,-1.21
199703    ,0.97
199704    ,4.17
199705   ,-2.35
199706    ,0.83
199707    ,6.35
199708    ,0.03
199709    ,5.59
199710   ,-1.69
199711    ,2.82
199712    ,5.23
199801   ,-2.73
199802   ,-1.76
199803    ,2.99
199804    ,1.51
199805    ,1.63
199806    ,4.79
199807    ,3.79
199808    ,0.10
199809   ,-0.30
199810   ,-3.96
199811    ,0.58
199812    ,7.53
199901    ,4.84
199902   ,-1.09
199903   ,-2.67
199904   ,-7.23
199905   ,-0.58
199906    ,5.71
199907    ,1.35
199908    ,4.24
199909    ,4.61
199910    ,5.05
199911   ,11.18
199912   ,12.15
200001    ,2.98
200002   ,17.77
200003  ,-12.23
200004  ,-10.76
200005  ,-11.02
200006    ,6.92
200007   ,-2.61
200008    ,6.01
200009   ,-3.68
200010   ,-6.55
200011   ,-7.67
200012    ,3.63
200101  ,-14.01
200102    ,8.67
200103    ,5.54
200104   ,-5.06
200105    ,3.47
200106    ,4.51
200107    ,3.99
200108    ,6.96
200109    ,9.34
200110   ,-5.75
200111   ,-9.54
200112    ,1.00
200201    ,3.31
200202    ,5.30
200203   ,-2.03
200204    ,5.99
200205    ,2.59
200206    ,6.51
200207    ,3.04
200208    ,2.00
200209    ,8.76
200210   ,-4.49
200211  ,-10.64
200212    ,9.36
200301    ,1.45
200302    ,3.39
200303    ,1.66
200304   ,-8.21
200305   ,-5.78
200306   ,-2.70
200307   ,-2.48
200308   ,-0.92
200309    ,0.09
200310    ,4.59
200311    ,0.06
200312   ,-1.90
200401    ,2.83
200402   ,-0.23
200403    ,0.56
200404   ,-3.13
200405   ,-0.34
200406    ,2.12
200407   ,-1.93
200408    ,0.42
200409    ,2.34
200410   ,-0.35
200411    ,1.68
200412   ,-0.56
200501    ,2.48
200502    ,2.26
200503    ,1.16
200504    ,0.32
200505    ,0.32
200506    ,2.57
200507    ,0.87
200508    ,3.17
200509    ,3.30
200510   ,-1.15
200511    ,0.84
200512    ,2.53
200601    ,3.74
200602   ,-1.86
200603    ,2.13
200604    ,1.46
200605   ,-3.01
200606   ,-0.20
200607   ,-0.27
200608   ,-1.29
200609   ,-0.32
200610    ,0.60
200611    ,0.47
200612    ,1.41
200701    ,0.65
200702   ,-0.04
200703    ,1.80
200704    ,1.27
200705    ,0.82
200706    ,0.10
200707    ,2.61
200708   ,-0.86
200709    ,4.91
200710    ,3.75
200711   ,-0.44
200712    ,2.64
200801   ,-4.91
200802    ,5.08
200803    ,0.58
200804   ,-0.48
200805    ,2.67
200806    ,9.22
200807   ,-4.34
200808   ,-3.32
200809    ,0.17
200810    ,7.53
200811    ,4.18
200812   ,-2.31
200901    ,0.14
200902    ,2.20
200903   ,-9.11
200904  ,-24.26
200905  ,-10.41
200906    ,2.72
200907   ,-2.88
200908   ,-6.23
200909   ,-2.29
200910    ,1.65
200911    ,0.73
200912    ,2.09
201001   ,-2.25
201002    ,1.50
201003    ,4.03
201004    ,1.78
201005   ,-0.73
201006   ,-0.88
201007    ,0.29
201008    ,2.30
201009    ,2.33
201010    ,0.51
201011    ,4.29
201012   ,-0.40
201101   ,-1.61
201102    ,1.21
201103    ,1.33
201104    ,1.52
201105    ,0.31
201106    ,1.46
201107    ,2.00
201108   ,-0.85
201109   ,-2.86
201110   ,-1.33
201111    ,4.52
201112    ,2.05
201201   ,-6.76
201202   ,-2.61
201203    ,3.58
201204    ,4.86
201205    ,6.26
201206   ,-0.98
201207    ,3.72
201208   ,-1.70
201209   ,-1.27
201210    ,0.00
201211    ,1.06
201212   ,-1.80
201301    ,0.17
201302    ,3.19
201303    ,3.78
201304    ,3.08
201305   ,-1.47
201306    ,0.79
201307    ,1.64
201308   ,-1.32
201309    ,3.33
201310    ,0.30
201311    ,2.15
201312    ,1.11
201401    ,1.26
201402    ,1.48
201403   ,-2.31
201404   ,-3.39
201405    ,0.54
201406    ,0.30
201407    ,0.52
201408    ,0.40
201409    ,1.08
201410   ,-0.14
201411    ,0.98
201412    ,1.12
201501    ,3.97
201502   ,-2.42
201503    ,1.75
201504   ,-3.30
201505    ,4.29
201506    ,1.99
201507    ,3.53
201508   ,-0.69
201509    ,3.48
201510   ,-2.61
201511    ,2.06
201512    ,3.39
201601    ,0.59
201602   ,-2.71
201603   ,-2.74
201604   ,-3.26
201605    ,2.93
201606    ,6.09
201607   ,-1.71
201608   ,-3.85
201609    ,1.62
201610   ,-1.14
201611   ,-4.11
201612   ,-1.50
201701    ,1.76
201702   ,-1.88
201703    ,0.12
201704    ,0.06
201705    ,1.09
201706    ,0.51
201707    ,1.77
201708    ,1.95
201709    ,0.00
201710    ,3.44
201711    ,0.47
201712   ,-1.06
201801    ,3.27
201802    ,2.43
201803   ,-1.11
201804   ,-0.50
201805    ,3.11
201806   ,-1.39
201807   ,-1.63
201808    ,3.46
201809    ,0.58
201810   ,-2.46
201811   ,-1.57
201812    ,1.46
201901   ,-3.85
201902    ,0.36
201903    ,2.89
201904   ,-2.80
201905    ,6.68
201906   ,-1.07
201907    ,1.01
201908    ,4.33
201909   ,-4.42
201910   ,-1.23
201911   ,-1.03
201912    ,0.26
202001    ,4.16
202002    ,0.18
202003    ,6.21
202004    ,0.30
202005    ,1.58
202006    ,2.20



 Annual Factors: January-December
,WML
1991   ,13.09
1992    ,8.83
1993    ,7.79
1994    ,3.14
1995    ,9.68
1996    ,7.14
1997   ,23.77
1998   ,16.40
1999   ,50.11
2000  ,-17.72
2001   ,12.46
2002   ,27.92
2003  ,-14.28
2004    ,3.62
2005   ,21.13
2006    ,2.69
2007   ,17.86
2008    ,9.27
2009  ,-57.28
2010   ,14.64
2011    ,6.60
2012    ,6.88
2013   ,21.10
2014    ,1.77
2015   ,15.91
2016  ,-10.10
2017   ,10.11
2018    ,4.79
2019    ,2.86
