This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 4 BE/ME portfolios and 4 OP portfolios in Developed_ex_US.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of 6 months before formation. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoBM LoOP,ME1 BM1 OP2,ME1 BM1 OP3,ME1 BM1 HiOP,ME1 BM2 LoOP,ME1 BM2 OP2,ME1 BM2 OP3,ME1 BM2 HiOP,ME1 BM3 LoOP,ME1 BM3 OP2,ME1 BM3 OP3,ME1 BM3 HiOP,ME1 BM4 LoOP,ME1 BM4 OP2,ME1 BM4 OP3,SMALL HiBM HiOP,BIG LoBM LoOP,ME2 BM1 OP2,ME2 BM1 OP3,ME2 BM1 HiOP,ME2 BM2 LoOP,ME2 BM2 OP2,ME2 BM2 OP3,ME2 BM2 HiOP,ME2 BM3 LoOP,ME2 BM3 OP2,ME2 BM3 OP3,ME2 BM3 HiOP,ME2 BM4 LoOP,ME2 BM4 OP2,ME2 BM4 OP3,BIG HiBM HiOP
199007     ,4.25     ,3.85     ,5.93     ,5.48     ,2.27     ,4.73     ,4.54     ,5.08     ,4.30     ,3.76     ,4.32     ,4.77     ,5.94     ,4.96     ,5.74     ,9.22     ,2.43     ,2.65     ,0.05     ,4.71     ,1.62     ,2.73     ,2.59    ,-0.63     ,2.41     ,3.70     ,5.04    ,-0.65     ,4.04     ,5.41     ,1.94    ,-0.44
199008   ,-12.26    ,-9.50   ,-11.76    ,-9.33   ,-12.62   ,-11.08    ,-8.63   ,-10.41   ,-12.09   ,-10.17   ,-11.71   ,-14.11   ,-12.78   ,-11.99   ,-11.86   ,-12.06    ,-9.13   ,-12.18   ,-10.48    ,-9.83   ,-11.69   ,-11.70   ,-10.11    ,-9.36   ,-12.17   ,-10.53    ,-8.08    ,-9.85    ,-9.60   ,-12.10   ,-10.53   ,-10.46
199009   ,-12.02    ,-8.82   ,-11.83    ,-9.39   ,-12.18    ,-9.72    ,-9.32   ,-11.23   ,-11.97   ,-10.76   ,-11.84   ,-10.18   ,-12.49   ,-10.42   ,-12.44   ,-22.14   ,-14.34   ,-17.24   ,-14.69   ,-15.08   ,-14.12   ,-14.21   ,-15.90   ,-14.26   ,-13.69   ,-13.39   ,-10.02   ,-15.74   ,-13.62   ,-13.65   ,-13.69   ,-13.34
199010     ,8.78     ,7.12     ,7.50     ,4.01    ,10.01     ,7.83     ,2.96     ,9.33     ,7.11     ,7.63     ,9.18    ,10.66     ,9.42     ,9.26    ,11.74    ,16.12    ,15.17    ,21.93    ,18.27    ,15.54    ,18.32    ,16.53    ,17.74    ,25.35    ,13.93    ,14.48     ,7.90    ,20.41    ,14.28    ,14.08    ,13.41    ,13.02
199011   ,-11.52    ,-3.97    ,-3.72    ,-4.41   ,-10.18    ,-6.84    ,-3.00    ,-4.80    ,-9.14    ,-6.66    ,-5.22    ,-9.82    ,-4.78    ,-7.34    ,-9.02    ,-9.52   ,-14.06    ,-8.56    ,-7.44    ,-6.10    ,-8.72    ,-9.37    ,-6.42    ,-7.06    ,-8.32    ,-4.45    ,-3.70    ,-9.31    ,-5.44    ,-8.21    ,-9.15   ,-10.83
199012    ,-0.01    ,-1.07    ,-1.25    ,-0.51    ,-0.37    ,-2.45    ,-0.34    ,-1.09     ,0.90    ,-1.96    ,-1.56     ,0.26    ,-0.79    ,-0.65    ,-3.32    ,-4.41    ,-0.02     ,4.45     ,3.45     ,0.63     ,2.86     ,0.29     ,2.26     ,4.12    ,-0.89     ,0.01    ,-0.42     ,3.78    ,-1.00    ,-0.39    ,-1.36     ,1.44
199101    ,-6.44    ,-1.47    ,-0.92    ,-1.32    ,-3.84    ,-3.82    ,-1.57    ,-2.03    ,-3.09    ,-2.52    ,-1.96    ,-1.72    ,-2.98    ,-3.13    ,-2.55    ,-3.05    ,-0.51     ,4.38     ,2.07     ,2.54    ,-1.17     ,0.54     ,2.29     ,4.62     ,0.68     ,1.63     ,0.16     ,2.24     ,2.68     ,2.01     ,4.24     ,1.64
199102    ,15.45    ,10.55    ,12.61     ,9.63    ,14.22    ,11.16    ,11.33    ,12.54    ,13.49    ,13.30    ,14.24    ,16.10    ,11.97    ,12.05    ,16.04    ,15.97    ,14.38     ,8.11     ,8.67    ,10.21    ,13.02    ,12.47     ,9.08     ,6.88    ,14.63     ,9.75     ,9.66    ,12.23    ,11.42    ,12.21    ,10.15    ,14.48
199103    ,-3.46    ,-4.98    ,-1.80    ,-1.69    ,-2.86    ,-3.57    ,-1.90    ,-1.93    ,-5.17    ,-3.12    ,-2.12     ,0.02    ,-3.45    ,-1.59    ,-3.25    ,-4.57    ,-6.45    ,-6.06    ,-6.16    ,-3.76    ,-5.19    ,-6.56    ,-4.32    ,-3.61    ,-4.88    ,-4.87    ,-3.62    ,-5.27    ,-4.92    ,-4.42    ,-5.30    ,-5.28
199104     ,1.10    ,-0.18     ,2.24     ,1.92     ,0.71     ,0.79    ,-0.19     ,2.26    ,-0.57     ,0.63     ,0.72     ,0.33     ,1.00     ,1.89     ,3.03     ,9.66    ,-0.22     ,2.90     ,2.18    ,-0.09     ,2.01     ,0.99     ,2.89     ,1.71     ,0.89     ,0.80     ,1.33     ,1.82    ,-0.06     ,0.03     ,1.83     ,1.64
