This file was created using the 202006 Bloomberg database.

Missing data are indicated by -99.99.



        Mkt-RF     SMB     HML      RF
199007    1.99    2.64    0.38    0.68
199008  -11.15   -0.75    0.27    0.66
199009  -14.55    3.34    1.27    0.60
199010   15.04   -8.98   -5.60    0.68
199011   -8.02    1.30    1.91    0.57
199012    0.44   -2.31   -1.83    0.60
199101    1.40   -4.80    0.19    0.52
199102   10.01    1.97    0.71    0.48
199103   -4.77    2.26   -0.20    0.44
199104    0.95   -0.19   -0.28    0.53
199105   -0.84   -1.48    0.25    0.47
199106   -6.72    1.72    1.31    0.42
199107    3.03   -2.29    0.80    0.49
199108   -3.33    0.02    0.04    0.46
199109    5.54   -0.34   -0.30    0.46
199110    1.41   -0.93   -2.29    0.42
199111   -5.57    1.62   -0.66    0.39
199112    3.82   -1.56   -0.76    0.38
199201   -3.01    1.07    2.06    0.34
199202   -3.72    2.81    0.40    0.28
199203   -7.32    2.29    1.55    0.34
199204   -1.13    0.50    3.38    0.32
199205    6.62    0.38    0.37    0.28
199206   -4.61    2.23    0.24    0.32
199207   -3.46   -2.21   -1.36    0.31
199208    5.86   -4.92   -3.18    0.26
199209   -3.02   -0.13   -0.96    0.26
199210   -5.70   -1.62    1.07    0.23
199211    0.24   -2.55   -1.22    0.23
199212    0.22    1.30   -0.24    0.28
199301   -0.10    1.22    1.49    0.23
199302    3.19    0.70    0.64    0.22
199303   10.01    0.17    1.22    0.25
199304    9.37    0.84    2.51    0.24
199305    3.30    5.83   -0.69    0.22
199306   -3.54   -0.87   -0.87    0.25
199307    3.93   -3.40    0.72    0.24
199308    4.81    1.04    1.66    0.25
199309   -3.07    1.36    0.31    0.26
199310    0.94   -1.49    0.35    0.22
199311   -9.12    3.74    0.45    0.25
199312    5.74   -0.18    2.80    0.23
199401   10.19    0.18    3.96    0.25
199402   -0.34    0.87    1.22    0.21
199403   -3.11    1.45    1.78    0.27
199404    3.26    0.25    0.92    0.27
199405   -0.72   -0.83    1.35    0.32
199406    1.84   -0.91    0.69    0.31
199407    0.19    0.28    0.95    0.28
199408    1.07   -0.91   -0.89    0.37
199409   -3.14    1.24    0.32    0.37
199410    2.51   -1.94    0.75    0.38
199411   -5.85   -0.80    0.52    0.37
199412    0.70   -0.30   -0.65    0.44
199501   -4.65    1.60    0.13    0.42
199502   -1.26    0.75    0.57    0.40
199503    5.55   -3.09   -1.57    0.46
199504    2.95   -1.64   -0.71    0.45
199505   -2.01    1.01    0.22    0.54
199506   -1.73    0.71    0.72    0.47
199507    4.80   -0.63   -1.87    0.45
199508   -3.31    2.49   -1.50    0.47
199509    0.52   -0.75   -1.07    0.43
199510   -2.31    0.09   -0.02    0.47
199511    1.73   -1.53   -0.30    0.42
199512    2.96    0.06    1.29    0.49
199601    0.26    1.70    1.45    0.43
199602    0.10    1.00   -0.06    0.39
199603    1.49   -0.25   -0.39    0.39
199604    3.25    2.11    0.11    0.46
199605   -1.36    1.73    0.33    0.42
199606   -0.23   -1.42    1.36    0.40
199607   -3.56   -0.54    1.38    0.45
199608   -0.35    1.13   -1.01    0.41
199609    1.85   -2.90    0.12    0.44
199610   -1.63    1.80    0.31    0.42
199611    2.92   -2.23    1.27    0.41
199612   -1.90   -0.53    1.26    0.46
199701   -4.00    2.21    1.79    0.45
199702    0.88    0.16   -0.23    0.39
199703   -0.95   -1.67    1.69    0.43
199704    0.09   -2.32   -0.06    0.43
199705    7.43   -0.85   -0.65    0.49
199706    4.01   -3.40    0.62    0.37
199707    0.65   -4.91   -0.50    0.43
199708   -6.94    4.28    0.13    0.41
199709    4.64   -5.46   -1.40    0.44
199710   -7.29    2.77    0.32    0.42
199711   -2.32   -4.98   -1.53    0.39
199712   -0.76   -3.99   -0.21    0.48
199801    3.84   -0.02    1.16    0.43
199802    6.02    0.38    1.59    0.39
199803    2.84   -0.29    2.74    0.39
199804    0.56    0.55   -0.84    0.43
199805   -0.39    0.45    1.12    0.40
199806   -0.79   -3.06   -0.73    0.41
199807    0.11   -3.01   -0.13    0.40
199808  -12.05    0.80   -1.71    0.43
199809   -3.54    1.83   -2.58    0.46
199810    9.32   -4.29    3.17    0.32
199811    4.07   -0.81    1.29    0.31
199812    2.49   -1.46   -2.29    0.38
199901    0.14    0.67   -2.63    0.35
199902   -2.38    2.24   -1.89    0.35
199903    3.80    0.34    2.14    0.43
199904    4.51    2.87    3.85    0.37
199905   -4.26    3.53   -0.81    0.34
199906    4.52    3.52    0.04    0.40
199907    3.05    0.76    0.14    0.38
199908    1.41    2.39   -0.97    0.39
199909    1.67    0.65   -1.82    0.39
199910    3.12   -3.42   -3.83    0.39
199911    4.42   -0.98  -10.96    0.36
199912    7.60   -4.41   -6.46    0.44
200001   -6.21    7.01   -1.83    0.41
200002    3.25    4.20  -10.21    0.43
200003    2.40   -4.50    5.91    0.47
200004   -6.65   -5.20    4.40    0.46
200005   -2.98    1.08    5.78    0.50
200006    3.17    0.64    4.84    0.40
200007   -4.38   -1.18    3.58    0.48
200008    1.23    1.03   -1.45    0.50
200009   -5.26    0.10    3.53    0.51
200010   -4.48   -5.79    7.32    0.56
200011   -4.21   -1.14    9.55    0.51
200012    1.38   -0.02    4.95    0.50
200101    0.38    1.19   -1.80    0.54
200102   -7.89    4.19    9.58    0.38
200103   -8.26   -0.69    4.58    0.42
200104    7.59   -1.62   -0.59    0.39
200105   -3.14    2.87    2.90    0.32
200106   -3.73    0.45    5.77    0.28
200107   -3.07   -1.98    3.49    0.30
