This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 BE/ME portfolios in Developed_ex_US.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Daily
,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
19900702   ,1.13   ,1.03   ,0.89   ,1.16   ,0.88   ,0.63
19900703   ,0.45   ,0.44   ,0.35   ,0.08   ,0.32   ,0.20
19900704   ,0.92   ,0.75   ,0.55   ,1.01   ,1.05   ,0.81
19900705  ,-0.46  ,-0.31  ,-0.36  ,-0.63  ,-0.75  ,-0.47
19900706  ,-0.11  ,-0.03  ,-0.02  ,-0.24   ,0.00   ,0.25
19900709   ,0.57   ,0.70   ,0.58   ,0.09   ,0.20   ,0.32
19900710   ,0.85   ,0.45   ,0.50   ,0.68   ,0.45   ,0.37
19900711  ,-0.53  ,-0.57  ,-0.42   ,0.21   ,0.08  ,-0.13
19900712   ,0.42   ,0.45   ,0.37   ,0.44   ,0.26   ,0.51
19900713   ,0.55   ,0.29   ,0.05   ,0.96   ,1.04   ,0.97
19900716   ,0.40   ,0.23   ,0.44   ,0.64   ,0.64   ,0.89
19900717   ,0.47   ,0.62   ,0.63   ,0.30   ,0.30   ,0.18
19900718   ,0.39   ,0.16   ,0.03   ,0.24   ,0.13   ,0.17
19900719  ,-0.10  ,-0.04  ,-0.20  ,-0.38  ,-0.38  ,-0.67
19900720  ,-0.21  ,-0.01  ,-0.07  ,-1.28  ,-0.76  ,-0.54
19900723  ,-0.11  ,-0.06  ,-0.02  ,-0.81  ,-0.63  ,-0.47
19900724  ,-0.46  ,-0.39  ,-0.49  ,-0.70  ,-0.76  ,-0.73
19900725   ,0.02   ,0.10   ,0.13  ,-0.32  ,-0.05   ,0.24
19900726  ,-0.34  ,-0.23  ,-0.09  ,-1.01  ,-0.97  ,-0.72
19900727  ,-0.13   ,0.16   ,0.20  ,-1.19  ,-0.66  ,-0.45
