This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Developed_ex_US.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
199007   4.84   4.76   4.83   2.95   1.92   1.80
199008 -10.71 -10.56 -11.17 -10.30 -10.43  -9.86
199009 -10.68 -10.61 -11.24 -13.52 -14.13 -14.54
199010   7.81   7.90   5.69  18.84  15.50  16.22
199011  -7.03  -4.61  -5.58  -8.61  -6.73  -6.67
199012  -0.81  -0.31  -1.61   1.58   2.18   0.47
199101  -2.16  -2.33  -2.48   0.90   3.28   2.57
199102  12.90  11.99  12.23   9.92  10.27  10.52
199103  -3.55  -2.38  -2.28  -5.64  -4.19  -4.93
199104   1.64   1.59  -0.16   0.44   1.71   1.50
199105  -1.09  -1.07  -2.24  -0.18   0.34  -0.88
199106  -4.84  -4.32  -4.99  -6.71  -6.87  -6.50
199107   1.68   2.58   1.93   4.08   4.01   4.10
199108  -3.57  -1.73  -1.59  -2.29  -2.72  -2.87
199109   6.31   5.50   5.63   6.17   5.52   6.42
199110   2.36   0.05   0.23   1.23   1.77   2.74
199111  -4.54  -3.22  -3.50  -5.28  -4.97  -5.54
199112   2.23   3.68   2.88   4.33   5.19   4.19
199201  -1.18  -1.25  -0.43  -2.39  -2.32  -3.64
199202  -0.41  -0.84  -0.69  -2.70  -3.47  -4.92
199203  -5.60  -3.82  -4.29  -6.54  -6.91  -7.56
199204  -0.04   0.75   0.55   0.59   0.08  -2.40
199205   7.66   6.99   6.20   7.10   6.53   6.80
199206  -3.30  -1.53  -2.12  -4.42  -3.91  -5.76
199207  -5.48  -4.58  -4.88  -1.13  -3.28  -4.22
199208   0.22   3.25   1.43   9.78   4.29   5.79
199209  -3.35  -3.39  -3.20  -2.23  -2.51  -3.53
199210  -7.74  -6.55  -6.30  -6.31  -5.00  -4.58
199211  -1.34  -1.89  -2.21   1.60   0.43   0.08
199212   1.79   0.73   1.29   0.45   0.39   0.04
199301   2.33   0.94   0.98  -0.26   0.05   0.07
199302   3.43   4.00   4.06   3.91   2.91   3.48
199303  10.60   9.88  10.20  12.54   9.39   9.02
199304  11.25  10.54   9.01  10.93   8.80   8.63
199305   8.38   8.25   8.06   4.45   1.70   2.40
199306  -4.11  -4.25  -3.56  -1.98  -3.43  -4.74
199307   1.51   1.70   0.94   5.92   4.38   3.19
199308   6.29   6.91   5.97   4.11   5.21   5.66
199309  -2.20  -1.32  -1.53  -4.53  -2.92  -1.69
199310  -1.00  -0.44   0.85   1.17   1.81   0.77
199311  -6.27  -5.05  -5.26 -12.55  -8.14  -6.93
199312   6.71   6.19   5.63   5.12   6.22   6.48
199401  14.10  10.52   9.40  13.32   9.91   8.16
199402   1.28   0.69   0.42   1.01  -0.27  -1.76
199403  -1.62  -0.51  -1.63  -3.20  -2.75  -3.57
199404   5.05   3.75   3.31   4.18   3.46   3.01
199405  -0.62  -0.74  -1.48   0.82  -0.17  -2.01
199406   2.09   1.53   0.08   2.53   2.17   1.59
199407   0.84   0.90   0.70  -0.87   1.04   1.22
199408   0.15   0.61   0.47   0.53   2.46   1.47
199409  -2.02  -1.22  -1.43  -2.87  -2.91  -3.05
199410   1.65   1.83   0.54   3.23   3.72   2.00
199411  -5.76  -5.69  -6.83  -5.63  -5.39  -5.35
199412   1.37   0.56   0.35   1.82   1.01   0.65
199501  -2.74  -2.45  -2.81  -3.83  -5.36  -3.39
199502  -0.10   0.06  -0.31  -2.71  -0.27   0.21
199503   2.49   3.48   3.19   6.12   6.71   5.73
199504   1.67   1.86   2.02   4.80   2.95   3.39
199505  -1.35  -0.83   0.17  -2.92  -1.19  -0.66
199506  -1.15  -0.54   0.03  -3.62  -0.37  -0.14
199507   4.66   4.04   4.51   6.73   4.58   5.26
199508  -0.18  -1.14  -1.26  -3.24  -2.86  -3.27
199509  -0.64  -0.35   1.10   0.57   0.86   1.94
199510  -2.44  -1.60  -2.00  -2.48  -1.75  -1.71
199511   2.19   0.08  -0.30   3.83   2.23   0.90
199512   3.94   3.98   2.90   4.09   3.02   3.37
199601   2.65   2.03   2.60   0.09   0.63   1.12
199602   0.44   1.56   2.44  -0.45   0.61   0.79
199603   2.36   1.46   1.40   3.32   0.96   1.73
199604   6.71   5.35   3.99   3.66   3.15   3.67
199605   0.02   0.34   1.50  -1.83  -0.67  -0.85
199606  -1.11  -0.51  -0.87   0.44   0.43  -0.06
199607  -3.77  -2.97  -3.64  -4.06  -2.61  -3.00
199608   0.30   0.40   1.85  -0.43   0.17   0.12
199609  -0.60  -0.45  -0.09   2.58   2.91   2.04
199610   0.18   0.62   0.55  -2.00  -0.83  -1.51
199611   1.20   1.80   1.77   3.06   3.76   3.50
199612  -2.22  -1.75  -1.53  -2.92  -0.96  -0.94
199701  -1.07  -2.25  -0.69  -4.32  -3.85  -3.18
199702   1.37   1.46   1.20   0.53   1.77   1.14
199703  -1.11  -1.44  -2.29  -0.25  -0.21  -0.95
199704  -1.45  -1.74  -1.95   0.20   0.97   0.53
199705   7.28   7.17   6.99   7.65   8.42   7.94
199706   1.39   2.57   1.00   6.11   4.68   3.42
199707  -4.44  -3.48  -2.46  -0.28   2.01   2.66
199708  -2.64  -2.91  -2.65  -4.15  -7.66  -8.25
199709  -1.24   0.14   0.85   4.88   5.15   7.19
199710  -4.21  -2.80  -5.94  -6.25  -7.29  -7.92
199711  -7.18  -6.37  -7.29  -3.83  -0.87  -0.18
199712  -4.69  -3.99  -3.33  -1.17   0.37   0.48
199801   6.10   4.60   3.12   5.70   4.04   3.25
199802   7.54   6.34   7.07   6.30   6.50   6.50
199803   3.22   2.93   4.50   4.00   2.47   3.55
199804   0.13   1.45   2.42   0.87   0.19   2.38
199805   0.23   0.90   0.25  -0.68  -0.21   0.57
199806  -3.37  -2.72  -3.97  -0.86  -0.02   0.66
