This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP portfolios in Developed_ex_US.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
199007   ,4.43   ,5.07   ,5.54   ,3.12   ,3.00   ,0.90
199008 ,-11.40 ,-10.76 ,-10.38 ,-10.92 ,-10.38  ,-9.77
199009 ,-10.73 ,-11.05 ,-10.69 ,-14.06 ,-13.86 ,-14.60
199010   ,7.62   ,7.50   ,7.23  ,15.41  ,14.57  ,19.96
199011  ,-8.27  ,-5.35  ,-4.58  ,-8.50  ,-6.64  ,-7.81
199012  ,-0.88  ,-1.77  ,-0.48  ,-0.26   ,1.07   ,2.80
199101  ,-2.97  ,-2.06  ,-1.82   ,1.00   ,1.93   ,3.23
199102  ,12.70  ,12.40  ,11.50  ,12.90   ,9.74   ,9.58
199103  ,-3.21  ,-2.82  ,-1.94  ,-5.57  ,-4.88  ,-4.26
199104   ,0.96   ,1.13   ,1.32   ,0.46   ,1.64   ,1.43
199105  ,-1.85  ,-1.60  ,-1.11  ,-0.43  ,-0.08  ,-0.26
199106  ,-5.10  ,-4.66  ,-4.20  ,-7.75  ,-5.65  ,-7.21
199107   ,1.13   ,1.66   ,2.41   ,2.59   ,3.81   ,4.79
199108  ,-5.00  ,-2.04  ,-0.46  ,-2.62  ,-3.02  ,-2.74
199109   ,5.67   ,5.25   ,5.89   ,5.85   ,6.47   ,5.74
199110   ,1.85   ,0.90   ,0.14   ,2.49   ,1.41   ,2.11
199111  ,-4.72  ,-3.54  ,-3.05  ,-5.47  ,-5.27  ,-5.33
199112   ,3.54   ,2.90   ,2.34   ,3.35   ,4.80   ,5.08
199201  ,-1.76  ,-1.49  ,-0.51  ,-3.58  ,-2.10  ,-2.87
199202  ,-1.86  ,-0.60   ,0.39  ,-4.38  ,-2.96  ,-4.20
199203  ,-5.91  ,-4.12  ,-3.88  ,-8.05  ,-6.72  ,-7.09
199204  ,-2.63   ,0.70   ,2.54  ,-3.48   ,0.17   ,0.38
199205   ,7.82   ,7.12   ,6.47   ,7.79   ,6.40   ,6.58
199206  ,-3.18  ,-2.09  ,-1.51  ,-5.66  ,-4.22  ,-4.32
199207  ,-5.67  ,-4.76  ,-4.80  ,-2.78  ,-3.00  ,-2.95
199208   ,1.54   ,1.77   ,1.47   ,8.72   ,5.93   ,5.36
199209  ,-3.55  ,-2.63  ,-2.94  ,-2.11  ,-2.65  ,-3.19
199210  ,-6.78  ,-6.50  ,-6.66  ,-4.96  ,-5.23  ,-5.68
199211  ,-1.54  ,-2.43  ,-1.51   ,0.52   ,0.65   ,0.93
199212   ,0.44   ,1.62   ,2.71  ,-1.28   ,0.81   ,0.83
199301   ,0.60   ,1.75   ,1.83   ,0.68   ,0.07  ,-0.74
199302   ,4.40   ,3.87   ,3.75   ,3.68   ,3.62   ,2.81
199303  ,10.97   ,9.94  ,10.18  ,10.26   ,9.57  ,11.45
199304  ,12.31   ,9.77   ,9.63  ,11.08   ,9.02   ,8.95
199305  ,10.04   ,8.44   ,7.49   ,4.26   ,3.30   ,1.27
199306  ,-4.40  ,-3.91  ,-3.82  ,-1.76  ,-3.09  ,-4.49
199307   ,1.12   ,1.19   ,1.67   ,4.73   ,4.82   ,4.05
199308   ,6.09   ,6.52   ,6.24   ,5.39   ,4.68   ,5.09
199309  ,-2.66  ,-1.08  ,-0.92  ,-4.09  ,-3.03  ,-2.56
199310  ,-0.32  ,-0.11   ,0.19   ,0.51   ,2.13   ,0.95
199311  ,-6.16  ,-5.38  ,-4.79 ,-10.27  ,-9.70  ,-8.06
199312   ,7.40   ,6.36   ,5.00   ,5.95   ,6.63   ,5.27
199401  ,13.20  ,10.63   ,9.65  ,13.53   ,9.07  ,10.30
199402   ,0.90   ,0.59   ,1.00  ,-0.38  ,-0.46  ,-0.09
199403  ,-1.70  ,-0.89  ,-1.42  ,-2.91  ,-3.15  ,-3.15
199404   ,4.40   ,4.41   ,2.99   ,3.90   ,3.77   ,3.04
199405  ,-0.84  ,-0.89  ,-1.37   ,0.71  ,-0.33  ,-1.01
199406   ,1.67   ,1.45   ,0.66   ,1.71   ,2.08   ,2.56
199407   ,0.07   ,1.36   ,1.36  ,-0.65   ,1.10   ,0.45
199408   ,0.01   ,0.35   ,1.30   ,0.61   ,1.23   ,2.76
199409  ,-1.66  ,-1.47  ,-1.39  ,-2.91  ,-3.18  ,-2.56
199410   ,1.73   ,1.18   ,0.74   ,2.87   ,3.12   ,3.23
199411  ,-6.48  ,-5.77  ,-6.03  ,-5.97  ,-5.08  ,-5.41
