This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 prior return portfolios in Developed_ex_US.

The portfolios are constructed daily.  ME is market cap at the end of the
previous day.  Prior return is from -250 to -20.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Daily
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
19901101  ,-2.35  ,-1.79  ,-0.84  ,-3.23  ,-2.67  ,-1.90
19901102  ,-0.94  ,-0.26  ,-0.22   ,0.49   ,1.46   ,0.75
19901105   ,1.59   ,1.74   ,1.58   ,2.15   ,1.73   ,1.63
19901106  ,-0.58  ,-0.75  ,-0.72  ,-0.91  ,-1.10  ,-0.99
19901107  ,-1.26  ,-1.17  ,-1.21  ,-2.36  ,-1.59  ,-1.05
19901108  ,-2.08  ,-2.35  ,-1.72  ,-3.03  ,-2.10  ,-1.96
19901109  ,-1.39  ,-1.28  ,-0.94  ,-0.46  ,-0.37  ,-0.19
19901112   ,0.45   ,0.38   ,0.54   ,0.85   ,0.88   ,0.56
19901113   ,1.10   ,1.24   ,1.01   ,2.93   ,1.98   ,1.64
19901114  ,-0.15   ,0.45   ,0.43  ,-0.30  ,-0.15  ,-0.18
19901115  ,-0.73  ,-0.71  ,-0.23  ,-1.42  ,-0.58  ,-0.42
19901116  ,-1.12  ,-0.72   ,0.49  ,-1.19  ,-0.79  ,-0.14
19901119   ,0.51   ,0.34   ,0.21   ,1.80   ,1.42   ,1.12
19901120  ,-0.49  ,-0.59  ,-0.32  ,-0.66  ,-0.67  ,-0.80
19901121  ,-0.72  ,-0.62  ,-0.63  ,-0.52  ,-0.62  ,-0.72
19901122   ,1.24   ,0.62   ,0.10   ,2.63   ,1.47   ,1.17
19901123   ,0.09  ,-0.20  ,-0.43   ,0.00   ,0.14   ,0.15
19901126  ,-0.67  ,-0.56  ,-0.59   ,0.08  ,-0.91  ,-1.11
19901127  ,-0.10  ,-0.15  ,-0.05  ,-0.21  ,-0.02   ,0.07
19901128  ,-1.48  ,-1.84  ,-1.83  ,-2.44  ,-2.24  ,-2.37
19901129  ,-2.48  ,-2.77  ,-2.81  ,-2.93  ,-2.76  ,-2.41
19901130  ,-1.34  ,-1.34  ,-1.70  ,-0.67  ,-0.69  ,-0.71
19901203   ,0.32  ,-0.10  ,-0.18   ,0.70   ,0.01  ,-0.33
19901204  ,-0.87  ,-1.03  ,-0.99  ,-1.82  ,-1.31  ,-1.58
19901205  ,-0.53  ,-0.75  ,-0.76   ,1.54   ,0.49   ,0.03
19901206   ,1.62   ,1.74   ,1.58   ,3.81   ,2.67   ,2.03
19901207   ,3.14   ,3.19   ,2.99   ,4.72   ,3.59   ,2.80
19901210   ,0.94   ,0.91   ,0.72   ,0.17   ,0.05   ,0.09
19901211  ,-0.02   ,0.12   ,0.17   ,0.38  ,-0.11  ,-0.23
19901212   ,0.56   ,0.72   ,0.20   ,0.87   ,0.43  ,-0.04
19901213   ,0.22   ,0.61   ,0.37   ,1.74   ,1.20   ,0.30
19901214  ,-0.64  ,-0.42  ,-0.49  ,-1.17  ,-0.77  ,-0.76
19901217  ,-1.49  ,-1.06  ,-0.71  ,-1.97  ,-1.39  ,-1.21
19901218  ,-0.64  ,-0.20  ,-0.45   ,0.47   ,0.61   ,0.32
19901219   ,0.26  ,-0.09   ,0.05   ,0.70   ,0.86   ,0.28
19901220  ,-1.86  ,-1.98  ,-1.35  ,-2.18  ,-2.53  ,-2.10
19901221  ,-1.74  ,-1.93  ,-1.39  ,-2.02  ,-1.87  ,-1.16
19901224  ,-0.37  ,-0.57  ,-0.51  ,-0.51  ,-0.54  ,-0.66
19901225  ,-0.85  ,-0.91  ,-0.87  ,-1.61  ,-1.44  ,-0.95
19901226  ,-0.21  ,-0.32  ,-0.45   ,0.31   ,0.45   ,0.02
19901227  ,-0.09   ,0.11  ,-0.29   ,0.28   ,0.21   ,0.33
19901228   ,0.88   ,1.05   ,1.08   ,1.07   ,0.85   ,0.83
19901231  ,-0.09  ,-0.22  ,-0.24  ,-0.34  ,-0.28  ,-0.26
19910101   ,0.21   ,0.23   ,0.24   ,0.33   ,0.30   ,0.21
19910102   ,0.30   ,0.17   ,0.36   ,0.06   ,0.18   ,0.29
19910103   ,0.55   ,0.34   ,0.39   ,0.84   ,0.72   ,0.48
19910104  ,-0.83  ,-0.82  ,-1.25  ,-0.94  ,-0.39  ,-0.92
19910107  ,-1.86  ,-1.91  ,-1.90  ,-2.51  ,-2.39  ,-2.07
19910108  ,-1.82  ,-1.43  ,-1.29  ,-2.03  ,-1.94  ,-1.87
19910109   ,0.65   ,0.69   ,0.50   ,1.55   ,1.67   ,1.35
19910110  ,-1.09  ,-1.02  ,-1.10  ,-0.55   ,0.00  ,-0.18
19910111   ,0.32   ,0.29   ,0.10   ,0.53   ,0.77   ,0.39
19910114  ,-1.27  ,-1.31  ,-1.14  ,-1.05  ,-1.11  ,-1.13
19910115  ,-0.50  ,-0.50  ,-0.53  ,-0.41  ,-0.53  ,-0.55
19910116  ,-2.09  ,-1.88  ,-1.69  ,-2.66  ,-2.09  ,-2.14
19910117   ,4.12   ,3.76   ,3.60   ,7.20   ,6.09   ,5.58
19910118   ,1.38   ,1.12   ,0.86   ,0.91   ,1.17   ,1.03
19910121  ,-0.75  ,-0.34  ,-0.02  ,-0.65  ,-0.78  ,-0.72
19910122  ,-0.82  ,-0.67  ,-0.78  ,-0.54  ,-0.08  ,-0.10
19910123  ,-1.74  ,-0.99  ,-1.21  ,-1.63  ,-0.95  ,-1.08
19910124   ,0.09  ,-0.13  ,-0.29   ,1.13   ,1.20   ,1.09
19910125   ,0.50   ,0.47   ,0.42   ,0.86   ,0.89   ,0.99
19910128   ,0.20   ,0.17   ,0.23   ,0.27   ,0.01   ,0.20
19910129   ,0.39   ,0.38   ,0.49   ,0.04   ,0.18   ,0.22
19910130   ,0.53   ,0.52   ,0.47   ,0.50   ,0.07   ,0.09
19910131   ,0.91   ,0.84   ,0.99   ,0.52   ,0.61   ,0.42
19910201   ,0.00  ,-0.16   ,0.12  ,-0.22  ,-0.28  ,-0.08
19910204   ,1.27   ,1.10   ,0.64   ,1.25   ,0.98   ,0.61
19910205   ,3.33   ,2.54   ,2.05   ,2.83   ,2.43   ,2.19
19910206   ,2.86   ,1.95   ,1.65   ,1.97   ,1.72   ,1.12
19910207   ,1.91   ,0.92   ,0.65   ,1.18   ,1.13   ,0.87
19910208   ,2.05   ,0.85   ,0.38   ,1.21   ,0.83   ,0.44
19910211   ,0.78   ,0.66   ,0.64   ,1.10   ,0.87   ,0.71
19910212   ,1.92   ,1.33   ,1.09   ,1.93   ,1.56   ,1.00
19910213   ,1.68   ,0.99   ,0.14   ,1.16   ,0.29  ,-0.02
19910214   ,1.90   ,0.94   ,0.12   ,0.76   ,0.40  ,-0.16
19910215  ,-0.08   ,0.09   ,0.13   ,0.12  ,-0.20  ,-0.40
19910218   ,3.52   ,2.29   ,1.46   ,2.83   ,2.23   ,2.10
19910219   ,0.50  ,-0.16  ,-0.24   ,0.10  ,-0.44  ,-1.15
19910220  ,-0.67  ,-0.37  ,-0.30  ,-0.70  ,-1.00  ,-0.79
19910221   ,0.20   ,0.69   ,0.27   ,0.13   ,0.13  ,-0.03
19910222  ,-0.54  ,-0.35  ,-0.33  ,-0.22  ,-0.51  ,-1.04
19910225   ,0.03   ,0.24  ,-0.31   ,1.07   ,0.90   ,0.89
19910226   ,0.70   ,0.44   ,0.16  ,-0.47  ,-0.54  ,-0.65
19910227   ,0.14  ,-0.15  ,-0.19   ,0.01  ,-0.09  ,-0.14
19910228   ,1.03   ,0.73   ,0.53   ,0.38   ,0.51   ,0.61
19910301  ,-1.25  ,-1.19  ,-1.12  ,-2.06  ,-1.95  ,-1.94
19910304  ,-0.25  ,-0.08   ,0.07  ,-0.29  ,-0.28  ,-0.71
19910305   ,0.32   ,0.51   ,0.39   ,0.43   ,0.46   ,0.58
19910306   ,0.86   ,0.89   ,0.86   ,1.46   ,1.29   ,1.11
19910307   ,0.15   ,0.09   ,0.33  ,-0.04  ,-0.23  ,-0.09
19910308   ,0.41  ,-0.07  ,-0.06   ,0.07  ,-0.07   ,0.36
19910311   ,0.16  ,-0.19  ,-0.46  ,-0.93  ,-1.19  ,-0.94
19910312   ,1.15   ,0.90   ,0.83   ,0.84   ,1.33   ,1.30
19910313  ,-0.26  ,-0.22  ,-0.38  ,-0.81  ,-1.01  ,-0.92
19910314   ,0.57   ,0.40   ,0.26   ,0.81   ,0.98   ,1.12
19910315   ,0.00   ,0.14  ,-0.13   ,0.14   ,0.20   ,0.60
19910318  ,-0.42  ,-0.57  ,-0.70  ,-0.91  ,-0.75  ,-0.07
19910319  ,-0.69  ,-0.75  ,-1.00  ,-1.20  ,-1.04  ,-0.81
19910320  ,-1.48  ,-0.93  ,-0.49  ,-2.14  ,-1.80  ,-1.35
19910321   ,0.58   ,0.71   ,0.72   ,0.87   ,0.80   ,0.96
19910322  ,-0.08  ,-0.20  ,-0.23  ,-0.16   ,0.39  ,-0.30
19910325  ,-1.53  ,-1.37  ,-1.17  ,-1.30  ,-1.29  ,-1.76
19910326  ,-0.41  ,-0.19   ,0.59  ,-0.49  ,-0.34  ,-0.20
19910327  ,-0.55  ,-0.68   ,0.04  ,-0.64  ,-0.66  ,-0.50
19910328  ,-0.25   ,0.04   ,0.50  ,-0.14  ,-0.47  ,-0.45
19910329   ,0.75   ,0.77   ,1.00   ,1.19   ,0.61   ,0.44
19910401   ,0.64   ,0.67   ,0.81  ,-0.17  ,-0.21   ,0.15
19910402   ,0.79   ,1.07   ,0.99   ,1.53   ,2.04   ,1.61
19910403   ,1.30   ,1.34   ,1.62   ,2.11   ,1.93   ,1.69
19910404   ,1.06   ,1.00   ,0.71   ,0.73   ,0.91   ,0.85
19910405   ,0.11   ,0.01   ,0.11  ,-0.22  ,-0.32  ,-0.06
19910408  ,-0.21  ,-0.05  ,-0.17  ,-0.60  ,-0.67  ,-0.73
