TICKER,OFTIC,STATPERS,MEASURE,FISCALP,FPI,ESTFLAG,MEANEST,FPEDATS,ACTUAL
@SP9,SPX,17MAR1994,EPS,ANN,1,P,5.6,31DEC1993,5.7196
@SP9,SPX,17MAR1994,EPS,ANN,2,P,8.11,31DEC1994,7.7884
@SP9,SPX,14APR1994,EPS,ANN,1,P,5.6,31DEC1993,5.7196
@SP9,SPX,14APR1994,EPS,ANN,2,P,8.11,31DEC1994,7.7884
@SP9,SPX,19MAY1994,EPS,ANN,1,P,5.6,31DEC1993,5.7196
@SP9,SPX,19MAY1994,EPS,ANN,2,P,8.11,31DEC1994,7.7884
@SP9,SPX,16JUN1994,EPS,ANN,1,P,5.6,31DEC1993,5.7196
@SP9,SPX,16JUN1994,EPS,ANN,2,P,8.11,31DEC1994,7.7884
@SP9,SPX,18AUG1994,EPS,ANN,1,P,5.72,31DEC1993,5.7196
@SP9,SPX,18AUG1994,EPS,ANN,2,P,9.13,31DEC1994,7.7884
@SP9,SPX,18AUG1994,EPS,ANN,3,P,12.17,31DEC1995,2.7381
@SP9,SPX,15SEP1994,EPS,ANN,1,P,5.72,31DEC1993,5.7196
@SP9,SPX,15SEP1994,EPS,ANN,2,P,9.13,31DEC1994,7.7884
@SP9,SPX,15SEP1994,EPS,ANN,3,P,12.17,31DEC1995,2.7381
@SP9,SPX,20OCT1994,EPS,ANN,1,P,5.72,31DEC1993,5.7196
@SP9,SPX,20OCT1994,EPS,ANN,2,P,9.13,31DEC1994,7.7884
@SP9,SPX,20OCT1994,EPS,ANN,3,P,12.17,31DEC1995,2.7381
@SP9,SPX,17NOV1994,EPS,ANN,1,P,5.72,31DEC1993,5.7196
@SP9,SPX,17NOV1994,EPS,ANN,2,P,9.13,31DEC1994,7.7884
@SP9,SPX,17NOV1994,EPS,ANN,3,P,12.17,31DEC1995,2.7381
@SP9,SPX,15DEC1994,EPS,ANN,1,P,5.72,31DEC1993,5.7196
@SP9,SPX,16FEB1995,EPS,ANN,1,P,8.09,31DEC1994,7.7884
@SP9,SPX,16FEB1995,EPS,ANN,2,P,10.1,31DEC1995,2.7381
@SP9,SPX,17AUG1995,EPS,ANN,2,P,8.4,31DEC1995,2.7381
@SP9,SPX,17AUG1995,EPS,ANN,3,P,9.74,31DEC1996,6.4497
@SP9,SPX,14SEP1995,EPS,ANN,1,P,8.4,31DEC1995,2.7381
@SP9,SPX,14SEP1995,EPS,ANN,2,P,9.74,31DEC1996,6.4497
@SP9,SPX,19OCT1995,EPS,ANN,1,P,8.4,31DEC1995,2.7381
@SP9,SPX,19OCT1995,EPS,ANN,2,P,9.74,31DEC1996,6.4497
@SP9,SPX,16NOV1995,EPS,ANN,1,P,8.4,31DEC1995,2.7381
@SP9,SPX,16NOV1995,EPS,ANN,2,P,9.74,31DEC1996,6.4497
@SP9,SPX,14DEC1995,EPS,ANN,1,P,1.64,31DEC1995,2.7381
@SP9,SPX,14DEC1995,EPS,ANN,2,P,4.02,31DEC1996,6.4497
@SP9,SPX,18JAN1996,EPS,ANN,1,P,1.64,31DEC1995,2.7381
@SP9,SPX,18JAN1996,EPS,ANN,2,P,4.02,31DEC1996,6.4497
@SP9,SPX,15FEB1996,EPS,ANN,1,P,1.64,31DEC1995,2.7381
@SP9,SPX,15FEB1996,EPS,ANN,2,P,4.02,31DEC1996,6.4497
@SP9,SPX,14MAR1996,EPS,ANN,1,P,1.64,31DEC1995,2.7381
@SP9,SPX,14MAR1996,EPS,ANN,2,P,4.02,31DEC1996,6.4497
@SP9,SPX,18APR1996,EPS,ANN,1,P,1.64,31DEC1995,2.7381
@SP9,SPX,18APR1996,EPS,ANN,2,P,4.02,31DEC1996,6.4497
@SP9,SPX,16MAY1996,EPS,ANN,1,P,1.83,31DEC1995,2.7381
@SP9,SPX,16MAY1996,EPS,ANN,2,P,4.02,31DEC1996,6.4497
@SP9,SPX,16MAY1996,EPS,ANN,3,P,5.84,31DEC1997,
