This file was created using the 202006 Bloomberg database.

Missing data are indicated by -99.99.



        Mkt-RF     SMB     HML     RMW     CMA      RF
198907    0.85    1.53   11.15  -99.99  -99.99    0.70
198908    1.71    7.27   -0.90  -99.99  -99.99    0.74
198909   14.29    1.57   -4.48  -99.99  -99.99    0.65
198910   -2.04   -0.09   -6.34  -99.99  -99.99    0.68
198911    0.64    0.76    1.17  -99.99  -99.99    0.69
198912    6.60    2.81   11.60  -99.99  -99.99    0.61
199001    0.74    9.28   12.99  -99.99  -99.99    0.57
199002    3.70    4.69    4.50  -99.99  -99.99    0.57
199003   -5.14   -0.47    0.83  -99.99  -99.99    0.64
199004   -1.50    0.11   -3.30  -99.99  -99.99    0.69
199005    8.16   -1.83    5.56  -99.99  -99.99    0.68
199006    3.56    3.37  -10.07  -99.99  -99.99    0.63
199007    7.07    1.11   -3.67  -99.99  -99.99    0.68
199008  -13.35    2.58   -1.60  -99.99  -99.99    0.66
199009  -11.72    7.82    1.08  -99.99  -99.99    0.60
199010    0.99    5.52  -10.11  -99.99  -99.99    0.68
199011   -4.38    1.69   -3.59  -99.99  -99.99    0.57
199012    0.21   -1.00    3.94  -99.99  -99.99    0.60
199101    2.08    0.47    0.03  -99.99  -99.99    0.52
199102   12.38   -4.89    5.17  -99.99  -99.99    0.48
199103    2.54    4.36    5.85  -99.99  -99.99    0.44
199104    0.06   -0.07   -3.00  -99.99  -99.99    0.53
199105    4.57    6.36    5.65  -99.99  -99.99    0.47
199106   -3.97   -1.44   -4.26  -99.99  -99.99    0.42
199107    0.90   -6.29    2.89   -1.30  -99.99    0.49
199108    0.11   -4.11    2.45    2.80  -99.99    0.46
199109   -3.54   -0.46   -1.01   -1.01  -99.99    0.46
199110    4.79   -4.00   -0.26   -0.73  -99.99    0.42
199111   -0.39    2.31    1.41    3.55  -99.99    0.39
199112    8.57   -3.58    4.82    5.09  -99.99    0.38
199201    8.53   -5.89    3.04  -10.14  -99.99    0.34
199202    4.51   -3.88    1.18   -2.90  -99.99    0.28
199203   -2.69    2.18   -1.86    2.72  -99.99    0.34
199204   -0.85    4.28    1.51    0.86  -99.99    0.32
199205   -0.51   -1.75    4.18   -3.69  -99.99    0.28
199206   -7.51    6.20   -4.86    4.48  -99.99    0.32
199207   -0.46    1.55   -1.84    3.77   -2.56    0.31
199208   -3.63   -0.16   -2.36    3.34   -2.19    0.26
199209   -1.21   -3.12   -0.30    1.33    1.29    0.26
199210    4.24    0.38   -0.58   -2.02   -4.74    0.23
199211   -0.83    2.76   -0.36   -0.08   -8.64    0.23
199212    1.92    1.30   -2.80    0.82   -1.12    0.28
199301   -0.76   -1.54    1.29   -1.26    1.70    0.23
199302    3.23    2.85    5.49   -2.42    1.58    0.22
199303    3.04    1.59   -1.11   -1.33   -7.48    0.25
199304    4.18    3.92    6.01   -6.19    5.71    0.24
199305    4.09    3.68    4.24   -4.32    5.61    0.22
199306    0.13   -2.62   -2.30    0.13   -3.05    0.25
199307    3.52    0.68   -1.77    1.39   -0.54    0.24
199308    8.19    1.39    6.01   -2.82    0.90    0.25
199309    4.69    3.20    2.98   -2.27    1.14    0.26
199310    9.70    3.92   -2.07    1.10   -4.85    0.22
199311    5.92    3.54    6.35   -4.93    2.00    0.25
199312   18.40    3.14    3.97   -3.27    1.54    0.23
199401   -1.58   -5.55    1.95   -2.39    2.53    0.25
199402   -1.18    7.18    0.47   -0.80   -0.97    0.21
199403  -11.61   -0.43   -1.47    1.98   -1.47    0.27
199404   -0.46   -1.12   -0.56    3.46    1.15    0.27
199405    1.55   -5.71    0.10   -0.48    2.68    0.32
199406   -3.31    1.61    1.00   -0.86    0.63    0.31
199407    6.25   -2.81    0.16   -1.01   -1.52    0.28
199408   11.81    3.95   -2.81   -3.80    1.36    0.37
199409    2.18    4.92   -0.67   -1.85    4.03    0.37
199410   -3.16   -0.24    1.75    1.12    1.75    0.38
199411   -4.67    1.35   -0.48   -1.87    2.01    0.37
199412   -9.39    1.38    0.39    5.00    0.80    0.44
199501  -12.75   -3.17    1.33    1.69    2.27    0.42
199502    0.20    2.18   -4.16    2.72    4.64    0.40
199503   -0.58   -0.85   -1.13    2.02   -0.25    0.46
199504    2.10   -2.57    2.88   -0.39   -1.40    0.45
199505    5.39   -3.23    1.56    0.90    2.29    0.54
199506    0.06    0.33    0.94    0.29    0.58    0.47
199507    2.53    1.08   -0.48    0.57   -1.50    0.45
199508   -2.88    1.15   -0.89    1.11    0.88    0.47
199509   -0.81   -1.28    2.58   -0.75    1.91    0.43
199510   -3.88    0.07   -1.12    0.80   -0.13    0.47
199511   -1.52    0.74   -2.34    1.73    0.33    0.42
199512    2.92   -0.15   -1.99    2.08   -0.30    0.49
199601    8.71    1.64   -1.88    0.03   -0.13    0.43
199602   -2.80    2.59   -1.16    2.44   -0.53    0.39
199603    0.75    2.99   -2.86    2.01   -1.34    0.39
199604    2.11    2.38   -2.67    0.00    0.42    0.46
199605   -1.80   -3.38    0.27    0.18    0.91    0.42
199606    0.70    2.01   -0.74    1.13   -0.09    0.40
199607   -5.76    2.73   -0.94    0.01    0.69    0.45
199608    2.58    0.84   -4.12    1.49   -0.03    0.41
199609    1.05    2.28   -1.90   -0.30   -0.44    0.44
199610   -2.29    2.44    0.29    2.07   -1.90    0.42
199611    1.07   -1.27    2.68   -0.76   -0.21    0.41
199612    0.11   -2.21    1.57    0.78   -0.35    0.46
199701    6.63    1.23    4.63   -1.04    1.06    0.45
199702    4.76    0.69    0.12   -2.90    1.65    0.39
199703   -2.55    2.42   -1.62    1.79    0.07    0.43
199704   -2.55   -2.51    5.77   -0.84    0.26    0.43
199705    2.65   -1.63    0.35   -0.43    0.58    0.49
199706    4.36   -0.97    3.19   -1.77   -1.63    0.37
199707    0.30    0.19    3.87    1.26   -3.59    0.43
199708  -11.65    1.99    5.98   -2.78   -2.34    0.41
199709    1.28   -3.06    3.68    0.55    3.88    0.44
199710  -16.29    2.97    1.12    1.11    0.57    0.42
199711   -5.80   -4.68    6.03    0.82   -0.33    0.39
199712   -0.49   -3.17    2.61    0.52   -1.82    0.48
199801   -6.47   -0.01   -3.71   -0.21   -1.02    0.43
199802   10.06   -1.52   -3.01    2.42   -2.30    0.39
199803    3.73    0.41    4.60   -1.52    2.17    0.39
199804    0.52    1.09   -0.05   -1.94    0.31    0.43
199805  -10.87    6.53   -3.47    0.74   -1.87    0.40
199806  -10.78    2.23    0.91    0.80    1.45    0.41
199807    1.85   -1.70    0.71   -1.08   -0.61    0.40
199808  -24.97    6.50    2.63   -0.93    2.76    0.43
199809    3.68   -4.65    2.15    0.98    0.92    0.46
199810    7.76   -6.18   -0.46    2.13    1.02    0.32
199811    6.10    1.43    0.01    0.70   -1.51    0.31
199812   -2.15    1.62   -0.57   -0.15   -0.46    0.38
199901   -1.92   -2.10   -1.63    1.02    3.33    0.35
199902   -0.10   -1.33    0.31   -0.03    1.33    0.35
199903    8.74   -1.09    3.47    1.50   -0.30    0.43
199904   10.55   -0.55    5.57   -4.40    2.61    0.37
199905    0.73    5.31   -1.83    1.52    0.77    0.34
199906   10.18    2.01   -0.11    1.39   -4.33    0.40
199907   -1.64    1.67    0.50    0.51    6.32    0.38
199908    2.42    2.28    2.12    0.51    5.99    0.39
199909   -3.33    1.35    1.28   -1.58    2.29    0.39
199910    2.80   -0.19   -0.31   -2.50    1.40    0.39
199911    8.33   -2.14   -3.07    2.55    4.54    0.36
199912   11.41   -7.92   -5.81    1.41   -4.72    0.44
200001    0.21    4.33    2.03   -3.05   -2.44    0.41
200002    2.23   -0.37  -12.13    7.94    1.01    0.43
200003    0.18    0.46   -0.89    2.06   -1.95    0.47
200004  -11.30    0.07    3.85    0.31   -1.41    0.46
200005   -3.03   -0.60    1.84    0.47    2.81    0.50
200006    1.85   -4.43   -2.85    2.91    1.31    0.40
200007   -5.07    0.81    6.20   -0.73    3.03    0.48
200008   -0.24   -1.75   -0.83    2.14   -1.39    0.50
200009   -9.68    1.02    4.74   -0.16    3.70    0.51
200010   -9.04   -1.18    3.35    1.65    0.81    0.56
200011   -8.87    1.43    1.69    0.44    2.69    0.51
200012    0.87   -4.55    4.13    0.22    2.71    0.50
200101   11.44   -3.88   -0.16    0.68   -2.83    0.54
200102   -6.66    5.86    3.97   -2.26    4.24    0.38
200103   -8.65    3.62    1.97    0.28    0.93    0.42
200104    3.67   -3.90    0.53    3.02   -0.50    0.39
200105    0.75    0.38    3.11    2.99    0.92    0.32
200106   -2.16    1.31    1.40    1.24    2.19    0.28
200107   -7.04    0.86   -0.20    1.39    0.59    0.30
200108   -1.68    0.06    5.38   -1.54    4.22    0.31
200109  -14.71    0.93    2.44    1.34    2.15    0.28
200110    5.04   -0.69   -2.53    0.90   -3.92    0.22
200111    9.78   -2.93   -0.71   -0.64   -2.86    0.17
200112    7.95   -2.32   -0.11    1.40   -2.05    0.15
200201    3.09    1.98    3.94   -0.86    2.37    0.14
200202    1.22   -1.92    1.89    0.63    0.34    0.13
200203    6.35    1.91    2.02   -0.52   -1.64    0.13
200204    0.02    2.16    5.22   -2.74    2.67    0.15
200205   -1.98    1.10    1.16   -1.15    0.28    0.14
200206   -7.50    0.07    3.00    1.44    1.80    0.13
200207   -6.59    2.00    1.30   -1.05   -1.22    0.15
200208    1.01   -1.07   -1.31    2.52   -2.01    0.14
200209  -10.97   -1.32    2.87    3.21    0.43    0.14
200210    5.85   -1.44    0.84   -0.57    0.21    0.14
200211    6.06   -1.22    2.50    0.59    1.03    0.12
200212   -2.71    0.51    5.24   -1.63    0.78    0.11
200301   -0.15    2.53    3.71   -2.97    3.05    0.10
200302   -2.83    0.27    0.81    0.70   -0.26    0.09
200303   -3.22   -0.98    1.29    1.21    1.70    0.10
200304    9.04   -1.64    0.70    0.52   -0.73    0.10
200305    7.10    0.30    0.98   -0.99    1.34    0.09
200306    5.75    0.23    1.25   -1.31   -0.91    0.10
200307    5.18   -0.97    1.58    1.87   -1.99    0.07
200308    6.53   -2.56    1.93    1.24    0.63    0.07
200309    1.51    1.26    2.66    0.02    1.13    0.08
200310    7.53   -2.88    4.47   -0.99    0.87    0.07
200311    1.19    1.08    1.83   -1.45   -0.07    0.07
200312    7.25   -1.30    3.45   -0.22    2.28    0.08
200401    3.58    0.48    1.02    0.34   -0.72    0.07
200402    4.68   -0.57    3.46   -0.78    0.36    0.06
200403    1.50   -0.04   -0.05    0.89   -0.73    0.09
200404   -7.10    3.49   -0.96    1.32   -0.69    0.08
200405   -1.92   -1.21    0.00   -0.19    1.06    0.06
200406    0.46   -2.27    1.83    0.25   -0.93    0.08
200407   -1.82   -0.93    5.18   -0.81    1.55    0.10
