This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 OP portfolios
and 2 BE/ME portfolios in Emerging_Markets.

The portfolios are constructed at the end of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,LoBM_LoINV,LoBM_HiINV,HiBM_LoINV,HiBM_HiINV
199207  ,-1.41   ,5.35  ,-0.81  ,-0.30
199208  ,-3.99  ,-3.58  ,-2.96  ,-2.33
199209   ,2.38  ,-0.42   ,0.24   ,4.03
199210   ,3.09   ,7.86   ,3.24   ,1.81
199211  ,-4.24   ,3.95  ,-0.64  ,-1.99
199212   ,2.39   ,0.23   ,1.18   ,1.27
199301  ,-0.02  ,-2.79   ,0.35   ,0.43
199302   ,6.73   ,1.24   ,4.54  ,10.10
199303   ,0.21   ,7.00   ,0.73   ,3.60
199304   ,5.28  ,-2.59   ,8.99   ,8.53
199305   ,1.64   ,4.10   ,6.17   ,6.08
199306  ,-1.38  ,-0.04  ,-0.80   ,2.51
199307   ,5.15   ,6.27   ,2.09   ,3.42
199308   ,6.10   ,7.18  ,11.39   ,8.49
199309   ,0.09   ,1.57   ,9.71   ,5.41
199310  ,11.11  ,11.38   ,7.17  ,12.27
199311   ,0.24   ,5.42   ,9.07   ,8.74
199312  ,19.50  ,18.32  ,20.93  ,15.55
199401  ,-2.66  ,-3.15  ,-4.50  ,-2.05
199402  ,-1.71  ,-1.55  ,-1.33  ,-0.87
199403 ,-10.64 ,-10.36 ,-10.53 ,-12.58
199404   ,2.68   ,1.18  ,-1.70  ,-2.15
199405   ,2.88   ,0.03   ,0.23   ,1.85
199406  ,-4.86  ,-4.89   ,1.24  ,-2.77
199407   ,8.02   ,7.25   ,6.97   ,6.17
199408  ,12.47  ,11.09  ,17.30  ,11.42
199409   ,4.35   ,2.61   ,2.79   ,1.06
199410   ,0.65  ,-4.13  ,-4.03  ,-1.60
199411  ,-1.29  ,-5.65  ,-3.44  ,-5.11
199412 ,-14.45  ,-9.71  ,-8.56  ,-5.86
199501 ,-12.18 ,-13.54 ,-11.91 ,-14.30
199502  ,-2.42   ,2.19   ,1.08   ,3.34
199503   ,0.97  ,-0.88  ,-0.93   ,0.47
199504   ,4.80   ,2.25   ,5.28  ,-0.46
199505   ,4.40   ,6.78   ,6.05   ,6.64
199506   ,2.41  ,-0.20   ,0.84  ,-0.12
199507   ,2.78   ,2.73   ,3.03   ,3.96
199508  ,-2.53  ,-2.28  ,-2.52  ,-2.45
199509  ,-0.86  ,-1.22   ,1.30   ,0.11
199510  ,-1.84  ,-3.25  ,-4.82  ,-3.57
199511  ,-1.38  ,-0.24  ,-1.85   ,0.49
199512   ,3.46   ,3.89   ,2.58   ,3.04
199601  ,10.44   ,8.02   ,9.73   ,9.94
199602  ,-2.85  ,-2.55  ,-2.55  ,-3.14
199603   ,1.34   ,0.52   ,2.18   ,1.75
199604   ,1.28   ,2.12   ,3.77   ,2.05
199605  ,-0.72  ,-1.77  ,-2.10  ,-0.62
199606   ,0.40   ,1.09   ,0.86   ,1.98
199607  ,-4.38  ,-5.33  ,-5.29  ,-6.10
199608   ,2.71   ,3.02   ,3.37   ,3.03
199609   ,1.47   ,1.67   ,0.24   ,2.79
199610  ,-3.56  ,-2.57  ,-1.08  ,-1.24
199611   ,0.84   ,1.12   ,1.33   ,2.62
199612   ,1.16  ,-0.02   ,1.48   ,0.19
199701   ,6.12   ,5.84   ,7.68   ,8.47
199702   ,4.13   ,5.42   ,5.42   ,5.05
199703  ,-1.55  ,-0.20  ,-2.57  ,-2.76
199704  ,-2.89  ,-1.09  ,-0.68  ,-2.84
199705   ,1.66   ,4.57   ,2.19   ,2.98
199706   ,2.84   ,5.76   ,5.43   ,4.40
199707  ,-1.38   ,2.35   ,0.30   ,0.92
199708 ,-10.43 ,-10.49 ,-12.49 ,-12.01
199709  ,-0.82  ,-0.09   ,6.64   ,0.44
199710 ,-14.45 ,-17.69 ,-16.47 ,-16.08
199711  ,-6.60  ,-4.01  ,-3.55  ,-6.30
199712  ,-2.33   ,2.35   ,1.01  ,-1.30
199801  ,-4.25  ,-5.33  ,-6.85  ,-5.69
199802  ,10.78  ,13.62   ,8.00   ,9.97
199803   ,2.72   ,2.83   ,5.00   ,6.56
199804   ,1.62  ,-0.88   ,1.23   ,2.02
199805 ,-10.75  ,-9.74 ,-12.83 ,-10.55
199806 ,-12.38  ,-8.77  ,-9.31 ,-11.49
199807  ,-0.59   ,3.95   ,2.43   ,2.73
199808 ,-23.82 ,-25.72 ,-24.86 ,-24.68
199809   ,3.24   ,5.05   ,5.34   ,5.34
199810  ,10.43  ,10.29   ,8.25   ,6.12
199811   ,4.27   ,5.74   ,6.45   ,9.34
199812  ,-0.62  ,-3.84  ,-0.56  ,-0.96
199901  ,-0.80  ,-0.15  ,-2.09  ,-4.43
199902   ,0.43  ,-1.35   ,0.52   ,2.01
199903   ,6.98   ,7.98  ,12.70   ,9.79
199904  ,11.81   ,4.10  ,16.33  ,15.94
199905   ,1.73   ,0.47   ,0.45   ,1.66
199906   ,8.86  ,14.12   ,9.50  ,10.81
199907   ,3.74  ,-3.39  ,-2.72  ,-3.33
199908   ,4.91   ,0.74   ,4.83   ,1.73
199909  ,-3.18  ,-2.78  ,-2.77  ,-4.03
199910   ,3.31   ,4.56   ,2.83   ,1.24
199911  ,17.48   ,7.16   ,4.74   ,6.47
199912  ,12.62  ,15.78   ,9.70   ,7.70
200001   ,0.28  ,-1.12   ,2.71   ,1.38
200002   ,8.67   ,2.87   ,0.06  ,-1.67
200003   ,0.44   ,0.88   ,0.23   ,0.30
200004 ,-11.45 ,-12.99  ,-9.74  ,-9.34
200005  ,-0.38  ,-3.32  ,-3.26  ,-2.56
200006   ,3.86   ,4.02   ,0.87  ,-0.53
200007  ,-8.11  ,-7.41  ,-0.91  ,-2.37
200008  ,-0.75   ,1.71  ,-0.87   ,0.92
200009 ,-11.56 ,-10.54  ,-7.76  ,-8.31
200010 ,-10.87  ,-7.29  ,-8.17  ,-9.28
200011  ,-5.82 ,-11.49  ,-6.99  ,-8.79
200012   ,2.27   ,0.24   ,2.14   ,1.64
200101  ,11.84  ,14.22  ,11.57  ,11.73
200102  ,-7.02  ,-9.31  ,-2.87  ,-5.98
200103  ,-6.25 ,-10.59  ,-6.66  ,-8.41
200104   ,4.17   ,6.23   ,2.23   ,4.37
200105  ,-0.77  ,-0.03   ,2.58   ,1.86
200106  ,-2.22  ,-2.91  ,-0.52  ,-2.64
200107  ,-4.52  ,-6.36  ,-8.02  ,-7.71
200108  ,-0.03  ,-3.80   ,0.64  ,-1.71
200109 ,-12.52 ,-16.56 ,-13.58 ,-14.99
200110   ,4.74   ,8.59   ,3.53   ,4.02
200111   ,5.53  ,11.30   ,9.76  ,13.36
200112   ,6.61  ,10.57   ,8.29   ,6.30
200201   ,3.75   ,1.28   ,5.29   ,4.07
200202   ,0.03   ,1.10   ,2.34   ,1.63
200203   ,4.99   ,7.78   ,6.11   ,6.88
200204   ,1.35  ,-1.66   ,0.67   ,1.21
200205  ,-2.19  ,-2.46  ,-1.00  ,-2.14
200206  ,-7.89  ,-8.40  ,-5.61  ,-8.96
200207 ,-10.92  ,-5.20  ,-5.35  ,-6.54
200208   ,1.62   ,1.62   ,0.29   ,2.23
200209 ,-10.72  ,-9.58 ,-10.83 ,-12.03
200210   ,6.44   ,6.38   ,4.89   ,8.12
200211   ,4.27   ,6.05   ,7.11   ,5.93
200212  ,-2.19  ,-4.21  ,-1.58  ,-1.94
200301  ,-0.08  ,-2.42   ,0.90   ,0.91
200302  ,-2.09  ,-3.12  ,-1.82  ,-2.71
200303  ,-1.78  ,-2.39  ,-3.58  ,-2.95
200304  ,12.07   ,7.11   ,8.79  ,10.35
200305   ,6.27   ,6.72   ,8.49   ,7.05
200306   ,4.14   ,6.70   ,5.70   ,6.81
200307   ,2.43   ,7.34   ,4.93   ,5.92
200308   ,6.51   ,6.22   ,6.16   ,7.89
200309   ,1.73   ,0.80   ,2.17   ,1.67
200310   ,6.93   ,6.46   ,8.38   ,8.70
200311   ,1.22  ,-0.18   ,2.05   ,2.25
200312   ,7.37   ,4.75   ,9.06   ,8.67
200401   ,1.76   ,5.57   ,3.29   ,3.40
200402   ,4.49   ,4.10   ,4.74   ,5.98
200403   ,0.43   ,2.38   ,0.97   ,2.11
200404  ,-7.23  ,-6.80  ,-7.02  ,-7.93
200405  ,-0.74  ,-2.82  ,-3.21  ,-3.53
200406  ,-0.23   ,0.01   ,1.57   ,1.03
200407  ,-2.88  ,-3.08  ,-0.43  ,-0.56
200408   ,4.57   ,3.32   ,4.27   ,4.83
200409   ,5.63   ,6.30   ,5.52   ,6.28
200410   ,2.09   ,3.90   ,2.91   ,1.81
200411   ,8.38   ,7.77   ,9.11   ,9.35
200412   ,5.32   ,5.55   ,6.38   ,4.29
200501   ,1.69  ,-0.13   ,0.25   ,1.27
200502   ,7.69   ,8.14   ,8.04  ,10.56
200503  ,-6.52  ,-5.65  ,-5.87  ,-5.77
200504  ,-2.65  ,-2.88  ,-2.27  ,-3.15
200505   ,2.85   ,5.33   ,3.18   ,2.43
200506   ,3.15   ,3.41   ,4.07   ,3.81
200507   ,8.32   ,5.39   ,6.27   ,7.07
200508   ,1.21   ,1.39   ,0.26   ,1.02
200509   ,9.45   ,7.93   ,7.72  ,10.08
200510  ,-5.73  ,-4.53  ,-6.63  ,-6.52
200511   ,8.24   ,7.37   ,7.35   ,8.68
200512   ,6.17   ,5.42   ,6.75   ,6.95
200601  ,11.40   ,9.88  ,10.29   ,9.74
