This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 OP portfolios
and 2 BE/ME portfolios in Emerging_Markets.

The portfolios are constructed at the end of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,LoBM_LoOP,LoBM_HiOP,HiBM_LoOP,HiBM_HiOP
199107  ,-4.27   ,3.48   ,0.87   ,5.76
199108  ,-6.36   ,1.05  ,-2.34  ,-0.31
199109  ,-5.64  ,-3.99  ,-4.45  ,-6.48
199110   ,1.00   ,5.94   ,2.38   ,2.23
199111   ,0.69   ,0.40   ,2.07  ,-1.01
199112   ,5.12   ,5.89   ,6.20  ,21.87
199201  ,11.36   ,6.81  ,10.25  ,10.07
199202  ,-1.36   ,9.09   ,4.39  ,17.00
199203   ,0.28  ,-0.46  ,-3.22  ,-4.40
199204  ,-2.72  ,-0.80  ,-2.02  ,-2.03
199205  ,-3.32  ,-0.68  ,-1.77   ,2.37
199206  ,-2.92  ,-8.06  ,-5.55 ,-10.36
199207  ,-0.71   ,4.10  ,-0.68  ,-0.01
199208  ,-4.86  ,-3.37  ,-3.35  ,-2.51
199209   ,1.86   ,0.12  ,-0.70   ,6.18
199210   ,8.18   ,4.88   ,5.18   ,1.64
199211  ,-2.12   ,1.51   ,0.68  ,-4.15
199212   ,1.99   ,0.07   ,0.56   ,3.81
199301  ,-0.46  ,-2.10  ,-0.92   ,4.85
199302  ,-1.43   ,4.31   ,6.34   ,5.83
199303   ,5.24   ,3.60   ,2.48   ,3.00
199304   ,1.75   ,0.39   ,7.03  ,10.11
199305   ,1.54   ,4.16   ,7.29   ,2.86
199306   ,0.76  ,-0.52  ,-1.15   ,4.66
199307   ,7.45   ,4.74   ,3.38   ,0.91
199308   ,7.29   ,7.04  ,10.35   ,8.44
199309   ,3.30   ,0.98   ,6.92   ,7.04
199310  ,14.28   ,9.62   ,8.99   ,8.29
199311   ,6.36   ,2.86   ,9.77   ,8.70
199312  ,18.23  ,17.54  ,19.22  ,15.71
199401  ,-4.28  ,-1.60  ,-2.41   ,1.68
199402  ,-1.34  ,-1.70  ,-1.22  ,-1.82
