This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 OP portfolios
and 2 INV portfolios in Emerging_Markets.

The portfolios are constructed at the end of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,LoOP_LoINV,LoOP_HiINV,HiOP_LoINV,HiOP_HiINV
199207  ,-1.90  ,-1.73  ,-0.02   ,6.34
199208  ,-4.49  ,-3.30  ,-1.90  ,-3.19
199209   ,0.14   ,0.93   ,2.81   ,1.65
199210   ,5.63   ,5.20  ,-0.08   ,5.40
199211  ,-2.94   ,1.77  ,-1.49   ,0.74
199212   ,2.03  ,-0.57   ,1.23   ,1.10
199301  ,-1.50  ,-0.27   ,2.64  ,-2.34
199302   ,1.86   ,7.85  ,10.30   ,2.24
199303   ,3.47   ,2.91  ,-3.23   ,7.08
199304   ,5.50   ,5.97   ,9.41  ,-1.05
199305   ,6.50   ,5.35   ,0.82   ,5.22
199306  ,-1.21   ,0.49  ,-0.87   ,1.53
199307   ,2.22   ,6.98   ,4.89   ,3.18
199308  ,10.94   ,8.28   ,6.87   ,7.24
199309  ,10.04   ,2.75   ,0.60   ,3.61
199310   ,8.05  ,14.85   ,9.85   ,8.75
199311   ,7.62   ,9.35   ,2.53   ,4.33
199312  ,21.89  ,17.33  ,18.62  ,16.74
199401  ,-5.46  ,-3.02  ,-1.67  ,-2.18
199402   ,0.58  ,-2.17  ,-3.90  ,-0.21
199403 ,-10.85 ,-11.43 ,-10.21 ,-11.21
199404  ,-1.03  ,-0.64   ,1.53   ,0.06
199405  ,-1.18   ,0.20   ,4.40   ,1.52
199406   ,1.60  ,-4.54  ,-4.74  ,-3.37
199407   ,7.95   ,6.21   ,6.38   ,7.53
199408  ,17.86  ,12.23  ,12.14  ,10.42
199409   ,5.30   ,2.23   ,0.40   ,2.18
199410  ,-2.05  ,-2.25  ,-2.78  ,-4.17
199411  ,-1.46  ,-5.18  ,-4.50  ,-5.63
199412 ,-12.59  ,-8.29  ,-7.86  ,-8.74
199501 ,-13.46 ,-14.09  ,-9.74 ,-13.54
199502  ,-0.87   ,4.28   ,0.83   ,1.29
199503  ,-0.28  ,-1.76  ,-0.18   ,0.62
199504   ,5.59   ,1.16   ,4.42   ,1.48
199505   ,4.77   ,7.02   ,6.48   ,6.58
199506   ,1.70  ,-0.56   ,0.96   ,0.17
199507   ,3.94   ,4.02   ,1.73   ,2.44
199508  ,-3.06  ,-2.58  ,-2.39  ,-2.31
199509   ,0.37  ,-0.93  ,-0.12  ,-0.32
199510  ,-4.55  ,-3.75  ,-2.15  ,-2.53
199511  ,-2.12  ,-1.36  ,-1.56   ,1.37
199512   ,1.96   ,2.75   ,3.86   ,3.97
199601  ,10.33  ,10.22   ,9.13   ,7.55
199602  ,-2.92  ,-2.83  ,-1.55  ,-3.07
199603   ,2.70   ,0.65   ,0.94   ,1.56
199604   ,3.29   ,4.16   ,2.51   ,0.42
199605  ,-3.12  ,-0.57   ,0.12  ,-1.92
199606   ,0.95   ,1.54   ,1.26   ,2.00
199607  ,-3.39  ,-5.38  ,-6.45  ,-5.69
199608   ,2.63   ,3.96   ,3.71   ,2.03
199609   ,1.18   ,2.11   ,0.42   ,2.43
199610  ,-2.06  ,-2.21  ,-2.43  ,-1.63
199611   ,1.74   ,1.91   ,0.68   ,1.48
199612   ,1.03   ,0.05   ,1.84   ,0.36
199701   ,6.66   ,7.23   ,7.65   ,6.98
199702   ,6.12   ,5.07   ,3.13   ,5.19
199703  ,-2.36  ,-2.67  ,-1.49  ,-0.10
199704  ,-1.59  ,-4.14  ,-1.62   ,0.45
199705   ,2.22   ,3.05   ,2.13   ,5.02
199706   ,5.93   ,4.36   ,3.35   ,5.93
199707  ,-0.14   ,1.33  ,-0.65   ,2.09
199708 ,-11.05 ,-11.02 ,-12.38 ,-11.13
199709   ,1.09   ,0.55   ,6.39  ,-0.09
199710 ,-17.93 ,-17.05 ,-13.37 ,-16.94
199711  ,-5.30  ,-5.78  ,-4.21  ,-3.73
199712  ,-1.26  ,-0.01   ,0.63   ,1.74
199801  ,-7.15  ,-7.08  ,-4.59  ,-4.17
199802   ,9.55  ,12.11   ,8.62  ,12.82
199803   ,5.44   ,4.05   ,2.89   ,4.14
199804   ,1.35   ,0.95   ,1.36  ,-0.82
199805 ,-11.03 ,-10.18 ,-12.91  ,-9.60
199806 ,-10.39 ,-10.06 ,-10.66  ,-9.63
199807   ,1.73   ,3.10   ,0.69   ,3.83
199808 ,-24.52 ,-24.92 ,-24.11 ,-25.60
199809   ,3.90   ,5.91   ,4.42   ,4.34
199810   ,6.65   ,6.43  ,11.60  ,10.91
199811   ,7.40   ,6.49   ,4.34   ,7.75
199812  ,-1.36  ,-1.21   ,1.30  ,-4.28
199901  ,-2.58  ,-4.90  ,-1.24   ,1.02
199902  ,-0.86   ,0.72   ,1.54  ,-0.73
199903  ,11.56   ,9.79   ,9.27   ,7.67
199904  ,12.98  ,13.49  ,14.62   ,4.30
199905   ,0.89   ,1.23   ,1.98   ,0.77
199906   ,7.78  ,11.45  ,10.84  ,14.01
199907  ,-1.61  ,-2.95   ,2.11  ,-3.90
199908   ,5.19   ,2.37   ,4.36  ,-0.01
199909  ,-3.05  ,-2.93  ,-3.06  ,-3.84
199910   ,2.93   ,2.90   ,3.42   ,3.37
199911   ,6.55   ,6.32  ,15.30   ,7.42
199912   ,8.16  ,10.77  ,13.81  ,13.72
200001   ,1.24  ,-0.01   ,1.80  ,-0.16
200002  ,-0.15  ,-1.78   ,8.96   ,3.75
200003  ,-0.57  ,-0.28   ,0.93   ,1.62
200004 ,-10.20 ,-11.49 ,-11.08 ,-11.45
200005  ,-2.84  ,-2.47  ,-1.01  ,-3.53
200006  ,-1.24   ,0.88   ,4.93   ,3.23
200007  ,-1.63  ,-4.90  ,-7.06  ,-5.90
200008  ,-1.22   ,1.06  ,-1.43   ,1.65
200009  ,-8.82 ,-10.03 ,-10.11  ,-9.38
200010  ,-7.96 ,-10.04 ,-11.48  ,-6.60
200011  ,-7.49  ,-9.91  ,-4.34 ,-10.79
200012   ,1.60  ,-0.32   ,2.70   ,1.57
200101  ,11.14  ,12.40  ,11.98  ,13.82
200102  ,-3.69  ,-6.02  ,-7.27  ,-9.35
200103  ,-7.18  ,-8.70  ,-5.71 ,-10.43
200104   ,1.72   ,3.88   ,3.97   ,6.64
200105   ,2.19  ,-0.15  ,-0.77   ,1.38
200106  ,-0.71  ,-3.94  ,-1.40  ,-2.03
200107  ,-7.94  ,-8.75  ,-5.03  ,-5.36
200108   ,1.48  ,-1.79  ,-1.10  ,-3.94
200109 ,-13.96 ,-16.33 ,-12.11 ,-16.05
200110   ,3.63   ,6.50   ,3.96   ,7.29
200111   ,9.05  ,11.34   ,7.22  ,12.73
200112   ,7.32   ,7.96   ,8.10   ,9.76
200201   ,5.13   ,4.45   ,3.75   ,0.70
200202   ,2.00   ,0.19   ,1.55   ,1.72
200203   ,5.97   ,7.48   ,4.82   ,7.54
200204   ,2.12  ,-0.62  ,-1.60  ,-0.75
200205  ,-1.43  ,-3.00  ,-1.64  ,-2.22
200206  ,-6.11  ,-9.22  ,-6.78  ,-8.03
200207  ,-6.09  ,-6.80  ,-8.87  ,-4.98
200208  ,-0.05   ,1.96   ,1.70   ,1.73
200209 ,-11.37 ,-13.42 ,-10.02  ,-9.08
200210   ,4.73   ,8.23   ,5.85   ,6.64
200211   ,5.72   ,4.58   ,6.77   ,7.09
200212  ,-2.37  ,-0.86  ,-1.36  ,-5.06
200301   ,0.51   ,2.24   ,0.91  ,-3.06
200302  ,-1.76  ,-3.24  ,-2.50  ,-2.63
200303  ,-4.35  ,-2.27  ,-0.84  ,-2.81
200304   ,8.74   ,8.52  ,11.85   ,8.74
200305   ,9.35   ,7.00   ,5.62   ,6.63
200306   ,5.54   ,5.63   ,4.90   ,7.52
200307   ,5.02   ,5.26   ,3.27   ,7.75
200308   ,5.93   ,6.58   ,6.68   ,7.06
200309   ,1.64   ,1.69   ,2.28   ,0.81
200310   ,8.47   ,8.94   ,7.44   ,6.38
200311   ,1.42   ,2.50   ,1.85  ,-0.27
200312   ,8.02   ,7.66   ,9.03   ,5.51
200401   ,3.34   ,2.41   ,1.20   ,6.19
200402   ,5.18   ,5.80   ,3.60   ,4.29
