This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 4 BE/ME portfolios and 4 INV portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of 6 months before formation.
Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoBM LoINV,ME1 BM1 INV2,ME1 BM1 INV3,ME1 BM1 HiINV,ME1 BM2 LoINV,ME1 BM2 INV2,ME1 BM2 INV3,ME1 BM2 HiINV,ME1 BM3 LoINV,ME1 BM3 INV2,ME1 BM3 INV3,ME1 BM3 HiINV,ME1 BM4 LoINV,ME1 BM4 INV2,ME1 BM4 INV3,SMALL HiBM HiINV,BIG LoBM LoINV,ME2 BM1 INV2,ME2 BM1 INV3,ME2 BM1 HiINV,ME2 BM2 LoINV,ME2 BM2 INV2,ME2 BM2 INV3,ME2 BM2 HiINV,ME2 BM3 LoINV,ME2 BM3 INV2,ME2 BM3 INV3,ME2 BM3 HiINV,ME2 BM4 LoINV,ME2 BM4 INV2,ME2 BM4 INV3,BIG HiBM HiINV
199007     ,6.39     ,8.18     ,6.08     ,3.92     ,5.27     ,5.30     ,5.27     ,3.00     ,5.22     ,5.57     ,4.10     ,3.24     ,3.88     ,5.58     ,5.22     ,4.52     ,8.22     ,9.54     ,5.36     ,4.75     ,4.96     ,5.02     ,4.18     ,4.13     ,6.09     ,4.84     ,4.00     ,5.05     ,3.16     ,2.96     ,4.36     ,6.65
199008    ,-8.06    ,-8.31    ,-9.43   ,-11.87   ,-10.20   ,-10.03    ,-9.77   ,-12.52   ,-10.77   ,-11.25   ,-11.55   ,-11.70    ,-9.98    ,-8.23   ,-11.81   ,-12.00   ,-10.79   ,-12.63   ,-10.60    ,-9.32    ,-8.70   ,-10.51   ,-11.72   ,-12.93    ,-8.07    ,-8.83    ,-7.62   ,-12.41   ,-12.21   ,-11.46    ,-8.57   ,-11.44
199009    ,-9.89    ,-8.84   ,-11.60    ,-9.96    ,-8.29    ,-9.66   ,-12.43    ,-8.19    ,-9.88    ,-8.26   ,-10.58   ,-11.90   ,-10.52    ,-8.64   ,-10.65   ,-11.31    ,-9.92   ,-15.59    ,-9.80   ,-13.14   ,-10.62   ,-11.89   ,-10.75   ,-13.59    ,-8.83   ,-12.44   ,-11.20   ,-12.65   ,-11.67   ,-12.06   ,-10.91   ,-13.38
199010     ,2.37     ,7.01     ,6.32     ,2.66     ,5.01     ,7.65     ,7.86     ,3.12     ,4.58     ,3.30     ,7.58     ,4.22     ,3.85     ,5.33     ,4.77     ,1.14     ,8.16    ,11.30     ,7.34     ,5.70     ,9.34     ,9.28     ,9.20     ,6.95     ,5.50     ,7.00     ,5.50     ,8.93     ,4.05     ,3.57     ,7.75     ,9.62
199011    ,-2.78    ,-1.36     ,0.06    ,-3.39    ,-3.03    ,-1.51    ,-1.77    ,-5.20    ,-1.64    ,-2.82    ,-0.93    ,-2.14    ,-1.59    ,-1.83    ,-2.42    ,-1.69    ,-1.32    ,-3.38     ,0.89     ,2.13    ,-0.47     ,2.73    ,-0.33    ,-0.74     ,0.54     ,0.13     ,2.88     ,0.72     ,0.85    ,-1.10     ,1.52     ,1.52
199012    ,-1.49     ,1.08     ,0.24    ,-1.42     ,1.38     ,0.61    ,-0.56    ,-1.64     ,0.07    ,-0.68     ,0.22     ,1.14     ,0.26     ,0.53    ,-0.78    ,-0.77    ,-3.15    ,-0.27     ,0.86    ,-2.06    ,-0.23    ,-1.52    ,-1.36    ,-1.76    ,-1.41    ,-1.20    ,-1.66     ,0.06     ,1.03    ,-1.78    ,-1.49    ,-1.86
199101    ,-2.67    ,-0.67    ,-1.96    ,-2.17    ,-1.16    ,-1.04    ,-2.36    ,-4.55    ,-0.30    ,-1.44    ,-1.39    ,-1.76     ,0.92    ,-1.65    ,-2.31    ,-5.01    ,-2.20     ,1.32     ,4.18     ,5.27     ,1.41     ,2.92     ,3.57     ,1.20     ,0.73    ,-0.38     ,1.86     ,0.96     ,4.51     ,4.15     ,4.27     ,3.49
199102     ,8.26     ,7.15     ,6.97    ,11.88     ,7.91     ,8.81    ,11.67    ,11.95     ,7.27    ,11.29    ,10.40     ,9.27     ,7.35    ,10.22    ,11.31     ,9.04     ,4.91     ,9.15     ,8.34     ,8.21     ,4.01     ,5.97     ,7.15    ,10.02     ,7.90     ,6.75     ,9.28    ,10.56     ,9.11     ,8.82     ,7.39     ,8.65
199103    ,-6.13    ,-5.08    ,-4.52    ,-1.10    ,-7.19    ,-4.70    ,-4.07    ,-0.28    ,-5.05    ,-4.75    ,-0.84    ,-3.68    ,-4.30    ,-5.65    ,-6.44    ,-2.88    ,-6.78    ,-9.24    ,-1.85    ,-8.19    ,-6.76    ,-7.31    ,-5.45    ,-6.41    ,-6.57    ,-7.64    ,-6.09    ,-5.81    ,-6.05    ,-5.82    ,-3.66    ,-7.29
199104     ,0.29     ,1.06    ,-0.61    ,-0.47    ,-0.87     ,1.01    ,-0.95    ,-0.48    ,-1.84     ,0.76    ,-4.35    ,-1.99    ,-2.18     ,2.09    ,-0.78    ,-1.61     ,0.03     ,0.67    ,-1.86    ,-0.60    ,-0.28     ,1.47     ,0.16    ,-2.30     ,1.37     ,0.26    ,-0.46    ,-1.63    ,-1.06    ,-1.02    ,-2.34    ,-0.44
