This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 BE/ME portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
199007   6.24   5.23   4.87   6.23   4.68   4.55
199008  -9.80 -10.05 -10.65 -10.46 -10.37 -10.21
199009  -9.99  -9.70 -10.03 -12.35 -11.87 -11.43
199010   4.43   5.59   4.22   7.95   8.25   5.92
199011  -2.29  -2.21  -2.07  -0.27   0.85   0.65
199012  -0.44   0.01  -0.05  -1.28  -0.99  -1.16
199101  -1.61  -1.65  -1.82   2.50   2.17   2.66
199102   8.53   9.27   9.32   7.97   7.20   8.51
199103  -3.85  -4.23  -4.63  -6.50  -6.47  -6.27
199104  -0.05  -0.62  -1.20  -0.33  -0.23  -0.35
199105  -2.23  -1.71  -2.24   1.13   1.46   1.39
199106  -6.05  -6.60  -6.78  -6.76  -7.08  -7.41
199107   2.75   2.87   2.83   6.19   6.56   5.39
199108   1.31   1.68   0.26   1.62   1.90   2.52
199109   4.69   6.00   4.40   3.42   2.86   3.62
199110  -2.36  -2.67  -3.60  -1.22  -2.50  -2.59
199111  -0.87  -0.76  -2.46  -0.50  -2.70  -2.53
199112   3.85   2.81   2.97   8.93   6.69   5.61
199201  -1.60  -0.54  -0.89  -0.99   0.17   0.88
199202  -0.01  -0.52  -0.66  -0.42  -0.38   0.59
199203  -3.14  -3.44  -2.73  -3.71  -3.04  -3.53
199204   3.97   4.76   3.86   5.10   6.16   5.07
199205   4.85   4.97   6.83   4.81   5.64   5.63
199206  -0.22  -0.55  -0.94  -0.61  -1.01  -1.58
199207  -4.67  -4.87  -5.72  -3.17  -3.54  -4.86
199208  -1.89  -1.82  -2.07  -0.39   0.02  -1.23
199209  -4.52  -6.39  -6.92  -2.18  -1.70  -3.43
199210  -9.74 -10.40  -8.20  -6.54  -8.57  -5.68
199211  -2.82  -3.08  -2.69  -0.30   0.41  -0.70
199212   3.20   2.19  -0.67   0.65   1.82   2.19
199301   4.16   4.20   4.13  -1.56  -0.15   4.36
199302   0.29   0.06   1.37  -0.31   2.32   2.08
199303   7.12   6.26   7.45   4.43   6.29   5.83
199304   5.09   4.20   7.06   1.52   1.05   3.40
199305   0.68   0.92   2.47   0.41   1.18   1.61
199306  -4.39  -4.20  -4.18  -4.31  -2.28  -1.46
199307  -1.13   0.42   2.18   0.30   1.46   3.00
199308   8.68   8.52  11.27   8.20   8.44  10.24
199309   0.02   0.80   0.19  -1.16   0.38  -1.25
199310  -0.56   1.15   1.61   2.59   3.53   1.95
199311  -1.32  -1.22  -1.82  -0.99  -2.27  -3.67
199312   3.89   4.79   6.80   6.34   8.30   8.65
199401   9.82  10.39  14.28   4.47   4.70   8.71
199402  -0.25   0.67   0.82  -3.80  -4.11  -2.85
199403  -2.10  -1.49  -0.54  -2.68  -3.71  -0.65
199404   3.00   3.05   4.70   3.99   3.74   5.25
199405  -2.10  -2.32  -1.78  -4.44  -3.72  -3.71
199406  -1.10  -1.09  -1.36  -0.18  -0.78  -1.92
199407   1.55   2.70   2.26   4.10   6.06   5.51
199408   2.49   1.85   0.62   3.43   2.87   0.06
199409  -0.98  -0.94  -0.35  -3.02  -4.14  -3.03
199410   1.02   1.22   1.22   4.23   4.93   3.36
199411  -4.88  -4.57  -4.30  -4.35  -4.11  -4.05
199412   0.73   0.37   0.84   1.01   0.32  -0.27
199501  -0.57   0.78   0.69  -1.38  -1.54  -0.72
199502   1.32   1.57   1.82   3.65   2.13   1.63
199503   3.49   2.01   1.64   5.51   4.02   2.42
199504   1.73   1.68   1.44   2.94   2.90   4.02
199505   2.28   2.35   1.99   2.22   1.80   3.43
199506   1.10   1.79   1.67   2.93   0.70   1.10
199507   4.04   2.88   2.28   4.45   4.82   4.15
199508  -1.89  -2.88  -3.17  -2.33  -3.61  -5.63
199509   3.28   2.10   1.36   3.72   2.68   1.78
199510  -0.84  -1.35  -1.59  -0.51  -0.25  -0.34
199511  -3.09  -3.13  -2.57  -0.33   0.67   0.70
199512   0.92   1.12   1.82   1.85   2.54   3.02
199601   0.74   0.89   1.04   0.63   1.20   0.58
199602   3.66   3.08   3.98   2.11   2.16   2.22
199603   0.90   1.52   2.09   1.33   1.21   1.16
199604   1.65   1.92   1.47   0.17   1.52   1.09
199605   3.79   3.00   3.75   1.98   1.75   1.46
199606  -0.18  -0.08   0.33   0.61   0.60   0.75
199607  -2.96  -1.35  -0.98  -1.34  -1.41  -1.38
199608   2.40   2.24   0.99   3.33   2.62   1.75
199609  -1.40  -0.44  -0.73   1.23   2.65   1.54
199610   3.42   2.74   2.22   2.25   2.27   0.84
199611   2.53   1.91   2.64   4.29   4.74   6.18
199612   2.10   2.11   2.96   2.17   2.56   2.81
199701   0.07   0.92   1.78  -0.78  -0.06   1.54
199702   1.71   1.79   1.37   1.12   0.94   0.97
199703   0.56   1.62   2.19   2.49   2.39   3.04
199704  -2.04  -1.94  -1.08  -0.24   0.27  -0.82
199705   2.12   4.37   3.93   4.31   5.08   4.70
199706  -0.20   1.00   1.51   3.89   5.15   4.26
199707  -2.83  -1.72   0.12   4.25   3.97   4.91
199708   1.70   0.27  -0.01  -5.28  -5.81  -5.31
199709   5.04   5.29   7.65   8.84   9.60  11.57
199710  -0.27  -1.27  -0.18  -5.07  -5.43  -3.40
199711  -1.83  -1.48  -1.89   1.29   1.83   0.37
199712  -1.19  -0.57   0.62   2.73   2.62   4.81
199801   2.30   0.70   4.16   4.85   2.50   3.92
199802   5.85   6.02   7.17   8.00   7.83   8.69
199803   8.47   6.85  10.90   4.17   7.98  10.80
199804   5.03   3.94   3.34   2.17   2.77   2.74
199805   5.64   3.89   4.74   1.28   2.36   4.21
199806  -2.56  -3.66  -3.79   0.62   0.87  -1.92
199807  -0.81  -1.20  -0.73   1.93   1.51   4.85
199808 -11.17 -11.02  -9.68  -9.16 -12.21 -15.67
199809  -4.64  -4.17  -3.44  -2.68  -3.84  -9.29
199810   1.21   2.00   2.04   7.42   7.45   8.25
199811   2.44   1.67   1.75   3.98   4.98   6.11
199812   1.38   0.49   0.57   5.11   2.81   2.12
199901   1.07  -1.51  -1.42   0.35  -0.41  -1.31
199902   1.36  -0.59  -0.01  -2.58  -1.35  -3.41
199903  -0.05  -0.27   1.42  -0.04   0.69   1.25
199904   3.36   3.89   4.43   0.45   5.65   3.13
199905  -0.22   0.98   1.17  -3.22  -3.92  -4.38
199906   1.46   1.72   2.92   2.25   2.13   1.84
199907   4.42   5.58   3.94   0.90   0.87   1.96
199908   6.64   5.15   3.64   0.73   1.34   1.53
199909   2.94   1.90   0.29   0.09  -0.65  -0.87
199910   2.28   1.73  -0.72   4.73   1.89   0.08
199911   9.40   1.12  -1.20   5.38   2.68  -2.44
199912   9.32   3.66   2.62  11.88   8.13   9.84
200001   5.85  -0.78  -2.08  -6.01  -8.82 -10.25
200002  13.95   5.93   0.59   7.27   6.48   1.73
200003  -6.89  -3.75  -0.50   0.53   3.40   0.80
200004 -14.41  -8.94  -5.13  -4.78  -5.00  -2.19
200005  -3.06   2.15   4.21  -1.93   2.53   3.13
200006   0.43   1.56   2.67  -0.59   1.72   3.45
200007  -2.63  -1.16  -0.98  -3.24  -0.11   1.73
200008  -0.84  -1.49   0.12  -1.57   0.07  -3.54
200009  -3.35  -2.40  -1.31  -6.52  -3.32  -3.29
200010 -12.95  -6.45  -3.70  -3.76  -0.75   2.08
200011 -13.12  -3.43   1.33  -8.84  -1.17  -0.99
200012   5.36   6.64   7.56   2.95   7.93   7.45
200101   0.52   2.38   3.40   0.75   1.01  -0.96
200102  -8.79  -4.03  -0.33 -16.26  -5.22  -6.23
200103 -13.41  -8.87  -7.08 -11.71  -8.21  -6.26
200104   4.05   4.76   5.25  13.33   6.32   5.62
200105  -5.14  -1.91  -0.53  -7.98  -3.44  -4.23
200106  -9.40  -2.75  -1.44  -6.73  -1.63  -2.21
200107  -6.24  -1.35   0.69  -0.32  -0.33   0.55
200108  -2.72   0.30   2.28  -4.56  -0.43  -1.46
200109 -20.59 -16.13 -12.17  -8.85 -11.61 -12.61
200110   8.79   4.78   2.44   4.17   2.44   4.05
200111   8.56   6.74   4.37   4.81   2.55   6.67
200112  -0.12  -0.21   1.32   1.44   2.25   2.80
200201  -3.62  -2.62   0.03  -5.55  -3.95  -5.84
200202  -2.54   0.15   2.51   1.04   0.85  -0.87
200203   4.03   4.81   4.75   3.82   6.38   4.74
200204  -1.10   2.42   5.47  -3.08   1.19   0.00
200205  -0.63   3.18   3.90  -2.56   1.44   2.12
200206  -4.46  -0.66   1.35  -1.47  -3.22  -2.39
200207 -10.06  -8.44  -6.77 -10.81 -11.83  -7.85
200208  -2.96  -0.88  -1.08  -0.56   0.66   1.77
200209 -12.62 -11.36  -8.34  -8.67 -16.10 -16.74
200210   3.75   2.03   1.83   8.45  11.07   8.54
200211   5.72   4.92   3.91   2.18   6.41   8.36
200212  -2.91   0.77   3.64  -2.95  -3.48  -2.92
200301  -2.67  -1.06   0.08  -4.19  -3.77  -1.85
200302  -4.01  -2.95  -2.03  -4.36  -2.70  -2.99
