This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  INV is percentage difference in Total Assets at the last fiscal year end of the prior calendar
year from the previous fiscal year as of 6 months before formation.  Firms with negative
INV are included in any portfolio.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



    Average Value Weighted Returns -- Daily
                 Small                 Big
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
19900702   ,0.84   ,1.04   ,1.19   ,0.94   ,1.11   ,1.10
19900703   ,0.40   ,0.18   ,0.27   ,0.61   ,0.28   ,0.19
19900704   ,0.37   ,0.26   ,0.27   ,0.40   ,0.32   ,0.04
19900705  ,-0.37  ,-0.41  ,-0.55  ,-0.75  ,-0.57  ,-0.74
19900706  ,-0.10  ,-0.11  ,-0.19   ,0.23   ,0.16   ,0.06
19900709   ,0.41   ,0.63   ,0.53   ,0.38   ,0.53   ,0.62
19900710   ,0.31   ,0.17   ,0.48  ,-0.11   ,0.02   ,0.10
19900711  ,-0.56  ,-0.65  ,-0.85  ,-0.14  ,-0.30  ,-0.34
19900712   ,0.44   ,0.54   ,0.53   ,0.49   ,0.78   ,0.75
19900713   ,0.36  ,-0.03  ,-0.17   ,1.21   ,0.24   ,0.34
19900716   ,0.05   ,0.23   ,0.04   ,0.34   ,0.40   ,0.56
19900717   ,0.58   ,0.82   ,0.70   ,0.35   ,0.59   ,0.81
19900718   ,0.19   ,0.02   ,0.07   ,0.21   ,0.11   ,0.27
19900719   ,0.32   ,0.20   ,0.12  ,-0.03  ,-0.17  ,-0.20
19900720   ,0.31   ,0.28   ,0.28   ,0.42   ,0.32   ,0.42
19900723   ,0.43   ,0.48   ,0.50   ,0.03  ,-0.22  ,-0.23
19900724  ,-0.20  ,-0.37  ,-0.40  ,-0.20  ,-0.44  ,-0.51
19900725   ,0.00   ,0.15  ,-0.04   ,0.36   ,0.17   ,0.05
19900726  ,-0.07   ,0.01  ,-0.03  ,-0.25  ,-0.38  ,-0.28
19900727   ,0.55   ,0.58   ,0.65  ,-0.02   ,0.26   ,0.29
19900730   ,0.04   ,0.19   ,0.13  ,-0.08  ,-0.04   ,0.09
19900731   ,1.32   ,1.04   ,0.94   ,1.52   ,1.51   ,1.39
19900801  ,-0.48  ,-0.32  ,-0.34  ,-0.38  ,-0.32  ,-0.47
19900802  ,-0.99  ,-0.98  ,-1.18  ,-0.55  ,-1.62  ,-1.94
19900803  ,-0.73  ,-0.70  ,-0.58  ,-1.20  ,-1.10  ,-1.54
19900806  ,-1.64  ,-1.66  ,-1.82  ,-2.81  ,-3.10  ,-3.22
19900807  ,-0.67  ,-0.51  ,-0.37   ,0.74   ,0.62   ,0.70
19900808  ,-1.19  ,-0.90  ,-1.07  ,-1.98  ,-1.64  ,-1.46
19900809  ,-0.35  ,-0.38  ,-0.31   ,0.32   ,0.37   ,0.51
19900810  ,-0.14   ,0.07   ,0.04   ,0.16  ,-0.27   ,0.07
19900813  ,-0.23  ,-0.51  ,-0.45  ,-1.06  ,-0.93  ,-0.74
19900814   ,0.15   ,0.30   ,0.25   ,0.80   ,0.53   ,0.67
19900815   ,0.56   ,0.53   ,0.39   ,0.92   ,0.93   ,0.89
19900816   ,0.09  ,-0.04  ,-0.02  ,-0.04   ,0.02  ,-0.48
19900817  ,-0.52  ,-0.58  ,-0.96  ,-1.20  ,-1.68  ,-2.10
19900820  ,-2.17  ,-1.87  ,-1.58  ,-2.17  ,-2.15  ,-2.32
19900821  ,-1.67  ,-1.71  ,-1.88  ,-2.91  ,-2.47  ,-2.80
19900822  ,-0.62  ,-0.73  ,-0.39   ,0.41   ,0.30   ,0.46
19900823  ,-1.07  ,-0.89  ,-1.02  ,-1.86  ,-1.45  ,-0.98
19900824  ,-0.70  ,-0.84  ,-0.44   ,0.58   ,0.31   ,0.83
19900827   ,1.84   ,1.57   ,1.31   ,3.34   ,3.05   ,2.58
19900828   ,1.54   ,1.06   ,1.00   ,0.07   ,0.66   ,1.17
19900829  ,-0.14  ,-0.06  ,-0.29   ,0.51   ,0.01   ,0.01
19900830  ,-0.13  ,-0.58  ,-0.53   ,0.00   ,0.01  ,-0.04
19900831  ,-0.60  ,-0.79  ,-0.99  ,-0.83  ,-1.25  ,-1.27
19900903  ,-1.29  ,-1.38  ,-1.29  ,-1.15  ,-1.39  ,-1.53
19900904  ,-0.59  ,-0.40  ,-0.57  ,-1.05  ,-1.10  ,-1.01
19900905   ,0.81   ,1.17   ,0.78   ,1.22   ,1.14   ,1.19
19900906  ,-0.08   ,0.02  ,-0.57  ,-0.29  ,-0.48  ,-1.11
19900907  ,-0.85  ,-0.97  ,-0.98  ,-0.77  ,-0.56  ,-0.98
19900910  ,-0.17  ,-0.78  ,-0.80   ,0.28   ,0.20   ,0.16
19900911  ,-0.61  ,-0.55  ,-0.55  ,-1.29  ,-0.92  ,-0.62
19900912   ,0.39   ,0.28   ,0.13   ,0.75   ,0.59  ,-0.09
19900913   ,0.81   ,0.61   ,0.69   ,0.43   ,0.52   ,0.36
19900914   ,0.09   ,0.03   ,0.15  ,-0.41  ,-0.55  ,-0.94
19900917  ,-0.38  ,-0.07  ,-0.21  ,-0.42  ,-0.11   ,0.00
19900918  ,-0.67  ,-0.63  ,-0.80  ,-0.53  ,-1.13  ,-1.41
19900919  ,-2.02  ,-2.15  ,-1.96  ,-1.87  ,-2.05  ,-1.96
19900920  ,-1.81  ,-2.10  ,-2.12  ,-2.10  ,-2.42  ,-2.92
19900921  ,-1.51  ,-1.77  ,-1.89  ,-0.95  ,-1.06  ,-1.37
19900924   ,0.07   ,0.41   ,0.45  ,-0.63  ,-0.26  ,-0.14
19900925  ,-1.50  ,-1.45  ,-1.22  ,-2.09  ,-1.66  ,-1.21
19900926  ,-0.55  ,-0.51  ,-0.37  ,-0.08  ,-0.03  ,-0.01
19900927   ,0.35   ,0.24   ,0.08   ,0.22   ,0.40   ,0.62
19900928  ,-0.25  ,-0.13  ,-0.55  ,-0.93  ,-1.14  ,-0.89
19901001   ,1.06   ,0.92   ,0.82   ,3.07   ,2.95   ,2.93
19901002   ,1.01   ,1.15   ,1.17   ,1.70   ,2.08   ,2.23
19901003   ,0.96   ,0.81   ,0.93   ,0.66   ,0.98   ,1.20
19901004   ,0.37   ,0.48   ,0.51   ,0.20  ,-0.02  ,-0.29
19901005  ,-0.52   ,0.61   ,0.67  ,-0.23   ,1.28   ,2.24
19901008   ,2.08   ,2.87   ,3.40   ,3.11   ,3.01   ,3.35
19901009  ,-0.27  ,-0.39  ,-0.56  ,-0.61  ,-1.18  ,-1.84
19901010  ,-0.58  ,-0.82  ,-0.71  ,-1.08  ,-1.48  ,-1.40
19901011  ,-0.26  ,-0.01  ,-0.04   ,1.31  ,-0.16  ,-0.11
19901012   ,0.55   ,0.24   ,0.09  ,-0.16   ,0.70   ,0.90
19901015  ,-0.24  ,-0.14  ,-0.62  ,-0.21  ,-0.23  ,-0.12
19901016   ,0.87   ,1.01   ,0.88   ,0.12   ,0.56   ,0.53
19901017  ,-0.20  ,-0.25  ,-0.44  ,-0.31  ,-0.74  ,-0.67
19901018   ,0.19   ,0.77   ,0.81   ,1.08   ,1.23   ,1.15
19901019   ,0.39  ,-0.06  ,-0.53   ,0.69   ,0.31   ,0.52
19901022  ,-0.52  ,-0.45  ,-0.49  ,-0.59  ,-0.10  ,-0.22
19901023   ,0.23   ,0.46   ,0.56   ,1.24   ,1.35   ,1.50
19901024   ,1.00   ,0.66   ,0.82   ,0.30   ,0.37   ,0.16
19901025  ,-0.15  ,-0.23  ,-0.10  ,-0.40  ,-0.83  ,-0.92
19901026  ,-0.76  ,-0.75  ,-0.83  ,-1.37  ,-1.50  ,-1.76
19901029  ,-0.72  ,-0.43  ,-0.68  ,-0.68  ,-0.52  ,-0.57
19901030  ,-0.37  ,-0.18  ,-0.41  ,-0.84  ,-0.93  ,-0.93
19901031  ,-0.03  ,-0.23  ,-0.51   ,0.04   ,0.22   ,0.16
19901101   ,0.08   ,0.11   ,0.08  ,-0.02  ,-0.43  ,-0.40
19901102   ,0.07   ,0.09   ,0.22   ,0.29   ,0.17   ,0.46
19901105   ,0.99   ,0.77   ,0.53   ,1.21   ,0.93   ,1.09
19901106  ,-0.04   ,0.00  ,-0.13  ,-0.10   ,0.15   ,0.27
19901107  ,-0.19  ,-0.18  ,-0.14  ,-0.60  ,-0.70  ,-0.73
19901108  ,-0.92  ,-0.85  ,-0.60  ,-1.27  ,-0.96  ,-1.05
19901109  ,-0.29  ,-0.21  ,-0.02   ,0.42   ,0.12   ,0.24
19901112   ,0.12   ,0.03   ,0.04   ,0.84   ,0.84   ,0.69
19901113   ,0.34   ,0.04   ,0.02   ,0.30   ,0.41   ,0.46
19901114  ,-0.10  ,-0.21  ,-0.26  ,-0.29  ,-0.60  ,-0.58
19901115  ,-0.28  ,-0.26  ,-0.41  ,-0.27  ,-0.08   ,0.34
19901116   ,0.35   ,0.61   ,0.91   ,0.36   ,1.07   ,0.62
19901119   ,0.28   ,0.25   ,0.43   ,1.16   ,1.21   ,1.38
19901120  ,-0.21  ,-0.24  ,-0.20   ,0.11   ,0.17   ,0.09
19901121  ,-0.18   ,0.10  ,-0.27  ,-0.29   ,0.06  ,-0.07
19901122   ,0.14  ,-0.07  ,-0.29   ,0.55   ,0.09   ,0.30
19901123  ,-0.32   ,0.05  ,-0.02  ,-0.10   ,0.45   ,0.54
19901126  ,-0.96  ,-0.42  ,-0.27  ,-1.23  ,-1.51  ,-1.41
19901127   ,0.31   ,0.44   ,0.43   ,0.34   ,0.31   ,0.61
19901128  ,-0.47  ,-0.81  ,-0.70  ,-0.61  ,-0.71  ,-0.94
19901129  ,-0.84  ,-1.31  ,-1.29  ,-0.79  ,-1.13  ,-1.36
19901130  ,-0.03   ,0.04  ,-0.12   ,0.41   ,0.49   ,0.44
19901203  ,-0.30  ,-0.48  ,-0.95   ,0.08   ,0.42   ,0.10
19901204   ,0.77   ,0.57   ,0.54   ,0.07   ,0.38   ,0.28
19901205   ,0.21   ,0.13   ,0.13   ,0.54   ,0.59   ,0.52
19901206   ,1.25   ,1.13   ,1.24   ,1.88   ,2.13   ,2.26
19901207   ,1.20   ,1.33   ,1.24   ,1.18   ,0.93   ,1.22
19901210  ,-0.05   ,0.49   ,0.26   ,0.00  ,-0.01  ,-0.14
19901211  ,-0.73  ,-0.65  ,-0.49  ,-1.13  ,-1.07  ,-1.01
19901212   ,0.64   ,0.23   ,0.12   ,0.24   ,0.22  ,-0.25
19901213   ,0.09  ,-0.06   ,0.18   ,0.04   ,0.49   ,0.52
19901214  ,-0.42  ,-0.44  ,-0.52  ,-0.44  ,-0.68  ,-0.57
19901217  ,-0.77  ,-0.74  ,-0.79  ,-1.41  ,-1.70  ,-1.45
19901218  ,-0.18  ,-0.06  ,-0.20   ,0.12   ,0.18  ,-0.07
19901219   ,0.01   ,0.07  ,-0.15  ,-0.02   ,0.28   ,0.21
19901220  ,-2.17  ,-2.18  ,-2.40  ,-2.91  ,-3.32  ,-3.12
19901221  ,-1.41  ,-0.98  ,-1.04  ,-0.82  ,-0.89  ,-1.16
19901224  ,-1.02  ,-0.99  ,-1.18  ,-1.03  ,-1.13  ,-1.10
19901225   ,0.14   ,0.11   ,0.13   ,0.11   ,0.15   ,0.08
