This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
199007   ,4.62   ,5.50   ,5.81   ,5.12   ,5.59   ,4.50
199008  ,-9.93  ,-9.72 ,-10.17 ,-10.16 ,-10.05 ,-10.92
199009  ,-9.84  ,-9.49 ,-10.53 ,-12.77 ,-11.73 ,-11.41
199010   ,3.51   ,5.12   ,5.73   ,7.60   ,7.49   ,7.11
199011  ,-2.35  ,-2.54  ,-2.11   ,0.51  ,-0.10   ,0.77
199012  ,-0.36  ,-0.63   ,0.08  ,-1.98  ,-1.00  ,-0.35
199101  ,-2.17  ,-1.60  ,-1.05   ,2.29   ,1.81   ,2.53
199102   ,7.59   ,9.79   ,8.83   ,7.81   ,8.06   ,7.40
199103  ,-5.65  ,-4.97  ,-3.11  ,-6.74  ,-7.30  ,-4.85
199104  ,-1.42  ,-0.90   ,0.16  ,-0.79  ,-0.15  ,-0.33
199105  ,-2.43  ,-1.91  ,-1.21   ,0.45   ,1.76   ,1.59
199106  ,-6.19  ,-6.35  ,-5.95  ,-7.93  ,-6.93  ,-6.82
199107   ,1.64   ,2.86   ,3.91   ,3.96   ,6.68   ,7.11
199108  ,-1.53   ,1.72   ,2.77   ,1.31   ,1.87   ,2.55
199109   ,3.08   ,4.69   ,6.97   ,2.13   ,3.73   ,3.64
199110  ,-3.84  ,-2.40  ,-2.22  ,-3.09  ,-2.60  ,-0.83
199111  ,-1.99  ,-1.24  ,-1.35  ,-2.69  ,-1.83  ,-1.84
199112   ,3.64   ,3.04   ,2.93   ,5.14   ,7.18   ,8.21
199201  ,-1.60  ,-0.66   ,0.08  ,-0.12   ,0.94  ,-1.20
199202  ,-1.82  ,-0.02   ,0.40  ,-1.07   ,1.00  ,-0.80
199203  ,-3.34  ,-2.40  ,-3.24  ,-4.27  ,-3.18  ,-3.24
199204   ,2.12   ,3.98   ,5.81   ,4.25   ,6.41   ,5.77
199205   ,4.28   ,5.78   ,6.20   ,5.44   ,5.14   ,5.53
199206  ,-0.41  ,-0.44  ,-0.75  ,-1.44  ,-0.78  ,-1.28
199207  ,-6.17  ,-4.64  ,-3.90  ,-5.27  ,-4.23  ,-1.89
199208  ,-2.51  ,-1.29  ,-1.61  ,-1.43  ,-0.39   ,0.19
199209  ,-7.88  ,-5.28  ,-5.20  ,-2.58  ,-2.38  ,-2.37
199210  ,-8.24  ,-9.69 ,-10.46  ,-4.45  ,-7.61  ,-8.20
199211  ,-2.16  ,-3.91  ,-2.53  ,-1.20  ,-0.07   ,0.31
199212  ,-0.49   ,0.97   ,2.96   ,0.90   ,1.60   ,1.55
199301   ,3.25   ,4.05   ,4.87   ,2.75   ,0.68  ,-1.33
199302   ,0.55   ,0.59   ,0.82   ,1.74   ,2.40  ,-0.02
199303   ,7.08   ,6.38   ,7.40   ,5.60   ,6.04   ,5.09
199304   ,6.06   ,5.17   ,5.50   ,3.46   ,1.73   ,0.80
199305   ,2.15   ,0.97   ,1.27   ,1.20   ,0.79   ,1.21
199306  ,-4.28  ,-4.31  ,-4.26  ,-1.70  ,-2.93  ,-3.58
199307   ,1.00   ,0.46   ,1.03   ,2.27   ,1.62   ,0.42
199308   ,9.97   ,9.74   ,9.72   ,8.50   ,8.29   ,9.83
199309   ,0.09   ,0.49   ,0.90  ,-0.76  ,-0.72  ,-0.14
199310   ,0.81   ,1.41   ,1.02   ,2.32   ,2.77   ,3.38
199311  ,-1.99  ,-1.14  ,-1.16  ,-2.90  ,-1.63  ,-2.23
