This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP/BE portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  OP/BE is operating profitability at the last fiscal year end of the prior calendar
year divided by BE as of 6 months before formation.  Firms with negative
OP are included in any portfolio.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



    Average Value Weighted Returns -- Daily
                 Small                 Big
            Low     2    High    Low     2    High
19900702   0.79   1.01   1.20   0.79   1.03   1.21
19900703   0.28   0.24   0.32   0.31   0.42   0.36
19900704   0.25   0.19   0.35   0.39   0.32   0.07
19900705  -0.39  -0.52  -0.38  -0.19  -0.78  -0.83
19900706  -0.10  -0.12  -0.08   0.18   0.05   0.20
19900709   0.37   0.52   0.63   0.60   0.54   0.45
19900710   0.38   0.22   0.21  -0.12  -0.02   0.16
19900711  -0.57  -0.76  -0.62  -0.33  -0.40  -0.06
19900712   0.29   0.55   0.57   0.54   0.69   0.70
19900713  -0.05   0.18  -0.03   0.13   0.76   0.55
19900716   0.08   0.16   0.14   0.34   0.38   0.41
19900717   0.59   0.97   0.61   0.89   0.46   0.48
19900718   0.03   0.27  -0.01   0.37   0.25  -0.14
19900719   0.15   0.27   0.14  -0.14  -0.09  -0.16
19900720   0.37   0.24   0.29   0.31   0.42   0.33
19900723   0.55   0.51   0.45   0.06  -0.10  -0.30
19900724  -0.36  -0.22  -0.30  -0.40  -0.33  -0.45
19900725   0.09   0.02   0.04   0.14   0.23   0.16
19900726   0.01   0.02   0.03  -0.20  -0.44  -0.22
19900727   0.61   0.63   0.61   0.39   0.10   0.17
19900730   0.05   0.11   0.24  -0.25   0.07  -0.04
19900731   1.08   1.22   1.09   1.35   1.52   1.43
19900801  -0.38  -0.33  -0.47  -0.40  -0.27  -0.46
19900802  -1.03  -1.14  -0.93  -1.73  -1.06  -1.68
19900803  -0.54  -0.73  -0.53  -0.97  -1.39  -1.37
19900806  -1.32  -1.86  -1.69  -2.85  -2.83  -3.40
19900807  -0.71  -0.39  -0.51   0.56   0.57   0.88
19900808  -1.03  -1.07  -1.08  -1.49  -1.76  -1.74
19900809  -0.58  -0.28  -0.15   0.29   0.29   0.56
19900810   0.16  -0.04  -0.04  -0.14   0.04  -0.06
19900813  -0.19  -0.45  -0.44  -0.46  -0.88  -1.21
19900814   0.25   0.25   0.16   0.54   0.74   0.59
19900815   0.37   0.51   0.50   0.98   0.77   1.07
19900816   0.00   0.12  -0.03  -0.21   0.04  -0.45
19900817  -0.52  -0.56  -0.98  -1.70  -1.55  -1.80
19900820  -1.92  -1.79  -1.71  -1.97  -2.16  -2.45
19900821  -1.31  -1.84  -2.04  -2.01  -2.50  -3.39
19900822  -0.78  -0.29  -0.52   0.27   0.39   0.50
19900823  -0.94  -1.21  -0.75  -1.21  -1.44  -1.53
19900824  -0.79  -0.44  -0.84   0.47   0.40   0.75
19900827   1.32   1.64   1.72   2.62   2.87   3.40
19900828   1.07   1.45   0.84   0.59   0.59   0.67
19900829  -0.34  -0.27   0.04  -0.40   0.21   0.49
19900830  -0.44  -0.34  -0.22  -0.11  -0.07   0.15
