This file was created using the 202006 Bloomberg database.

Missing data are indicated by -99.99.



,WML
199011    ,2.45
199012    ,0.52
199101   ,-1.25
199102   ,-7.50
199103    ,0.23
199104    ,1.56
199105   ,-0.64
199106    ,0.54
199107    ,5.06
199108    ,3.77
199109    ,4.23
199110    ,3.07
199111    ,0.42
199112    ,1.93
199201    ,0.75
199202    ,1.52
199203    ,0.57
199204    ,1.88
199205    ,1.07
199206    ,3.42
199207    ,2.63
199208    ,3.93
199209    ,4.13
199210   ,-3.21
199211   ,-0.31
199212    ,1.17
199301   ,-1.36
199302   ,-1.36
199303    ,2.89
199304   ,-1.98
199305    ,1.02
199306    ,1.83
199307    ,0.42
199308   ,-1.31
199309    ,1.91
199310    ,1.76
199311   ,-0.83
199312    ,1.09
199401    ,2.25
199402   ,-0.93
199403   ,-2.50
199404   ,-0.02
199405   ,-0.08
199406   ,-1.02
199407    ,0.30
199408   ,-0.55
199409    ,1.15
199410    ,0.28
199411   ,-1.18
199412    ,0.88
199501    ,2.20
199502    ,1.61
199503   ,-0.23
199504    ,0.00
199505   ,-0.61
199506    ,3.40
199507    ,0.97
199508    ,1.89
199509    ,5.82
199510    ,4.58
199511    ,2.15
199512   ,-0.34
199601   ,-0.73
199602    ,1.76
199603    ,2.60
199604    ,1.17
199605    ,2.09
199606    ,1.29
199607   ,-2.00
199608    ,2.63
199609    ,2.42
199610    ,3.47
199611    ,1.37
199612    ,1.64
199701    ,0.78
199702    ,0.56
199703   ,-0.95
199704    ,2.06
199705    ,2.22
199706    ,0.92
199707    ,2.54
199708   ,-2.23
199709    ,3.92
199710   ,-1.44
199711   ,-0.53
199712    ,2.92
199801    ,3.95
199802    ,1.39
199803    ,2.17
199804   ,-1.27
199805    ,0.98
199806    ,2.36
199807    ,6.33
199808   ,-1.87
199809   ,-5.14
199810    ,0.24
199811    ,2.94
199812    ,4.84
199901    ,5.95
199902   ,-1.92
199903   ,-7.90
199904   ,-7.45
199905    ,3.37
199906    ,1.12
199907    ,3.58
199908    ,4.75
199909    ,1.48
199910    ,5.73
199911   ,12.70
199912    ,6.11
200001    ,6.27
200002    ,8.60
200003  ,-11.29
200004   ,-9.13
200005   ,-6.84
200006   ,-0.59
200007   ,-1.06
200008    ,3.29
200009   ,-4.09
200010   ,-4.79
200011   ,-5.04
200012    ,0.90
200101   ,-6.64
200102    ,7.67
200103    ,4.03
200104   ,-4.19
200105    ,6.69
200106    ,9.48
200107    ,1.60
200108    ,8.19
200109    ,9.95
200110   ,-6.73
200111   ,-9.76
200112    ,2.77
200201    ,5.89
200202    ,5.91
200203   ,-2.46
200204    ,6.08
200205    ,4.80
200206    ,8.12
200207    ,4.92
200208    ,2.17
200209   ,13.65
200210   ,-6.11
200211   ,-8.85
200212   ,11.02
200301    ,2.04
200302    ,6.19
200303    ,2.21
200304  ,-14.47
200305   ,-2.39
200306   ,-4.65
200307   ,-4.62
200308   ,-2.37
200309    ,0.96
200310    ,5.56
200311   ,-0.09
200312   ,-0.62
200401    ,3.81
200402    ,0.54
200403   ,-2.38
200404   ,-1.77
200405   ,-0.27
200406    ,2.16
200407    ,0.34
200408    ,1.32
200409    ,2.40
200410    ,0.01
200411    ,0.91
200412    ,0.86
200501    ,0.87
200502    ,1.43
200503    ,0.32
200504    ,0.83
200505    ,1.62
200506    ,3.34
200507    ,1.12
200508    ,2.70
200509    ,2.94
200510   ,-1.75
200511    ,1.36
200512    ,1.51
200601    ,4.26
200602    ,0.73
200603    ,2.28
200604    ,2.95
200605   ,-2.86
200606   ,-1.22
200607    ,0.10
200608   ,-0.16
200609    ,1.20
200610    ,0.63
200611    ,1.70
200612    ,2.82
200701    ,0.93
200702    ,1.23
200703    ,1.97
200704    ,0.54
200705    ,1.21
200706   ,-0.54
200707    ,1.66
200708   ,-0.12
200709    ,3.43
200710    ,3.98
200711    ,1.88
200712    ,2.10
200801    ,0.43
