This file was created by CMPT_ME_PRIOR_RETS_DAILY using the 202006 CRSP database.  It
contains a momentum factor, constructed from six value-weight portfolios formed
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
LT_REV is the average of the returns on two (big and small) low prior return portfolios
minus the average of the returns on two high prior return portfolios.  The portfolios
are constructed daily.  Big means a firm is above the median market cap on the NYSE
at the end of the previous day; small firms are below the median NYSE market cap.
Prior return is measured from day -1250 to -251.  Firms in the low prior return
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above
the 70th NYSE percentile.

Missing data are indicated by -99.99 or -999.

,LT_Rev
19300320,  -0.33
19300321,  -0.47
19300322,  -0.33
19300324,   0.77
19300325,  -0.07
19300326,  -0.02
19300327,  -0.67
19300328,  -0.64
19300329,   0.22
19300331,   0.95
19300401,   0.69
19300402,  -0.10
19300403,   0.31
19300404,  -0.84
19300405,  -0.05
19300407,   0.03
19300408,   0.46
19300409,   0.09
19300410,  -0.06
19300411,  -0.12
19300412,  -0.69
19300414,  -0.22
19300415,  -0.26
19300416,   0.12
19300417,  -0.01
19300421,   0.78
19300422,   0.46
19300423,   0.71
19300424,   0.82
19300425,   0.04
19300426,   0.23
19300428,   0.34
19300429,   0.47
19300430,  -0.16
19300501,   0.65
19300502,  -0.11
19300503,   0.01
19300505,   0.12
19300506,  -0.73
19300507,   1.26
19300508,  -1.50
19300509,  -1.04
19300510,  -0.47
19300512,   0.41
19300513,   0.05
19300514,  -0.68
19300515,   0.81
19300516,   0.22
19300517,  -0.48
19300519,   0.69
19300520,  -0.10
19300521,  -0.28
19300522,   0.17
19300523,  -0.43
19300524,   0.20
19300526,  -0.51
19300527,  -0.29
19300528,  -0.38
19300529,   0.02
19300602,  -0.63
19300603,   0.85
19300604,   0.70
19300605,   0.21
19300606,   0.16
19300607,   0.41
19300609,  -0.85
19300610,   0.02
19300611,   0.53
19300612,  -0.43
19300613,  -0.26
19300614,   1.45
19300616,   1.44
19300617,  -1.19
19300618,   0.93
19300619,  -1.97
19300620,   0.69
19300621,   1.20
19300623,  -1.41
19300624,   0.65
19300625,  -0.38
19300626,  -0.67
19300627,   0.17
19300628,   0.52
19300630,  -0.47
19300701,   0.59
19300702,  -0.52
19300703,   0.57
19300707,   0.83
19300708,  -0.26
19300709,  -0.23
19300710,  -0.26
19300711,  -0.48
19300712,  -0.86
19300714,  -0.81
19300715,   0.21
19300716,   0.14
19300717,  -0.46
19300718,  -1.31
19300719,   0.41
19300721,   1.79
19300722,  -1.09
19300723,  -0.36
19300724,   0.03
19300725,  -0.24
19300726,  -0.67
19300728,  -1.14
19300729,  -0.08
19300730,   2.61
19300731,  -1.23
19300801,   1.41
19300802,  -1.03
19300804,  -0.67
19300805,  -0.35
19300806,   0.89
19300807,  -0.14
19300808,   1.38
19300809,   0.42
19300811,  -0.61
19300812,   1.18
19300813,  -0.65
19300814,   0.31
19300815,  -0.73
19300816,   0.65
19300818,  -0.65
19300819,  -1.11
19300820,  -0.60
19300821,  -0.31
19300822,   0.19
19300823,  -0.12
19300825,  -0.43
19300826,  -0.54
19300827,  -0.09
19300828,  -0.65
19300829,  -0.85
19300902,   1.38
19300903,   0.12
19300904,   0.14
19300905,   0.69
19300906,  -1.47
19300908,   0.60
19300909,  -0.73
19300910,  -0.50
19300911,   0.70
19300912,   0.22
19300913,   0.04
19300915,  -0.27
19300916,  -0.94
19300917,   0.75
19300918,  -0.57
19300919,   0.50
19300920,   0.27
19300922,  -1.08
19300923,  -0.14
19300924,  -1.29
19300925,   0.44
19300926,  -1.65
19300927,  -0.63
19300929,  -0.15
19300930,  -1.26
19301001,  -1.16
19301002,  -0.12
19301003,   0.17
19301004,   0.45
19301006,   0.16
19301007,  -1.98
19301008,   0.35
19301009,  -0.46
19301010,  -2.72
19301011,   1.98
19301014,  -0.85
19301015,   0.53
19301016,   0.88
19301017,  -0.39
19301018,  -1.52
19301020,   0.15
19301021,   1.08
19301022,  -0.82
19301023,   1.57
19301024,  -0.16
19301025,   1.12
19301027,  -0.47
19301028,  -0.20
19301029,  -0.69
19301030,   1.48
19301031,  -0.86
19301101,  -0.49
19301103,  -0.94
19301105,   0.63
19301106,  -0.79
19301107,   0.03
19301108,   0.02
19301110,  -1.26
19301111,  -1.84
19301112,  -1.06
19301113,  -0.75
19301114,  -1.45
19301115,   2.08
19301117,   0.78
19301118,   1.89
19301119,  -0.55
19301120,   2.54
19301121,   0.77
19301122,   0.59
19301124,  -0.30
19301125,  -0.46
19301126,  -1.31
19301128,  -0.51
19301129,  -0.62
19301201,  -0.47
19301202,   0.64
19301203,  -0.16
19301204,  -0.92
19301205,  -0.83
19301206,   0.23
19301208,  -0.02
19301209,  -0.49
19301210,  -0.82
19301211,  -0.81
19301212,  -0.91
19301213,  -1.86
19301215,  -0.56
19301216,  -2.35
19301217,  -1.58
19301218,   1.38
19301219,  -1.47
19301220,   3.53
19301222,  -1.33
19301223,  -1.49
19301224,  -0.13
19301226,  -0.04
19301227,  -0.01
19301229,  -0.83
19301230,  -0.75
19301231,   1.80
19310102,   0.64
19310103,   1.78
19310105,   1.30
19310106,   0.20
19310107,  -0.86
19310108,   1.01
19310109,  -0.06
19310110,   0.50
19310112,  -0.20
19310113,  -1.02
19310114,  -0.33
19310115,   1.33
19310116,  -0.44
19310117,  -0.26
19310119,   0.10
19310120,  -0.09
19310121,  -0.20
19310122,  -0.32
19310123,  -0.88
19310124,  -0.28
19310126,  -0.52
19310127,   1.04
19310128,  -1.46
19310129,   0.19
19310130,  -0.59
19310131,  -0.09
19310202,   0.28
19310203,  -0.14
19310204,   1.42
19310205,  -0.66
19310206,  -0.46
19310207,   0.14
19310209,   0.75
19310210,  -1.35
19310211,  -1.62
19310213,   0.57
19310214,   0.69
19310216,  -0.03
19310217,  -0.02
19310218,  -0.70
19310219,  -0.47
19310220,   0.59
19310221,  -0.09
19310224,  -0.47
19310225,   0.02
19310226,   0.40
19310227,   0.28
19310228,   0.45
19310302,   0.67
19310303,  -0.52
19310304,   0.50
19310305,  -1.73
19310306,  -0.59
19310307,  -0.71
19310309,   1.51
19310310,   0.71
19310311,  -0.39
19310312,   0.41
19310313,  -0.80
19310314,  -0.19
19310316,  -0.28
19310317,   0.63
19310318,   0.94
19310319,   0.99
19310320,  -0.27
19310321,   0.47
19310323,  -0.33
19310324,   0.71
19310325,  -0.40
19310326,  -0.02
19310327,   0.29
19310328,  -0.18
19310330,  -0.69
19310331,  -0.29
19310401,  -0.37
19310402,   0.69
19310404,  -0.25
19310406,   0.66
19310407,   1.37
19310408,  -0.09
19310409,   1.10
19310410,  -0.13
19310411,  -0.70
19310413,  -1.08
19310414,   0.17
19310415,  -0.30
19310416,   0.00
19310417,  -0.08
19310418,   0.86
19310420,   0.43
19310421,  -1.52
19310422,   0.25
19310423,  -0.96
19310424,  -0.66
19310425,   0.09
19310427,  -3.11
19310428,   0.16
19310429,   0.11
19310430,   0.70
19310501,   1.74
19310502,  -0.32
19310504,   0.95
19310505,   1.76
19310506,  -0.68
19310507,  -0.19
19310508,  -0.10
19310509,  -0.31
19310511,   0.31
19310512,   0.95
19310513,  -0.69
19310514,  -0.15
19310515,  -1.02
19310516,  -1.40
19310518,  -0.89
19310519,  -1.50
19310520,   1.61
19310521,  -0.86
19310522,   0.68
19310523,   1.51
19310525,  -0.48
19310526,  -0.94
19310527,  -0.18
19310528,  -0.16
19310529,  -1.32
19310601,  -2.43
19310602,  -1.18
19310603,   2.47
19310604,  -0.36
19310605,   0.75
19310606,  -0.38
19310608,  -0.03
19310609,   0.90
19310610,  -0.34
19310611,   0.04
19310612,   1.27
19310613,   0.25
19310615,  -0.11
19310616,   0.84
19310617,  -1.51
19310618,  -0.62
19310619,   1.06
19310620,  -0.23
19310622,   1.49
19310623,  -1.00
19310624,   3.83
19310625,  -1.64
19310626,   2.55
19310627,   0.88
19310629,  -1.73
19310630,  -0.70
19310701,   0.27
19310702,  -0.24
19310703,   1.02
19310706,  -1.11
19310707,  -1.34
19310708,   0.11
19310709,   0.90
19310710,   1.78
19310711,  -0.46
19310713,  -0.34
19310714,  -1.30
19310715,  -1.62
19310716,   0.29
19310717,   0.74
19310718,   0.04
19310720,   1.65
19310721,   0.77
19310722,  -0.21
19310723,   0.49
19310724,   0.00
19310725,   0.73
19310727,  -1.55
19310728,   1.48
19310729,   0.21
19310730,   2.47
19310731,  -0.07
19310801,  -0.26
19310803,  -0.27
19310804,  -1.40
19310805,  -0.32
19310806,  -0.83
19310807,  -1.06
19310808,  -0.05
19310810,  -1.00
19310811,   0.40
19310812,   0.73
19310813,  -0.02
19310814,   1.75
19310815,  -0.84
19310817,  -0.97
19310818,   0.35
19310819,  -0.07
19310820,  -0.39
19310821,  -0.63
19310822,  -0.59
19310824,   1.31
19310825,  -0.17
19310826,  -1.11
19310827,  -0.60
19310828,  -0.80
19310829,  -0.52
19310831,   0.54
19310901,  -0.75
19310902,   0.09
19310903,  -1.83
19310904,   0.86
19310908,  -3.14
19310909,  -1.20
19310910,   0.32
19310911,   0.94
19310912,  -0.33
19310914,  -2.03
19310915,  -1.63
19310916,  -1.86
19310917,   0.70
19310918,  -0.62
19310919,  -2.04
19310921,   0.04
19310922,  -0.09
19310923,   4.65
19310924,  -0.50
19310925,   0.04
19310926,   0.99
19310928,  -0.74
19310929,  -0.33
19310930,  -1.64
19311001,  -2.77
19311002,   0.12
19311003,   2.25
19311005,  -2.38
19311006,  -0.64
19311007,   2.41
19311008,   2.25
19311009,  -0.56
19311010,   2.76
19311013,  -1.26
19311014,  -0.18
19311015,   0.83
19311016,   0.06
19311017,  -0.93
19311019,  -1.04
19311020,   1.96
19311021,  -1.47
19311022,  -1.19
19311023,   0.57
19311024,  -0.28
19311026,   0.08
19311027,  -0.40
19311028,   1.02
19311029,  -0.34
19311030,   1.57
19311031,   0.83
19311102,   1.17
19311104,   1.55
19311105,  -0.28
19311106,  -0.44
19311107,   0.08
19311109,  -0.47
19311110,  -1.56
19311111,   1.29
19311112,  -0.52
19311113,  -0.55
19311114,  -1.07
19311116,   0.80
19311117,   0.71
19311118,  -0.34
19311119,  -1.71
19311120,  -0.07
19311121,  -0.46
19311123,  -0.29
19311124,  -1.02
19311125,   0.67
19311127,   0.45
19311128,  -0.37
19311130,   1.74
19311201,  -1.11
19311202,  -2.05
19311203,  -0.96
19311204,   0.42
19311205,  -0.36
19311207,   1.18
19311208,  -0.94
19311209,  -0.80
19311210,  -1.62
19311211,  -0.48
19311212,  -0.20
19311214,   0.98
19311215,  -2.23
19311216,   2.96
19311217,  -1.80
19311218,   0.93
19311219,   2.18
19311221,   1.05
19311222,  -1.48
19311223,   0.24
19311224,  -1.06
19311228,  -1.33
19311229,   0.39
19311230,  -0.18
19311231,   2.72
19320102,   2.68
19320104,  -0.70
19320105,  -0.43
19320106,   1.26
19320107,   1.95
19320108,  -0.65
19320109,   1.78
19320111,   0.65
19320112,   0.91
19320113,  -0.73
19320114,   0.81
19320115,  -0.93
19320116,   0.77
19320118,  -0.32
19320119,   0.30
19320120,  -0.57
19320121,   0.14
19320122,   0.51
19320123,  -1.97
19320125,   0.91
19320126,   0.15
19320127,  -0.74
19320128,   0.42
19320129,   1.05
19320130,  -0.39
19320201,   0.50
19320202,  -0.49
19320203,  -0.04
19320204,  -0.84
19320205,  -0.11
19320206,  -0.21
19320208,   0.26
19320209,   0.03
19320210,   0.56
19320211,  -0.53
19320213,   0.42
19320215,  -0.21
19320216,   0.59
19320217,   0.46
19320218,  -0.45
19320219,  -0.49
19320220,  -0.88
19320223,   0.20
19320224,  -0.25
19320225,   0.43
19320226,   0.24
19320227,   1.21
19320229,  -0.54
19320301,  -1.30
19320302,   0.26
19320303,   1.26
19320304,  -1.41
19320305,   0.23
19320307,   1.66
19320308,   1.48
19320309,  -0.57
19320310,  -1.47
19320311,  -1.51
19320312,   0.13
19320314,  -0.53
19320315,  -0.44
19320316,  -0.95
19320317,  -0.83
19320318,   1.77
19320319,  -0.18
19320321,  -2.09
19320322,  -0.11
19320323,  -0.24
19320324,   1.84
19320326,   1.00
19320328,  -0.94
19320329,  -2.69
19320330,   2.11
19320331,   1.91
19320401,  -2.37
19320402,  -0.23
19320404,   0.23
19320405,  -3.17
19320406,   0.59
19320407,  -0.07
19320408,  -0.63
19320409,   0.22
19320411,   2.61
19320412,  -1.41
19320413,  -0.40
19320414,  -1.41
19320415,   2.81
19320416,   1.98
19320418,  -0.71
