This file was created by CMPT_IND_RETS using the 201507 CRSP database.
It contains value- and equal-weighted returns for 10 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
        NoDur  Durbl  Manuf  Enrgy  HiTec  Telcm  Shops  Hlth   Utils  Other
192607   1.45  15.55   4.69  -1.18   2.90   0.83   0.11   1.77   7.04   2.16
192608   3.97   3.68   2.81   3.47   2.66   2.17  -0.71   4.25  -1.69   4.38
192609   1.14   4.80   1.15  -3.39  -0.38   2.41   0.21   0.69   2.04   0.29
192610  -1.24  -8.23  -3.63  -0.78  -4.58  -0.11  -2.29  -0.57  -2.63  -2.85
192611   5.21  -0.19   4.10   0.01   4.71   1.63   6.43   5.42   3.71   2.11
192612   0.82   9.89   3.74   2.82  -0.02   1.99   0.62   0.11  -0.17   3.40
192701  -0.67  -0.92  -0.08   1.29  -1.13   1.88  -2.55   5.05  -1.79   1.51
192702   3.37   8.91   5.81   1.47   4.45   3.97   3.61   1.71   4.53   5.06
192703   2.73   1.62   1.43  -6.01   1.45   5.56  -0.41   1.01   0.37   1.27
192704   3.35   3.15   0.77  -5.17   5.40  -2.13   4.46   2.74   1.71   0.86
192705   8.14   5.93   5.07   4.82   7.37   3.35   2.34   4.12   9.21   6.43
192706  -1.79  -3.00  -2.77  -3.16   3.28  -2.14  -0.62   0.54  -3.57  -2.11
192707   4.81  13.09  12.07   2.85  12.16   3.73   9.84   9.84   5.31   6.09
192708   2.76   6.98   2.89  -0.04   5.71   0.43   7.34   0.28   3.43  -1.06
192709   5.24   5.67   4.76   3.32   1.21   6.53   7.50   5.65   8.29   4.60
192710  -0.80  -4.38  -6.69  -2.04  -7.23  -2.09  -4.93   5.13  -4.34  -3.79
192711   6.83   6.39  10.84   4.16  10.80   2.83  11.67   3.68   6.32   4.50
192712   2.47   7.77   3.08   0.89   1.22   1.33  -0.68  -0.46   2.24   1.98
192801   0.52  -3.34  -0.58  -1.86  -0.39   0.30  -0.88   2.69   5.87  -0.99
192802  -4.18   1.26  -1.88  -0.22  -0.46  -0.30  -1.12  -1.38  -0.68  -2.00
192803   4.41  27.49   8.19   5.32  19.42   1.96   8.49  10.54   6.62   6.09
192804  -0.46   1.46   1.50  15.12   2.23   3.22   0.00   2.35  10.94   4.22
192805   0.90   5.65   3.53  -5.29   2.30   6.61   3.79   9.27   1.51   0.01
192806  -4.41  -4.08  -4.93  -4.07  -5.03  -5.22  -3.40  -3.15  -3.43  -4.27
192807   1.68   0.94   1.99   1.05   0.65  -1.28   5.44   2.39  -1.24  -0.36
192808   6.11   9.04   8.67   2.41   9.75   4.55  13.53  14.57   6.46   4.75
192809   1.14   7.88   4.17   5.34   0.66   0.15   0.17  -1.14   3.76   1.98
192810   0.90   0.08   4.33   2.04   1.85   2.97   5.90   0.05  -1.89  -0.42
192811   6.62   4.51  13.08  17.23  19.56   6.68  15.29   5.05  21.93  10.02
192812  -0.52  -1.22   3.08  -4.36   7.13  -0.38  -1.32  -0.41   1.57   0.45
192901   3.38   1.30  11.02  -7.59  10.46  13.38  -3.88   3.43  13.17   5.59
192902  -2.62  -0.03   3.40  -0.10  -0.71  -1.15  -2.41   0.05  -1.99   0.02
