This file was created by CMPT_PRIOR_RETS using the 201507 CRSP database.
It contains value- and equal-weighted returns for  10 prior-return portfolios.
The portfolios are constructed monthly. PRIOR_RET is from -60 to -13.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
193101,  19.67,  15.20,   5.60,  10.31,   9.70,   9.11,   7.22,   8.09,   5.47,   3.62
193102,  17.88,  15.80,  12.56,   9.70,  10.26,   6.07,   5.46,   6.94,  11.41,  15.89
193103,   2.85,  -3.67,  -3.44, -10.45,  -9.97,  -9.43, -11.67,  -5.48,  -4.76,  -4.60
193104,  -9.93, -17.59, -13.05, -12.50, -11.73, -10.26, -10.43,  -6.06, -12.31,  -9.14
193105, -23.71, -15.79, -18.52, -11.94, -14.79, -14.72, -10.97, -11.28, -16.55, -12.96
193106,  20.58,  22.80,  22.21,  15.17,  21.28,  17.51,  12.30,  13.40,  15.66,  13.92
193107,  -0.89,  -5.63,  -4.44,  -3.78,  -5.99,  -9.28,  -7.91,  -7.19,  -8.28,  -5.80
193108,  -8.75,   0.54,  -4.95,  -2.06,  -0.93,   2.76,  -0.33,  -0.31,   1.39,  -1.88
193109, -40.77, -36.23, -36.85, -33.96, -30.87, -28.64, -27.45, -24.47, -28.12, -32.81
193110,   8.29,  21.95,  18.63,  18.01,   7.02,   6.36,   3.84,   9.48,   6.74,   9.82
193111,   9.05, -12.66, -10.19,  -7.77, -12.13, -12.02, -11.77, -10.43,  -8.94,  -5.98
193112, -25.84, -16.50, -22.67, -16.57, -19.20, -20.92, -14.74, -14.32, -11.94,  -9.65
193201,  10.91,   5.62,   5.44,  -1.11,   4.25,   3.24,   1.58,   2.84,  -3.80,  -5.08
193202,   1.28,   3.31,   5.54,  -1.53,   7.79,   4.76,  -3.07,   5.25,   7.81,   7.42
193203, -11.62, -15.60,  -8.28,  -6.52,  -9.94, -15.13, -10.03,  -8.43, -13.60, -10.62
193204, -11.44, -22.29, -17.34,  -9.51, -13.74, -11.52, -19.75, -19.99, -20.06, -18.17
193205, -15.83, -12.32, -18.78, -25.98, -19.44, -25.49, -19.86, -19.57, -15.22, -26.76
193206,   7.71,  -3.10,   9.61,   2.05,   0.85,  11.01,   3.74,  -0.20,  -5.86,   2.59
193207,  43.47,  62.46,  58.44,  43.68,  52.52,  46.70,  38.64,  36.94,  39.94,  26.59
193208,  76.36,  76.30,  56.47,  49.32,  52.34,  43.39,  42.90,  38.38,  33.19,  30.42
