This file was created by CMPT_ME_BEME_NI_ACCR_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME, BEME, NI, and AC/B.

The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year. NI (net stock issues), the change in the natural 
log of the split-adjusted shares outstanding from the fiscal year-end in t−2 to t−1. 
Ac/B (accruals) is the change in operating working capital per split-adjusted share from t−2 to t−1
divided by book equity per split-adjusted share in t−1.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
                             Small                                                2                                                 3                                                 4                                               Big                        
                             AllBM                                             AllBM                                             AllBM                                             AllBM                                             AllBM                       
                             AllNI                                             AllNI                                             AllNI                                             AllNI                                             AllNI                       
         LoAcB        2         3         4      HiAcB     LoAcB        2         3         4      HiAcB     LoAcB        2         3         4      HiAcB     LoAcB        2         3         4      HiAcB     LoAcB        2         3         4      HiAcB   
196307    0.0789    0.5055    1.1935    0.1040   -0.4881   -1.7162    1.8097   -1.5418    0.9921    0.0227   -3.1951   -3.4434   -1.9100    0.2139   -2.7080   -1.2645   -0.6369   -1.8085   -1.8777   -2.3964    0.9820    0.0233    0.3740    0.5538   -2.1444
196308    3.5808    5.0578    4.5159    3.0848    2.6955    6.2964    4.1731    6.3193    4.7358    4.9482    7.1675    5.0150    4.1941    4.4380    6.7252    6.8788    4.7808    6.3498    5.9395    7.7808    7.1420    4.8226    4.6536    7.1553    6.2260
196309   -0.7173   -1.8084   -0.9373   -2.4076   -1.6284   -3.7814    1.2675   -1.4006   -2.0902   -2.1764   -1.5723   -2.8239   -2.7485   -2.6586   -0.8687   -3.5732   -0.7424   -0.1119   -4.4258   -2.7122   -0.1822    0.0956   -2.6037   -1.1841    0.9357
196310    0.8705   -0.3681    2.0029   -0.3279   -0.9660    1.6104    6.3845    1.5898    2.4481    0.4267    2.9589    1.0810    1.9255    1.4651    3.3897    4.2445    2.3961    2.2507    1.2233    0.7898   11.8580    2.7293    2.6944    4.1178    0.3158
196311   -1.6245   -2.7814   -3.3721   -2.6316   -2.4226   -0.3094    2.1380   -0.6061    0.3418   -0.8955   -0.5093   -1.7364   -2.2028   -2.3901   -1.0430   -0.4017   -1.0361   -1.6062    1.9866    1.1376   -4.3368    1.3907   -0.8778   -0.7843   -0.7623
196312   -1.9435   -1.2929    3.1152    0.1069   -2.3147    0.6152    2.7510    0.7193    0.8043   -0.5578    2.4837    1.6981    0.3342    0.9050    0.3309    0.3157    3.1866    3.3846    0.2778   -3.4158    1.2636    2.3014    4.3944    3.1581    0.1260
196401    4.8900    7.4316    2.9055    2.0805    4.6784    0.9995    6.0912    3.5633    3.8413   -1.7439    1.8361    2.7456    0.6319    3.6971    2.5959    2.1469    1.8260    2.0447    2.6388   -1.5280    1.3236    3.9139    3.5120    2.1185    0.8588
196402    0.7121    0.7469    1.9465    2.0123    3.4021    1.6409    2.0066    2.1452    4.6832    2.8553    2.0784    4.3046    2.5016    2.9042    0.5903    4.8932    3.8772    1.5333    3.6554    2.4660    1.4835    1.9610    0.9284    2.0115    2.8343
196403    4.8204    1.7471    2.9433    1.7525    1.1714    9.2666    4.6125    4.6227    4.7605    2.9514    6.2736    8.6882    4.7695    4.0591    0.4699    6.7389    3.3660    4.5554    3.1338    1.6672    1.6152    1.6454    2.2162    0.1844    1.7962
196404    0.8922   -1.5759    3.5761   -1.4871   -0.6811   -0.7680   -2.0193   -0.4937   -1.6865   -1.2494   -0.3512   -3.2136   -1.1316   -0.2077   -1.0892   -3.7291    4.9994    0.1152   -2.4146   -0.4654    2.2588    0.2010    1.2476   -1.4352    0.4327
