This file was created by CMPT_ME_BEME_VAR_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME, BEME, and VAR.

The portfolios are constructed at the end of each month. ME is for formation month end. 

BEME is book value for the latest fiscal year t ending
at least six months prior to formation month divided by ME at the end of December of year t.

The residual return variance is measured over 60 days up to formation monthend requiring at least 20 non-missing daily returns.  
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
                             Small                                                2                                                 3                                                 4                                               Big                        
                             AllBM                                             AllBM                                             AllBM                                             AllBM                                             AllBM                       
         LoVar        2         3         4      HiVar     LoVar        2         3         4      HiVar     LoVar        2         3         4      HiVar     LoVar        2         3         4      HiVar     LoVar        2         3         4      HiVar   
196307   -0.5918    0.6511   -0.2805    0.8031   -1.3066    0.1912   -0.5836   -2.7878   -0.9050   -2.0519   -1.1701   -1.1180   -0.7400   -2.7974   -2.5242   -0.6414   -1.6147   -1.1767   -1.4563   -2.0466    0.4368    0.2223    0.7591   -1.7019    0.5609
196308    2.7030    2.6490    4.2057    3.8567    2.0498    2.5654    4.9913    4.5584    7.0298    5.5894    3.4608    5.6698    5.2956    5.6811    6.5608    4.0926    4.9303    5.5747    5.5364    7.9796    4.1754    6.6354    6.4857    6.6211    7.0982
196309    0.4420    0.0832   -0.1463   -2.2252   -1.3599    0.0335   -1.3049   -2.1003   -2.5142   -2.6311    0.2335   -0.1728   -3.2247   -2.9880   -3.5326   -0.8287   -2.1456   -1.8695   -3.0336   -3.0947   -0.2611   -1.5944   -2.0250   -1.9170   -1.8725
196310    0.8932    2.1343    2.5597    0.1593   -0.7352    1.1022    2.1780    1.4936    3.4615    3.3485    0.5163   -0.2072    2.8401    2.1418    2.9466   -0.3948    0.8867    0.9055    1.5503    2.3951    4.5909    0.5994    2.1705    2.8873    2.9575
196311   -0.8239   -0.4372   -0.2705   -2.4417   -3.5124   -0.2729   -0.1466   -0.5825   -0.7720   -4.0859   -1.6385   -1.4450   -1.4570   -1.2745   -2.1493    0.1458   -0.5257   -1.4245    0.2822   -0.0632    1.5753   -2.6123   -0.7409   -1.4814   -0.0991
196312    0.4283    0.5656   -0.0559   -1.4731   -4.4746    0.2120    1.6962    1.0811    2.1968   -1.2613    1.9343    1.1984    1.2129    0.9267   -1.1272    3.4049    1.1533    1.0430    1.2906    1.3851    1.5416    4.6553    1.4760    1.5698    1.6251
196401    3.6166    3.1825    4.8141    2.5194    4.8159    3.5060    3.0762    3.6028    2.4923   -0.3658    2.4739    2.2026    2.5756    0.1964   -2.5172    0.9647    0.9780    1.2043    2.5389    1.2387    3.9625    3.2861    0.8995    2.4972    0.8259
196402    3.0349    0.9246    2.8874    2.0343    2.9705    3.0365    1.9693    2.7713    5.8458    1.6515    1.7332    3.1142    2.7602    3.9666    0.5726    0.6593    2.2278    2.9049    3.7871    4.4204    1.2013    1.6617    0.9791    2.3903    2.4298
196403    2.4109    3.0673    4.1995    3.1216    1.5451    2.3927    4.9919    5.2076    4.2122    0.7048    1.7455    4.3436    2.9563    3.6619    2.6650    3.5728    3.7146    1.7168    2.6760    3.6777    0.7261    1.3245    2.7403    1.7015    1.3239
196404    0.5353    1.1942   -0.6202   -1.8437   -1.1406    0.8071    0.4198    1.1649   -0.4226   -2.5028    1.3313   -0.6641    0.5102   -2.2162   -3.5460    0.7316    1.0217   -1.1275   -1.5860    0.0763    1.5197    1.4855   -0.8808    0.5689   -1.3962
196405    0.3929    0.1907    1.2326    0.0113   -0.6520    1.5656    1.6285    2.7524    1.3086    1.2103    0.9190    0.9571    1.9019    1.2107    3.0205    1.8494    1.0382    2.1945    0.4396    3.1001    1.8101    1.0979    1.7398    1.6209    2.3210
196406    1.7185    2.7068    2.3654    1.9485   -0.9831    1.8685    1.6075    2.2102    0.9371    0.1371    1.3382    2.9102    3.8013    0.8411    0.2971    1.8042    2.0270    2.0446    1.5830    1.1239    1.7912    1.1937    2.1130    1.4946    0.6055
196407    3.1020    3.6402    2.5877    3.1027    3.1340    2.7467    2.4441    4.0042    2.6893    1.1392    3.1763    2.8503    3.2201    1.7425    1.1302    2.1427    3.0941    2.0596    2.5915    0.1351    1.6695    2.6323    2.3521    3.6357   -0.2407
196408    1.5870   -0.3718   -2.0439   -0.9462   -0.6088    0.1986   -1.0281   -0.0219   -2.2654   -3.3050   -0.1131   -0.1953    0.1934   -1.1893   -3.4123    0.4885    0.8367    0.5808   -1.1740   -1.4648   -1.4129   -1.3629   -1.4948   -0.8990   -0.7223
196409    2.6378    4.7829    4.4992    3.4610    6.2344    2.9603    2.2693    3.2325    4.4240    3.6866    2.4358    2.0357    3.7668    2.1752    3.8864    2.6131    3.5743    2.5885    4.3445    6.0153    2.4320    3.2211    1.1604    3.0238    5.7961
196410    0.7458    3.0041    3.1111    2.0634    3.0400    2.2346    1.0718    1.9733    1.6250   -1.7543    2.5765    1.0602    3.2801    2.4507    1.0717    0.8290    1.3676    2.4081    2.7332    0.8192    0.5408    0.7295    1.5358    0.8109   -0.3755
196411    0.7785    0.6064    2.2383   -0.5817   -1.0206    1.6665   -0.2998    0.5513   -1.6300   -2.8894    2.5661    0.3057    0.2641    0.9303   -0.7787    1.1359    0.3179    0.2969   -0.0202   -1.9948    0.3250    1.5041   -0.4881   -0.2673    0.8026
196412   -1.3238   -0.6403   -0.7375   -1.3562   -2.8189   -1.0607    1.2069    0.0233   -1.5211   -1.5194   -0.0375   -0.2125    0.0311   -1.5623   -0.7315   -0.0700   -1.4682   -0.7870    0.5504    0.1475    1.1885    0.0469    0.0523   -0.3758    0.2751
196501    3.9411    6.7064    7.8168    7.9050    8.9305    4.6867    6.4141    6.2048    9.4463    6.1255    5.8248    4.6654    5.5746    5.5627    5.9138    4.9136    4.4248    5.8237    6.2076    4.8952    1.8417    5.7599    5.0424    4.5216    3.5551
196502    3.1458    3.2200    1.7050    3.4949    3.1875    1.6239    4.3468    2.6025    2.5207    6.2533    2.3609    3.8778    3.7923    5.1572    4.3241    1.6801    4.2157    2.1164    2.6599    2.6604   -0.9095   -0.4292    0.6936    1.5916    3.3669
196503    2.2141    2.0985    3.4468    1.5842    3.0690    1.3301    0.2496    0.5090    1.0417   -0.6766    1.4634    0.5227    0.5480    0.5844    0.6936    0.3683    0.3408   -0.1715   -0.4346   -0.5496   -1.7246   -0.4457   -0.5421   -2.2461   -1.4961
196504    3.9332    5.4878    3.8946    4.6970    3.1569    4.3863    3.4394    6.7534    4.7717    4.9163    2.3262    3.6902    4.6920    5.2873    4.2635    1.5270    3.6379    3.9085    4.2326    3.9094    3.8478    3.0831    1.5159    2.6680    4.6018
196505   -0.4421   -1.2219    0.6393   -1.6024   -1.6041   -0.5501   -0.4447   -2.1010   -0.9351   -1.5420    0.1575   -0.3615    0.1195   -1.6490   -0.9679   -1.1902   -0.7332    0.3527   -0.9259   -0.2323   -0.1873   -0.7440   -0.2649    0.2399   -1.0656
196506   -4.6028   -7.6268   -7.8794   -9.9952  -12.3807   -4.9859   -8.1570   -9.2693  -10.1706  -11.1171   -6.0113   -6.6724   -8.6551   -8.0324  -11.1295   -5.7268   -5.9146   -6.3463   -8.5792  -10.4749   -3.9680   -3.5195   -4.9247   -4.3724   -6.2146
196507    2.2785    3.4104    2.1184    4.0336    2.8638    2.3951    3.3705    3.4044    4.1489    3.5883    1.8599    3.3972    2.0960    2.8548    6.6139    2.0939    3.3621    2.7481    4.1668    3.9851    1.4797    1.5402    0.6104    1.2567    1.8973
196508    2.4009    3.8270    5.7300    6.3089    3.0498    4.3762    3.3041    4.3591    4.4338    6.8591    3.1503    4.4040    5.5370    6.1243   10.1044    3.5875    3.9135    3.8149    4.2428    6.5406    1.6403    2.0204    3.8937    3.6219    6.2588
196509    2.0751    3.4358    1.0807    6.0169    1.1087    2.3123    3.0970    2.2803    2.8572    4.1028    1.7737    2.6343    4.3203    4.7815    5.3693    1.0268    2.0546    3.5906    4.2530    4.3222    3.4023    1.9804    2.5771    3.5991    4.4288
196510    4.1865    5.2128    7.4922    7.6644   10.1004    3.7157    5.7464    4.8124    6.0659    5.9281    2.0966    4.2872    4.3847    7.5263    7.3834    2.6619    4.0376    3.5817    4.8953    4.9365    1.3812    1.7553    2.3838    4.3927    6.2757
196511    1.8431    5.5049    3.2434    4.5193    8.1688    1.4757    3.7058    3.8131    2.7419    7.4431    1.2565    2.0966    3.9935    3.9259    9.2157    2.1361    2.1325    2.2716    5.7798    5.5937   -2.5543    0.2861   -1.2597    1.6671    3.8224
196512    1.9797    5.0817    4.5760    9.1659    4.3453    2.0828    5.9314    3.8902    4.1853    3.0627    0.8547    2.9774    4.5318    5.1698    5.6506   -0.0836    1.5195    2.0543    2.5420    3.4416   -0.8922    1.8581    2.3759    1.0959    3.3525
196601    5.5610    7.7869    6.0969    7.1479    9.2165    3.5488    5.0365    3.3280    5.0958    6.8488    2.8730    4.5421    3.2272    4.4097    4.1816    1.9096    2.7277    1.9799    4.0333    4.6592   -1.4040   -0.4376    1.2118    1.5685    6.4657
196602    1.1879    2.8249    3.0160    3.0537    8.7089    0.7438    0.8983    0.2380    3.3716    7.8716   -0.8468   -0.4260    0.6571    0.7276    3.8048   -0.8300   -1.8123    0.3402    2.2546    2.7598   -2.7838   -1.3653   -2.6038   -0.1882    3.2721
196603   -2.1621   -1.2834   -0.6805   -1.4026    0.4935   -2.8824   -3.0560   -1.9555   -3.5258   -3.1520   -2.4160   -3.6462   -2.8316   -1.7907   -2.2503   -1.6159   -1.1660   -3.8648   -1.9961   -1.8839   -3.4303   -1.5737   -1.2847   -1.6598    1.2431
196604    1.4785    5.4115    4.9452    6.5747    6.0745    1.9679    1.7130    4.9031    5.7705   10.4442    0.5745    2.1827    6.5225    5.1690    5.9310    2.9182    1.6467    3.3245    2.5972    6.0772    1.3905    1.0246    2.1424    4.2482    3.3513
196605   -4.4786   -5.5762   -8.1009   -9.9206  -14.3234   -4.3312   -7.8003   -8.6847   -9.8866  -13.4080   -2.9124   -4.8171   -7.3180   -9.3405  -13.3571   -4.4720   -5.1513   -4.7507   -7.2700  -11.2751   -4.0443   -4.1318   -3.5760   -5.2911   -7.0179
196606   -0.2788    0.5739   -0.9540   -0.8762   -0.4508   -0.9641    0.9445    1.5374   -0.0498   -0.1928   -1.4377   -0.7556   -0.4906   -0.7474    1.7983   -0.5451   -1.2123   -0.9095   -1.6173    3.3790   -2.5240   -1.2475    0.0989   -1.1128    1.7830
196607   -0.5006   -1.2707   -1.6788   -1.1196   -3.2344   -1.2198   -1.3776   -2.4306   -2.0316   -1.7643   -0.6842   -1.6198   -1.3196   -0.2479   -0.4490   -1.0084   -0.6711   -1.3334   -1.5730   -3.4542   -0.2865   -0.7660   -2.4360   -2.2677   -2.4241
196608   -6.6752   -9.3873   -9.8609  -11.9089  -14.0681   -7.9428   -8.9661  -10.1927  -11.8009  -11.8545   -7.7202   -8.5819   -8.8542   -9.9081   -9.4796   -7.7859   -7.4890   -9.2037   -8.6500   -9.2413   -5.5716   -7.1044   -8.9973   -8.0854   -7.9343
196609   -1.7576   -0.0553   -0.4649   -2.6300   -3.1649    0.0193   -1.6157   -0.4242   -3.3477   -2.6603   -0.6979   -1.4353   -1.3901   -0.2865   -3.7856    0.5993   -0.6736   -0.1870   -2.4447   -3.4810    0.2981   -1.7031    1.7858   -0.4558   -4.1481
196610   -0.5023   -1.4973   -2.0237   -4.4095   -8.2367    1.0983   -0.2078    2.4593   -2.4845   -6.4918    3.5598    4.5269    2.6496    2.9519   -3.9556    3.8477    4.1335    4.2436    4.3785   -4.2905    6.4713    5.6761    4.7093    6.5970   -0.0819
196611    1.4123    1.8416    3.3749    6.0037    7.1324   -0.0891    2.6804    1.7655    8.5679   12.0979   -0.5832    1.2448    2.7000    7.1428   13.7308    0.2816    0.9723    3.4160    3.9067   12.0216   -1.3010   -0.0847    1.4018    2.8223   10.3477
196612    1.3748    2.5357    2.1370    2.4546    0.9122    0.7687    2.4958    1.3815    3.0661    2.6732    1.5633    1.5702    3.0401    0.8503    4.6172    2.5482    2.0878    3.6392    2.6354    1.8484    0.0415   -0.5894    0.0194    0.8623   -0.1652
