This file was created by CMPT_IND_RETS using the 201507 CRSP database.
It contains value- and equal-weighted returns for 38 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
        Agric  Mines  Oil    Stone  Cnstr  Food   Smoke  Txtls  Apprl  Wood   Chair  Paper  Print  Chems  Ptrlm  Rubbr  Lethr  Glass  Metal  MtlPr  Machn  Elctr  Cars   Instr  Manuf  Trans  Phone  TV     Utils  Garbg  Steam  Water  Whlsl  Rtail  Money  Srvc   Govt   Other
192607   2.27   2.20  -2.91   9.64  -8.21  -0.21   1.26   0.28   0.65 -99.99 -14.51  -3.91  10.97   6.83  -1.38   0.39   9.49   4.91   3.77   5.27   4.97   3.11  13.03   1.50   6.08   1.62   0.83  -2.13   6.89 -99.99 -99.99 -99.99 -23.79  -0.09   0.30   3.59 -99.99  -5.95
192608   2.23   0.65   3.34   0.77   7.37   2.95   5.89   8.14   0.64 -99.99  -3.97  17.58  10.01   4.94   3.31   7.83  -3.34   4.14   1.63  -1.09   1.79   1.59   3.03   3.28   8.20   4.46   2.17   6.52  -2.07 -99.99 -99.99 -99.99   5.39  -0.96   4.16  -0.24 -99.99   0.00
192609  -1.37  -1.04  -5.92   5.97 -13.73   0.90   0.60   1.66  -2.42 -99.99   0.38 -10.53  -1.66   3.93  -4.14  -7.79  -1.15   2.07  -0.36  -3.39   0.47  -1.53   4.58  -0.97  -2.33  -0.27   0.89  -2.55   1.65 -99.99 -99.99 -99.99  -7.87   0.03  -1.55   4.37 -99.99   0.00
192610  -0.56  -0.78  -2.35  -2.78  -8.59  -4.07   1.03   0.40  -1.32 -99.99  -3.00  -2.75   9.47  -4.55  -1.06  -1.33   0.28  -5.07  -4.15  -5.23   0.35  -5.94  -8.03  -0.22  -7.71  -2.94  -0.12   2.62  -2.88 -99.99 -99.99 -99.99 -15.38  -2.52  -5.22  -4.65 -99.99   0.00
192611   6.75   1.56   0.18  17.23   2.25   6.14   3.99   3.11   3.55 -99.99   8.11   2.97  -6.80   5.07  -0.66  -8.25   1.31   4.87   3.30   2.04   2.48   4.31  -0.47   2.49   3.42   1.08   1.63  -1.02   3.31 -99.99 -99.99 -99.99   4.67   5.90   1.93   2.18 -99.99   0.00
192612  -4.03   1.27   3.45  -2.47  -1.67  -0.78   1.91   5.78   0.02 -99.99  -2.86  -3.20  -1.99   2.88   2.24   4.50  -0.41  -1.15   3.05  -0.46   4.22  -2.88   8.50   6.63  -1.67   2.84   0.50   2.06  -0.67 -99.99 -99.99 -99.99   9.65   0.42   1.64   1.33 -99.99   0.00
192701  -3.66  -1.90   5.80   9.65  -3.55  -0.60  -0.38  -2.11   1.64 -99.99   4.04   0.98   9.67   0.44   1.41   4.66  -1.72  -1.33  -0.66  -3.20   0.96  -0.68  -1.28  -1.69  -3.18   1.10   1.89   0.00  -1.99 -99.99 -99.99 -99.99 -17.93  -2.78  -2.49   1.68 -99.99   0.00
192702   7.65   4.86   8.55   7.25   8.01   3.73   0.69   7.74   3.15 -99.99  12.01   1.93   1.41   8.49   0.31   9.32   2.45   2.52   3.14   5.26   7.25   3.94   7.82   2.84  -2.14   4.76   3.97   7.07   4.13 -99.99 -99.99 -99.99   3.49   3.11   2.63   3.79 -99.99   0.00
192703  -2.56   2.82 -13.44   8.31   2.67   1.54   4.87  -5.87  -2.02 -99.99  -4.10  -2.88  -1.05   4.63  -7.34  -2.16   0.41   2.28   0.90  -3.79  -1.37  -0.59   0.69   3.11   0.49   0.65   4.17  -5.66  -0.06 -99.99 -99.99 -99.99 -20.47  -0.56   0.86  -1.37 -99.99   0.00
192704   5.39   0.85  -2.85   4.61  -8.67   1.86   3.97  -0.08  -0.51 -99.99   2.63  -1.72  -0.96   2.56  -6.06  -1.23   7.13  -2.32  -0.62   2.42   2.26   6.06   2.07   2.00   3.97   0.62  -2.14   5.00   1.46 -99.99 -99.99 -99.99 -10.75   3.83   2.82  -2.71 -99.99  13.92
