This file was created by CMPT_ME_BEME_OP_INV_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and INV.

The portfolios are constructed at the end of June.  INV is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
196307,  -0.99,  -0.57,  -0.06,  -1.25,   0.58,   0.12
196308,   4.64,   4.46,   5.36,   6.17,   4.78,   6.12
196309,  -1.06,  -2.15,  -2.25,  -1.17,  -1.38,  -0.52
196310,   2.03,   1.01,   1.58,   2.11,   1.85,   7.04
196311,  -0.75,  -1.15,  -2.43,   0.16,   0.17,  -2.60
196312,  -0.09,   0.20,   1.15,   2.33,   2.55,   1.69
196401,   4.22,   2.93,   1.53,   2.79,   2.79,   2.56
196402,   2.47,   2.94,   1.51,   2.57,   1.43,   1.80
196403,   5.87,   3.27,   2.44,   4.11,   0.86,   1.68
196404,  -0.96,  -0.17,  -1.56,  -1.75,   1.17,   1.01
196405,   2.65,   0.60,  -0.14,   0.98,   1.00,   3.21
196406,   2.11,   1.97,   1.02,   0.37,   2.29,   1.11
196407,   2.83,   2.83,   1.80,   3.23,   2.20,   0.42
196408,  -1.40,  -0.11,  -0.62,  -0.35,  -1.11,  -1.84
196409,   3.79,   3.10,   2.57,   3.61,   2.53,   3.65
196410,   2.06,   1.66,   1.49,   0.33,   1.10,   0.00
196411,  -0.70,  -0.45,   0.48,   1.20,   0.33,   0.36
196412,  -2.00,   0.06,   0.15,  -0.69,   0.92,   0.45
196501,   7.11,   5.82,   6.34,   4.93,   2.64,   5.40
196502,   4.06,   3.44,   4.30,   0.74,   0.01,   1.83
196503,   1.69,   1.25,   0.13,  -1.06,  -1.44,  -0.99
196504,   3.70,   5.06,   5.39,   2.30,   3.13,   5.22
196505,   0.58,  -0.10,  -0.24,   0.45,  -0.39,  -0.21
196506,  -9.24,  -8.41, -10.06,  -5.78,  -3.95,  -5.84
196507,   3.37,   2.67,   3.03,   1.56,   1.32,   1.89
196508,   6.24,   4.73,   5.92,   2.26,   2.50,   4.02
196509,   4.51,   3.68,   3.72,   4.03,   3.03,   3.13
196510,   6.48,   6.31,   7.25,   2.48,   2.47,   3.17
196511,   7.49,   4.43,   6.11,  -0.86,  -1.09,   2.31
196512,   2.87,   4.07,   4.66,   1.27,   1.15,   0.48
196601,   6.61,   5.96,   5.62,   0.00,   0.32,   1.10
196602,   4.80,   2.36,   3.79,  -3.20,  -1.58,   0.71
196603,  -1.50,  -3.04,  -1.71,  -1.33,  -2.87,  -1.03
196604,   6.77,   3.03,   6.70,   1.62,   1.60,   3.54
196605, -11.78,  -9.34, -10.01,  -5.18,  -4.90,  -3.95
196606,   0.95,   0.01,   0.29,  -0.24,  -1.63,  -1.11
196607,  -1.76,  -1.21,  -1.97,  -0.13,  -0.68,  -3.20
196608, -10.27,  -9.62, -10.96,  -6.80,  -7.14,  -7.85
196609,  -1.37,  -1.65,  -2.06,   0.43,   0.52,  -3.78
196610,  -0.71,  -0.31,  -3.68,   6.88,   5.46,   1.39
196611,   2.28,   3.65,   7.81,  -1.54,   0.76,   6.33
196612,   1.31,   1.20,   3.82,   0.94,   0.63,  -1.17
196701,  16.59,  16.01,  19.24,   6.18,   7.24,   9.91
196702,   4.20,   2.85,   3.41,  -1.04,   1.07,   1.72
196703,   5.84,   6.54,   6.96,   3.97,   3.51,   6.12
196704,   3.89,   4.31,   5.30,   1.26,   4.16,   7.24
196705,  -1.28,  -1.77,  -1.73,  -2.23,  -4.91,  -5.06
196706,   7.23,   8.67,  10.24,   1.35,   1.45,   3.11
196707,  10.00,   8.01,   7.14,   6.65,   3.79,   4.07
196708,   0.94,   0.79,  -1.43,  -0.67,  -0.67,  -1.10
196709,   4.90,   4.81,   5.90,   3.15,   2.84,   3.99
196710,  -3.58,  -0.85,  -3.91,  -4.94,  -3.11,   0.61
196711,  -1.23,   1.17,   1.29,  -0.64,   0.90,   1.42
196712,   8.90,   7.17,   9.22,   3.09,   2.51,   2.60
196801,   3.98,   1.44,  -2.43,  -1.16,  -3.54,  -7.72
196802,  -4.64,  -5.36,  -7.37,  -1.77,  -2.82,  -4.01
196803,  -0.80,  -0.84,  -1.95,  -1.10,   0.75,   2.37
196804,  14.21,  13.18,  17.17,   6.75,   7.91,  11.13
196805,   8.66,   9.17,   9.07,   0.57,   0.83,   3.84
196806,   2.37,   0.96,  -0.50,   2.07,   1.60,  -0.57
196807,  -1.11,  -3.13,  -5.53,  -1.56,  -0.69,  -4.33
196808,   4.65,   3.00,   3.91,   1.81,   1.12,   1.72
196809,   6.61,   7.10,   7.84,   6.38,   3.27,   3.35
196810,   0.57,   1.41,  -0.13,   3.14,   1.68,  -1.70
196811,   7.31,   7.83,   8.26,   2.70,   6.13,   6.77
196812,   0.46,  -0.97,  -0.57,  -2.63,  -4.11,  -4.91
196901,  -0.83,  -0.33,  -2.10,  -0.97,   0.33,  -2.45
196902,  -8.98,  -7.54, -10.02,  -4.12,  -4.61,  -4.65
196903,   2.61,   2.98,   3.26,   2.94,   3.69,   3.14
196904,   1.85,   2.09,  -0.27,   0.71,   2.67,   2.62
196905,   1.23,  -0.09,  -0.70,   0.04,   1.32,  -1.06
196906, -11.69, -10.91, -12.21,  -7.15,  -6.29,  -3.58
196907,  -7.96,  -9.14, -11.45,  -5.68,  -6.10,  -6.11
196908,   4.01,   4.21,   8.22,   3.02,   5.08,   6.97
196909,  -1.68,  -0.85,  -1.58,  -2.90,  -2.97,  -1.24
196910,   7.79,   8.04,  10.94,   4.75,   5.21,   5.63
196911,  -4.80,  -5.28,  -6.09,  -2.51,  -3.86,  -1.83
196912,  -6.61,  -4.34,  -4.94,  -3.35,  -0.59,  -0.85
197001,  -3.04,  -3.03,  -7.29,  -5.75,  -8.14,  -9.27
197002,   5.25,   2.94,   3.15,   8.02,   5.93,   4.07
197003,  -0.05,  -1.80,  -5.06,   2.03,  -0.29,  -1.83
197004, -13.23, -13.88, -20.42,  -8.51,  -8.42, -13.09
197005,  -7.91,  -9.69, -12.29,  -4.97,  -5.23,  -7.85
197006,  -5.54,  -6.81,  -9.08,  -5.10,  -3.70,  -7.24
197007,   6.96,   6.57,   6.81,   9.64,   6.98,   5.70
197008,   6.46,   6.78,   6.75,   5.86,   4.14,   5.84
197009,   9.93,   9.95,  16.43,   2.10,   3.39,   7.44
197010,  -4.62,  -5.20,  -7.67,  -0.89,  -0.85,  -2.69
197011,   2.18,   2.92,  -0.06,   6.02,   5.33,   5.13
197012,   8.77,   9.19,   8.50,   5.40,   6.45,   5.07
197101,  14.43,  10.73,  11.35,   3.28,   4.03,   6.69
197102,   2.95,   3.13,   4.47,   1.94,   1.14,   1.93
197103,   5.21,   6.13,   7.30,   3.16,   3.88,   6.57
197104,   3.90,   4.25,   2.38,   4.38,   2.87,   4.40
197105,  -4.02,  -5.02,  -5.61,  -3.71,  -3.88,  -2.69
197106,  -2.72,   0.35,  -0.98,  -0.53,   0.56,   1.22
197107,  -5.13,  -4.07,  -7.02,  -4.05,  -3.25,  -5.41
197108,   5.47,   4.35,   4.03,   8.04,   3.33,   4.23
197109,  -1.90,  -0.54,   0.83,  -0.71,  -0.40,  -0.35
197110,  -6.06,  -5.25,  -5.31,  -5.18,  -3.65,  -3.40
197111,  -2.92,  -2.70,  -3.17,  -0.45,   0.21,   0.59
197112,  12.31,  10.57,  13.12,   7.12,   8.75,   9.88
197201,   9.87,   7.38,   8.80,   3.04,   1.05,   3.51
197202,   4.07,   2.80,   3.62,   2.11,   3.01,   3.65
197203,  -0.21,   0.02,   0.97,   1.99,   0.46,   1.17
197204,   0.89,   0.76,   0.40,  -1.28,   0.65,   1.01
197205,  -1.65,  -1.92,  -1.88,  -0.94,   2.13,   2.99
197206,  -2.49,  -2.92,  -3.55,  -3.12,  -2.01,  -1.36
197207,  -3.47,  -2.49,  -4.28,  -2.09,   0.30,  -0.10
197208,   1.86,   1.81,  -0.10,   6.48,   4.02,   2.52
197209,  -3.76,  -2.54,  -2.88,  -3.47,  -0.03,  -0.43
197210,  -1.41,   0.01,  -2.70,   0.02,   1.06,   1.39
