This file was created by CMPT_ME_BEME_OP_INV_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and INV.

The portfolios are constructed at the end of June.  INV is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
196307,  -1.17,  -0.69,  -0.19,  -1.35,   0.42,   0.05
196308,   4.32,   4.13,   5.13,   5.53,   4.30,   5.70
196309,  -1.30,  -2.42,  -2.48,  -1.31,  -1.51,  -0.58
196310,   1.86,   0.87,   1.47,   2.03,   1.67,   6.94
196311,  -1.15,  -1.50,  -2.66,  -0.70,  -0.32,  -3.49
196312,  -0.41,  -0.17,   0.87,   2.17,   2.40,   1.62
196401,   4.08,   2.79,   1.43,   2.72,   2.68,   2.48
196402,   2.17,   2.65,   1.28,   2.01,   0.95,   1.36
196403,   5.58,   2.94,   2.20,   3.90,   0.71,   1.61
196404,  -1.11,  -0.29,  -1.65,  -1.82,   1.07,   0.95
196405,   2.37,   0.31,  -0.39,   0.44,   0.52,   2.64
196406,   1.83,   1.65,   0.74,   0.16,   2.14,   1.04
196407,   2.70,   2.73,   1.67,   3.09,   2.13,   0.30
196408,  -1.69,  -0.48,  -0.78,  -0.88,  -1.62,  -2.09
196409,   3.58,   2.78,   2.31,   3.46,   2.38,   3.54
196410,   1.94,   1.56,   1.35,   0.19,   1.02,  -0.14
196411,  -1.03,  -0.89,   0.25,   0.48,  -0.36,   0.05
196412,  -2.29,  -0.33,  -0.17,  -0.85,   0.78,   0.32
196501,   7.01,   5.73,   6.19,   4.79,   2.58,   5.26
196502,   3.78,   3.07,   4.16,   0.23,  -0.50,   1.56
196503,   1.47,   0.88,  -0.13,  -1.22,  -1.59,  -1.10
196504,   3.56,   4.97,   5.25,   2.19,   3.07,   5.10
196505,   0.32,  -0.46,  -0.39,  -0.08,  -0.98,  -0.47
196506,  -9.45,  -8.73, -10.31,  -5.95,  -4.10,  -5.94
196507,   3.27,   2.52,   2.91,   1.46,   1.24,   1.82
196508,   5.91,   4.28,   5.66,   1.77,   1.93,   3.66
196509,   4.24,   3.41,   3.49,   3.80,   2.92,   3.02
196510,   6.38,   6.18,   7.12,   2.34,   2.36,   3.11
196511,   7.16,   3.97,   5.85,  -1.44,  -1.87,   1.88
196512,   2.57,   3.82,   4.44,   1.07,   1.06,   0.40
196601,   6.53,   5.84,   5.54,  -0.14,   0.25,   1.04
196602,   4.58,   2.04,   3.61,  -3.63,  -2.15,   0.37
196603,  -1.80,  -3.33,  -1.92,  -1.60,  -3.01,  -1.15
