This file was created by CMPT_ME_BEME_OP_INV_RETS_DAILY using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and INV.

The portfolios are constructed at the end of June.  INV is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
19630701,  -0.85,  -0.47,  -0.91,  -0.61,  -0.57,  -0.85
19630702,   0.55,   0.59,   0.54,   0.55,   0.88,   0.95
19630703,   0.29,   0.34,   0.72,   0.48,   0.69,   0.71
19630705,   0.43,   0.38,   0.68,   0.16,   0.49,   0.57
19630708,  -0.53,  -0.44,  -0.69,  -0.60,  -0.58,  -0.71
19630709,   0.44,   0.40,   0.59,   0.63,   0.33,   0.55
19630710,  -0.09,   0.03,   0.18,  -0.12,  -0.20,  -0.24
19630711,  -0.24,   0.00,   0.15,   0.11,  -0.11,  -0.38
19630712,  -0.26,  -0.15,   0.21,   0.19,  -0.07,  -0.36
19630715,  -0.46,  -0.77,  -0.40,  -0.68,  -0.63,  -0.62
19630716,  -0.06,  -0.07,  -0.33,  -0.36,   0.01,   0.04
19630717,  -0.29,  -0.22,  -0.55,  -0.41,  -0.22,  -0.37
19630718,  -0.26,  -0.27,  -0.40,  -0.40,  -0.44,  -0.90
19630719,  -0.36,  -0.35,  -0.30,  -0.60,  -0.11,  -0.04
19630722,  -0.89,  -0.65,  -0.94,  -0.91,  -0.61,  -0.67
19630723,  -0.04,  -0.05,  -0.03,   0.00,   0.08,   0.15
19630724,   0.41,   0.28,   0.56,   0.29,   0.47,   0.72
19630725,   0.29,   0.11,  -0.05,  -0.13,   0.03,  -0.14
19630726,   0.39,   0.37,   0.14,   0.16,   0.36,   0.60
19630729,   0.02,  -0.01,   0.01,  -0.01,   0.16,   0.21
19630730,   0.71,   0.27,   0.80,   0.74,   0.72,   1.47
19630731,  -0.16,   0.10,  -0.02,   0.29,  -0.08,  -0.53
19630801,  -0.28,  -0.26,  -0.14,   0.00,  -0.08,  -0.11
19630802,   0.07,   0.37,   0.36,   0.45,   0.37,   0.11
19630805,   0.22,   0.09,   0.36,   0.98,   0.43,   0.63
19630806,   0.17,   0.60,   0.39,   0.66,   0.74,   0.48
19630807,  -0.02,  -0.31,  -0.20,  -0.31,  -0.10,  -0.39
19630808,  -0.01,   0.09,   0.39,   0.08,   0.13,   0.35
19630809,   0.47,   0.48,   0.68,   0.61,   0.60,   0.73
19630812,   0.70,   0.30,   0.42,   0.45,   0.17,   0.10
19630813,   0.10,   0.03,  -0.08,   0.22,   0.23,   0.43
19630814,   0.49,   0.16,   0.22,   0.43,   0.21,   0.60
19630815,   0.25,   0.23,   0.03,   0.38,   0.44,   0.58
19630816,   0.04,   0.09,   0.38,   0.18,   0.17,   0.14
19630819,  -0.12,   0.01,  -0.25,  -0.21,   0.01,   0.02
19630820,  -0.14,   0.09,  -0.14,   0.05,  -0.04,  -0.11
19630821,   0.31,   0.11,   0.23,  -0.06,  -0.18,  -0.13
19630822,   0.46,   0.25,   0.89,   0.58,   0.14,   0.79
19630823,   0.31,   0.54,   0.33,   0.41,   0.35,   0.43
