This file was created by CMPT_ME_BEME_OP_INV_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and OP.

The portfolios are constructed at the end of June.  OP is operating profits (sales - cost
of goods sold - selling, general and administrative expenses - interest expense) divided by book
at the last fiscal year end of the prior calendar year.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
196307,  -1.01,  -0.65,  -0.56,  -1.04,   0.18,   0.07
196308,   4.57,   3.69,   5.05,   4.97,   4.37,   5.46
196309,  -1.30,  -1.46,  -3.03,  -1.74,  -0.88,  -1.60
196310,   1.20,   1.74,   1.51,   0.66,   1.31,   6.05
196311,  -1.59,  -1.47,  -2.53,  -2.02,  -0.38,  -2.01
196312,  -0.38,   0.48,   0.15,   2.14,   2.33,   1.98
196401,   2.84,   2.77,   2.78,   2.04,   2.77,   2.54
196402,   2.59,   0.94,   2.71,   1.68,   0.77,   1.77
196403,   4.93,   3.07,   2.24,   3.06,   0.89,   1.73
196404,  -1.37,  -0.94,  -1.44,   2.13,   0.98,  -0.50
196405,   1.69,   0.00,   1.10,   1.38,   0.72,   1.45
196406,   1.12,   1.27,   1.65,   1.68,   2.42,   0.42
196407,   2.62,   2.77,   2.10,   1.73,   1.52,   2.38
196408,  -0.93,  -1.17,  -0.88,  -1.64,  -1.56,  -1.65
196409,   2.84,   2.26,   3.10,   4.16,   2.07,   3.23
196410,   1.22,   1.96,   2.34,   1.33,   1.05,   0.04
196411,  -1.17,  -0.45,   0.60,   0.40,  -0.22,  -0.24
196412,  -1.08,  -0.86,  -0.39,  -1.12,   0.34,   0.82
196501,   6.51,   5.62,   7.02,   4.22,   1.73,   5.25
196502,   3.36,   3.72,   3.83,   0.27,  -0.50,   0.54
196503,   0.72,   0.67,   0.32,  -1.16,  -1.56,  -1.36
196504,   4.89,   4.30,   3.95,   2.66,   2.58,   4.35
196505,  -0.58,  -0.31,   0.08,   0.26,  -0.47,  -1.25
196506,  -9.91,  -9.19,  -9.93,  -5.71,  -4.01,  -5.39
196507,   2.80,   3.60,   1.94,   3.65,   0.59,   1.66
196508,   4.52,   4.78,   5.68,   1.11,   1.40,   3.91
196509,   4.73,   4.20,   2.61,   3.90,   2.34,   3.82
196510,   6.61,   5.69,   6.78,   2.12,   0.98,   4.53
196511,   6.34,   3.58,   4.41,   0.05,  -1.61,  -0.20
196512,   4.59,   3.50,   3.74,   1.65,   1.00,   0.41
196601,   7.76,   5.22,   3.73,   3.12,  -1.14,   1.10
196602,   4.73,   1.57,   3.30,  -2.63,  -2.47,  -0.79
196603,  -2.86,  -2.01,  -2.47,  -3.29,  -2.69,  -1.25
196604,   5.61,   4.62,   5.94,   1.69,   1.97,   2.23
196605, -11.65,  -9.84,  -9.57,  -6.59,  -4.82,  -5.14
196606,  -0.45,   1.15,  -0.10,  -1.41,  -0.93,  -1.82
196607,  -1.83,  -0.69,  -2.35,  -0.90,  -1.28,  -1.40
196608, -11.06, -10.26, -10.76,  -9.03,  -6.56,  -8.50
196609,  -2.01,  -1.88,  -2.01,   0.81,  -0.06,  -1.74
196610,  -0.81,  -0.44,  -3.00,   7.03,   6.64,   2.10
196611,   2.49,   3.16,   7.18,   0.06,  -2.10,   3.91
196612,   1.24,   1.37,   3.09,  -0.23,   0.72,  -0.30
196701,  17.42,  14.73,  18.79,   8.32,   6.24,   8.38
196702,   2.99,   2.32,   4.05,  -1.36,  -0.81,   2.02
196703,   5.68,   6.93,   5.82,   3.56,   3.49,   4.77
196704,   3.74,   4.17,   5.08,   2.68,   2.52,   6.41
196705,  -1.21,  -1.82,  -2.21,  -3.41,  -4.69,  -5.71
196706,   9.47,   7.48,   8.58,   2.13,   1.55,   1.70
196707,   8.71,   7.72,   7.58,   6.97,   2.97,   5.00
196708,  -1.04,   0.01,   0.36,  -1.21,  -1.51,  -1.18
196709,   5.79,   4.85,   5.53,   3.89,   1.89,   4.12
196710,  -2.21,  -2.22,  -3.24,  -3.87,  -3.87,  -0.93
196711,  -0.67,  -0.11,   1.33,  -0.78,   0.54,   0.06
196712,   9.57,   6.95,   8.40,   2.97,   2.93,   2.07
196801,   2.94,  -0.46,  -0.69,  -2.81,  -2.56,  -6.68
196802,  -6.25,  -5.56,  -6.34,  -3.48,  -3.20,  -3.48
196803,  -0.67,  -1.91,  -1.15,  -0.22,  -0.91,   2.35
196804,  15.82,  11.66,  16.90,   7.54,   6.34,  10.73
196805,   9.25,   7.96,   8.81,   1.72,  -0.04,   1.95
196806,   0.46,   0.79,   0.51,   1.56,   2.35,  -0.49
196807,  -2.39,  -3.28,  -4.86,  -0.75,  -0.23,  -4.43
196808,   3.99,   2.59,   4.13,   1.84,   0.57,   0.88
196809,   8.25,   5.46,   7.32,   6.41,   3.51,   2.98
196810,   0.27,   0.96,   0.58,   2.06,   1.51,  -0.71
196811,   7.45,   7.54,   7.77,   4.67,   4.95,   5.38
196812,   1.37,  -1.45,  -0.93,  -3.72,  -3.70,  -4.95
196901,  -1.01,  -0.79,  -2.23,  -0.45,   0.25,  -2.10
196902, -10.78,  -7.97,  -8.55,  -6.44,  -5.27,  -4.29
196903,   3.71,   2.12,   2.53,   4.74,   2.60,   3.13
196904,   1.82,   0.92,   0.44,   0.52,   2.21,   2.73
196905,   0.33,   0.18,  -0.80,   0.21,   0.09,  -0.66
196906, -12.85, -11.03, -10.90,  -9.66,  -6.55,  -3.16
196907, -10.26,  -9.00, -10.24,  -8.14,  -6.00,  -5.37
196908,   4.79,   4.26,   7.46,   4.90,   3.68,   5.00
196909,  -2.39,  -1.84,  -0.45,  -5.69,  -3.12,  -0.98
196910,  10.06,   8.22,   9.08,   4.72,   4.26,   5.80
196911,  -5.70,  -5.84,  -5.36,  -5.17,  -3.47,  -2.90
196912,  -6.84,  -5.68,  -3.53,  -1.85,  -2.07,  -0.87
197001,  -2.36,  -5.63,  -6.82,  -8.92,  -7.17,  -8.09
197002,   3.16,   3.07,   3.43,   8.31,   5.82,   3.96
197003,  -2.95,  -1.59,  -4.48,  -0.46,   0.58,  -1.04
197004, -16.84, -14.67, -17.97,  -9.35,  -9.27, -10.03
197005, -10.97, -10.05, -10.36,  -4.83,  -5.48,  -7.80
197006,  -8.19,  -7.30,  -7.07,  -4.36,  -5.00,  -5.46
197007,   5.15,   6.43,   8.46,   8.07,   9.39,   4.77
197008,   5.87,   6.12,   6.71,   4.30,   3.63,   4.92
197009,  13.80,  10.97,  13.17,   3.76,   1.97,   5.20
197010,  -8.43,  -5.10,  -5.46,  -2.23,  -1.55,  -1.12
197011,  -0.90,   1.62,   2.11,   4.51,   5.20,   4.87
197012,   8.32,   8.71,   8.87,   5.93,   5.86,   5.66
