This file was created by CMPT_ME_BEME_OP_INV_RETS_DAILY using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and OP.

The portfolios are constructed at the end of June.  OP is operating profits (sales - cost
of goods sold - selling, general and administrative expenses - interest expense) divided by book
at the last fiscal year end of the prior calendar year.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
19630701,  -0.70,  -0.86,  -0.70,  -0.68,  -0.63,  -0.67
19630702,   0.64,   0.70,   0.31,   0.79,   0.75,   0.96
19630703,   0.39,   0.31,   0.66,   0.47,   0.75,   0.58
19630705,   0.41,   0.48,   0.60,   0.50,   0.43,   0.45
19630708,  -0.42,  -0.61,  -0.71,  -0.47,  -0.51,  -0.79
19630709,   0.24,   0.58,   0.65,   0.60,   0.39,   0.47
19630710,  -0.08,   0.20,  -0.04,  -0.28,  -0.17,  -0.18
19630711,  -0.09,   0.18,  -0.19,  -0.24,  -0.06,  -0.23
19630712,  -0.21,  -0.10,   0.05,  -0.10,  -0.08,  -0.13
19630715,  -0.67,  -0.52,  -0.38,  -0.64,  -0.69,  -0.56
19630716,   0.01,  -0.17,  -0.24,  -0.19,   0.00,  -0.06
19630717,  -0.44,  -0.32,  -0.32,  -0.29,  -0.24,  -0.37
19630718,  -0.31,  -0.37,  -0.24,  -0.55,  -0.43,  -0.70
19630719,  -0.29,  -0.43,  -0.26,  -0.47,  -0.10,  -0.18
19630722,  -0.75,  -0.80,  -1.03,  -0.95,  -0.61,  -0.67
19630723,  -0.11,  -0.07,  -0.01,  -0.05,   0.23,  -0.08
19630724,   0.39,   0.41,   0.38,   0.72,   0.38,   0.59
19630725,   0.28,   0.15,  -0.16,  -0.28,   0.10,  -0.14
19630726,   0.36,   0.06,   0.45,   0.52,   0.25,   0.52
19630729,  -0.08,   0.09,   0.08,   0.18,   0.13,   0.14
19630730,   0.50,   0.63,   0.78,   0.60,   0.59,   1.42
19630731,   0.04,  -0.02,  -0.09,  -0.03,  -0.10,  -0.19
19630801,  -0.26,  -0.14,  -0.25,  -0.32,  -0.08,   0.02
19630802,   0.22,   0.16,   0.19,   0.35,   0.31,   0.33
19630805,   0.22,   0.15,   0.37,   0.80,   0.46,   0.66
19630806,   0.19,   0.28,   0.46,   0.86,   0.65,   0.59
19630807,  -0.16,  -0.18,  -0.12,  -0.04,  -0.06,  -0.47
19630808,   0.01,   0.09,   0.14,  -0.18,   0.19,   0.27
19630809,   0.44,   0.48,   0.68,   0.50,   0.59,   0.73
19630812,   0.59,   0.43,   0.46,   0.28,   0.23,   0.16
19630813,  -0.01,   0.15,   0.04,   0.32,   0.20,   0.37
19630814,   0.39,   0.10,   0.38,   0.52,   0.47,   0.14
19630815,   0.26,   0.34,  -0.01,   0.62,   0.39,   0.53
19630816,   0.19,   0.29,   0.06,   0.03,   0.13,   0.26
19630819,  -0.02,  -0.15,  -0.17,  -0.11,   0.05,  -0.10
19630820,   0.00,  -0.09,  -0.06,  -0.17,  -0.01,  -0.03
19630821,   0.23,   0.22,   0.25,   0.03,  -0.21,  -0.11
19630822,   0.59,   0.55,   0.45,   0.65,   0.13,   0.61
19630823,   0.32,   0.46,   0.28,   0.30,   0.31,   0.48
19630826,   0.10,  -0.02,   0.28,   0.15,   0.19,   0.19
19630827,  -0.43,  -0.35,  -0.38,  -0.51,  -0.25,  -0.63
19630828,   0.94,   0.67,   1.05,   0.75,   0.61,   0.89
19630829,   0.34,   0.18,   0.44,   0.16,   0.15,   0.28
19630830,   0.61,   0.36,   0.67,   0.40,   0.36,   0.60
19630903,   0.27,   0.42,   0.38,   0.38,   0.13,   0.33
19630904,   0.23,   0.12,  -0.09,   0.36,  -0.05,  -0.11
19630905,   0.38,   0.52,   0.22,   0.61,   0.42,   0.61
19630906,  -0.41,  -0.33,  -0.43,  -0.26,  -0.40,  -0.01
19630909,  -0.62,  -0.45,  -0.53,  -0.39,  -0.26,  -0.37
19630910,   0.62,   0.40,   0.38,   0.53,   0.35,   0.83
19630911,   0.16,   0.12,   0.03,   0.36,   0.22,   0.33
19630912,   0.22,  -0.06,  -0.20,  -0.19,  -0.02,  -0.17
19630913,   0.55,   0.34,   0.14,   0.11,   0.03,  -0.07
19630916,  -0.16,   0.38,  -0.07,   0.12,  -0.16,  -0.18
19630917,  -0.20,  -0.27,  -0.02,   0.14,   0.06,   0.05
19630918,  -0.33,  -0.30,  -0.56,  -0.60,  -0.17,  -0.67
19630919,   0.23,   0.23,   0.33,   0.57,   0.43,   0.80
19630920,   0.24,  -0.21,  -0.03,  -0.18,  -0.06,   0.25
19630923,  -0.59,  -0.70,  -0.63,  -0.82,  -0.23,  -0.61
19630924,   0.08,   0.09,   0.07,   0.33,   0.63,   0.20
19630925,  -0.41,  -0.90,  -1.18,  -0.66,  -0.44,  -0.69
19630926,  -0.56,  -0.25,  -0.47,  -1.02,  -0.51,  -1.21
19630927,  -0.21,   0.28,   0.28,  -0.13,  -0.22,  -0.16
19630930,  -0.54,  -0.40,  -0.43,  -0.88,  -0.56,  -0.62
19631001,   0.52,   0.38,   0.42,   0.57,   0.84,   0.58
19631002,   0.00,  -0.11,   0.09,   0.21,   0.09,   0.18
19631003,   0.57,   0.78,   0.43,   1.29,   0.48,   0.74
19631004,  -0.08,   0.30,   0.06,   0.16,   0.00,   0.00
19631007,   0.09,  -0.01,  -0.20,  -0.11,  -0.25,  -0.23
19631008,   0.08,   0.28,   0.00,  -0.12,  -0.21,  -0.06
