This file was created by CMPT_ME_PRIOR_RETS_DAILY using the 201509 CRSP database.
It contains value- weighted returns for the intersections of  2 ME portfolios
and  3 prior return portfolios.

The portfolios are constructed daily.  ME is market cap at the end of the
previous day.  PRIOR_RET is from - 250 to - 21.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Daily
               Small                 Big         
          Low     2    High    Low     2    High 
19261103  -0.23   0.02   0.49   0.12  -0.18   0.54
19261104   0.67   0.99   0.79   1.58   0.79   0.43
19261105  -0.58  -0.01   1.04  -0.46  -0.05   0.23
19261106  -0.34   0.01   0.17   0.62   0.32   0.02
19261108   0.32   0.44   0.90   1.23   0.28   0.63
19261109   0.06  -0.21   1.17   0.86   0.05   0.09
19261110  -1.01  -0.65   0.09  -0.01  -0.84  -0.54
19261111   1.32   0.22   0.78   1.85   0.65   0.52
19261112   0.07   0.68   0.14   0.83   0.38   0.13
19261113  -0.77  -0.36   0.02  -0.23  -0.25  -0.25
19261115   0.76   0.40   0.80   0.56   0.33   0.41
19261116   0.49  -0.15   0.37   0.04   0.38   0.05
19261117  -0.78   0.03  -0.70  -0.48  -0.39  -0.31
19261118  -0.98  -0.19  -0.41  -0.88  -0.57  -0.38
19261119  -0.50  -0.25  -0.22  -0.72  -0.82  -0.55
19261120   0.89   0.20   0.43   0.52   0.58   0.30
19261122   0.80   0.26   1.00   1.00   0.59   0.57
19261123   0.24  -0.03   1.17   0.27   0.42   0.43
19261124   0.30  -0.01  -0.18   0.35   0.15  -0.02
19261126   0.42  -0.12   0.11   0.32   0.20   0.22
19261127  -0.48  -0.11   0.05  -0.32  -0.20  -0.11
19261129  -0.18  -0.73  -0.74  -0.75  -0.12  -0.37
19261130  -0.14  -0.06   0.47   0.44   0.53   0.15
19261201   0.41   0.78   0.44   0.53   0.41   0.31
19261202   0.47   0.36   0.96   1.07   0.54   0.50
19261203   0.83   0.13   0.54   1.19  -0.03   0.44
19261204  -0.17   0.33  -0.13  -0.27  -0.14  -0.20
19261206   0.35  -0.23   0.30  -0.34   0.13   0.06
19261207   0.18   0.14   0.22  -0.38  -0.31   0.12
19261208  -0.28   0.01   0.58   0.47  -0.16  -0.01
19261209   0.58   0.65  -0.25   0.66   0.46   0.42
19261210   0.26   0.63   0.20   0.25   0.43   0.34
19261211   0.41  -0.41  -0.12   0.38   0.31  -0.06
19261213   1.32   0.69   0.72   1.46   0.08   0.53
19261214  -0.25   0.03   0.58  -0.08  -0.06   0.29
19261215   0.46   0.15  -0.52  -0.31   0.32   0.07
19261216  -0.47  -0.67  -0.99  -1.06  -0.51  -0.61
19261217   0.47   0.40   0.24   0.68   0.80   1.13
