This file was created by CMPT_ME_PRIOR_RETS using the 201509 CRSP database.
It contains value- weighted returns for the intersections of  2 ME portfolios
and  3 prior return portfolios.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  PRIOR_RET is from -60 to -13.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
193101,  22.46,  12.65,  19.58,   4.79,   8.18,   5.12
193102,  16.14,  17.75,  12.96,  12.78,   6.38,  11.89
193103,  -4.21,  -8.45, -11.09,  -2.32, -10.66,  -4.90
193104, -16.73, -15.61, -17.05, -12.48, -10.74,  -8.88
193105, -13.32, -13.62, -17.44, -22.92, -12.69, -13.25
193106,  16.64,  20.98,  22.24,  26.48,  15.82,  13.96
193107,  -4.30,  -7.85,  -9.62,  -3.82,  -7.43,  -6.90
193108,  -7.36,   1.57,  -1.80,  -1.49,   0.28,  -0.14
193109, -32.99, -35.21, -31.39, -41.10, -28.85, -28.43
193110,   9.90,  10.28,   8.40,  23.95,   6.26,   8.53
193111,  -9.62,  -9.54,  -8.40,  -5.24, -11.46,  -8.43
193112, -21.05, -23.59, -18.74, -21.68, -16.98, -11.70
193201,  12.20,  13.20,   5.21,   3.53,   1.58,  -2.66
193202,   0.89,   2.81,   0.50,   5.89,   1.06,   6.98
193203, -11.61, -11.79, -12.77,  -9.97, -11.11, -11.09
193204, -18.47, -17.26, -17.68, -16.83, -15.29, -19.50
193205, -15.84, -25.18, -29.42, -14.73, -21.74, -19.85
193206,   3.22,   6.26,  14.18,   5.76,   5.91,  -2.33
193207,  48.57,  48.90,  38.98,  63.04,  43.81,  32.87
193208,  83.24,  73.40,  61.09,  54.06,  43.95,  32.86
193209, -12.62,  -9.35,  -2.26,  -8.25,  -5.79,  -1.66
193210, -21.88, -15.23, -10.94, -17.49, -16.76, -11.91
193211,  -8.71,  -7.98,  -5.52, -15.17,  -8.88,  -5.19
193212,  -9.63,  -5.44,  -4.46,  -5.89,  -1.10,   6.57
193301,   3.87,   3.65,   8.65,  10.73,   3.78,   1.00
193302, -19.02, -19.36, -20.57, -23.30, -17.30, -14.52
193303,  13.85,  14.91,   5.47,   6.14,   8.42,   2.05
193304,  62.63,  54.77,  37.86,  77.65,  60.30,  29.69
193305,  94.17,  63.01,  56.10,  44.06,  26.76,  15.86
193306,  29.11,  17.87,  17.49,  20.28,  18.47,  10.11
193307,  -7.89, -12.90, -10.82,  -9.06, -11.13,  -8.11
193308,   8.96,   9.66,  11.78,  17.74,  18.07,  10.01
193309, -21.84, -17.27,  -7.13, -20.85, -12.78,  -7.66
193310, -13.04, -13.02, -10.70, -16.44, -11.92,  -6.73
193311,   6.89,   5.25,   4.19,  10.23,  15.52,   8.52
193312,  -1.27,   2.37,   1.50,   2.70,   4.24,   0.82
193401,  48.57,  32.97,  16.48,  30.56,  15.98,   8.53
193402,   2.74,   1.53,  -0.26,  -1.98,  -3.01,  -2.22
193403,   0.31,   0.88,   4.00,   0.87,  -0.42,   0.33
193404,  -2.97,   0.93,   1.78,  -3.67,  -4.38,  -0.13
193405, -15.10, -11.37,  -5.71, -11.34, -10.36,  -5.50
193406,  -3.98,   0.67,   1.74,   0.17,   2.02,   3.24
193407, -25.84, -21.56, -20.15, -26.97, -13.68,  -6.14
193408,  14.08,  11.52,  10.35,  11.74,   5.70,   4.58
193409,  -2.32,  -1.25,  -1.53,   0.66,   0.09,  -0.23
193410,  -3.10,  -1.61,  -2.21,  -6.60,  -3.68,  -0.24
193411,  15.90,  15.44,  11.12,   7.82,  10.44,   6.91
193412,   0.13,   2.46,   1.95,  -2.37,  -0.29,   0.54
193501,  -3.78,  -4.03,  -5.09,  -8.40,  -4.22,  -2.47
193502,  -9.28,  -9.00,  -3.07, -11.68,  -2.26,  -0.32
193503, -11.37,  -8.94, -10.81,  -4.43,  -2.55,  -3.98
193504,  14.76,   9.82,  10.23,  13.80,  10.56,   7.40
193505,   4.10,   0.93,   2.35,   5.03,   4.45,   2.55
193506,   0.39,   6.82,   2.68,   8.33,   5.85,   5.71
193507,  15.16,  13.64,   5.48,  15.83,   6.76,   5.89
193508,  16.92,   4.70,   4.01,   8.91,   1.62,   2.30
193509,   3.04,   6.87,   1.05,   0.96,   3.14,   2.40
193510,  10.67,  10.47,   5.14,  11.56,   6.46,   6.26
193511,  19.03,  10.71,  10.97,  10.32,   4.99,   3.03
193512,   4.60,   7.68,   6.68,   7.64,   4.04,   2.93
193601,  23.77,   9.99,   6.69,  11.26,   6.37,   4.03
193602,   7.14,   7.61,   4.66,   2.34,   3.13,   1.04
193603,  -0.23,   1.45,   2.27,  -0.28,   1.76,   0.48
193604, -17.80, -13.21,  -8.82, -10.67,  -8.43,  -5.94
193605,   7.20,   6.27,   3.70,   7.94,   4.99,   4.87
193606,  -3.00,   0.77,   1.02,   1.90,   2.97,   2.57
193607,  10.23,   9.28,   6.53,  12.29,   5.65,   6.40
193608,   2.53,   3.53,   0.25,   2.39,   1.40,  -0.09
193609,   4.38,   4.95,   1.79,  -1.22,   0.15,   3.04
193610,   6.85,   7.49,   4.84,   6.99,   8.61,   5.68
193611,  10.04,  13.13,   9.12,  -0.80,   2.92,   4.07
193612,   6.64,   5.16,   1.38,  -1.07,   1.67,  -2.69
193701,   9.83,   9.08,  10.11,   5.70,   2.54,   3.11
193702,   3.34,   5.55,   2.33,   0.97,   0.39,   2.58
193703,  -0.67,  -1.16,   0.01,  -1.54,  -0.43,   1.92
193704, -12.74,  -9.91, -10.24,  -6.87,  -6.45,  -9.21
193705,  -4.02,  -2.33,  -1.08,  -1.78,  -0.86,   0.77
193706, -10.60,  -8.46,  -8.59,  -2.20,  -4.06,  -5.79
193707,  10.86,   9.71,  12.83,   8.60,   8.85,   9.46
193708,  -5.18,  -5.25,  -3.79,  -6.08,  -5.52,  -3.29
193709, -24.79, -22.44, -20.03, -15.43, -12.37, -13.21
193710, -10.49,  -9.45, -12.20,  -9.36,  -7.97, -12.44
193711, -12.05, -12.73, -11.65,  -4.98,  -7.46, -11.03
193712, -13.33, -11.98, -14.26,  -4.51,  -2.56,  -5.47
193801,   4.83,   6.20,   5.44,   0.06,   0.83,  -0.16
193802,   5.89,   6.94,   9.11,   3.53,   6.54,   7.63
193803, -31.30, -29.83, -35.56, -19.16, -25.09, -30.63
