This file was created using the 201509 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
 ,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
199007   ,3.71   ,2.77   ,3.92   ,2.02   ,1.15   ,5.00  ,-3.91   ,2.29   ,2.84   ,1.16   ,4.34   ,4.66   ,5.10   ,1.24   ,1.46   ,6.21   ,6.52   ,3.47   ,0.60   ,1.23   ,6.52   ,5.20   ,5.48   ,4.41   ,4.10
199008   ,0.15   ,2.08   ,2.45   ,0.67  ,-1.66  ,-5.13  ,-1.84  ,-3.72  ,-3.71   ,8.21  ,-7.38 ,-16.56  ,-3.45  ,-6.80  ,-6.19  ,-3.42  ,-5.11  ,-8.96  ,-5.05  ,-5.08  ,-7.40  ,-8.46  ,-2.84  ,-6.46 ,-12.29
199009  ,-5.26  ,-4.58  ,-3.68  ,-0.73  ,-5.03  ,-8.65  ,-5.23  ,-8.64  ,-1.30   ,0.30  ,-1.79  ,-7.20  ,-2.52  ,-8.68  ,-3.72  ,-5.06  ,-6.84  ,-5.31  ,-5.17  ,-6.15  ,-9.68  ,-7.84  ,-5.64 ,-10.62 ,-12.63
199010 ,-13.94  ,-9.92  ,-8.64  ,-8.45  ,-9.97   ,1.39  ,-9.81  ,-1.34  ,-6.74  ,-8.11  ,-4.80 ,-10.46  ,-5.24  ,-3.59  ,-4.97  ,-6.75  ,-3.10  ,-4.41  ,-8.80  ,-4.07   ,1.95  ,-0.99  ,-5.30  ,-1.52   ,2.73
199011  ,-3.55  ,-5.93  ,-2.82  ,-2.51  ,-3.44   ,3.26  ,-2.87  ,-2.48  ,-2.10  ,-6.76  ,-3.01  ,-4.33  ,-4.08  ,-6.92  ,-1.96  ,-5.82  ,-4.40  ,-3.63  ,-2.90  ,-4.14  ,-3.52  ,-0.48  ,-2.15   ,0.35  ,-2.99
199012  ,-5.81  ,-2.86  ,-2.78  ,-3.84  ,-2.74  ,-2.96  ,-1.64  ,-1.34  ,-3.41  ,-0.65  ,-2.19  ,-4.12  ,-3.54  ,-4.75  ,-2.18  ,-2.84   ,0.28  ,-0.93  ,-0.39  ,-0.44   ,3.96  ,-0.11  ,-3.06  ,-1.52  ,-0.11
199101   ,0.46  ,-1.05   ,1.62   ,0.80   ,0.32   ,2.78   ,6.54   ,4.33   ,1.70   ,3.47   ,2.77   ,1.56   ,1.54   ,5.17   ,6.72   ,1.80   ,5.60   ,4.00   ,5.51   ,3.52   ,5.60   ,6.00   ,4.40   ,9.69   ,9.25
199102  ,-0.82   ,4.51   ,7.04   ,4.91   ,3.12  ,12.25   ,5.40   ,7.68   ,9.98   ,3.51   ,8.25  ,18.26   ,6.03  ,18.08   ,7.82   ,4.95  ,11.24  ,10.37   ,9.81   ,9.84   ,9.72   ,9.04   ,8.99   ,5.88  ,11.87
199103   ,1.71   ,0.26   ,6.15   ,2.22   ,3.17  ,-0.53   ,3.30   ,2.10   ,3.77   ,1.47  ,-0.08  ,-0.34  ,-0.25  ,-0.79   ,2.90  ,-0.02   ,3.53   ,1.51   ,0.46   ,2.00   ,0.98   ,3.17   ,1.81   ,3.25   ,1.67
199104   ,1.50   ,6.11   ,7.19   ,3.43   ,5.59  ,-0.49   ,6.91   ,8.63   ,5.54   ,6.50   ,3.12  ,-2.17   ,5.87   ,0.20   ,4.37   ,5.52   ,9.84   ,4.21   ,1.67   ,2.92  ,-0.27   ,6.22   ,5.29   ,3.85   ,0.03
