This file was created using the 201509 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 prior return portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  Prior return is from -12 to - 2.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
                     Small                                 2                                  3                                  4                                Big
          Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High
199011  -4.82  -4.92  -3.16  -1.86  -4.70  -6.55  -5.46  -5.05  -3.25  -4.55  -5.65  -4.91  -4.33  -0.13  -6.77 -13.77  -6.26  -1.64  -3.54  -3.43  -2.22  -5.09  -1.28  -0.33   0.26
199012  -4.06  -2.29  -1.62  -1.15  -4.91  -4.46  -1.55   0.83  -0.69  -3.72  -5.61  -2.55  -2.09  -2.55  -1.67  -5.15  -0.33  -0.43   0.42  -0.04  -4.01  -2.88  -0.84   1.41   1.87
199101   1.76  -0.34   1.64   2.82   6.34   2.90   9.02   3.56   3.51   2.81   4.13   1.99   3.67   5.97   2.69   2.32   4.98   2.57   4.49   7.10   5.08   7.02   7.14   7.35   6.68
199102   7.49   7.65  10.51   5.42   9.47  18.23  16.08   8.77   6.37  10.70  17.27   8.98  10.65  14.05  10.00  13.99  16.06  10.14  11.05  12.84   9.01  10.31   8.85   6.89   7.78
199103   2.59   1.14  -0.39   2.03   4.67  -0.29  -1.31   0.88   1.85   4.38  -3.54   4.68  -1.75   4.61   4.97   1.95   2.33   1.28   0.47   5.13  -1.07   1.96   3.51   0.04   4.63
199104  -1.13   4.35   3.95   4.03   4.28   1.79   2.92   8.30   3.94  -0.90  -1.11   1.55   1.70   1.02   2.93  -1.14  -0.08   4.18   2.41   2.78   5.86   8.38   2.56   6.42  -0.20
199105  -5.39  -0.10  -0.81  -0.63  -0.44  -2.22   2.59   0.57  -0.23   2.02  -7.04   1.80  -0.72   0.62   3.44  -3.29   0.99  -0.80  -1.04  -3.08  -6.25  -3.76   3.61  -4.95   3.36
199106   5.45   0.33   0.09  -2.30   2.21  -1.38  -1.95   4.00   2.21   1.38  -3.09  -2.10  -1.95  -2.27  -1.80  -2.43  -0.95  -1.15   1.03  -0.58  -5.11  -0.53  -0.44  -0.01  -0.03
199107  10.98   2.55   2.95   7.91   6.72   6.94   2.73   5.60   3.75   7.09   4.15   5.51   4.91   5.58   0.52   8.05   1.01   2.02   5.10   8.13   8.31   5.28   4.22   6.46   9.07
199108  -4.12  -1.64  -1.57   1.04   2.08  -1.46  -2.94  -3.99  -0.24  -0.57  -2.66  -2.77   1.48   1.04   2.23  -3.62  -3.79  -2.54  -0.71  -1.30  -2.14  -0.94  -2.02  -1.30  -0.55
199109   3.26   1.34   1.03   4.11   9.98  -0.23  -1.05   2.40   0.84   4.47  -0.78   0.56   0.05   1.82   3.64  -0.19   0.31   0.28   2.62   5.73   0.36   2.62   1.48   1.59  -0.66
199110   4.43   4.35   5.79   5.77  13.20   5.27  -0.13   1.72   5.16   4.08   8.10   4.18   3.58   1.25   3.22   3.88   3.06   3.41   1.01   2.22   7.04   5.19   6.21   3.28   3.44
199111   4.22   2.61   0.49   7.23   1.90   2.80   3.58  -0.68   0.64   0.18   2.38   3.49  -1.53   5.59   2.23   1.07   3.11   1.54   2.14   1.02  -0.67  -1.27   0.31  -2.12  -1.02
199112  -3.12  -2.31  -2.83   0.66  -2.68  -1.17   0.08  -2.43  -0.41  10.22  -2.97   1.37   0.78   0.59   2.02  -0.29   2.86   1.49   1.20   3.71   1.62   2.23   2.50  -0.32   4.10
199201  -1.68  -0.30   2.75   2.96   3.17   1.63   0.69   0.04  -1.38   2.29   1.26   0.45   5.40   3.49   2.64   2.60   1.72   2.13   2.54   0.60   1.10   0.23   0.59   2.56   0.40
199202   1.79   2.50   2.44   6.09   6.68   4.14   2.67   2.80   2.46  -0.23  -0.44  -2.50   2.53   5.31   2.84   3.83  -2.73  -0.83   2.90   2.52  -0.61   0.58   1.36   3.53   4.79
199203   2.21  -0.22   0.64   1.60  -1.02   0.16  -1.93   1.33  -1.50  -1.05  -0.30  -0.43   4.17   0.22  -1.13   1.54  -2.14  -0.44   0.12   1.77   0.69  -1.11  -0.95  -0.33   3.97
199204   2.24   0.18   0.67   6.01   0.83   0.22   1.69   2.89   0.32   1.77   1.08   4.95   4.36   9.51   3.48   6.82   2.71   3.30   3.83   7.00   5.25   4.83   5.71   5.59   9.50
199205   8.29   3.86   9.90   5.26   4.26   6.80  10.26   8.65   9.21   5.70   3.09   7.85  11.49  12.51   5.92   4.28   9.41   7.69  10.31   9.32  -0.36   1.02   6.63  13.09  12.26
199206  -2.27  -0.62   2.76  -3.79  -0.54  -0.06  -2.56  -0.48  -0.41  -0.04  -1.89   4.99  -1.12  -1.76   4.16  -2.44   1.06  -1.49   1.93   2.07  -2.43  -3.82  -3.05  -2.66   3.92
199207  -3.31   0.33   1.10   2.05   6.04  -4.15  -2.52  -3.38  -5.86  -2.89  -4.41   0.21  -3.10  -3.90  -1.82  -3.85  -1.21  -3.55  -3.13  -7.08  -3.76  -3.55  -3.56  -4.12  -5.07
199208  -8.22  -5.30  -3.39  -3.87   0.50  -7.73  -7.77  -6.59  -5.79  -3.26 -10.28  -5.43  -4.03  -3.78  -6.23  -8.73  -4.70  -4.76  -4.75  -6.99  -9.54  -8.54  -3.82  -5.65  -3.97
199209  -2.78  -0.46  -2.89  -0.65  -1.33   1.45  -1.50  -0.35  -1.79  -0.48  -2.95  -3.05  -2.44  -1.47  -2.05  -2.75  -1.21  -2.34  -0.51  -2.04  -4.36  -5.18  -2.99  -0.98  -0.86
199210   0.43  -1.33  -1.34  -3.01   2.79  -0.89   3.79   2.29   1.88   3.31   2.29  -0.21  -0.14   3.51   6.42  -2.80  -2.88   0.15   6.77   4.17  -5.54  -7.44   3.60  10.61  10.24
199211   0.68   0.68  -0.14   1.07   1.97   2.28  -1.10  -2.13   1.67   2.99  -2.61  -1.38  -0.89   2.46   0.82  -1.09   0.51  -0.69  -0.29   1.12   2.86   0.21  -0.73  -5.29  -4.96
199212   1.68   0.59   1.35   2.33   3.76  -0.72   1.74   1.92   0.59   1.10  -2.62   1.54   2.39  -3.20  -4.06   4.82   3.51   1.47  -3.00  -4.59  10.93   6.21   2.92  -5.95  -4.75
199301   3.53   2.14   2.16   0.79   3.97   2.05   2.15   2.76   2.57  -0.39   3.65   0.33   2.03   2.16   3.84   2.99   0.89   0.53   3.59   1.59  -3.18  -2.87   2.51   2.63   3.43
199302   7.10   7.14   6.03  10.04   8.68  11.67   7.04   6.90   8.17   5.91   7.23   6.60   8.15   7.68   7.38   7.18   6.72   7.84   5.72   8.93   6.11   9.27   9.17   8.45   7.52
199303  10.21   5.09   4.88   8.14   5.64   5.46   4.80   5.70   4.51  10.73   6.42   5.41   3.94   3.89   6.58   7.83   6.87   3.28   9.75   6.29   3.68   3.83   0.57  -1.62   3.47
199304  13.46   6.35   9.82   9.23  10.10   6.12   8.93   9.60   7.15   6.90   5.97  10.61   8.11   6.22  14.28   6.79   9.75   6.44   8.02   9.41   3.00   0.49   7.44   6.83   5.21
199305   6.12   4.86   7.96  11.67  10.83   4.58  11.43   5.90   8.12  10.23   3.22   6.83   7.81   7.42  13.29   6.69   5.36   8.22   5.02   4.87   0.84   2.58   6.34   8.30   4.73
199306   4.69   0.47  -0.13  -1.97   1.50  -0.27  -2.04   9.49   1.45   3.48  -1.56   1.59  -0.99  -3.98  -4.72  -5.24  -3.13  -1.41  -0.41  -3.83  -2.97  -3.33  -2.45  -5.25  -1.57
199307   6.89   5.44  10.18   5.30  13.26  -2.71  -0.72  -0.91   0.39   5.21  -3.68   2.26  -2.43   0.49   0.34   0.81  -2.52   1.06   1.89   4.98   6.51   1.54   0.58   2.27   6.52
199308   3.10   4.14   7.05  11.62   2.35   1.07  11.85   8.02   7.89   7.15   3.57   3.63   9.38   6.06   0.75   6.65   4.50   3.65   8.96  12.68   4.34   8.86   8.90   6.77   0.69
199309  -5.15  -0.49  -5.52  -1.29  -6.36   3.72  -0.75  -2.70  -1.79  -2.33  -1.13  -2.14   0.71  -2.38  -2.35  -1.39   1.15  -1.09  -0.72  -2.49   1.24  -1.11   1.95   0.93  -2.01
199310   8.85   8.66  11.63  10.56  13.60  11.90   8.54  11.13   9.53  12.39  11.70  11.30  10.82  14.96  11.42  15.28  12.44   9.89  12.84  18.82  15.02  15.36  20.55  15.82  15.90
199311   1.06   0.40   0.33   0.39  -1.06   0.44   1.65  -3.22   1.87   7.95   1.26  -1.69   1.87  -3.48  -1.06  -1.22   0.55   0.99  -5.43  -0.82  -2.04  -1.56  -1.58  -5.17  -4.82
199312   8.43  14.87  15.89  18.06  16.73  10.88  16.94  19.44  14.52  20.26  16.33  14.89  15.65  12.83  24.81  13.66  27.93  11.50  16.46  16.60  13.06  20.33  21.97  22.27  27.61
199401   5.81   7.86   7.03  15.90  15.49   4.38   3.52   1.42   4.81   3.00   2.09  -2.76   6.50   3.82   3.74   0.70   5.46   5.17   0.40  -3.94   7.03   7.40   1.01  -4.66  -1.52
199402   0.15   2.45  -0.33   0.68  -0.22  -2.60  -4.11  -4.42  -2.68   0.50  -3.57  -2.94  -2.56  -1.29  -0.67  -3.73  -5.15  -3.57  -4.89  -4.34  -3.68  -3.48  -7.09  -9.90 -10.48
199403  -9.97  -6.42  -8.18 -12.34  -9.56  -9.03  -8.73  -7.18 -10.02 -10.08  -8.47  -9.60  -7.39  -9.41 -11.08  -7.98  -6.59  -6.13  -8.95 -12.78  -6.67  -9.04 -11.72  -9.60 -10.67
199404  -1.17  -0.27   1.67   1.06   0.08  -0.92   3.49   0.17   1.38  -0.77   0.87   3.53   2.42   0.20   5.28   0.60   3.10   3.39   5.80   3.55   1.77   3.88   6.52  -0.64  -0.52
199405   0.86   0.70   0.34   1.21   0.10  -0.49   0.08   2.31   1.95   0.49   2.62   0.85   5.15  -1.50   2.03   0.13   1.20   2.70   1.36   0.48   5.92   5.87   4.76   5.62   5.93
199406  -6.95  -3.05  -4.22  -2.43  -3.22  -6.62  -4.64  -5.39  -3.77  -1.89  -2.85  -5.15  -3.30  -3.27  -3.64  -5.73  -6.18  -3.34  -3.19  -8.19  -6.12  -6.98  -6.75  -6.06  -6.52
199407   0.24   2.42   3.20   1.75   1.91   0.56   2.50   1.58  -2.08   3.64  -2.08   2.45   1.26   3.95   2.79   5.22   4.66   3.62   4.49   1.37   5.10   6.04   4.52   8.84   5.67
199408  -1.34   0.81   2.98  -0.66   2.63  -1.96   1.50   2.60   3.44   2.78   2.79   1.98   1.74   8.53   2.41   4.03   2.14   3.07   2.59   3.96   2.01   4.54   5.13   5.77   6.27
199409  -2.59  -1.42  -0.30  -0.87  -2.51  -0.49  -1.41  -3.45  -0.66   1.28  -0.70  -1.35  -4.19  -1.25   0.90  -1.29   0.77  -2.12   0.57   3.03  -2.11  -5.54  -3.37  -1.29  -2.08
199410  -2.68   0.09  -1.94  -0.53  -1.42  -2.77  -0.93  -1.25  -0.36  -2.24   0.01  -0.81   0.39   1.53  -1.01   2.29   1.64   1.41   0.34   1.79   0.11   2.71   1.51   3.19   1.20
199411  -8.83  -4.16  -5.40  -2.27  -5.88  -9.75  -7.30  -4.97  -5.23  -6.91  -7.24  -7.17  -3.70  -6.96  -8.12  -8.47  -6.11  -9.35  -7.10 -11.70  -9.06  -5.95  -9.05  -8.98  -7.92
199412  -4.65  -1.93  -1.16  -1.95   0.30  -5.98  -1.98  -3.05  -1.79  -0.94  -3.15   0.67  -0.04   0.13  -2.74  -2.60   0.19   1.80  -1.53  -0.66  -2.69   0.79  -0.72  -2.21   0.77
199501 -10.99  -7.68  -7.70  -6.08  -5.75 -11.91  -8.37  -5.79  -6.40  -6.78 -13.21  -6.22  -8.16  -6.84  -4.45  -9.96  -7.68  -8.70  -7.94  -6.63  -8.08 -12.25  -3.00  -4.26  -7.69
199502   0.96  -1.39  -0.21  -3.85  -4.20   2.64   1.16   0.62  -1.10  -0.30   7.50   0.51   2.03   2.09   0.02   9.23   2.18   1.19   2.49   1.81  12.13  12.11   4.97   3.49   1.70
199503  -2.21  -2.10  -0.66  -1.58  -0.78  -3.63  -2.25  -0.80  -1.57  -0.41  -1.10  -0.40  -1.14  -0.57   0.22  -0.06   0.28   0.90  -0.65   0.39   4.94   0.51   0.48   1.53   0.32
199504   0.11   1.15   0.12   2.94   1.59  -1.51   0.04  -0.12   2.21   3.64   0.68   1.03   2.05   0.68   2.69   1.77   2.64   3.51   2.52   4.45  -1.67  -0.18  -0.03   2.20   4.43
199505  -1.05  -0.37  -2.34   0.70  -1.85   2.79   2.29   0.93   0.34   2.68   3.43   0.82   4.54   2.09   3.49   5.02   1.39   2.23   6.05   2.55   2.15   5.86   8.70   6.20   2.28
199506   0.79  -1.29  -2.73  -0.57   1.47   2.14   0.23   0.82  -1.16   0.10  -1.44  -0.68  -2.17  -0.70   3.80  -1.04  -3.53  -1.53  -0.36  -0.05  -3.35  -2.60  -1.74  -2.13  -2.11
199507   9.24   6.60   5.85  10.51   5.57   8.00   5.10   9.16   5.32   8.02   6.08   6.29   7.24   9.97   7.76   4.05   5.86   4.64   2.80   6.22   6.48   2.86   9.79   3.75   4.69
199508   4.76   5.16   6.62   4.09   7.36   3.48   5.83   3.37  -0.43  -0.25   0.39   1.53  -0.33   2.50   2.63   1.27  -1.77  -1.21  -1.31  -0.67  -4.08  -2.45  -0.70  -1.35  -3.04
199509   0.51   2.63   1.22   1.49   6.93   0.88   0.41   1.26   1.89   4.42  -0.83   0.81   0.94   3.31   3.34   1.31   1.08   1.88   1.42   3.33   1.73   2.41   4.35   1.86   1.36
