This file was created using the 201509 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
                     Small                                 2                                  3                                  4                                Big
          Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High
199007   4.99   3.76   4.90   4.25   4.93   5.15   6.02   5.15   4.31   5.57   9.20   7.01   3.86   4.28   3.72   5.03   5.54   5.02   5.37   3.72   6.52   4.62   4.90   4.81   4.41
199008  -9.19 -10.81 -10.00 -10.48  -9.97  -9.86  -8.48 -10.88  -9.48 -11.57 -10.86  -9.71 -12.95 -12.19 -13.34 -10.67 -11.77 -11.75 -13.37 -13.38 -10.70 -11.11 -10.91  -8.12  -9.16
199009  -9.59  -8.46  -9.17  -9.96 -10.32 -10.20  -8.99  -9.13 -10.01  -9.94 -12.36 -11.93 -10.66 -10.48 -11.87 -12.27 -10.95 -10.64 -16.94 -11.06 -14.22 -12.46 -11.54 -11.17 -10.49
199010   0.98   3.05   3.30   3.25   3.13   4.37   5.00   5.89   6.78   4.23   8.32   7.35   8.48   5.41   6.02   5.03   8.16   6.28   9.22   4.41   8.29   9.61   9.33   5.63   6.65
199011  -3.44  -3.06  -3.18  -3.58  -3.51  -2.49  -2.10  -2.20  -0.35  -0.92  -3.28   1.68  -0.83  -1.83  -1.84  -0.88  -0.28  -0.36  -3.60  -3.11   0.45  -0.70   1.15   1.79   1.71
199012  -3.06  -1.04   0.01  -1.35  -0.55  -0.04   0.55   0.25  -0.84   0.85  -0.26  -1.11  -1.49  -1.02  -0.92  -0.85  -0.60  -1.86  -0.80  -0.26  -1.64  -1.89   0.04  -0.88  -1.38
199101  -3.45  -1.00  -1.93  -1.86  -3.15  -1.60  -2.89  -1.81  -0.52  -3.12  -2.30  -3.09  -1.54  -2.59  -1.38   0.02  -0.92   0.16  -2.60   0.84   3.16   3.50   3.09   1.79   4.73
199102   8.05   8.22   8.47   7.70   8.36   9.68   7.18   9.61   7.69  11.20   6.61   7.78   9.17  12.38  11.78   8.14   7.30   8.37  13.64  12.53   8.49   6.68   6.78   7.89   7.58
199103  -0.66  -1.68  -1.13  -2.03  -2.42  -2.05  -5.59  -4.82  -3.59  -5.58  -5.91  -5.63  -4.28  -5.50  -5.02  -4.97  -6.09  -5.48  -5.09  -5.44  -8.08  -6.99  -5.75  -7.38  -5.09
199104   0.19   1.31   1.40  -1.65  -1.01  -0.37  -0.12  -0.26  -0.76  -1.72   0.62   1.14  -1.11  -2.97  -3.13  -0.57  -1.20  -1.08  -2.07  -2.79  -0.22   0.45  -1.21   1.56  -1.30
199105  -0.54  -2.12  -1.46  -2.84  -2.26  -2.65  -1.86  -0.82  -1.67  -1.56  -0.48  -1.90  -1.35   0.03  -1.09  -1.56  -0.39  -0.97  -0.70  -0.74   1.39   2.67   1.36   2.00   1.58
199106  -5.59  -6.19  -6.19  -6.42  -5.89  -5.85  -7.37  -6.20  -6.26  -6.86  -6.40  -6.35  -4.56  -5.85  -6.53  -6.06  -6.14  -5.70  -6.55  -7.12  -7.60  -6.08  -7.68  -6.98  -8.34
199107   1.21   2.75   2.70   3.82   1.85   3.33   5.80   2.63   2.73   2.85   2.41   5.84   3.03   2.06   3.16   2.41   3.00   4.36   5.29   3.60   6.12   6.82   8.13   7.12   5.60
199108  -0.95   0.61   2.28   1.29   0.22   3.12   1.49   0.86   2.26  -0.60   2.00   2.36   2.95   1.46   1.08   1.28   2.67   1.23   1.88   0.99   1.18   2.32   1.45   2.11   3.46
199109   6.54   9.47   7.17   7.66   7.02   5.54   7.76   5.20   3.61   3.22   2.57   5.76   4.12   2.36   6.83   3.95   3.87   3.38   4.05   3.16   2.21   4.39   2.73   2.95   3.43
199110  -2.33  -1.78  -2.22  -2.05  -3.84  -2.76  -1.27  -1.62  -2.95  -3.84  -2.93  -1.93  -4.20  -4.48  -1.88  -4.59  -2.70  -3.20  -3.12  -3.91  -1.93  -0.84  -2.55  -4.04  -0.70
199111   0.27  -0.92  -0.10   0.35  -1.80  -1.18  -0.98  -1.44  -3.00  -3.59  -1.62  -2.56  -1.28  -3.58  -2.84  -1.24  -2.49  -2.89  -4.08  -4.28   0.14  -1.73  -2.81  -2.70  -1.92
199112   4.24   3.40   3.08   3.49   2.45   2.58   3.16   2.72   3.33   2.44   5.29   3.66   3.91   2.80   4.38   4.28   5.27   5.80   6.34   4.80  10.11   8.40   6.14   6.49   5.83
199201  -2.92  -2.75  -2.25  -1.99  -2.16  -0.56  -1.45  -1.31   1.74  -0.89  -1.18   1.48   3.52   0.91   1.66  -1.17   0.64  -0.29   1.03   2.09  -1.05  -0.03  -0.95   1.68   0.65
199202  -0.47  -0.15  -0.20  -1.15  -1.44  -0.49  -0.66  -0.44  -0.82  -0.63  -0.04   0.29  -0.79   0.21  -0.46   1.07   0.57   0.36   0.52   0.26  -0.48   1.09  -1.11   0.11   1.91
