This file was created using the 201509 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 BE/ME portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
199007   6.21   5.17   5.02   5.76   4.83   4.62
199008  -9.81 -10.48 -11.01 -10.55 -10.25  -9.95
199009 -10.38  -9.66 -10.39 -13.17 -11.92 -10.96
199010   5.04   5.17   4.59   8.18   8.43   6.01
199011  -2.00  -1.65  -2.31  -0.23   0.62   1.22
199012  -1.37  -0.09   0.04  -1.21  -1.01  -1.04
199101  -1.79  -1.57  -2.54   2.45   2.36   2.68
199102   8.51   8.62   9.60   7.81   7.34   8.43
199103  -2.80  -4.00  -4.87  -7.03  -6.59  -6.08
199104   0.25  -0.26  -1.65  -0.20  -0.25  -0.14
199105  -2.18  -1.71  -1.47   1.33   1.46   1.56
199106  -5.88  -6.71  -6.37  -7.07  -7.03  -7.27
199107   3.54   2.93   2.74   6.11   6.76   6.02
199108   1.71   2.13   0.23   1.59   1.91   2.44
199109   6.09   5.57   4.51   3.28   2.95   3.64
199110  -2.37  -2.96  -3.54  -2.01  -2.44  -2.06
199111  -1.17  -1.00  -2.62  -0.55  -2.67  -2.52
199112   3.71   3.31   2.89   8.47   6.82   5.74
199201  -1.07   0.16  -0.70  -0.72  -0.12   0.98
199202  -0.38  -0.62  -0.95   0.21  -0.30   1.03
199203  -3.51  -3.53  -2.79  -3.52  -2.81  -3.53
199204   5.55   4.68   4.06   5.43   6.28   5.33
199205   5.92   4.98   6.25   4.49   5.82   5.69
199206  -1.63  -1.06  -0.96  -0.50  -1.14  -1.51
199207  -5.10  -5.00  -6.48  -3.69  -3.54  -4.29
199208  -1.84  -2.11  -2.26  -0.17  -0.14  -0.57
199209  -4.62  -6.21  -7.49  -2.00  -1.90  -3.31
199210  -9.57  -9.89  -7.80  -6.33  -8.26  -5.86
199211  -2.32  -3.09  -2.46  -0.16   0.70  -0.67
199212   3.49   2.42  -0.51   0.99   1.73   1.63
199301   4.50   4.34   4.42  -1.41  -0.17   5.36
199302   0.55  -0.17   1.16  -0.19   2.39   2.37
199303   7.25   6.63   7.44   4.73   6.46   6.01
199304   5.07   4.60   7.41   1.55   1.03   3.57
199305   0.82   1.26   2.27   0.13   1.23   1.62
199306  -4.35  -3.98  -4.13  -4.10  -2.45  -1.04
199307  -1.06   0.49   2.29   0.41   1.51   2.69
199308   8.63   9.77  10.86   8.06   8.44  10.20
199309   0.03   0.86   0.50  -1.60   0.54  -1.48
199310  -0.60   1.06   1.47   2.35   3.57   1.95
199311  -0.86  -1.13  -1.77  -0.78  -2.24  -3.75
199312   3.65   4.63   7.07   6.05   7.57   8.99
199401   9.86  10.61  14.43   4.93   4.63   8.97
199402  -0.25   0.38   0.73  -3.93  -4.10  -2.85
199403  -1.91  -1.47  -0.83  -2.40  -3.43  -0.58
199404   2.98   3.31   5.01   4.46   3.79   4.62
199405  -1.91  -2.40  -1.75  -4.25  -3.75  -3.70
199406  -0.80  -0.99  -1.41  -0.39  -0.67  -1.81
199407   1.51   2.47   2.43   4.03   6.04   5.47
199408   2.39   1.90   0.75   3.69   3.04   0.10
199409  -0.90  -0.75  -0.72  -3.18  -4.13  -2.89
199410   1.03   1.33   1.27   4.43   5.19   3.10
199411  -4.87  -4.25  -4.25  -4.24  -4.08  -4.15
199412   0.58   0.51   0.72   1.05   0.39  -0.35
199501  -0.52   0.86   0.78  -1.35  -1.48  -0.59
199502   1.48   1.40   1.74   3.60   2.25   1.38
199503   3.16   2.17   1.86   5.55   4.09   2.42
199504   1.62   1.90   1.51   2.96   2.80   4.28
199505   2.43   1.92   2.41   2.20   1.66   3.50
199506   1.19   2.38   1.52   3.01   0.83   0.91
199507   3.87   3.12   2.34   4.44   4.92   4.14
199508  -1.94  -2.65  -3.14  -2.14  -3.74  -5.50
199509   3.37   2.24   1.38   3.56   2.79   1.97
199510  -0.86  -1.46  -1.69  -0.36  -0.48  -0.16
199511  -2.98  -3.07  -2.17  -0.28   0.04   0.67
199512   0.77   1.36   1.93   1.84   3.17   3.11
199601   0.72   0.88   1.10   0.94   0.69   0.71
199602   3.62   3.24   3.80   2.09   2.19   2.19
199603   0.78   1.85   1.91   1.38   1.73   1.12
199604   1.60   1.88   1.58   0.11   1.68   0.95
199605   3.69   3.30   3.46   1.86   1.91   1.47
199606  -0.16   0.06   0.39   0.72   0.59   0.90
199607  -2.91  -1.43  -1.06  -1.34  -1.68  -1.16
199608   2.77   2.28   1.02   3.30   2.45   1.97
199609  -1.28  -0.41  -0.69   1.18   2.52   1.76
199610   3.53   2.68   2.30   2.25   2.02   1.10
199611   2.58   2.04   2.70   4.39   4.70   6.09
199612   2.10   2.05   2.97   2.20   2.48   2.77
199701   0.04   1.77   2.17  -0.77  -0.27   1.76
199702   1.61   1.12   1.12   0.92   0.92   1.05
199703   0.66   1.61   2.14   2.37   2.66   2.56
199704  -2.16  -1.94  -1.14  -0.31  -0.03  -0.63
199705   2.26   4.38   3.99   4.40   4.62   5.00
199706   0.09   0.90   1.52   3.90   5.32   4.22
199707  -2.70  -1.80   0.09   4.20   3.46   5.39
199708   1.61   0.00   0.12  -5.23  -5.60  -5.34
199709   5.22   5.26   7.53   8.80   9.49  11.64
199710  -0.30  -1.18   0.13  -4.96  -4.57  -3.87
199711  -1.85  -1.63  -1.89   1.24   1.75   0.29
199712  -1.43  -0.64   0.76   2.69   2.63   4.94
199801   2.47   0.51   4.23   4.99   2.73   3.77
199802   6.02   6.01   7.03   8.08   7.29   8.65
199803   8.41   6.91  10.88   4.04   8.15  10.79
199804   5.07   3.92   3.30   2.07   3.10   2.64
199805   5.66   3.99   4.65   1.30   2.79   3.41
199806  -2.67  -3.74  -3.68   0.59   0.77  -1.78
199807  -0.95  -1.26  -0.64   1.82   1.63   5.10
199808 -11.38 -10.86  -9.72  -9.11 -12.26 -15.45
199809  -4.65  -4.12  -3.58  -2.95  -3.65  -8.80
199810   1.29   1.77   2.08   7.30   7.14   8.33
199811   2.26   1.74   1.73   4.21   4.81   5.87
199812   1.15   0.46   0.62   4.96   2.89   2.09
199901   1.67  -1.76  -1.12   0.63  -0.05  -0.88
199902   1.46  -0.54  -0.17  -2.65  -1.51  -3.29
199903   0.22  -0.05   1.21  -0.02   0.33   1.65
199904   3.78   4.26   3.92   0.35   5.13   4.00
199905  -0.46   1.05   1.03  -3.33  -3.67  -4.58
199906   1.40   1.60   2.87   2.30   1.78   2.09
199907   4.56   5.70   4.13   0.87   0.90   2.09
199908   6.64   4.95   3.86   0.72   1.27   1.88
199909   2.31   2.01   0.50   0.05  -0.69  -0.46
199910   1.91   1.49  -0.70   4.71   1.68   0.69
199911   9.57   0.97  -1.13   5.38   2.74  -2.45
199912   8.49   3.74   2.29  12.13   8.10   9.31
200001   6.15  -0.77  -2.35  -5.99  -8.96  -9.95
200002  13.54   5.73   0.24   7.37   6.54   1.53
200003  -6.80  -3.56  -0.55   0.47   3.21   1.78
200004 -13.60  -8.76  -5.54  -4.89  -4.89  -2.85
200005  -3.12   1.97   4.32  -1.84   2.55   3.06
200006   1.24   1.53   2.51  -0.57   1.70   3.63
200007  -2.61  -1.13  -1.11  -3.32  -0.43   2.43
200008  -0.83  -1.46  -0.04  -1.60  -0.11  -2.45
200009  -3.54  -2.32  -1.19  -6.41  -3.49  -3.03
200010 -13.14  -6.33  -3.71  -3.90  -0.87   2.14
200011 -13.20  -3.37   1.52  -8.78  -0.97  -1.59
200012   5.33   6.65   7.76   3.20   7.84   7.84
200101   0.46   2.26   3.41   0.24   0.87  -0.25
200102  -8.95  -4.02  -0.41 -15.33  -5.04  -6.68
200103 -13.29  -8.92  -7.13 -11.30  -8.15  -6.70
200104   4.00   4.93   5.15  12.71   6.12   6.07
200105  -5.00  -1.88  -0.57  -7.56  -3.40  -4.30
200106  -9.46  -2.84  -1.39  -6.18  -1.58  -2.24
200107  -6.22  -1.22   0.72  -0.25  -0.31   0.21
200108  -2.65   0.46   2.42  -4.53  -0.59  -1.18
200109 -20.77 -16.17 -11.92  -8.85 -11.57 -12.64
200110   8.78   4.91   2.41   4.13   2.45   3.99
200111   8.86   6.61   4.37   4.76   2.59   6.87
200112  -0.10  -0.08   1.27   1.51   2.13   2.60
200201  -3.73  -2.57   0.26  -5.53  -4.03  -5.49
200202  -2.49   0.14   2.55   1.10   0.81  -0.86
200203   4.14   4.83   4.77   3.87   6.40   4.70
200204  -1.02   2.51   5.43  -3.07   1.23   0.06
200205  -0.61   3.27   3.91  -2.58   1.39   2.33
200206  -4.55  -0.48   1.40  -1.44  -3.33  -2.45
200207 -10.01  -8.48  -6.74 -10.76 -12.01  -7.38
200208  -2.65  -0.90  -0.92  -0.57   0.83   1.69
200209 -12.30 -11.41  -8.17  -8.67 -16.18 -16.81
200210   3.63   2.01   1.81   8.41  11.11   8.77
200211   5.68   4.92   3.86   2.16   6.52   8.32
200212  -2.74   0.81   3.56  -2.87  -3.62  -2.72
200301  -2.55  -1.08   0.08  -4.33  -3.61  -1.62
200302  -4.22  -3.02  -1.95  -4.35  -2.62  -3.28
